	chr15:43257552-43257641	chr15:43257642-43257671	chr15:43257672-43257701	chr15:43257702-43257801	chr15:43257802-43257851	chr15:43257852-43257891	chr15:43257892-43258001	chr15:43258002-43258101	chr15:43258102-43258151	chr15:43258152-43258241	chr15:43258242-43258301	chr15:43258302-43258451	chr15:43258452-43258601	chr15:43258602-43258751	chr15:43258752-43258901	chr15:43258902-43259051	chr15:43259052-43259201	chr15:43259202-43259261	chr15:43259262-43259291	chr15:43259292-43259351	chr15:43259352-43259441	chr15:43259442-43259501	chr15:43259502-43259551	chr15:43259552-43259611	chr15:43259612-43259651	chr15:43259652-43259801	chr15:43259802-43259841	chr15:43259842-43259951	chr15:43259952-43260031	chr15:43260032-43260101	chr15:43260102-43260251	chr15:43260252-43260331	chr15:43260332-43260401	chr15:43260402-43260551	chr15:43260552-43260641	chr15:43260642-43260701	chr15:43260702-43260771	chr15:43260772-43260851	chr15:43260852-43261001	chr15:43261002-43261151	chr15:43261152-43261301	chr15:43261302-43261451	chr15:43261452-43261511	chr15:43261512-43261601	chr15:43261602-43261671	chr15:43261672-43261751	chr15:43261752-43261841	chr15:43261842-43261901	chr15:43261902-43261971	chr15:43261972-43262051	chr15:43262052-43262091	chr15:43262092-43262201	chr15:43262202-43262351	chr15:43262352-43262421	chr15:43262422-43262501	chr15:43262502-43262531	chr15:43262532-43262651	chr15:43262652-43262797	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0.919081	0	0	0	0	0	0	0	0	0	0	0.0932615	3.04943	2.95048	2.18911	0.943725	3.35592	3.75641	2.8905	1.16367	0.450452	0	0	0	0	0	0	1.47902	1.18764	2.15674	2.22972	1.45965	0.740075	2.79248	0.317144	0	0.546448	1.30772	1.05053	1.23692	0.0154748	0.986782	1.26051	5.4061	5.8229	2.36916	0.027941	0	0.602029	2.35184	2.51608	0.929065	0.144718	0	0	0	0	0	0.432056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.58d4d6b8-e8d9-44c0-a8c7-fcdf9403bfe2.fc.signal	0	0	0	0	0	0	0.210726	0.451377	0.55157	0.480437	0.352583	0.37228	0.256672	0.373139	0.661319	1.05815	1.66544	1.52112	0.780271	0.397793	0.102334	0	0	0	0	0.382646	1.4383	1.59056	1.0371	0.918088	1.18153	1.0631	0.826694	0.701547	0.740485	0.399975	0.384213	0.345505	0.396203	0.314258	0.343119	0.368889	0.311736	0.2335	0.162096	0.0822684	0.184364	0.126503	0.128792	0.0568571	0	0	0.0182722	0.208682	0.655477	0.627924	0.550078	0.298854	0.751953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.ac643157-1692-4223-8d75-00ef072cf986.fc.signal	0	0	0	0	0	0	0	0	0	0	0.002783	0.138007	0.125598	0.0742349	0.270702	0.331188	0.384367	0.307709	0.31046	0.256932	0.00349511	0	0	0	0	0	0	0	0	0.108449	0.281829	0.340242	0.210694	0.0362617	0	0.0417375	0.374646	0.582974	0.55543	0.13059	0	0.0269069	0.169804	0.340509	0.33401	0.249842	0.0402428	0	0	0	0	0	0	0	0	0	0.0158023	0.210127	0.808696
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.b04c1667-5df4-43cb-a2ab-4a07445dc015.fc.signal	0.991945	0.51506	0.360512	0.25753	0.185458	0.18889	0.549406	0.930549	1.49366	1.55277	1.80265	1.53172	1.72774	1.08972	1.11512	1.73753	0.638719	0.40719	0.426036	0.544983	0.768239	0.804086	0.99036	1.1359	1.69735	1.65863	1.78756	1.07903	0.990036	1.21258	1.00498	0.654637	0.893784	0.81049	0.517504	0.120211	0.220757	0.51506	0.622677	0.317018	0.425788	1.13884	1.14566	0.912105	0.348242	0.690963	0.954004	1.38443	1.3132	0.987435	1.19058	1.14391	1.15035	0.958996	0.955267	0.46948	0.46825	0.284327	0.974138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000343.2.e10bdb64-0a71-475a-a46c-71845129ee7e.fc.signal	0.084112	0	0	0	0.496722	0.540257	0.46207	0	0	0	0	0.263263	0.350023	0.129857	0.426376	0.342919	0.395516	0.50536	0.363583	0	0.142032	0.177968	0.291118	0	0	0.107969	0.497637	0.491716	0.0434604	0.498615	0.658806	0.507018	0.327452	1.07816	0.61067	0.403176	0.502644	0.813336	0.592439	0.358654	0.0160938	0	0	0.494913	0.915994	1.13642	0.612072	0.482814	0.522154	0.135661	0	0	0	0	0	0	0	0.209696	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.3b762a00-3a45-430b-9a03-047a2f48270c.fc.signal	0.401364	0.227453	0	0	0	0	0.148517	0.285057	0	0	0	0.514376	2.30588	2.36942	3.43294	2.64308	1.93688	1.5179	1.38096	0.576353	0.83454	0.418198	0	0	0.260354	0.373186	0.086788	0.271013	0.823662	1.4541	1.15261	1.39363	1.07577	1.15858	0.675405	0.701791	0.825075	0.238719	1.00482	1.26295	0.567895	1.21072	0.316176	0.0616213	0.6268	0.773531	0.433997	0.447555	0.444375	0.505752	0.550821	0.865221	0.587954	0.658516	0.297948	0.58712	0.488908	1.51647	0.162162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.05a353b1-f31c-4062-a970-e6b8e8cfe9a3.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0.0774305	0.1704	0.0422106	0	0.174372	0.569835	0.315104	0.239215	0.197972	0	0	0	0	0	0	0	0.326927	0.594681	0.6049	0.333807	0.341942	0.452565	0.507393	0.316724	0.134825	0.241775	0.256271	0.306369	0.801845	0.707714	0.597565	0.812051	0.410877	0.309758	0.122322	0	0	0	0	0	0	0	0	0	0	0.35072	0.60852	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.91059aa1-cc7c-4c6a-8c0d-23bf4bfa5cae.fc.signal	0	0	0	0	0	0.106943	0.399659	0.421661	0.135066	0.00963378	0.151819	0.359982	0.691241	0.578871	0.613427	0.878722	1.08512	0.757042	0.198726	0.0373887	0	0	0	0	0	0.2792	0.774401	1.21812	1.30554	0.84859	0.854181	0.970364	0.615082	0.321686	0.256219	0.20622	0.228139	0.416356	0.38485	0.357308	0.627977	0.537388	0.610794	1.30432	1.59981	1.14944	0.482985	0.252953	0.298729	0.915498	1.03387	1.1101	0.296418	0.204441	0.592595	0.502016	0.384115	0.0596714	0.850932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.f92b9e80-4bf7-4519-837e-1a5c78d2d2b2.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0.26945	2.06251	4.23982	2.26475	0.973599	3.66598	1.88115	0.496529	0.288158	0.88285	0	0	0	0	0	0	0	0.814712	3.06367	2.12441	1.41698	0.378498	1.69954	0.544594	0.963672	0.650638	2.10371	0.965808	0	0	0.36373	1.75568	2.3639	2.1927	1.45857	2.23106	0.0871615	0.296057	3.08652	2.57718	0.80908	0.859551	1.0305	1.97922	1.64198	0	0.336633	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.3c5cc6dc-a3c4-4ffa-bcf6-9a6cbcb9395f.fc.signal	0.587923	0.265802	0.176181	0.0196025	0	0	0	0	0	0	0	0.0016936	0.073872	0.0845199	0.0931813	0.175262	0.356023	0.467778	0.494886	0.40819	0.210032	0.010518	0	0	0	0	0	0.0105273	0.0860174	0.075011	0.124047	0.188961	0.179302	0.0989568	0.160041	0.306362	0.419238	0.297341	0.0835533	0	0.0175266	0.143375	0.297655	0.2118	0.328682	0.310864	0.255055	0.371391	0.504324	0.734523	0.87255	0.636105	0.365308	0.0941994	0.110737	0.34072	0.351418	0.356884	0.676856
