	chr8:1667243-1667392	chr8:1667393-1667482	chr8:1667483-1667542	chr8:1667543-1667692	chr8:1667693-1667782	chr8:1667783-1667842	chr8:1667843-1667992	chr8:1667993-1668142	chr8:1668143-1668252	chr8:1668253-1668292	chr8:1668293-1668442	chr8:1668443-1668592	chr8:1668593-1668742	chr8:1668743-1668892	chr8:1668893-1668942	chr8:1668943-1669042	chr8:1669043-1669142	chr8:1669143-1669192	chr8:1669193-1669292	chr8:1669293-1669342	chr8:1669343-1669442	chr8:1669443-1669492	chr8:1669493-1669642	chr8:1669643-1669792	chr8:1669793-1669862	chr8:1669863-1669942	chr8:1669943-1670012	chr8:1670013-1670092	chr8:1670093-1670242	chr8:1670243-1670392	chr8:1670393-1670432	chr8:1670433-1670542	chr8:1670543-1670692	chr8:1670693-1670842	chr8:1670843-1670882	chr8:1670883-1670992	chr8:1670993-1671142	chr8:1671143-1671182	chr8:1671183-1671292	chr8:1671293-1671442	chr8:1671443-1671592	chr8:1671593-1671672	chr8:1671673-1671742	chr8:1671743-1671892	chr8:1671893-1671962	chr8:1671963-1672042	chr8:1672043-1672192	chr8:1672193-1672284	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	0.326616	0.307451	0.29509	0.151027	0.49168	0.63216	0.217914	0.169516	0.58823	0.385405	0.15152	1.02042	0.732655	0.414145	0.280577	0.112837	0.36347	1.00022	1.16955	1.49203	1.03362	0.59423	0.591702	0.786358	0.74053	0.695376	0.826323	0.987766	0.648343	0.0896465	0.371394	0.991353	1.46038	0.678325	0.730358	0.673854	0.716448	0.695383	0.798829	1.21457	1.42902	0.526721	0.975004	1.49198	0.988807	0.313167	0.151462	0.226717	0.378378
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.4d89e710-5a41-461f-91a2-bc627bddca0a.fc.signal	0.887967	0.490904	0.027055	0.211777	0.098616	0.145877	0.603196	0.239634	0.158453	0.504792	1.43175	2.05326	1.29105	1.04308	0.634616	0.683409	0.651649	0.7189	1.05403	0.983266	0.879136	0.841972	0.683971	0.80944	0.357567	0.27889	0.371953	0.426551	0.827845	0.492809	0.187664	0.235876	0.429641	0.766826	0.347855	0.153897	1.07961	1.4582	1.48796	0.889016	0.896712	0.849362	0.748718	1.19011	0.676785	0.011173	0.805417	0.731046	0.380349
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.2cafda9b-dfc1-4231-8ed9-6249d923a6a9.fc.signal	0.852812	0.604317	0.418211	0.274919	0.357892	0.415889	0.561392	0.343663	0.615495	0.754896	0.990474	0.981302	0.746956	0.583292	0.55918	0.589271	0.583264	0.60046	0.587557	0.566062	0.549723	0.603871	0.548284	0.360169	0.17211	0.214001	0.1512	0.455972	0.551155	0.501256	0.440916	0.66632	1.14934	1.44011	1.2388	0.938508	0.703698	0.615058	0.591252	0.383687	0.406506	0.156844	0	0.0575903	0.0870279	0.289291	0.448133	0.18451	0.176923
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.66fe7e60-cc70-422a-8d7c-594c9a55eec8.fc.signal	0.603381	0.225561	0.440406	0.053844	0.376104	0.901762	0.517791	0.663679	0.325327	0.662797	0.914077	0	1.29529	0.496901	0.521633	0.587797	1.14883	1.75017	2.03734	1.49151	0.834034	1.74115	1.50703	1.87996	0.54485	0.17948	0.53203	0.62818	1.10992	0.861273	0.772826	0.334485	0.221368	0.765884	0.244438	1.05468	1.44796	0.8974	1.24838	0.652151	1.35831	0.614257	0.28845	0.413837	0.46152	0.53844	0.610232	0.160947	0.488372
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.d181cff2-e0ec-4d8f-83df-ad2768d9574c.fc.signal	0.25035	0.130359	0.302873	0.380393	0.123432	0.422168	0.313003	0.28198	0.788849	0.880106	0.523598	0.9171	0.56369	0.478797	0.216651	0.234069	0.493137	0.326774	0.419836	0.265549	0.0528174	0	0.171321	0.213377	0.15185	0.142914	0.361439	0.596348	0.728827	1.02514	1.16061	0.753128	0.917839	0.646398	0	0.0574382	0.194779	0	0	0.0535008	0.160082	0.162418	0.0665357	0.269161	1.414	0.870074	0.206288	0.0184078	0.666667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.517259	0.520577	0.424029	0.192142	0.215218	0.230309	0.304259	0.263913	0.178525	0.28148	0.547009	1.02718	1.39658	1.35084	1.18841	1.1895	0.741937	0.603958	0.475436	0.697188	0.682988	0.819558	0.771299	0.86321	0.962843	1.06439	0.999569	0.744037	0.515384	0.74821	1.0245	0.849517	0.427902	0.13561	0.12086	0.3305	0.520028	0.678782	0.576034	0.524614	0.342707	0.25584	0.226174	0.465067	0.614533	0.590132	0.299793	0.157643	0.118644
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7de26b70-374a-4d7c-b754-070af0779bd1.fc.signal	0.159778	0.540772	0.310272	0.249048	0.375822	0.628285	0.670305	0.632584	1.19249	1.66469	0.723546	0.226352	0.130929	0.519372	0.113176	0.216366	0.309569	0.33287	0.33287	0.0133148	0.526055	0.66591	0.115415	0.487411	0.771519	0.670191	0.451813	0.303744	0	0	0.214895	0.430619	0.427441	0	0.186754	0.34899	0.363956	0.33287	0.314713	0.0599166	0.459425	0.316227	0	0	0.309123	0.699197	0.827907	0.50663	0.743017
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.308283	0.481536	0.550387	0.657635	0.931022	1.18286	1.02374	0.444933	1.03077	1.34098	1.25974	1.92124	0.956767	0.843957	1.2719	1.77365	1.45289	0.690482	0.648134	0.947056	1.41814	1.34535	1.16057	0.662162	0.243033	0.132799	0.354045	0.607603	1.17847	1.54385	1.22177	1.07863	0.728184	1.23448	0.9775	0.814688	1.41704	1.51834	0.70815	0.808171	1.01398	0.4687	0.598761	0.845771	1.4185	1.18913	0.643089	0.195127	0.436768
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.73c26a8d-02d6-4ea5-b361-6e62367bb307.fc.signal	0.381407	0.00848889	0	0	0.0176298	0.0976225	0.157731	0.363011	0.518253	0.572504	0.559788	0.554945	0.415195	0.313494	0.227377	0.228362	0.219542	0.0299592	0	0	0.0246035	0.234762	0.46461	0.48142	0.275978	0.0198094	0	0	0	0.0877536	0.217896	0.201535	0.149543	0.0701311	0.084685	0.13572	0.185533	0.268741	0.279818	0.194086	0.0606175	0	0	0.0764301	0.170013	0.290837	0.410742	0.316122	0.189655
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.f006c884-d6f7-470d-8586-314761e38a9f.fc.signal	0.445478	0.612793	0.293607	0.512856	0.973538	2.02183	1.82443	1.33944	0.958048	0.794146	0.225634	0.692583	1.28082	1.85999	0.78615	0.201929	0.48227	0.686284	0.373766	0.660751	0.883173	1.18056	1.02993	1.46071	1.24707	1.07615	1.21574	1.48976	1.17301	1.31358	0.954526	0.784223	1.0986	1.13936	0.217024	0.434164	1.29982	1.05304	0.880858	1.01808	1.48354	1.4507	1.76133	1.8465	1.32698	0.956965	0.363753	0.314867	0.370871
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.2da68f5f-3fe3-4c64-8403-feb46554ae0b.fc.signal	1.06075	0.980722	0.762634	0.655154	0.589816	0.50908	0.354659	0.625363	0.356019	0.633706	0.522161	1.34442	2.70133	2.29289	1.1902	0.972811	0.73958	0.662911	1.08665	0.984994	1.55944	1.40068	1.63957	1.42536	1.5902	1.14599	0.676189	0.547563	1.05026	1.61785	1.11551	0.557359	0.344382	0.199622	0.354406	0.533708	0.541269	0.418439	0.918652	1.29846	1.21521	0.787764	0.346808	0.921177	1.15001	0.847981	1.00966	0.873062	0.236152
