	chr11:15239067-15239136	chr11:15239137-15239216	chr11:15239217-15239306	chr11:15239307-15239366	chr11:15239367-15239436	chr11:15239437-15239516	chr11:15239517-15239666	chr11:15239667-15239816	chr11:15239817-15239966	chr11:15239967-15240016	chr11:15240017-15240116	chr11:15240117-15240266	chr11:15240267-15240416	chr11:15240417-15240566	chr11:15240567-15240616	chr11:15240617-15240716	chr11:15240717-15240766	chr11:15240767-15240866	chr11:15240867-15241016	chr11:15241017-15241166	chr11:15241167-15241316	chr11:15241317-15241466	chr11:15241467-15241506	chr11:15241507-15241616	chr11:15241617-15241646	chr11:15241647-15241706	chr11:15241707-15241756	chr11:15241757-15241766	chr11:15241767-15241876	chr11:15241877-15241916	chr11:15241917-15241946	chr11:15241947-15242066	chr11:15242067-15242106	chr11:15242107-15242216	chr11:15242217-15242366	chr11:15242367-15242516	chr11:15242517-15242666	chr11:15242667-15242816	chr11:15242817-15242966	chr11:15242967-15243116	chr11:15243117-15243266	chr11:15243267-15243416	chr11:15243417-15243566	chr11:15243567-15243666	chr11:15243667-15243716	chr11:15243717-15243736	chr11:15243737-15243766	chr11:15243767-15243866	chr11:15243867-15244016	chr11:15244017-15244145	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	1.90576	2.40612	2.69328	2.00872	2.02184	0.552249	0.666826	1.55575	1.88818	1.69095	1.40893	0.789372	1.64467	2.433	2.29962	1.65803	1.47657	1.61934	2.54087	2.13608	1.41087	2.28537	1.80524	0.696941	0	0	0	0	0	0	0	0	0	0.148644	0.366564	0.897011	1.05642	0.587731	1.10178	0.848623	0.458427	0.536243	0.585371	0.698434	0.685951	0.644205	0.674321	0.274435	0	0.0138557	0.621359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	2.10396	2.26573	2.22805	1.5902	0.643465	0.976566	4.2701	5.74371	5.45512	3.54332	1.28183	1.20203	3.79953	4.05326	2.20692	1.02539	1.56507	3.97002	3.4962	1.99871	1.58201	2.66431	3.42506	2.20174	1.12783	0.493476	0.0817058	0	0.312285	1.47233	2.24315	2.42933	3.09315	3.34617	1.49747	1.49554	2.81058	2.129	2.84532	2.87812	3.46363	4.04782	3.04854	1.37828	0.840156	0.934656	1.15817	1.01637	0.499433	1.25246	0.448922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	0.335783	0.384387	0.297184	0.190903	0.139628	0.427788	0.488142	0.198684	0.454265	0.657539	0.745424	0.712011	0.788936	0.63451	0.539913	0.353413	0.290026	0.534614	0.659054	0.350614	0.495827	0.59084	0.530684	0.614372	0.648454	0.592281	0.401367	0.250557	0.342031	0.521717	0.595947	0.585909	0.785976	0.950926	0.795141	0.252911	0.332281	0.286745	0.224994	0.139841	0.452473	0.385152	0.240333	0.145309	0.218544	0.166457	0.149932	0.225389	0.284759	0.163593	0.380952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.7fc89be2-980d-4ea6-a09b-d10627d38b89.fc.signal	3.55333	1.74865	0.115142	0	0.197504	0.84688	0.106086	0	0	0.61807	2.80934	0.269394	0	0.691675	2.18432	0.382216	0.764447	2.6539	1.1139	0.728027	1.15761	0.792211	0.109204	0	0	0	0	0.764428	1.07218	0	0	0.801044	0.109204	0.0794211	1.77654	0.78441	1.18384	0.694456	0.053043	0.321694	0.290321	0.303845	1.71619	0.23353	0.40666	0.386327	0	0	0.240249	0.694165	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.92d75341-e28f-4aef-b49f-71fb4ab25e3c.fc.signal	0.256181	0	0	0.229096	0.649778	2.03369	2.15939	1.04307	0.281264	0	0	0.302159	0.375697	0	0	0	0	0.484155	0.340244	0	0	0.0739624	0.42564	0.432466	0.430519	0	0	0	0	0	0	0.319452	0.398623	0.176549	0	0	0	0	0.280369	0.16586	0	0	0.284116	0.45223	0.0728528	0	0	0	0.55132	0.750996	0.198276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.8ac062ee-be78-42a9-ad2f-ffd51a54aa32.fc.signal	1.04623	1.65026	0.791407	0.538134	0.0829324	0.259724	0.326434	0.577015	1.37489	0.732189	0.343872	0.283386	0.909862	1.65808	1.63624	1.12313	0.499059	0.521119	0.784258	0.444121	0.0873393	1.06879	0.662826	0.313035	0	0	0	0	0	0	0	0	0	0.314475	0.288602	0.366169	0.895287	0.0560955	0.204283	0.697034	0.751511	0.81212	2.21656	1.50649	0.537177	0.06429	0	0	0	0.00498372	0.298496
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.eabfbabf-0398-4a54-beef-06d14e082ca4.fc.signal	4.38782	2.03189	1.44898	1.01432	0.188065	0	0.225325	0.238284	0.988048	0.781067	0.191579	1.15264	2.68267	2.74453	2.13624	0.966193	0.714268	0.636302	0.801367	0.0798841	0.0692773	0.491728	0.311942	0.123246	0	0	0	0	0	0	0	0	0	0	0.542884	0.756851	1.62223	1.08554	1.35958	0.603026	1.66266	1.35315	1.14597	2.15251	0.920619	0.0646335	0.028726	0.782123	0.476491	0	0.273649
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000001.4.8f91a2fb-7003-480a-b893-926d784b78c7.fc.signal	1.0125	2.07558	2.6525	2.04858	0.988044	0.531553	0.710992	0.23921	0	0.135448	1.32941	2.51543	1.3574	0.568841	0.794806	0.985404	1.27326	2.40216	3.11964	1.92184	1.56397	1.21111	1.24554	0.724376	0.267648	0.25092	0.0050184	0	0	0	0	0.18819	0.639846	1.84083	2.4222	2.44562	2.36198	1.13583	2.004	3.0495	2.58279	1.64937	1.02041	0.148043	0	0	0	0	0.316159	0.801387	0.142857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.29b8d050-beec-45b5-afda-a75534d88bfc.fc.signal	1.72319	1.99753	1.78372	1.76164	0.891993	0.619922	1.08134	0.695362	1.27163	1.14675	0.356256	0.437463	1.70011	1.63185	0.641311	0.163442	0.275802	0.203287	0.811504	1.23873	0.933535	1.15199	0.571975	0.37277	0.225342	0.348071	0.788838	0.84524	0.553877	0.239215	0.489869	0.704156	0.637244	0.878952	0.81571	1.4274	1.52057	0.957053	1.50153	1.37999	0.993797	0.635224	0.718626	0.269092	0.204845	0.348636	0.43576	0.717885	0.42989	1.21457	0.406852
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.3c5cc6dc-a3c4-4ffa-bcf6-9a6cbcb9395f.fc.signal	0.490753	0.550998	0.391973	0.274974	0.133428	0.298278	0.751513	1.0616	1.25799	0.794368	0.295753	0.302122	0.393956	0.367691	0.564601	0.766276	0.610564	0.68954	0.475134	0.0888593	0.762719	1.35491	0.603726	0.761669	0.55675	0.562206	0.571413	0.28685	0.115003	0.547323	0.86421	1.11381	1.20983	0.897913	0.347534	0.305741	0.490561	0.238456	0.808354	1.31898	0.787188	1.97094	1.48256	0.513303	0.28811	0.230488	0	0	0	0	0.373832
