	chr9:124019319-124019468	chr9:124019469-124019618	chr9:124019619-124019718	chr9:124019719-124019768	chr9:124019769-124019848	chr9:124019849-124019918	chr9:124019919-124020008	chr9:124020009-124020068	chr9:124020069-124020218	chr9:124020219-124020308	chr9:124020309-124020368	chr9:124020369-124020518	chr9:124020519-124020668	chr9:124020669-124020818	chr9:124020819-124020968	chr9:124020969-124021118	chr9:124021119-124021268	chr9:124021269-124021328	chr9:124021329-124021418	chr9:124021419-124021448	chr9:124021449-124021568	chr9:124021569-124021648	chr9:124021649-124021718	chr9:124021719-124021868	chr9:124021869-124021898	chr9:124021899-124022018	chr9:124022019-124022078	chr9:124022079-124022168	chr9:124022169-124022318	chr9:124022319-124022468	chr9:124022469-124022618	chr9:124022619-124022768	chr9:124022769-124022918	chr9:124022919-124023068	chr9:124023069-124023218	chr9:124023219-124023248	chr9:124023249-124023368	chr9:124023369-124023518	chr9:124023519-124023668	chr9:124023669-124023818	chr9:124023819-124023968	chr9:124023969-124024118	chr9:124024119-124024268	chr9:124024269-124024367	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	1.26651	0.613195	0.362085	0.289191	0.874529	1.87856	2.3005	1.79126	1.06863	0.480412	0.462468	0.401666	0.398985	0.760623	0.682492	1.39599	2.08557	2.15195	1.53133	0.611175	0.242391	1.20912	1.78835	1.40211	1.12475	1.49451	1.53462	1.7838	2.30687	3.18207	2.76484	1.89206	1.2214	1.94337	2.37746	2.25484	0.790477	0.626292	2.23182	2.37285	1.97746	1.31228	1.62047	2.49061	0.451396
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	0.185244	0.593017	0.577231	0.419171	0.39119	0.695367	0.870408	0.872926	0.685201	0.729218	1.00686	0.611962	0.603313	1.44245	1.29044	1.27199	0.861735	1.11999	1.39735	1.47353	1.43547	1.60972	1.97907	1.79855	1.41708	1.0345	1.4024	1.47575	1.70097	1.80962	0.945802	0.932403	0.948823	0.633715	0.923696	1.13172	0.843631	0.956184	1.12251	1.00236	1.14104	1.86196	1.45039	1.06177	0.167266
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.4d89e710-5a41-461f-91a2-bc627bddca0a.fc.signal	0.288668	0.236783	0.260015	0.652341	0.987128	0.730052	0.497474	0.373074	0.451946	0.876922	0.780203	0.74837	0.753708	0.605291	1.47138	0.711473	0.952056	0.733596	0.351443	0.126635	0.124264	0.419819	0.483132	0.528636	0.761035	0.457999	0.488561	0.732247	0.768844	1.16274	1.38331	0.611802	0.567174	0.979306	1.31507	0.774872	0.482052	0.371728	0.677248	0.584789	1.86226	1.54455	1.13524	1.54809	0.365613
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.728096	0.460076	0.351285	0.797178	0.87528	1.23778	0.850305	0.805587	0.718466	0.583465	0.502429	0.352223	0.903318	0.817953	1.02502	1.44596	1.25099	0.926078	0.891633	0.856118	1.1119	1.55213	1.53131	1.10735	0.63429	0.661826	0.737207	0.512232	0.807681	1.45512	1.17056	1.2103	1.56755	1.2106	1.19574	1.01215	0.635159	1.02852	0.914976	1.11397	1.16562	1.18329	0.541225	1.0706	0.0348432
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.8ee3bcc0-0a54-4209-87cf-967cca7d6071.fc.signal	0.331134	0.0627289	0.0862123	0.204516	0.343601	0.365446	0.269032	0.0801748	0.324403	0.595776	0.54782	0.268004	0.0172548	0.198594	0.451382	0.498889	0.336174	0.303162	0.452927	0.503535	0.412126	0.324134	0.40397	0.431466	0.258172	0.225779	0.178715	0.13135	0.354493	0.820586	0.551608	0.515901	0.621156	0.471509	0.240695	0.245115	0.474933	0.591836	0.597464	0.901667	0.825051	0.957597	0.688346	0.338869	0.475128
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.1ec30665-e127-479e-9308-683342038ede.fc.signal	2.47678	1.68669	1.02251	1.65794	1.86935	2.08458	1.51653	1.24356	1.75984	1.25328	1.15525	1.65104	1.94355	2.57137	2.92451	2.02264	2.45681	2.702	2.91779	2.27993	1.66248	1.86214	1.75163	1.81389	1.91255	1.91561	1.72985	1.92634	3.44661	3.08447	2.41075	2.08981	1.79241	1.60795	1.66375	1.16892	1.73617	2.26164	3.18915	2.17008	2.70756	1.21667	1.82227	1.53086	0.359584
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.66fe7e60-cc70-422a-8d7c-594c9a55eec8.fc.signal	0.367934	0.545932	0.592284	0	0	0.01923	0.370991	0.317503	0.313872	0.358282	1.09203	2.73332	0.83542	0.552189	1.06138	1.70451	1.6211	0.381011	1.77579	1.75017	0.685733	0.832105	1.31563	1.54076	1.33138	2.75239	1.66043	0.957312	1.59469	2.37541	1.3642	1.13384	0.646179	1.41632	0.960943	1.1518	1.32868	1.68626	1.85341	1.32936	1.01035	2.1328	1.29948	2.61113	0.349765
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.58ebbf7c-ff66-46f2-b210-b717cb3c6af7.fc.signal	0.925248	1.11246	0.481927	0.515239	0.627097	0.613927	0.907431	1.34408	0.596403	0.519828	0.628298	0.360667	0.584701	0.404241	0.287497	0.536108	0.492245	0.765782	0.702203	0.416466	0.604001	0.958777	0.727743	0.250442	0	0.0163587	0.49627	0.790378	0.500592	0.25882	0.160107	0.134052	0.04294	0.50242	0.778054	0.674385	0.699957	1.25887	1.50711	0.49579	0.674504	0.971768	0.799189	0.511208	0.611111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f32467cb-d7e9-4f5b-9c6b-68e4e838bc49.fc.signal	0.559821	0.0762385	0.196052	0.868415	1.4151	1.8271	2.24665	1.93307	1.38736	0.831754	1.09892	1.7412	1.43097	0.980546	0.998187	1.36706	1.32804	1.54491	2.11299	1.77283	1.06041	0.534156	1.0873	1.66673	1.92617	2.10883	2.44547	2.5694	2.03609	1.15444	1.08575	1.78114	2.165	2.19081	1.73241	1.51351	1.45771	1.90071	1.5928	1.94249	2.2108	1.92294	1.7825	1.70056	0.494091
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.291527	0.137314	0.344395	1.39252	1.80652	2.22325	2.17992	1.24725	0.809289	0.467212	0.824144	1.39916	1.40264	1.36228	2.06112	2.16003	2.38171	3.31941	3.59211	3.25637	2.62015	1.68585	1.88009	2.03227	2.18774	2.22552	2.089	2.13505	1.75413	1.49608	3.19211	4.17552	3.43483	2.90923	2.16277	1.24288	0.845666	1.24411	1.36901	1.2082	2.58459	2.10078	1.31465	2.26887	0.183301
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001964.2.c9581d4d-c873-4911-9ee7-7d9f4821621a.fc.signal	0.64629	0.448502	0.388849	0.39015	0.17556	0	0	0	0	0.0975033	0.498057	0.958689	0.464051	0.447651	0.282379	0.232576	0.527391	0.54036	0.471223	0.383744	0.286936	0.335682	0.230339	0.123117	0.26004	0.339189	0.392314	0.417616	0.368	0.702282	0.289569	0.0763253	0.200272	0.625154	0.660704	0.823657	0.834876	1.00134	1.23361	0.68421	0.38294	0.513412	0.789566	1.68979	0.525547
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.e1f8eaf0-5c3e-4eb2-b864-0330dfef44b8.fc.signal	0.0422256	0	0	0	0.0255713	0.83989	2.41735	2.02336	0.288352	0.343328	0.398023	0.174877	0.730093	0.0303072	0.226556	0.298296	0.395848	1.03996	1.19798	1.19382	0.612094	0.177591	0.549347	0.947272	0.58139	0.849186	1.14444	0.851135	0.912139	0.996154	0.447733	0.30603	1.06922	1.01479	0.742065	0.328776	0.402178	0.53858	0.845958	0.887799	0.76195	0.394053	2.69683	1.01843	0.304878
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.156826	0.34206	0.422013	0.70242	1.13672	1.48583	1.19777	1.31676	1.61637	1.09313	0.579136	1.13087	1.60856	0.862064	0.487825	0.800359	1.5947	1.85947	1.1777	0.369454	1.09135	2.00119	1.60641	1.27244	1.63358	2.35291	2.33702	2.04808	0.999726	0.912987	2.04031	1.18532	1.61262	2.48439	1.40561	1.25441	0.787951	0.83866	1.7551	2.23523	1.99068	1.5155	1.48044	1.63198	0.379155
