	chr1:39080863-39081012	chr1:39081013-39081132	chr1:39081133-39081162	chr1:39081163-39081242	chr1:39081243-39081312	chr1:39081313-39081382	chr1:39081383-39081462	chr1:39081463-39081612	chr1:39081613-39081762	chr1:39081763-39081912	chr1:39081913-39081972	chr1:39081973-39082062	chr1:39082063-39082212	chr1:39082213-39082272	chr1:39082273-39082362	chr1:39082363-39082472	chr1:39082473-39082512	chr1:39082513-39082662	chr1:39082663-39082712	chr1:39082713-39082812	chr1:39082813-39082962	chr1:39082963-39083112	chr1:39083113-39083152	chr1:39083153-39083262	chr1:39083263-39083382	chr1:39083383-39083412	chr1:39083413-39083562	chr1:39083563-39083712	chr1:39083713-39083862	chr1:39083863-39084012	chr1:39084013-39084162	chr1:39084163-39084312	chr1:39084313-39084462	chr1:39084463-39084552	chr1:39084553-39084612	chr1:39084613-39084662	chr1:39084663-39084762	chr1:39084763-39084842	chr1:39084843-39084912	chr1:39084913-39084972	chr1:39084973-39085062	chr1:39085063-39085212	chr1:39085213-39085252	chr1:39085253-39085362	chr1:39085363-39085452	chr1:39085453-39085512	chr1:39085513-39085662	chr1:39085663-39085812	chr1:39085813-39085917	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	0.660643	0.774987	0.406585	0.53117	0.0168623	0	0	0	0	0	0	0	0	0.287291	0.524612	0.508673	0.51363	0.682748	1.26445	1.42526	2.64902	2.17899	1.26445	1.05174	1.50148	2.2127	2.06519	1.26019	0.935025	0.923758	2.73038	3.45818	2.34334	1.23283	1.39085	1.39297	2.40092	2.121	1.16708	1.62013	2.46918	3.774	3.34956	2.24969	1.289	0.716448	0.541552	2.32752	2.40212	0.502439
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	0.372308	0.261765	0.12583	0.0613421	0	0.075498	0.12583	0.176106	0.2247	0.0301992	0.215908	0.25152	0.0679351	0	0.116043	0.12583	0.062915	0.255773	0.442709	0.538838	0.227838	0.0821921	0.25152	0.217241	0.284056	0.37735	0.295907	0.303935	0.279106	1.12695	1.02378	0.632224	0.265816	0.375932	0.723207	1.07156	1.67654	1.37095	0.880407	0.645617	1.20881	1.54196	0.823816	0.466509	0.570152	0.867839	1.58476	2.4509	1.75842	0.5875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.4d89e710-5a41-461f-91a2-bc627bddca0a.fc.signal	0.472252	0	0	0	0	0	0.518883	0.912211	0.51792	0.295291	0	0.156422	0.0636889	0.106674	0.353009	0.337314	0.16233	0.250453	0.621502	0.916027	1.60737	2.29379	2.46934	2.34554	1.32187	1.23663	1.10648	0.974061	0.40375	0.627604	0.91309	3.26137	4.10418	2.77604	1.60158	1.91109	2.27975	1.49299	1.36173	1.64666	1.8966	1.54462	1.70463	2.08938	2.46863	1.95465	1.97401	0.551223	0.871862	0.441176
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.66fe7e60-cc70-422a-8d7c-594c9a55eec8.fc.signal	0.311102	0	0	0	0	0	0	0	0	0	0	0	0.329047	0.0149567	0.887429	0.610121	1.67061	1.12448	0.895865	0.279843	1.79617	0.618494	0.710638	0.948862	0.901312	0.85127	1.43098	1.36874	1.65156	0.379858	1.41638	1.98706	2.11959	1.90543	2.18391	0.951321	1.13734	0.536256	1.23381	2.34096	2.43839	2.22754	3.54286	2.93721	0.235093	1.76701	1.44672	1.80836	1.53541	0.340237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001236.5.dd479f7b-7d31-4292-a54c-bd7a49572346.fc.signal	0.992979	1.77333	0.598234	0.17968	0	0.009972	0.312726	0.0944509	0.577773	0.61982	1.21356	1.6612	0.139368	0.044089	0.340682	0.299706	0.434969	0.676002	0.551603	0.28954	0.393748	1.24754	1.07909	0.857947	0.596616	0.310248	0.479826	1.33325	1.51679	0.0604429	0.748466	3.37425	3.96553	2.78646	0.986989	1.08722	0.761252	0.198016	0.625376	1.30521	2.15539	2.87193	3.84184	2.98393	2.20958	1.38666	0.531324	0.537369	1.34342	0.628099
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.575232	0.0102647	0	0	0	0	0	0	0	0	0	0.184566	0.23833	0.133442	0.134297	0.467645	0.60921	0.704333	0.859786	0.88907	1.42123	1.01044	0.858262	1.00139	0.871252	1.0891	1.30614	1.54336	1.46301	1.43034	1.15156	2.58506	2.40955	1.95424	1.75112	2.80109	2.3715	2.33816	1.82952	2.0321	1.97617	1.87685	1.66081	1.67569	1.14053	0.689712	1.1036	1.76974	1.72217	0.359712
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.0eee2def-7060-4652-bac9-21261028455b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42214	1.37046	1.56266	0.974857	1.70765	1.97993	0.928579	0.584368	0.650203	0.690878	0.362011	0.335887	1.26382	2.06246	0.865089	0.951526	0.98149	0.618158	0.448024	0.738579	0.4896	0.123532	0.391182	0.634243	0.774781	0.641309	0.741403	0.565751	0.271572	1.06709	2.27528	2.66145	1.6265	1.51272	0.924785	0.738222	0.486486
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.f006c884-d6f7-470d-8586-314761e38a9f.fc.signal	0.0753253	0	0	0	0	0	0	0	0	0	0	0.0408012	0.657115	0.776653	0.799828	0.832433	0.738936	0.627743	0.607724	0.842643	0.59878	0.951003	1.15423	0.91215	0.79748	0.687246	0.457699	0.419064	1.18557	1.06727	1.17671	1.69946	2.31957	2.01796	0.888168	1.02231	1.72248	1.41144	0.907189	0.892264	1.61758	1.51658	2.09035	1.74499	1.10127	1.29451	2.14173	2.40076	1.97965	0.520231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.2da68f5f-3fe3-4c64-8403-feb46554ae0b.fc.signal	0.154436	0.017169	0.209893	0.27831	0.250479	0	0	0	0.0705052	0.272744	0	0	0.291302	0.950903	0.96791	0.533856	0.271352	0.392157	0.955867	1.46393	2.33981	1.24449	1.53072	1.39409	1.49129	1.22457	1.50103	1.79792	1.98537	1.33033	1.09262	1.89142	2.85181	2.48798	1.07026	1.18125	1.77989	2.94678	2.11924	1.57247	2.00392	2.54272	2.27535	3.63592	3.07705	1.91112	1.96379	3.15249	3.79315	0.463014
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.5cbd3cd5-dc33-49dc-ae71-41bb3114f33a.fc.signal	0.221968	0	0	0	0	0	0	0	0	0	0	0	0.257192	1.00115	0.71167	0.693137	1.05705	0.715254	0.681766	1.62251	1.15086	0.313226	0.620971	1.58313	1.72647	1.29482	1.42144	0.716508	1.59925	0.965387	0.50425	1.47365	1.46046	1.58262	1.45781	1.45867	2.44175	2.48074	1.54023	1.13084	1.05919	1.00672	1.18671	2.45135	2.40594	1.54537	1.07589	0.993591	1.44962	0.377551
