	chr9:9412252-9412351	chr9:9412352-9412381	chr9:9412382-9412401	chr9:9412402-9412471	chr9:9412472-9412551	chr9:9412552-9412621	chr9:9412622-9412701	chr9:9412702-9412811	chr9:9412812-9412851	chr9:9412852-9412931	chr9:9412932-9413001	chr9:9413002-9413041	chr9:9413042-9413151	chr9:9413152-9413201	chr9:9413202-9413301	chr9:9413302-9413401	chr9:9413402-9413451	chr9:9413452-9413491	chr9:9413492-9413551	chr9:9413552-9413601	chr9:9413602-9413651	chr9:9413652-9413751	chr9:9413752-9413801	chr9:9413802-9413901	chr9:9413902-9414051	chr9:9414052-9414181	chr9:9414182-9414201	chr9:9414202-9414241	chr9:9414242-9414271	chr9:9414272-9414331	chr9:9414332-9414351	chr9:9414352-9414441	chr9:9414442-9414501	chr9:9414502-9414651	chr9:9414652-9414801	chr9:9414802-9414891	chr9:9414892-9414951	chr9:9414952-9415021	chr9:9415022-9415101	chr9:9415102-9415251	chr9:9415252-9415321	chr9:9415322-9415401	chr9:9415402-9415481	chr9:9415482-9415551	chr9:9415552-9415581	chr9:9415582-9415701	chr9:9415702-9415741	chr9:9415742-9415851	chr9:9415852-9416001	chr9:9416002-9416051	chr9:9416052-9416101	chr9:9416102-9416151	chr9:9416152-9416301	chr9:9416302-9416451	chr9:9416452-9416511	chr9:9416512-9416601	chr9:9416602-9416751	chr9:9416752-9416901	chr9:9416902-9416951	chr9:9416952-9417051	chr9:9417052-9417091	chr9:9417092-9417131	chr9:9417132-9417201	chr9:9417202-9417323	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	0.300969	0.377725	0.35412	0.440989	0.767327	0.68259	0.678283	0.848683	1.0723	0.806306	0.593037	0.275432	0.254969	0.057014	0.0670848	0.279386	0.459948	0.353482	0.236372	0.236086	0.247884	0.447391	0.79516	0.625636	0.451828	0.862944	1.19974	1.11177	0.777144	0.546961	0.84993	0.565459	0.662624	0.213887	0.506362	0.200373	0.255746	0.370868	0.872979	1.49426	1.84339	1.42411	0.692312	0.638731	0.585005	0.956035	0.41128	0.0841255	0.38377	0.533821	0.717143	0.421991	0.505438	0.445301	0.104921	0.615984	0.962607	0.849646	1.06948	1.22546	1.45414	1.38714	0.320409	0.0907246	0.405612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.4d89e710-5a41-461f-91a2-bc627bddca0a.fc.signal	0.647131	0.621706	0.413421	1.15585	1.36657	0.986533	0.408704	0.836033	1.14414	0.577901	0.333613	0.22371	0.369584	0.462691	0.475404	0.450966	0.50501	0.424565	0.562813	0.69571	0.598312	0.355549	0.22346	0.0312844	0.509177	1.31601	0.88123	0.83485	1.32194	1.50365	1.62051	1.40046	0.435738	0.445455	0.744656	0.590101	0.731004	0.459718	0.291444	0.232908	0.522373	0.641158	0.782676	0.702006	0.69571	0.956629	0.603332	0.224188	0.426704	0.453854	0.817854	0.89383	0.769173	0.71428	1.21758	1.83218	1.27403	1.1055	0.40815	0.228739	0.636851	0.754167	0.836369	0.437316	0.372576
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.66fe7e60-cc70-422a-8d7c-594c9a55eec8.fc.signal	0.770582	1.24921	1.12069	1.94892	0.950584	0.0660103	0	0.836274	1.54539	1.84497	1.56724	0.0948925	0	0	0	0.169464	0.542389	0.765232	0.662057	0.332674	0.374187	0.325676	0.606395	0.221314	0.310565	0.823735	1.23247	1.64001	1.93415	1.0287	0.69806	1.16996	0.586132	0.0394997	0.385409	0.108097	0.536852	0.35576	0.246846	0.0540433	0	0.470186	0.34507	0.159891	0.32429	0.142175	0.517461	0.846506	0.462301	0.102048	0	0	0.95768	0.504035	0.905125	0.468862	0.0593374	0.981889	0.47508	0.468471	0.633823	0.595212	0.127603	0	0.354111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.d181cff2-e0ec-4d8f-83df-ad2768d9574c.fc.signal	1.14605	0.707688	0.245008	0.239133	1.0487	0.996149	0.126932	0.13962	0.4955	0.452128	0.042456	0	0	0	0	0	0	0	0.211759	0.321068	0.383247	0.0958209	0	0	0.0790761	0.421195	0.92947	0.980591	0.885418	0.712296	0.153437	0	0.550968	0.939201	0.940235	0.571732	0.5674	0.802199	0.297065	0.0436103	0.575886	0.872193	0.565849	0.157079	0	0	0	0	0.0324393	0.312914	0.310922	0.184854	0.279732	0.0418761	0.225291	0.51414	0.43461	0	0.0099064	0.328847	0.804678	0.605341	0.549313	0.392449	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.919454	1.00764	1.00764	1.00764	0.415611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332501	0.50382	0.459727	0.144819	0	0	0	0	0.0114482	0.25186	0.352644	0.50382	0.302252	0.243465	0	0.302285	0.50382	0.466871	0	0	0	0	0	0	0	0.118721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7de26b70-374a-4d7c-b754-070af0779bd1.fc.signal	0.667895	0.652132	1.06196	1.39623	1.20825	0.600528	1.22533	1.63329	0.511398	0.209951	0.0721763	0.297507	0.550249	0.297936	0	0.005984	0.450492	0.662908	1.37693	1.11023	0.81358	0.414436	0.853095	1.35964	1.07607	1.69151	1.3035	0.906251	0.617827	0.280288	0.0761	0.310249	0.596684	0.760763	0.957172	1.28982	0.220316	0.255984	0.415471	0.410525	0.348819	0.584878	0.358323	0.106173	0.531939	1.38394	1.02338	0.255318	0.755357	1.19966	1.21615	0.634146	1.28951	1.07875	0.739117	0.562702	1.01892	0.144023	0.227281	0.68153	0.890722	0.638815	1.15666	1.88791	0.538889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.197834	0.182196	0.23095	0.343069	1.06933	0.99858	1.06676	0.661108	1.3162	1.25561	1.13242	0.837069	0.400503	0.27231	0.0708006	0	0	0	0	0.050809	0.246312	0.411787	0.681033	0.481077	0.915045	0.727308	0.966559	1.0006	0.81679	0.880329	1.27837	0.974481	0.984714	0.722389	0.464407	0.133419	0.02444	0.344453	0.476214	1.03816	1.51088	1.22002	0.92367	0.655681	0.2444	0.0421288	0	0.555103	1.21742	0.997575	0.98219	1.06686	0.847482	1.11154	1.19524	1.23735	0.956678	0.724627	1.32116	0.972892	0.386784	0.0654373	0	0	0.359799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.5aafa779-b4bd-44a8-aed7-d566d5881bee.fc.signal	0.255783	0.380031	0.517979	0.490743	0.528675	0.516734	0.271481	0.385497	0.645505	1.05549	1.24414	1.12349	0.537899	0	0	0.0998911	0.311822	0.642314	0.675056	0.549464	0.549978	0.3424	0.320077	0.182098	0.371434	0.814434	1.01461	0.880841	1.05743	0.956253	0.58708	0.788217	1.1988	1.50886	0.750813	0.820615	0.812174	0.413059	0.39964	0.761173	1.10809	0.781474	0.306235	0.0150594	0	0.141901	0.39497	0.494572	0.451103	0.711608	0.792451	0.581219	0.318365	0.667404	1.01679	1.00686	0.471306	0.202437	0.226404	0.245113	0.363177	0.37931	0.386831	0.429387	0.223022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.f006c884-d6f7-470d-8586-314761e38a9f.fc.signal	0.539368	1.03567	1.37402	1.20919	1.40209	1.01177	0.711047	0.871071	0.488329	0.286355	0	0.027135	0.175587	0.260072	0.141718	0.923083	1.29166	1.35249	0.934057	0.439605	0.529832	0.315249	0.372932	0.53247	0.413163	0.387574	0.24119	0.24119	0.24119	0.104514	0.16481	0.183123	0.129302	0.0794611	0.215397	0.337608	1.08271	1.34787	1.15799	1.02514	0.726324	1.0259	1.12534	0.765324	0.600193	0.216126	0.169373	0.197617	0.330473	0.277767	0.201065	0.148427	0.510246	0.226085	0.28247	0.229115	0.148768	0.228091	0.231542	0.225476	0.331559	0.24119	0.510504	0.407436	0.351351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.2da68f5f-3fe3-4c64-8403-feb46554ae0b.fc.signal	0.104169	0.493813	0.4415	0.647538	1.4076	1.52324	0.80437	0.708842	0.80794	0.601861	0.197961	0.277384	0.246384	0	0	0	0	0	0.0694917	0.27183	0.495177	0.384237	0.200556	0	0.0304097	0.934351	1.09536	0.947801	0.523657	0.146299	0.275027	0.277988	0.245914	0.249787	0.336102	0.445515	0.643842	1.03074	0.540731	0.399307	0.795181	1.01584	1.36433	0.87787	0.58864	0.680617	0.55663	0.508555	1.9891	2.03731	0.784844	0.55663	0.460143	0.800798	1.07938	0.601737	0.252783	0.346301	0.465628	0.54245	0.364229	0.533462	0.22357	0.289447	0.503683
