	chr9:136419476-136419625	chr9:136419626-136419775	chr9:136419776-136419925	chr9:136419926-136420075	chr9:136420076-136420225	chr9:136420226-136420375	chr9:136420376-136420445	chr9:136420446-136420525	chr9:136420526-136420675	chr9:136420676-136420825	chr9:136420826-136420975	chr9:136420976-136421125	chr9:136421126-136421275	chr9:136421276-136421425	chr9:136421426-136421575	chr9:136421576-136421725	chr9:136421726-136421875	chr9:136421876-136422025	chr9:136422026-136422175	chr9:136422176-136422325	chr9:136422326-136422475	chr9:136422476-136422625	chr9:136422626-136422775	chr9:136422776-136422925	chr9:136422926-136423075	chr9:136423076-136423225	chr9:136423226-136423375	chr9:136423376-136423525	chr9:136423526-136423675	chr9:136423676-136423825	chr9:136423826-136423975	chr9:136423976-136424125	chr9:136424126-136424275	chr9:136424276-136424425	chr9:136424426-136424575	chr9:136424576-136424725	chr9:136424726-136424875	chr9:136424876-136425025	chr9:136425026-136425175	chr9:136425176-136425325	chr9:136425326-136425475	chr9:136425476-136425595	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	1.262	1.49753	1.46542	0.697462	0.484984	0.669909	0.851111	1.05612	0.912912	0.318517	0.450454	1.6381	1.47086	0.499105	0.638404	1.65295	1.74063	1.81426	1.67684	1.57981	1.41046	1.6188	1.41191	1.38991	2.15217	1.57289	1.88505	2.06871	1.72705	1.55147	1.46219	1.16653	1.21919	1.23785	1.59545	1.4385	1.53737	1.81343	1.82929	1.44401	1.66801	1.7131	0.47931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	12.2623	7.71495	5.20701	4.45374	4.30965	2.4512	2.62365	5.48237	10.7718	8.22975	9.69636	15.0294	19.0179	13.8805	4.53448	5.53671	10.886	18.7775	19.0274	12.8288	9.2513	13.382	11.3605	9.34037	12.1627	14.8778	12.3483	10.4548	15.3083	12.0142	14.1975	11.6652	7.52893	5.54488	6.17755	8.48743	6.98221	7.75815	8.04581	6.25578	3.64633	2.5667	0.603774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	4.81727	5.20964	4.36146	3.54339	2.70043	3.67982	3.41763	3.74397	3.09191	2.58711	2.88759	3.80516	3.03833	2.8383	3.10779	4.28813	4.97994	4.87773	5.52451	4.31424	2.36363	2.31259	4.63516	5.25456	3.77556	3.3462	4.30525	3.86647	4.46108	4.45271	4.17342	4.34849	3.39057	2.99771	3.22058	2.6693	2.22212	1.91747	0.879144	0.847874	0.743771	0.764692	0.752212
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	4.09019	2.25063	4.20854	3.78086	3.13104	0.942647	3.49702	7.22146	7.03016	3.9317	2.00571	2.99154	2.7801	2.36067	1.66658	2.79147	2.3986	3.68742	3.05829	3.04585	4.06736	3.28047	3.79955	3.59191	3.52963	2.70539	3.70012	4.58228	4.45564	3.08324	2.39052	3.22568	3.74555	1.80637	2.51848	1.51774	4.26305	3.4279	3.00642	1.75442	0.964641	1.96587	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	4.59668	4.68081	4.56284	5.94772	3.78818	2.13541	3.05054	3.55885	6.0878	6.04735	6.30848	4.705	4.51254	2.72921	2.59767	2.94098	2.85492	2.50581	4.19049	5.96612	7.65182	4.28332	3.59959	4.56959	4.09378	3.46517	2.13733	2.38729	4.00191	5.65082	3.74466	3.3085	4.16245	4.23111	4.18372	3.99612	4.499	4.38004	4.32105	3.85974	3.21985	3.06299	0.551173
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	2.91082	2.08674	2.68517	2.76761	1.67485	2.46649	1.49911	1.33979	1.24947	1.4971	2.47791	1.28962	2.07412	3.06985	0.605861	1.51061	0.384489	1.08191	1.54035	2.38658	1.55375	1.63782	2.44855	2.68139	2.09736	1.8328	1.86914	1.59761	1.57052	1.86874	1.37049	3.36285	3.86279	2.52269	2.34218	1.6273	2.04532	1.7257	2.62285	1.46588	1.13243	2.24686	0.41542
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	1.47009	1.51935	2.30723	0.903815	1.64638	0	0	1.47351	2.39565	0.772356	2.08226	6.40869	9.6388	1.4363	0.111155	3.18475	7.7061	9.03667	14.2395	10.2738	7.82744	5.01497	2.2511	4.52041	13.2676	11.7571	7.69816	6.61162	8.01022	6.8932	7.34568	6.40835	1.90778	1.32392	2.08482	2.31895	3.15467	7.06205	3.83398	1.96345	0.847366	1.70044	0.307484
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	8.98661	5.5341	8.8634	6.91132	3.91053	1.30451	1.95611	3.3195	5.63801	5.41857	6.09948	9.22985	7.97899	5.8184	0.941275	1.86366	6.20715	9.5204	13.1909	11.9564	7.04796	7.92907	6.82765	7.98161	8.80848	7.66899	6.48721	6.85048	9.67894	10.6021	10.0689	5.02832	3.0956	4.4475	6.97917	5.08558	4.30508	6.20196	8.26587	6.87973	3.38303	4.24061	0.622047
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	11.8027	8.59421	8.54283	8.71244	7.89264	6.61575	7.89513	9.9737	11.6788	9.51366	8.87113	10.7503	11.1685	8.70548	7.49858	12.501	16.0441	18.9159	17.5859	17.147	14.7757	15.2401	15.6346	14.9339	14.6564	18.0013	16.4031	15.8159	18.0293	14.5853	11.9316	9.5949	8.44711	8.08766	9.1774	7.02288	6.07921	5.25432	5.26268	5.28238	5.62081	4.55533	0.186014
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	0.402478	0.708302	0.34537	0.169758	0.87806	0.00585373	0	0.570739	1.19996	1.65061	0.00585373	0.181909	1.0712	0.819523	0	0	0.78436	1.32285	0	0.0578717	1.50837	0.246019	0	0	0.515113	0.177008	0.960392	1.29626	0.842814	2.63747	2.14231	0.678979	1.59793	1.17069	1.34758	2.25676	0.626338	0.959981	1.96669	1.95379	0.310241	1.28043	0.5
