	chr16:11171654-11171803	chr16:11171804-11171953	chr16:11171954-11172103	chr16:11172104-11172253	chr16:11172254-11172403	chr16:11172404-11172553	chr16:11172554-11172703	chr16:11172704-11172853	chr16:11172854-11173003	chr16:11173004-11173153	chr16:11173154-11173303	chr16:11173304-11173453	chr16:11173454-11173603	chr16:11173604-11173753	chr16:11173754-11173903	chr16:11173904-11174053	chr16:11174054-11174203	chr16:11174204-11174353	chr16:11174354-11174503	chr16:11174504-11174653	chr16:11174654-11174803	chr16:11174804-11174953	chr16:11174954-11175103	chr16:11175104-11175253	chr16:11175254-11175403	chr16:11175404-11175553	chr16:11175554-11175703	chr16:11175704-11175853	chr16:11175854-11176003	chr16:11176004-11176153	chr16:11176154-11176303	chr16:11176304-11176453	chr16:11176454-11176603	chr16:11176604-11176753	chr16:11176754-11176777	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	1.33923	2.34902	3.26601	2.57218	1.62761	0.92153	1.04392	1.77158	1.93659	1.42004	1.33947	1.87723	2.53923	2.88207	2.02171	2.21001	3.43207	2.77667	2.41024	1.82705	0.713675	1.62959	1.72904	2.14944	1.19921	1.35971	0.571273	0.663988	0.858977	2.4848	1.929	1.47875	0.70881	0.914641	0.996518	0.532967
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	0.76202	1.73038	2.00716	1.33258	0.287437	0.0484391	0.516422	0.857618	1.09153	1.36028	1.10445	1.54577	1.26729	1.36093	1.22291	0.983675	1.16928	0.971147	0.894004	0.86034	0.512391	0.819668	0.420033	0.639741	0.581483	0.163919	0	0.0492086	0.326658	1.0775	1.29675	0.577399	0.855497	0.771226	0.533685	0.649351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	3.579	2.9809	4.62041	6.50299	2.58683	1.68853	0.417271	0.916124	1.4839	5.10753	5.05277	5.9035	9.5997	6.77894	6.93093	13.5531	11.4993	8.4127	8.21777	6.87802	3.11986	1.90305	3.3439	4.44986	2.97971	4.38914	5.11751	1.92741	1.05356	5.38226	4.67715	1.95009	1.33443	1.34071	1.9397	0.327485
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	1.59433	2.21436	2.26496	2.09808	1.884	1.02933	1.1893	1.16491	1.37676	1.46428	1.26148	2.03719	2.48198	3.08782	3.51508	2.56529	2.43807	2.35883	1.59092	0.67973	0.57136	0.938329	1.16134	1.3151	1.17347	0.746946	0.225594	0.206008	1.0687	1.39702	0.78184	0.606167	0.843432	1.07398	1.11799	0.592734
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	2.49359	2.55256	1.47822	1.11333	0.39568	1.03493	1.32823	1.5958	2.21299	2.02876	1.35994	2.16759	3.59814	2.99102	3.73102	2.12608	2.15723	0.898671	2.82564	2.28598	1.95281	1.36574	1.05253	1.73782	0.900363	0.464058	0.988553	1.33501	1.44449	1.05047	0.120446	0.409048	0.130841	0.153668	1.06411	0.322034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	3.04254	5.12568	5.1338	4.43337	4.12816	2.76692	1.36525	1.03011	0.850116	1.36942	1.89987	2.12637	1.92458	2.10541	1.20987	0.708932	0.772745	1.29983	1.61605	2.17988	1.80367	1.55901	1.81818	1.81721	1.62187	1.2621	1.10445	1.68665	1.18762	0.976826	1.31144	0.714731	0.911262	1.07449	1.626	0.0298507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	1.2982	2.34713	2.15934	2.52809	2.50456	1.53335	0.741504	0.589048	1.30359	1.74282	1.93537	1.61509	1.48839	2.22035	1.82998	1.19756	0.689523	1.39977	1.4736	1.87421	1.20915	0.576827	0.791065	0.532247	0.395792	0.741431	0.480179	0.193481	0.0634238	1.19352	1.01038	0.92252	1.47843	0.695589	1.12804	0.785081
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	1.42812	3.11109	6.53145	6.476	3.99	1.87037	0	0.835673	1.80526	3.95718	1.88405	3.10837	1.27612	1.38103	3.29664	6.14924	6.52609	6.56578	5.74759	7.78378	3.03513	4.31589	4.56048	2.06359	1.42372	0.543665	0.404648	0.563644	1.62572	2.1173	1.85734	0.461702	0.12294	0.890192	1.37858	0.722793
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	4.32208	6.59647	3.3583	2.50116	2.0298	2.49118	0.723325	0.726483	2.69124	8.20007	4.4932	7.70925	4.76655	7.17032	7.32683	6.3396	4.59279	7.88105	6.91447	6.49436	4.42985	4.89502	4.38433	5.62669	1.8714	3.11918	1.81944	1.30042	1.43717	2.88077	4.27679	1.79005	2.39438	1.73095	0.94759	0.206349
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	1.34197	1.76001	1.86595	1.09604	1.65877	1.95859	2.96267	3.08985	3.2975	2.93861	2.66174	4.76784	4.97624	4.90887	6.20495	6.62088	5.19561	5.42205	5.95925	4.90336	3.52099	4.3408	2.9772	2.58936	2.85705	2.73148	2.21647	2.68132	2.88315	2.28514	2.49723	1.4964	1.14248	0.868791	0.814282	0.575342
