	chr11:40931135-40931284	chr11:40931285-40931434	chr11:40931435-40931584	chr11:40931585-40931734	chr11:40931735-40931884	chr11:40931885-40932034	chr11:40932035-40932184	chr11:40932185-40932334	chr11:40932335-40932484	chr11:40932485-40932634	chr11:40932635-40932724	chr11:40932725-40932784	chr11:40932785-40932934	chr11:40932935-40933024	chr11:40933025-40933084	chr11:40933085-40933184	chr11:40933185-40933234	chr11:40933235-40933384	chr11:40933385-40933534	chr11:40933535-40933684	chr11:40933685-40933744	chr11:40933745-40933834	chr11:40933835-40933984	chr11:40933985-40934134	chr11:40934135-40934284	chr11:40934285-40934434	chr11:40934435-40934584	chr11:40934585-40934734	chr11:40934735-40934884	chr11:40934885-40934934	chr11:40934935-40935034	chr11:40935035-40935184	chr11:40935185-40935334	chr11:40935335-40935394	chr11:40935395-40935484	chr11:40935485-40935634	chr11:40935635-40935694	chr11:40935695-40935784	chr11:40935785-40935934	chr11:40935935-40936004	chr11:40936005-40936024	chr11:40936025-40936064	chr11:40936065-40936084	chr11:40936085-40936124	chr11:40936125-40936223	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	1.12608	0.707672	0.263452	0.477267	0.421239	0.495567	0.31359	0.32476	0.0616767	0.340634	0.477434	1.06682	0.722433	0.00307578	0	0	0.0609004	0.588322	0.943563	0.852508	0.524837	0.490115	0.342057	0.31828	0.50227	0.615739	0.143035	0.189262	0.362524	0.251091	0.550024	0.919784	0.354794	0	0.380358	0.911778	0.644808	0.401327	0.748067	0.652852	0.013841	0	0	0	0	0.536723
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	2.65577	3.28147	4.87585	4.54294	4.69779	3.21982	3.0331	2.15668	2.56848	3.25149	2.69696	3.41901	3.63715	3.19825	3.37948	2.56744	2.50438	2.99756	2.45308	3.53828	3.57392	3.55784	3.16358	2.85338	3.03271	3.6234	1.93367	1.54541	0.934944	0.746717	0.669364	0.648467	0.584532	0.370236	0.483726	0.531027	0.349105	0.324226	0.425879	0.308336	0.241992	0.107131	0.311008	0.762905	1.26368	0.552472
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.4d89e710-5a41-461f-91a2-bc627bddca0a.fc.signal	0.775169	0.573917	0.548761	0.45061	0.451574	0.267361	0.793507	1.06086	0.338464	0.26777	0.754079	0.879736	0.705064	0.97081	0.68062	0.256618	0.350852	0.503356	0.505882	0.182998	0	0	0	0.103244	0.248522	0.498814	0.593246	0.335364	0.0361281	0.089392	0.244816	0.307204	0.36315	0.398914	0.249258	0.137645	0.239943	0.109178	0.0216031	0	0	0	0	0.10067	0.227062	0.502008
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83e601b8-bef8-49e1-b42e-c29a56e1ac1c.fc.signal	0.688429	0.46073	0.7123	1.49533	1.46103	0.98823	1.04607	1.65014	1.16049	0.928558	0.861226	1.15313	0.931481	0.81578	1.27375	1.22512	1.1888	1.05128	0.988858	1.25539	1.12666	1.17888	1.21104	0.842791	0.788798	0.888234	0.748526	0.885653	1.5456	1.52271	1.04219	0.783741	0.886684	1.14476	1.03387	0.766759	0.797338	0.41614	0.412423	0.516139	0.251763	0.13549	0.433243	0.683411	1.02969	0.674277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.8ee3bcc0-0a54-4209-87cf-967cca7d6071.fc.signal	0.212917	0	0.269862	0.634639	0.353923	0.40685	0.124767	0.145063	0.33902	0.112526	0.44977	0.8137	1.02118	1.12108	1.24088	1.50531	1.65993	1.60431	0.550162	0.159781	0.35296	0.309689	0.231855	0.701112	1.04964	0.98724	0.302384	0.854368	0.900469	1.0781	0.705836	0.203412	0	0	0	0	0	0	0	0	0	0	0	0	0	0.503937
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.66fe7e60-cc70-422a-8d7c-594c9a55eec8.fc.signal	0.219676	0.170072	0.497469	0.577886	0.206426	0.739482	0.52449	0.359959	0.671949	0	0.373512	0.787505	0.402963	0.387609	0.467054	0.509246	0.696421	0.775584	0.85221	0.735419	0.178332	0.0684612	0.237592	0.164298	0.473628	0.367966	0.283225	0.194097	0.893663	0.961405	0.644168	0.495808	0.274143	0.918434	0.587746	0.551221	0.378755	0.41019	0.432136	0.0509599	0	0	0	0.00991325	0.561849	0.255639
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.f32467cb-d7e9-4f5b-9c6b-68e4e838bc49.fc.signal	0.15753	0	0	0.109583	0.272719	0.184691	0.0167007	0	0	0	0.0704403	0.339394	0.38422	0.172899	0	0.828046	2.53988	3.64394	1.98398	0.750565	0.678861	0.362874	0.321464	0.0704403	0.160092	0.38422	0.12167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0160776	0.448276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.309e9998-5ade-4caa-9bdd-4c0118af9852.fc.signal	0.308971	0.268691	0.50382	0.127623	0	0	0	0.273728	0.50382	0.112505	0.0363798	0.340046	0.722117	0.873261	0.692742	1.38295	3.40581	3.86592	2.81129	1.1554	0	0	0	0	0	0.21326	0.579378	0.505489	0.369441	0.25186	0.319906	0.50382	0.201521	0	0	0	0	0	0	0.064764	0.25186	0.25186	0.37784	0.503789	0.463507	0.671233
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.102990be-2f15-4965-9094-d6b665cc5fb0.fc.signal	0.135174	0.280158	0.574326	0.100575	0.413174	0.687757	1.02375	0.698278	0.327808	0.329942	1.60035	2.37785	2.13825	1.27668	0.981516	0.848766	1.2089	1.20526	1.36683	1.11113	1.0301	0.608019	0.579005	0.694801	0.23761	0.267146	0.454435	0.812798	0.461865	0.30497	0.694251	0.529489	0.257946	0.281382	0.614101	0.63807	0.297635	0.570924	0.724361	0	0	0	0	0.135822	0.212288	0.382838
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.6ef6e344-86f3-4f04-92f8-daa352b5ef4d.fc.signal	0.35345	0.077759	0.989855	1.01101	0	0	0.00942533	0.527907	0.711776	0.117826	0	0.559701	2.58771	1.28439	2.43328	2.3013	2.88464	5.5407	4.03003	3.7731	2.99303	0.942732	0.692935	0.499663	1.06288	2.45569	1.3268	0.50907	0.30868	0.728283	0.692935	0.440689	1.05816	0.394707	0.106035	0.242702	0.589203	0.341668	0	0	0	0	0	0	0	0.654135
