	chr12:15592557-15592706	chr12:15592707-15592856	chr12:15592857-15593006	chr12:15593007-15593156	chr12:15593157-15593306	chr12:15593307-15593456	chr12:15593457-15593606	chr12:15593607-15593756	chr12:15593757-15593906	chr12:15593907-15594056	chr12:15594057-15594206	chr12:15594207-15594356	chr12:15594357-15594506	chr12:15594507-15594656	chr12:15594657-15594806	chr12:15594807-15594956	chr12:15594957-15595106	chr12:15595107-15595256	chr12:15595257-15595406	chr12:15595407-15595556	chr12:15595557-15595706	chr12:15595707-15595856	chr12:15595857-15596006	chr12:15596007-15596156	chr12:15596157-15596306	chr12:15596307-15596456	chr12:15596457-15596606	chr12:15596607-15596756	chr12:15596757-15596906	chr12:15596907-15597056	chr12:15597057-15597206	chr12:15597207-15597356	chr12:15597357-15597506	chr12:15597507-15597656	chr12:15597657-15597806	chr12:15597807-15597956	chr12:15597957-15598106	chr12:15598107-15598256	chr12:15598257-15598406	chr12:15598407-15598556	chr12:15598557-15598590	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	0.845941	0.827415	1.59502	2.04178	1.27852	0.75411	0.321549	0.567262	0.714215	0.321358	0.500224	0.178955	0.412899	0.364958	0.483287	0.584402	1.38193	2.18786	1.16279	0.987901	1.2889	2.31966	1.52781	1.19763	0.651487	0.638121	0.924448	1.06151	1.82003	1.83065	1.43534	2.04928	1.97366	1.95851	1.21817	0.437034	0.312938	0.275607	0.186258	0.540498	0.473199	0.316832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	1.3143	0.937021	0.500274	0.666773	0.697686	0.44072	0.955382	1.10475	0.877562	0.858035	0.526249	0.767979	0.818267	1.67808	1.04909	0.691497	1.63697	1.35076	2.01821	2.45546	2.55752	1.85612	2.12043	1.38126	2.4525	2.1122	1.82587	1.91423	1.57115	0.506218	0.21005	0.648579	1.09708	0.967298	0.895779	0.26341	0.236807	0.0749298	0	0.396027	0.357162	0.89645
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	4.02439	2.99684	2.23082	3.35084	4.14091	1.71124	1.90281	2.96883	0.906505	2.28627	3.21181	4.62957	2.81449	2.06083	4.23977	3.53547	5.96073	7.85201	9.18832	8.57908	5.39808	7.71291	5.70505	4.33835	3.83585	4.80364	4.24652	3.03408	3.0458	3.16532	2.01885	2.65326	6.44953	7.31641	5.80757	2.69094	1.87672	2.56062	2.51436	1.41876	0.879534	0.742268
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000043.3.8d5b3081-225e-438e-b618-c17adc495516.fc.signal	5.1349	7.773	6.84443	4.8078	3.66122	3.38346	5.49344	4.54406	5.69005	1.61592	5.2428	3.616	4.62771	2.83753	5.54188	8.43196	11.5009	10.9539	6.77018	6.06492	5.61947	6.48604	9.00679	5.0928	5.47906	5.51989	8.09927	3.94206	3.69187	5.87189	2.70645	6.87506	9.40233	6.31489	6.30126	2.02751	1.43793	2.38542	2.22063	0.878334	0.719533	0.126214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000060.3.baf1b6b5-96f6-42d1-907a-07181459fd3c.fc.signal	2.09092	2.89624	2.66867	2.4366	2.0309	1.93266	1.73821	1.8513	1.9128	2.45894	1.56564	0.408343	0.44638	0.796241	2.68831	2.37578	4.97017	3.07764	2.61695	2.31222	4.55741	3.69749	5.43579	3.75716	4.41681	4.31532	2.42434	2.15234	1.60333	3.03447	1.91371	2.77796	2.10312	3.65546	1.94094	3.24737	1.63558	1.38496	0.448797	0.920315	0.410256	0.20625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	0	0.288837	0.379427	0.5415	0.056209	0	0	0	0	0.212898	0.541149	0	0	0	0	0.07547	1.57258	0.779211	3.11598	1.14579	0.354559	0.245622	0	0.635341	1.42187	0.268759	0.613026	0.760938	1.10966	1.4151	0.167402	0.333869	1.81587	1.67393	1.55024	1.22007	0.328896	0.394592	0.142712	1.68468	1.75368	0.571699
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.fae7194c-2bb7-414d-b747-986b067cce33.fc.signal	0.235926	1.04424	0.772925	0.695331	1.11862	1.47118	0.8813	0.426228	2.54171	1.43469	1.17967	0.0766357	0.0269155	0.490753	0.0888641	0.203789	2.7893	3.07146	1.42447	0.833553	1.0216	1.3533	4.02166	2.96786	0.875641	0.059982	0.465409	1.4127	1.02733	0.981233	0	0.630787	1.01686	0.817853	0.401501	0.592264	0.473212	0.585611	0	0	0	0.261261
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000071.3.dfc63e95-4862-4384-a735-dc9483aed805.fc.signal	3.96764	2.99341	2.33738	3.9333	2.45791	3.51725	2.29081	2.2952	2.94426	1.0221	1.37503	1.34997	2.45863	1.76087	0.838321	2.78946	5.85521	8.03126	4.39668	4.31583	3.61279	4.5099	4.17277	2.79594	3.83248	5.2717	3.06616	4.74615	2.11934	2.013	2.10874	1.96723	3.22591	2.93961	1.53001	0.471141	1.43636	0.178128	0.355368	1.12233	0.843033	0.166581
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	0.753272	0.242919	0.637653	0.831165	1.48195	0.62091	0.124372	0.138074	0.111724	0	0	0	0	0	0.0474161	0.662475	0.982886	1.13512	1.10955	0.827581	0.945118	1.2953	0.569164	0.49163	0.784297	0.471129	0.279601	0.0838336	0.360409	0.572577	0.0318009	0.25052	1.31968	0.762643	0.578434	0.843339	0.940737	0.330556	0.381571	0.471286	0	0.278846
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.d29b7bc4-75ef-437b-ab43-12a3fcfc38d5.fc.signal	1.13884	1.81154	1.25427	0.754507	1.41893	1.14774	0.303161	0.263626	0.457097	0.437485	0.490923	0.380478	0.443253	0.694919	0.706335	1.35329	2.44707	1.51681	0.472471	1.16805	2.46682	1.10991	0.697987	1.0217	0.680378	1.23968	1.66111	1.34439	2.3942	1.70278	0.285788	0.727443	0.442987	1.55651	1.70554	0.626879	0.458136	0.742464	0.231225	0.389787	0.447275	0.392638
