	chr16:74407352-74407391	chr16:74407392-74407431	chr16:74407432-74407501	chr16:74407502-74407581	chr16:74407582-74407651	chr16:74407652-74407731	chr16:74407732-74407801	chr16:74407802-74407951	chr16:74407952-74408101	chr16:74408102-74408251	chr16:74408252-74408301	chr16:74408302-74408401	chr16:74408402-74408551	chr16:74408552-74408591	chr16:74408592-74408701	chr16:74408702-74408721	chr16:74408722-74408741	chr16:74408742-74408851	chr16:74408852-74409001	chr16:74409002-74409151	chr16:74409152-74409301	chr16:74409302-74409321	chr16:74409322-74409451	chr16:74409452-74409511	chr16:74409512-74409581	chr16:74409582-74409601	chr16:74409602-74409751	chr16:74409752-74409901	chr16:74409902-74409941	chr16:74409942-74409971	chr16:74409972-74410051	chr16:74410052-74410111	chr16:74410112-74410141	chr16:74410142-74410201	chr16:74410202-74410301	chr16:74410302-74410351	chr16:74410352-74410431	chr16:74410432-74410501	chr16:74410502-74410551	chr16:74410552-74410651	chr16:74410652-74410801	chr16:74410802-74410861	chr16:74410862-74410911	chr16:74410912-74410951	chr16:74410952-74410991	chr16:74410992-74411101	chr16:74411102-74411161	chr16:74411162-74411251	chr16:74411252-74411331	chr16:74411332-74411361	chr16:74411362-74411401	chr16:74411402-74411501	chr16:74411502-74411551	chr16:74411552-74411631	chr16:74411632-74411651	chr16:74411652-74411701	chr16:74411702-74411751	chr16:74411752-74411781	chr16:74411782-74411801	chr16:74411802-74411851	chr16:74411852-74412001	chr16:74412002-74412091	chr16:74412092-74412151	chr16:74412152-74412181	chr16:74412182-74412301	chr16:74412302-74412341	chr16:74412342-74412378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	0.017862	0.17862	0.17862	0.0245602	0	0	0	0	0	0	0	0	0	0	0.334315	0.31242	0.080379	0	0	0	0	0.017862	0.340546	0	0	0	0.241653	0.367861	0.71425	0.446381	0.00669825	0	0.138076	0.418688	0.652361	0.101827	0.107943	0.174395	0.0107172	0	0	0	0	0	0	0.0682004	0.309447	0.416583	0.258709	0	0	0.008931	0.649957	0.685226	0.053564	0	0	0	0	0	0.628483	0.440409	0	0	0	0	0	0.368932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12184	0.702308	0	3.59863	1.55057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.807726	1.34621	1.19257	0	0	0	0	0	0	0.359338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.de511913-2cf9-43ba-9705-d5ac577dfa6f.fc.signal	0	0	0.481904	0.6647	0.325225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0298962	0.30464	0.116263	0	0	0.127336	0.391108	0.6594	0.539126	0.449053	0.598387	0.882998	0.814187	0.408772	0	0	0	0	0.116263	0.330839	0.509553	2.12687	2.0315	0.398755	0.00415225	0	0	0	0	0	0	0.166096	0.33235	1.18971	1.8078	0.958149	0.168915	0	0	0	0	0.648212
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.15a517d0-8389-43f7-9ce5-66c163ab4bf7.fc.signal	0	0	0.202789	0.28394	0.202789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.826157	0.842266	0.131296	0	0	0	0	0.581991	1.02062	0.916993	0.525256	0.296102	0.198739	0.0496615	0.241325	0.14189	0.028378	0	0	0.148408	0.28394	0.197162	0	0	0	0.0553371	0.266894	0.28394	0.220017	0.102161	0	0	0.120639	0.848867	1.2312	0.626173	0.224752	0.14189	0.0780395	0.14189	0.272422	0.725523
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.bb1bb2b2-42c2-4f18-8e8f-61e82ab17b84.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0958244	0.12583	0.0737004	0	0.0377378	0.25152	0.172957	0	0	0.0062915	0.360568	0.666612	0.841416	0.588589	0.411925	0.371957	0.344645	0.105697	0.0469765	0.12583	0.135885	0.352184	0.25152	0.25152	0.037735	0	0	0	0	0	0	0.11482	0.12583	0.14594	0.25152	0.201244	0.25152	0.36225	0.505595	0.352175	0.129952	0.050332	0.12583	0.12583	0.183579	0.358974
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.b04c1667-5df4-43cb-a2ab-4a07445dc015.fc.signal	0.17173	0.17173	0.17173	0.0880116	0	0	0	0.034346	0.17173	0.051519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00572433	0.17173	0.155307	0.366903	0.47125	0.482493	0.247726	0.17173	0.17173	0.0423601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068692	0.17173	0.360516	0.51506	0.484149	0.053417	0	0	0	0	0	0.961722
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.dde9814b-8b78-4af3-b9ef-87186b3ed1fd.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.566184	0.621439	0.24366	0.0217467	0	0	0	0	0	0	0	0	0	0.157177	0.353749	0.19374	0.0048435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.f2c7bc19-404e-47af-b24f-cd6109044afb.fc.signal	0.19833	0.18842	0.09923	0.0545765	0	0	0	0	0	0.163314	0.19833	0.0525906	0	0	0	0	0	0	0	0	0.0654918	0.22317	0.349392	0.289291	0.0326041	0	0.285501	0.744984	0.612371	0.29421	0.182226	0.124005	0.09923	0.395041	0.483431	0.664329	0.342335	0.507157	0.51963	0.568223	0.137521	0	0	0	0	0.107315	0.310725	0.431018	0.304951	0.204945	0.13887	0.0248075	0	0	0	0	0	0	0	0	0.119024	0.187319	0.0826917	0	0	0	0	0.677632
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.92d75341-e28f-4aef-b49f-71fb4ab25e3c.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212026	0.53905	0.503113	0	0	0	0	0.571064
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.aaa0b154-2777-4a76-a919-829c05cb2aa5.fc.signal	0	0	0	0.0982533	0.22141	0.213108	0.055355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0941035	0.130295	0.208495	0.11071	0.11071	0.228808	0.541119	0.420818	0.118087	0	0.107015	0.46508	0.649611	0.748951	0.520799	0.415374	0.357101	0.170488	0.0298917	0	0	0	0	0	0.103665	0.11071	0.537668	0.55367	0.55367	0.138403	0	0.0952106	0.11071	0.12178	0.22141	0.126208	0.243593	0.465102	0.549242	0.555143	0.33225	0.143917	0	0.0793422	0.11071	0.11071	0.483051
