	chr1:207024994-207025053	chr1:207025054-207025143	chr1:207025144-207025293	chr1:207025294-207025443	chr1:207025444-207025593	chr1:207025594-207025743	chr1:207025744-207025893	chr1:207025894-207026043	chr1:207026044-207026193	chr1:207026194-207026343	chr1:207026344-207026493	chr1:207026494-207026643	chr1:207026644-207026793	chr1:207026794-207026943	chr1:207026944-207027093	chr1:207027094-207027243	chr1:207027244-207027393	chr1:207027394-207027543	chr1:207027544-207027693	chr1:207027694-207027843	chr1:207027844-207027993	chr1:207027994-207028143	chr1:207028144-207028293	chr1:207028294-207028443	chr1:207028444-207028593	chr1:207028594-207028743	chr1:207028744-207028893	chr1:207028894-207029043	chr1:207029044-207029193	chr1:207029194-207029343	chr1:207029344-207029493	chr1:207029494-207029643	chr1:207029644-207029793	chr1:207029794-207029943	chr1:207029944-207030093	chr1:207030094-207030179	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	0.707275	0.262872	1.72353	1.95949	1.653	1.35991	1.02503	1.52638	1.21885	1.01948	0.896269	0.723843	0.769459	1.23573	0.554703	0.585218	0.712759	0.583487	0.361408	1.03814	0.851056	0.727272	0.749591	1.68549	1.30054	0.664812	0.525862	0.567865	0.741663	0.677071	1.09893	1.24995	1.49207	1.01888	0.230066	0.149464	0.389055
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	2.38874	0.504551	1.32935	2.62651	1.01127	0.969278	0.871384	0.878484	1.09349	0.301106	0.957794	0.710911	0.371718	1.49392	0.775345	1.72206	0.657404	1.07117	1.11993	1.96903	0.44717	0.291215	0	1.66067	0.226288	0.954155	0.873021	0.571352	1.16976	2.06896	1.62175	0.88372	0	0	1.29573	1.54413	0.697723
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	2.29852	2.15904	2.90464	3.15942	2.08069	2.9849	2.76193	1.91765	3.58794	3.50254	1.30778	1.33223	1.05044	1.84585	1.17482	1.52232	1.01463	0.0795035	1.15049	2.19102	1.38797	1.32333	0.902334	1.22402	2.17697	2.29578	2.81275	1.19173	2.59589	2.60447	1.94732	2.09463	1.35559	1.13596	1.89711	1.86613	0.541658
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003404.1.88cb95dd-5a6d-4570-8a21-b967680b5521.fc.signal	0.0780463	0	0.720762	1.12994	0.328277	0	0.874729	0.235243	1.06826	1.09528	1.38874	0.437304	0.200951	0.217812	0.13766	0.331656	0.904879	0.496512	0.902687	0.69982	0.62936	0.222657	1.25993	0.729418	1.01838	0.554989	0.127605	0.289842	1.33946	1.89517	1.6796	1.11114	0.328366	0.533336	1.48292	1.16192	0.452991
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000105.3.fa7c889b-e561-4d9e-9f53-4d27307d9ee3.fc.signal	0	0	0	0.193373	0.20255	0.123212	0.313128	0.451078	0.351477	0.75957	1.38617	0.551189	0.431399	0.312186	1.36015	0.53195	1.16661	2.7081	2.18766	1.48799	0.795993	0.478612	0.246307	1.59118	1.26323	0.315283	0	0.302431	1.01445	0.0033484	1.08422	0.482378	0.218048	0.341253	0.295411	0	0.927419
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.58d4d6b8-e8d9-44c0-a8c7-fcdf9403bfe2.fc.signal	0.550049	0.468578	2.07934	3.50062	1.95819	0.274426	0	0	0	0	0	0	0	0	0.0960137	0.721423	1.0186	1.01229	1.04693	2.03776	1.71803	0.345525	0.031653	0	0	0	0.043922	0.919528	3.70889	4.73388	1.56233	0.231323	0.00146407	0	0	0.490355	0.357805
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.b264ae9e-8457-4fbc-9ae1-9ad1d872e973.fc.signal	0.419266	0.200573	0.637367	0.767912	0.236741	0	0	0	0	0	0	0	0	0	0	0.0311866	0.237534	0.310777	0.265204	0.440911	0.29573	0	0	0	0	0	0.030798	0.958872	3.16864	3.72932	1.37194	0.269732	0.027612	0	0	0	0.493653
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.f1456df1-a617-44a6-a060-cb29786302bd.fc.signal	3.53406	1.1779	3.03956	2.79222	2.29513	3.42842	1.63362	1.1313	1.56675	1.27252	3.03939	1.83535	1.53969	1.888	1.09076	0.749648	0.992469	1.20962	1.33618	2.02392	0.795948	0.279097	0.332463	0.934014	1.121	0.996291	0.72832	0.629792	0.825574	0.773531	1.30332	1.87473	1.23042	0.439932	0.616422	1.75376	0.554581
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.44df7b1b-5968-426b-8cea-e4fad8f3b32b.fc.signal	0.656748	0	0.974811	4.00674	1.15077	0.451778	0.191629	1.78138	2.19523	2.36147	1.31029	0.740888	0.70433	0.843805	1.35801	1.56764	1.88127	0.475985	0.875232	0.741159	0.245121	1.89057	0.291463	0	0	0	1.55207	3.24516	1.41195	0.420865	0.585885	1.04519	0.838061	2.11355	0.956159	0	0.709924
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003398.1.142e6ed2-5832-4fa6-8a6b-9ed4d6f47d60.fc.signal	0.212295	0	0.111202	0.267652	0.177725	1.04862	0.643495	0.664425	1.99831	1.55699	1.40439	0.902036	1.32938	1.54403	0.453555	0.84336	1.1958	1.03843	0.663505	1.60227	0.88878	1.22455	0.703464	0.877072	1.12988	1.10209	0.979439	0.662672	0.96836	1.30415	1.62457	1.13496	1.07791	0.829222	0.615308	0.216192	0.504455
