	chr12:52836953-52836992	chr12:52836993-52837102	chr12:52837103-52837142	chr12:52837143-52837252	chr12:52837253-52837282	chr12:52837283-52837402	chr12:52837403-52837552	chr12:52837553-52837702	chr12:52837703-52837782	chr12:52837783-52837852	chr12:52837853-52837972	chr12:52837973-52838002	chr12:52838003-52838152	chr12:52838153-52838242	chr12:52838243-52838302	chr12:52838303-52838402	chr12:52838403-52838452	chr12:52838453-52838542	chr12:52838543-52838602	chr12:52838603-52838702	chr12:52838703-52838752	chr12:52838753-52838842	chr12:52838843-52838902	chr12:52838903-52838952	chr12:52838953-52839052	chr12:52839053-52839202	chr12:52839203-52839352	chr12:52839353-52839502	chr12:52839503-52839652	chr12:52839653-52839802	chr12:52839803-52839952	chr12:52839953-52840102	chr12:52840103-52840252	chr12:52840253-52840282	chr12:52840283-52840402	chr12:52840403-52840462	chr12:52840463-52840552	chr12:52840553-52840702	chr12:52840703-52840852	chr12:52840853-52841002	chr12:52841003-52841152	chr12:52841153-52841192	chr12:52841193-52841302	chr12:52841303-52841452	chr12:52841453-52841492	chr12:52841493-52841602	chr12:52841603-52841752	chr12:52841753-52841902	chr12:52841903-52841987	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	1.3677	0.846209	0.965966	0.767964	0.734085	0.551891	0.533084	0.493893	0.376159	0.521059	0.718539	0.87054	1.04983	1.08328	0.884649	0.810754	0.849936	0.786875	0.866738	0.978128	1.29215	1.40902	1.68382	1.43865	1.09502	1.29329	1.33916	0.847783	0.950247	1.45698	1.78198	1.15855	0.854644	0.539898	0.384806	0.374985	0.446009	0.459077	1.09392	1.14676	0.357305	0.389822	0.522085	1.18766	1.13946	0.926969	0.608915	0.8909	0.919598	0.602339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	0.788693	0.626797	0.908856	1.80714	1.37989	0.838224	1.3597	0.632069	1.29875	0.117793	0.439521	1.26852	3.17992	2.84362	1.06579	0.272499	2.371	3.54153	1.38485	0.734931	1.8787	1.7456	0.524705	1.38557	2.38833	1.52919	2.24831	1.06074	0.989348	2.55913	2.34105	0.827885	1.2206	1.60382	0.488499	0.30177	0.533402	0.295031	0.532918	2.60718	1.48774	0.292339	0	0.174717	0.783957	0.480334	0.766189	1.81229	0.259036	0.780459
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.69eb8040-32c4-4c18-85e7-a74953df6c51.fc.signal	1.22065	0.783696	0.458571	0.195547	0.15763	0.152545	0.133026	0.155525	0.287842	0.356585	0.36641	0.303267	0.800259	1.66514	1.1861	0.873156	0.4694	0.168645	0.207292	0.333094	1.24045	1.51964	0.916202	0.60232	0.415426	0.225806	0.302839	0.462831	1.04372	0.598344	0.139216	0.347538	0.664042	1.07632	0.813637	0.313441	0.008831	0.349031	0.368612	1.26011	1.231	0.344624	0.305004	0.268724	0.225	0.864273	1.0921	1.58973	1.34969	0.341463
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000071.3.dfc63e95-4862-4384-a735-dc9483aed805.fc.signal	0	0	0	0	0	0	0	0	0	0	0.0171613	0.481312	0.556662	0.326612	0.331844	0	0	0.164626	0.493584	0.39786	0	0	0.217411	0.43102	0.436049	0.356419	0.893896	0.813584	1.13015	0.637529	1.50093	0.0622581	0	0	0	0	0	0.378481	0.385738	0.456508	0.512654	1.05344	0.65179	0.436051	0.62892	0.467352	0.627601	0.144149	0.43102	0.405941
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003828.3.bcd61aac-63db-4cfa-a058-a141a50b928e.fc.signal	0	0.0343716	0.18828	0.364037	0.328367	0.137629	0.140308	0.116702	0.421806	0.626817	0.319483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0612793	0.21369	0.0832964	0.0875427	0	0.0926397	0.112642	0.103186	0.305867	0.350262	0.158992	0.573407	0.460936	0.248203	0.054914	0	0	0	0	0	0.004753	0.250634	0.504172	0.803571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004681.3.b04c1667-5df4-43cb-a2ab-4a07445dc015.fc.signal	0.664445	0.339818	0.526988	0.410262	0.589828	0.567138	0.448946	0.914196	1.04058	0.414341	0.719987	0.852057	0.831776	0.774205	0.504383	0.432285	0.577503	0.682329	0.594682	0.357829	0.360156	0.671262	0.787517	0.969147	0.954759	1.07596	0.592055	0.398161	0.269951	0.370364	0.703213	0.728448	0.38465	0.0892917	0.181166	0.789619	0.95402	0.649981	0.389397	0.361677	0.488463	0.409945	0.266797	0.621164	0.623455	0.540534	0.70422	0.810672	0.553339	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000129.3.10d36a04-e044-4c40-9b45-3ef18c963298.fc.signal	0	0.550428	0.954067	1.10949	0.590842	0.138173	0	0	0	0.285495	0.666706	0.69303	0.0744427	0.516348	0.745428	0.725561	1.04726	0.738446	0.74222	0.0667998	0.74222	0.688999	0.643257	0.771903	2.06767	2.08521	0.987853	1.12877	2.42151	3.08834	1.08358	0.0247407	0.74222	1.26168	0.77314	0.484498	0.593817	0.564087	0.0593776	0.56904	0.0719787	0	0	0.418155	0.740392	1.17963	0.457107	0.355949	0.636675	0.448718
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003836.3.9aa71da8-fe78-48e5-b5e7-94900a3e3afc.fc.signal	0.172962	0.257243	0.339267	0.251761	0.176245	0.157557	0.133592	0.311327	0.353038	0.163752	0.328898	0.479352	0.444555	0.261721	0.385865	0.516955	0.537237	0.612946	0.590342	0.516408	0.434831	0.32367	0.281031	0.356874	0.345981	0.0877916	0.07329	0.115991	0.202149	0.475878	0.749433	0.354859	0.265041	0.224431	0.358636	0.567951	0.40253	0.128797	0.470545	0.322132	0.243747	0.325063	0.558268	0.76586	0.532449	0.504627	0.530459	0.423451	0.61033	0.303483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.3b762a00-3a45-430b-9a03-047a2f48270c.fc.signal	1.05824	0.980104	0.446041	0.164879	0.108092	0.319535	0.297222	0.189129	0.338964	0.221843	0.238057	0.10014	0.197951	0.295946	0.559178	1.1181	1.1694	0.979463	0.880133	0.655048	0.480717	0.179714	0.196663	0.214085	0.301008	0.486101	0.416405	0.51197	0.697475	0.566538	0.695091	0.373456	0.263989	0.37734	0.394478	0.122748	0	0	0.235936	0.677056	0.542624	0.76949	0.999183	0.209976	0.115673	0.422108	0.72315	0.493009	0.503917	0.477612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000055.3.510139c3-77ab-4865-bfdf-41696f4f603b.fc.signal	0.499789	0.188682	0	0	0	0.129743	0.268042	0	0	0	0	0	0.0889542	0.19244	0.0486017	0.187561	0.83825	0.869273	0.357085	0	0	0.398976	0.551294	0.50901	0.002651	0.0070696	1.35808	1.08165	0.0958444	1.15207	1.42499	0.178499	0.64693	1.02509	0.454684	0.446057	0.512455	0.133696	0.349834	0.524894	0.479955	0.463917	0.50094	0.117826	0	0.0692206	0.62818	0.0547005	0	0.317073
