	chr1:41031483-41031632	chr1:41031633-41031782	chr1:41031783-41031932	chr1:41031933-41032082	chr1:41032083-41032232	chr1:41032233-41032382	chr1:41032383-41032532	chr1:41032533-41032682	chr1:41032683-41032832	chr1:41032833-41032982	chr1:41032983-41033132	chr1:41033133-41033282	chr1:41033283-41033432	chr1:41033433-41033582	chr1:41033583-41033732	chr1:41033733-41033882	chr1:41033883-41034032	chr1:41034033-41034182	chr1:41034183-41034332	chr1:41034333-41034482	chr1:41034483-41034632	chr1:41034633-41034782	chr1:41034783-41034932	chr1:41034933-41035082	chr1:41035083-41035232	chr1:41035233-41035382	chr1:41035383-41035532	chr1:41035533-41035682	chr1:41035683-41035832	chr1:41035833-41035982	chr1:41035983-41036132	chr1:41036133-41036282	chr1:41036283-41036432	chr1:41036433-41036548	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001017.4.35530d7a-23e1-468e-978a-d33955937d72.fc.signal	3.67766	3.13462	1.00369	2.04274	2.25469	2.22313	5.02187	5.09494	4.03275	2.08783	2.63716	4.15856	2.34341	2.62309	4.18219	2.8324	3.64643	3.73924	1.8287	2.0066	4.1281	4.41151	3.17461	3.68068	3.17904	2.9609	2.62445	2.55535	3.66894	3.16331	2.29289	1.95902	4.63387	3.33517	0.724466
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.b3b3b801-4bf3-4e6f-974d-5cca823d1b91.fc.signal	1.67432	0.428998	0.52137	4.14446	2.83856	0.454891	0.811809	2.80256	4.96414	3.05091	5.3314	5.67089	1.77436	6.94794	8.31225	1.08082	1.3968	5.10274	4.31508	2.79509	3.88502	5.73666	2.75522	0.491842	0	0.357806	1.56034	2.00916	2.28949	1.25047	0.580401	1.59475	2.89689	0.982566	0.598802
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.823ac744-5eeb-40f9-9f65-c42b0b5130dc.fc.signal	6.35676	3.85185	3.01137	4.56157	5.20248	8.72503	13.7268	8.19604	6.68966	1.27927	4.88484	9.35938	11.4037	11.9084	8.39491	11.7917	11.8873	14.1782	8.83091	5.86477	6.93644	7.88691	13.6046	9.76839	10.1329	4.92938	8.50971	9.69567	13.5314	11.48	6.33953	8.41159	7.72627	5.16908	0.546201
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000222.3.123ef280-d4ea-4ca0-978c-a10942825cc4.fc.signal	2.20075	1.93352	1.89553	3.52101	2.28162	1.51421	3.44767	5.02885	3.41229	1.92405	1.59765	1.78834	2.40234	3.75279	3.35224	2.15716	1.07754	0.541845	0.677796	0.838915	0.979296	1.15167	1.759	2.72479	1.78648	0.930639	2.39299	2.85106	4.72897	4.61719	1.75308	3.11558	4.35424	2.71057	0.565395
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000743.1.1bd642c8-def0-432c-b22d-2321d6cee6ca.fc.signal	2.69014	2.75369	2.59889	4.00015	3.27723	1.46326	2.84447	1.28464	2.91962	0.847129	1.69422	3.57676	3.74453	4.96054	1.81848	2.45001	2.53134	1.66264	3.90995	1.75503	1.74953	2.47063	0.709601	1.31299	1.09668	1.62544	2.01621	2.49556	2.09249	2.66501	1.41805	1.66371	1.72617	1.60755	0.529183
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003838.5.37ca9b25-a545-471a-8ba7-6b638b12b7dd.fc.signal	5.67501	10.9997	11.7675	10.1344	7.36459	7.08606	8.52899	6.1518	4.0193	2.14219	4.52704	5.37229	7.20017	7.2814	5.88292	7.11099	5.38464	3.08695	1.79565	2.34621	4.39843	7.43712	7.14987	6.05991	5.97964	7.09187	5.97011	5.48932	5.71659	6.62185	8.11022	9.24276	5.26496	3.54477	0.656897
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003832.2.b7bbc28f-5370-494d-9da9-9e79564dec6e.fc.signal	1.05886	1.42585	3.03395	2.77067	2.94605	2.8891	2.90142	3.44663	3.36832	2.50268	1.41847	3.47331	4.85508	4.18235	3.35414	3.41392	2.82137	1.98181	0.931568	1.59462	1.70765	3.76456	3.33656	2.4431	1.82895	2.09313	2.35128	2.6263	2.56222	2.57271	3.19568	3.58729	3.42939	1.41455	0.767943
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.80d11420-fb58-4105-8d0b-26addcc06923.fc.signal	2.52433	1.69328	0.610776	2.01346	1.50223	1.07871	4.68973	2.59921	1.59103	0.0125748	1.1642	4.75744	2.14578	2.7918	3.78505	0.879609	0.938644	1.29158	4.18492	0.512569	0.296174	6.47037	4.54101	1.5844	1.60583	2.12774	2.10078	4.01615	2.83334	1.83772	2.25537	1.01241	1.28724	3.58547	0.743119
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000354.2.0500ebd0-c650-482a-8d75-3cf5ca9c1882.fc.signal	5.27646	2.69494	1.1568	3.35939	4.2214	5.26935	7.85211	4.8721	3.34596	0.647515	3.32617	4.20744	5.8468	8.82008	7.32511	6.14689	7.65362	4.65468	7.53675	1.9363	3.34195	8.39278	6.56043	3.69737	5.36314	5.18742	6.1468	4.86205	5.94268	5.80292	3.21761	2.2089	4.38186	4.85732	0.572072
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003819.1.e6af9ec0-8b4b-4624-8b3a-51f86f371f0f.fc.signal	2.92859	2.99782	3.24997	5.21962	5.47493	6.10991	6.06911	5.45887	7.57707	6.99152	7.16868	7.27408	6.2452	4.17533	4.95271	5.47083	7.97531	9.27622	8.33031	7.48746	8.47532	8.72051	5.78471	4.86927	6.27077	5.88212	6.81711	7.92546	7.03062	5.70237	4.95849	5.84827	6.47255	6.67805	0.663717
