	chr9:12695951-12696030	chr9:12696031-12696100	chr9:12696101-12696250	chr9:12696251-12696300	chr9:12696301-12696400	chr9:12696401-12696550	chr9:12696551-12696700	chr9:12696701-12696850	chr9:12696851-12696910	chr9:12696911-12697000	chr9:12697001-12697060	chr9:12697061-12697150	chr9:12697151-12697300	chr9:12697301-12697380	chr9:12697381-12697450	chr9:12697451-12697510	chr9:12697511-12697600	chr9:12697601-12697670	chr9:12697671-12697750	chr9:12697751-12697850	chr9:12697851-12697900	chr9:12697901-12698050	chr9:12698051-12698200	chr9:12698201-12698350	chr9:12698351-12698500	chr9:12698501-12698580	chr9:12698581-12698650	chr9:12698651-12698730	chr9:12698731-12698800	chr9:12698801-12698950	chr9:12698951-12699000	chr9:12699001-12699100	chr9:12699101-12699250	chr9:12699251-12699400	chr9:12699401-12699470	chr9:12699471-12699550	chr9:12699551-12699670	chr9:12699671-12699700	chr9:12699701-12699720	chr9:12699721-12699850	chr9:12699851-12699890	chr9:12699891-12700000	chr9:12700001-12700070	chr9:12700071-12700150	chr9:12700151-12700300	chr9:12700301-12700450	chr9:12700451-12700600	chr9:12700601-12700660	chr9:12700661-12700750	chr9:12700751-12700900	chr9:12700901-12701050	chr9:12701051-12701110	chr9:12701111-12701155	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004713.2.44d9234d-e938-4209-8bc5-a1f9ee0dcbe4.fc.signal	1.30417	2.29453	2.85122	3.43825	1.68255	1.81433	1.35346	1.63963	1.4931	0.757714	0.843343	1.45259	1.51187	1.89465	2.21567	1.94862	2.39608	2.19801	2.37789	1.99027	1.46314	1.57552	1.43828	1.80511	2.94528	3.33033	2.41569	2.10111	1.89473	2.18143	1.64524	1.0455	0.78248	1.36921	1.06592	1.13442	1.04307	0.598258	0.554244	0.821048	0.91227	0.618169	1.12913	1.99371	2.69491	4.39205	3.83476	3.7887	2.9705	3.97358	3.44056	2.25936	2.19367	0.883181
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.de511913-2cf9-43ba-9705-d5ac577dfa6f.fc.signal	0.193196	0.310503	0.544612	0.239034	0	0.0956567	0.42839	0.0642199	0.149347	0.413328	0.473521	0.163381	0.138972	0.611019	0.84921	1.10807	0.976779	0.293752	0.283673	0.236231	0.252161	0.850538	1.18686	0.843543	0.694916	0.157081	0	0.173206	0.289015	0.5596	0.416133	0.624383	0.87406	1.03697	0.726432	0.219538	0.309656	0.68803	1.05717	1.62057	0.951425	0.0759673	0	0.095709	0.192858	0.671052	0.962134	0.842355	0.365264	0.629718	0.548775	0.530677	0.357792	0.423154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004607.2.e1fd1411-fa6d-4e9d-8b94-fee7dda1365c.fc.signal	0.365663	0.422621	0.977391	1.26489	0.933602	0.673061	0.678523	1.11186	0.722899	0.570355	0.32677	0.332133	0.45553	0.912334	0.860755	0.599232	0.26132	0.182094	0.369957	0.544236	0.3793	0.16802	0.177441	0.343293	0.323558	0.432369	0.415263	0.170734	0.362489	0.432547	0.315643	0.308621	0.25855	0.744361	0.780747	0.380155	0.123829	0	0.121681	0.487227	0.891124	0.987311	0.90627	0.618701	0.379768	0.402722	0.559191	0.499648	1.05374	1.27006	0.694618	0.989003	0.702336	0.591928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.7de26b70-374a-4d7c-b754-070af0779bd1.fc.signal	0.452233	0.855824	1.23197	1.00051	0.793272	0.379815	0.416358	0.553508	0.362868	0.531415	1.0076	1.18034	0.659905	0.762881	0.852345	0.574244	0.265896	0.583083	1.33161	0.946506	1.58711	1.67785	0.867387	0.230126	0.0318917	0.33952	0.598719	0.501336	0.188308	0.387379	0.687312	0.315506	0.467993	0.593333	1.10088	1.14273	0.760994	0.805801	0.646492	0.53566	0.430556	0.277573	0.159346	0.287725	0.447891	1.34068	1.02006	0.621368	0.265804	0.558053	0.7521	0.908025	0.780497	0.5
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.1ad53715-8cce-4edc-8f16-9e6eba200f6e.fc.signal	0.269758	0.0662787	0.136013	0.556533	0.701149	0.554345	0.458384	0.243999	0.387523	0.597746	0.392966	0.483086	0.3808	0.540247	0.643367	0.697477	0.567994	0.392118	0.63386	0.62291	0.590956	0.275718	0.10602	0.595905	0.692141	0.507477	0.480131	0.200402	0.177486	0.439921	0.683354	0.747704	0.906345	0.749733	0.550664	0.283882	0.52949	0.819945	0.944964	0.768714	0.900362	0.86432	0.487558	0.21689	0.638764	0.873909	0.944759	0.858656	0.853164	0.332255	0.388607	0.566743	0.537852	0.32716
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.8ac062ee-be78-42a9-ad2f-ffd51a54aa32.fc.signal	0	0.0244914	0.487699	0.498955	0	0	0	0	0	0.0523844	0.328591	0.169058	0.282203	0.354464	0.745301	0.841265	0.0451251	0	0.087027	0.510558	0.822912	0.386092	0	0	0.277849	1.2111	0.430991	0	0	0	0	0	0.178985	0.53907	0.40817	0	0.0142867	0.671473	0.8572	0.998981	0.471461	0.200426	0.275529	0.3894	0	0	0.110483	0.731672	0.224173	0	0.494041	0.58018	0.0773573	0.55578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004664.3.6712588d-45c1-44ec-9f01-5f62fc9e99bb.fc.signal	0.47246	0.478719	0.454805	0.374618	0.560092	0.618877	0.580968	0.624857	0.99157	1.25137	1.00922	0.661632	0.445348	0.73363	0.660461	0.548546	0.446895	0.381649	0.441322	0.331275	0.243679	0.126804	0.266883	0.738696	0.954501	0.9473	0.701558	0.730969	0.460259	0.715683	0.810622	0.963817	0.943875	0.687686	0.618332	0.551723	0.494563	0.390879	0.60264	0.641588	1.04853	1.04012	1.05699	0.644322	0.543142	0.501592	0.689269	0.667588	0.480149	0.845307	0.923568	0.703134	0.665618	0.427921
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.7e792a01-04c2-4297-a3a4-2a7110dfb8d8.fc.signal	0.081339	0.0305577	0.0638381	0.120187	0.016296	0.0497166	0.143087	0.181875	0.17963	0.166961	0.16628	0.313935	0.308914	0.454702	0.8426	0.694428	0.524323	0.490963	0.426222	0.418451	0.635522	0.306903	0.0817056	0.357837	0.466418	0.375513	0.476567	0.378283	0.159277	0.46902	0.055832	0.145187	0.28228	0.656785	0.499491	0.123275	0	0	0.030558	0.11984	0.218207	0.447583	0.600634	0.670532	0.400189	0.62122	0.316458	0.0971147	0.00734889	0.284227	0.248018	0.0418207	0	0.684848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000980.8.b168494f-d47a-403c-8246-740897ab3321.fc.signal	0	0	0.577174	0.830424	0	0	0	0	0	0	0	0.044918	0.978787	0.164509	0.164066	0.88343	0.706744	0.353372	1.76685	0.901095	0	0.412267	0.441715	0.480445	0.637658	1.60121	0.997013	0.110429	0	1.40759	0.88343	0.0088343	0	0	0	0	0	0.0588953	0.88343	2.37859	1.17726	0.0321247	0	0	0	0	0	0	0	0.306256	0.669861	0.788223	0.724889	0.570815
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000957.7.43e107f7-e0f6-47a5-a7b8-13ab80c11387.fc.signal	0	0	0.389577	0.50915	0	0	0	0	0	0	0	0	0	0	0.867653	1.15698	0.404954	0	0.55381	1.84732	1.28425	0.223702	0	0.123418	0.938372	0.200274	0.526498	0.180806	0	0	0	0	0	0.526215	0.720645	0	0.467657	1.15698	1.15698	1.34459	0.688566	0	0	0	0	0	0.235289	0.57858	0.154288	0	0.420435	0.347148	0.0128573	0.631336
