	chr11:40931135-40931204	chr11:40931205-40931284	chr11:40931285-40931434	chr11:40931435-40931584	chr11:40931585-40931684	chr11:40931685-40931734	chr11:40931735-40931884	chr11:40931885-40932034	chr11:40932035-40932184	chr11:40932185-40932264	chr11:40932265-40932334	chr11:40932335-40932484	chr11:40932485-40932584	chr11:40932585-40932634	chr11:40932635-40932694	chr11:40932695-40932784	chr11:40932785-40932934	chr11:40932935-40933084	chr11:40933085-40933234	chr11:40933235-40933384	chr11:40933385-40933454	chr11:40933455-40933534	chr11:40933535-40933624	chr11:40933625-40933684	chr11:40933685-40933784	chr11:40933785-40933834	chr11:40933835-40933984	chr11:40933985-40934034	chr11:40934035-40934134	chr11:40934135-40934184	chr11:40934185-40934284	chr11:40934285-40934334	chr11:40934335-40934434	chr11:40934435-40934504	chr11:40934505-40934584	chr11:40934585-40934734	chr11:40934735-40934784	chr11:40934785-40934884	chr11:40934885-40935034	chr11:40935035-40935184	chr11:40935185-40935334	chr11:40935335-40935414	chr11:40935415-40935484	chr11:40935485-40935544	chr11:40935545-40935634	chr11:40935635-40935694	chr11:40935695-40935784	chr11:40935785-40935934	chr11:40935935-40935984	chr11:40935985-40936014	chr11:40936015-40936034	chr11:40936035-40936054	chr11:40936055-40936084	chr11:40936085-40936223	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.846239	0.211057	0.0753197	0.169736	0.268312	0.117063	0.0735411	0.339532	0.0707824	0.151452	0.4591	1.03767	0.580094	0.258728	0.267843	1.02587	1.29004	1.45346	2.16068	2.62187	2.15748	1.30899	1.34967	1.89287	1.41078	0.40579	0.084436	0	0.0272336	0.277844	0.653624	0.975047	1.40398	0.97466	0.38299	0.462051	0.2724	0.702676	1.88105	0.953249	0.515596	0.559987	0.682843	0.703578	0.48867	0.379022	0.217888	0.0217792	0	0	0	0	0	0	0.654135
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0.278731	0.213486	0	0.502711	0.116886	0	0	0	0.234016	0.356793	0.0658839	0.191443	0.639964	0.447962	0.291641	0.347917	0.507844	0.244874	0	0	0	0	0.399047	0.431988	0.170875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11618	0.503913	0.571587	1.08267	1.01749	0.209338	0	0	0	0	0	0	0	0.255639
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.628356	0.7149	0.168743	0	0	0	0.264759	0.492849	0.983659	0.0572625	0	0.769324	0.208295	0	0	0.117996	0.374293	0.85555	1.12097	0.388372	0	0	0	0.0814165	0.510481	0.695226	0.201415	0.166908	0.406902	0.318596	0.107896	0.133338	0.126892	0	0.0305924	0.337235	0.724402	1.02914	0.202859	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18324	0.472485	0.761538
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.694625	0.743839	0.597866	0.224931	0	0	0	0	0	0	0	0.333327	0.558678	0.595396	0.618121	0.316536	0.0568915	0.390659	0.608749	0	0	0	0	0	0	0	0	0	0.496165	0.833189	0.777007	0.112182	0	0	0	0.395026	0.4384	0.096448	0	0	0	0	0	0	0	0	0.171084	0.854671	0.668048	0.217239	0	0	0	0	0.472362
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.374179	0.182171	0.103218	0.274202	0.358693	0.46404	0.0450479	0.702454	1.11982	0.755194	0.528128	1.19459	1.44637	0.842789	0.6051	0.487535	2.16313	1.39234	0.841123	0.199339	0.0971591	0.443751	0.631014	0.775577	0.41535	0	0	0.166561	1.23336	1.25892	0.332906	0.12947	0.447815	0.619075	0.380563	0.160811	0.286209	0.874294	0.666157	0.329502	0.889499	1.323	0.336661	0.332656	1.46042	1.64414	0.213634	0.672049	0.577566	0.238615	0	0.227861	0.352054	0.559623	0.674277
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.196487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.412832	0.955477	0.34501	0.190198	0.71657	0.66348	1.1612	0.605097	0.15629	0	0	0	0	0	0	0.109406	0.278208	0.20459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379964	0.626717	0.619248	0	0	0	0	0.382838
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.989835	0.836785	0.876934	0.482801	0.290163	0.359983	0.628433	0.270171	0.29593	0.113134	0.173676	0.394434	0.389682	0.087319	0.231404	0.653856	0.193683	0.119849	0.331464	0.344816	0.254835	0.537785	0.314366	0.252221	0.518669	0.497963	0.850176	0.214035	0.860074	1.1365	0.541654	0.483664	0.322688	0.0920104	0.004382	0.516309	0.145844	0	0	0	0	0	0	0	0	0	0.443803	0.506342	0.259208	0.106357	0	0.121206	0.205587	0.334416	0.902913
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	4.22978	2.39262	1.31636	1.29537	1.27657	0.519933	0.721758	1.01086	1.50212	0.854401	2.51538	4.06888	3.61272	2.60824	1.63441	2.31512	2.41786	2.56735	2.22708	2.42053	1.01945	0.832144	0.896799	0.908216	1.2225	0.908493	0.665422	1.01591	1.77783	1.51965	0.646898	0.535182	1.42861	1.35856	0.600528	0.489314	0.6365	0.507415	0.444345	0.623784	0.974238	1.0696	1.2419	0.87039	0.977202	0.793332	0.425403	0.376644	0.206844	0.0731113	0	0.05328	0.316038	0.446207	0.552472
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	0.796889	0.679184	1.33986	0.0898633	0	0	0	0	0.351732	0.327429	0.502906	0.611856	0.441854	0.106126	0	0.237016	0.427334	0.00816893	0.507751	0.0383231	0	0	0.61267	0.61267	0.477883	0.61267	0.212392	0	0	0	0.360542	0.446334	0.720205	0.935384	0.382165	0	0	0	0	0	0	0.058961	0.738108	0.938551	0.589624	0.365524	1.19987	0.407847	0	0	0	0	0	0.49807	0.331754
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0	0.409789	0.140015	0	0	0.55884	0.4657	0	0.502956	0.27942	0	1.05844	1.76382	0.216886	0	0	0	0	0	0	0.199027	0.60246	0.452519	0.433032	0.331303	0.501057	0.491527	0	0	0	0	0	0	0	0	0.108804	0.580992	0.747724	0.274263	0	0	0	0	0	0	0	0.126517	0.342238	0	0	0	0	0	0.180219	0.427746
