	chr8:48728848-48728997	chr8:48728998-48729147	chr8:48729148-48729297	chr8:48729298-48729447	chr8:48729448-48729597	chr8:48729598-48729647	chr8:48729648-48729747	chr8:48729748-48729897	chr8:48729898-48730047	chr8:48730048-48730197	chr8:48730198-48730347	chr8:48730348-48730497	chr8:48730498-48730647	chr8:48730648-48730707	chr8:48730708-48730797	chr8:48730798-48730887	chr8:48730888-48730947	chr8:48730948-48731097	chr8:48731098-48731247	chr8:48731248-48731397	chr8:48731398-48731497	chr8:48731498-48731547	chr8:48731548-48731597	chr8:48731598-48731697	chr8:48731698-48731847	chr8:48731848-48731997	chr8:48731998-48732147	chr8:48732148-48732297	chr8:48732298-48732447	chr8:48732448-48732547	chr8:48732548-48732597	chr8:48732598-48732747	chr8:48732748-48732897	chr8:48732898-48733047	chr8:48733048-48733197	chr8:48733198-48733347	chr8:48733348-48733397	chr8:48733398-48733497	chr8:48733498-48733547	chr8:48733548-48733647	chr8:48733648-48733797	chr8:48733798-48733947	chr8:48733948-48734003	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.92283	1.49531	0.707525	1.03882	0.671075	0.709989	1.05196	1.98447	1.1716	1.81772	0.925814	1.77616	0.477963	0.285649	0.542067	1.42207	2.43534	1.85109	1.25741	1.81324	0.707123	0.259216	0.271991	0.314189	1.54343	2.35988	2.97091	3.42958	3.76856	2.42465	0.803543	2.43115	1.49899	0.813996	0.152875	0.510964	0.939431	0.323305	0	0.0675555	1.79897	2.81574	3.8536	0.713244
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0.113318	0.110849	0.433712	1.79033	1.07014	0.752545	1.64135	1.42242	1.04611	0.926053	1.35905	1.0362	2.22062	1.79511	0.845052	0.942902	0.80058	0.30422	0.821931	1.41238	0.606298	0.246845	0.24818	0.600433	1.41985	0.863222	0.715109	0.527184	0.162629	0.608376	0.494144	0.487693	0.309586	0.726719	0.830784	0.874093	1.10411	2.56419	3.19364	1.09621	0.692481	0.728904	0.315632	0.696751
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0	0.322599	0.14492	0.354607	0.0076148	0	0	0.0240422	0.382109	0.368766	0.498138	0.877626	0.0535743	0	0	0	0	0	0	0.0274152	0.362432	0.583765	0.476165	0.287252	0	0.063642	0.48923	0.0333993	0.430354	0.0448734	0	0.235333	0.341324	0.137483	0	0	0	0	0	0	0	0	0	0.498127
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.331143	0.37256	0.0776599	0.348512	0.192395	0	0.0511608	0.454853	0.440454	0.134045	0	0	0.196834	0.574421	0.207993	0	0	0	0	0.631295	0.640578	0.111652	0.762401	1.94549	0.698983	0	0.400931	0.8818	0.602613	0.518797	0.3596	0.0174247	0.0245191	0.539431	0.684368	0	0	0	0	0	0	0	0	0.837662
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0	0.584524	0.873374	0.392113	0.520331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167544	0.520265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.647255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.13102329-ee3d-4773-b2d1-9ab40cd17100.fc.signal	0.873931	0.796675	0.631167	0.718374	0.656853	0.419052	0.255039	0.10001	0.179762	0.422431	0.742962	0.640387	0.54968	0.625433	0.456378	0.0468828	0	0.21692	0.254713	0.185027	0.479283	0.439744	0.851878	0.939936	1.02239	0.858759	0.317818	0.547537	0.699602	0.453383	0.215471	0.374497	0.642596	0.475615	0.429264	0.69078	0.86746	0.694579	0.661233	0.428865	0.454606	0.640332	0.481054	0.42449
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.148868	0.790662	0.146135	0	0.0672213	0.4384	0.556771	0.539619	0.180635	0.315664	0	0	0.0993707	0.402507	0.348416	0.385908	0.34457	0.202828	0.138219	0.494114	1.07622	0.88606	0.45691	0.240903	0.851564	0.603858	0.0114056	0	0	0	0	0.178108	0.483882	0.299801	0.192501	0.173428	0.0540482	0.395464	0.39998	0.313636	0	0.368721	0.599351	0.284946
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	0	0	0.262	0.77057	0.174668	0	0.157978	0.77057	0.331353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.76933
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0	0.610697	0.371089	0.359023	0	0	0	0	0	0	0	0.561746	0.5529	0.66348	0.280136	0	0	0	0	0	0	0	0.178175	0.31259	0.112531	0	0.278662	0.495398	0	0	0	0	0	0	0	0	0	0	0	0	0.247699	0.526361	0	0.298507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004615.1.8cd5cefc-1c86-42bb-a689-d60dd071a471.fc.signal	1.09901	0.23289	0.671396	0.537127	0.474177	1.25882	0.966894	0.39402	0.49756	0.337795	0.537835	0.587993	0.712933	0.540057	0.487832	0.470105	0.446667	0.435686	0.77647	0.252088	0.170444	0.100226	0.434361	0.380868	0.793217	0.302834	1.62578	1.73187	0.838507	0.878589	1.25882	1.49593	0.972034	1.6387	0.814713	0.37967	0	0.512984	0.755326	0.657743	1.96465	1.23891	0.387808	0.52809
