	chr22:41992214-41992363	chr22:41992364-41992513	chr22:41992514-41992663	chr22:41992664-41992813	chr22:41992814-41992963	chr22:41992964-41993113	chr22:41993114-41993263	chr22:41993264-41993413	chr22:41993414-41993563	chr22:41993564-41993713	chr22:41993714-41993863	chr22:41993864-41994013	chr22:41994014-41994163	chr22:41994164-41994313	chr22:41994314-41994463	chr22:41994464-41994613	chr22:41994614-41994763	chr22:41994764-41994913	chr22:41994914-41995063	chr22:41995064-41995213	chr22:41995214-41995363	chr22:41995364-41995513	chr22:41995514-41995663	chr22:41995664-41995813	chr22:41995814-41995893	chr22:41995894-41995963	chr22:41995964-41996113	chr22:41996114-41996263	chr22:41996264-41996413	chr22:41996414-41996563	chr22:41996564-41996713	chr22:41996714-41996863	chr22:41996864-41997013	chr22:41997014-41997163	chr22:41997164-41997313	chr22:41997314-41997463	chr22:41997464-41997613	chr22:41997614-41997763	chr22:41997764-41997913	chr22:41997914-41998063	chr22:41998064-41998213	chr22:41998214-41998363	chr22:41998364-41998513	chr22:41998514-41998613	chr22:41998614-41998663	chr22:41998664-41998743	chr22:41998744-41998813	chr22:41998814-41998963	chr22:41998964-41999023	chr22:41999024-41999113	chr22:41999114-41999263	chr22:41999264-41999402	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0.202808	0.386299	0	0.248293	0.461717	0.546613	0.0248425	0	0	0	0.679869	1.25739	0.256688	0	0.280753	0.306182	0	0	0.334588	0.204328	0	0	0	0	0	0.377207	0.108297	0	0.330483	0.161194	0	0.150228	0.187384	0.259192	0.107821	0.24443	0.147938	0	0.133495	0.679916	1.23998	1.95462	1.49752	1.61107	1.55104	2.25971	4.64069	5.51452	2.56592	1.09693	0.914674	0.814815
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.838711	1.0643	1.10186	1.17761	1.15198	0.540668	0.5609	0.209908	0.196088	0.459187	0.521875	0.208143	0.390357	0.513878	0.474838	0.412088	0.47768	0.582035	0.676957	0.81567	0.714902	1.21893	0.661978	1.32643	1.22466	0.550442	0.435563	0.264597	0.504951	0.73813	0.51218	0.385436	0.327109	0.313942	0.612182	0.606834	0.567608	0.928672	1.20625	1.59867	0.950009	0.838628	1.3014	0.993825	0.509301	0.362716	0.49094	0.56668	0.388019	0.195067	0.26867	0.517949	0.758571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.466942	0.308141	0	0.194185	1.44009	0.798948	0.554634	0.0782034	0	0	0.0497742	1.41665	0.325614	2.02462	1.43869	0.270193	0	0.0355028	1.52529	0.360105	1.06653	0.945262	1.06659	0.814987	0.201081	0.0626429	1.53682	1.11189	0	0	0.553368	0.287804	0.0853128	0.142188	1.38182	2.12208	0.929142	0.732404	1.22062	0.139792	1.60727	4.56015	6.46337	7.29887	3.17127	2.30644	3.17942	13.8132	9.71758	2.07388	3.79936	3.73683	0.750524
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.130778	0.104133	0.0423157	0.441858	0.962676	0.951309	0.595275	0.354008	0.604045	0.838605	0.750255	0.239046	0.119962	0.381721	0.561933	0.535863	0.705494	0.458673	0.621487	1.03407	0.784989	0.661556	0.288791	0.169916	0.186263	0.099888	0	0	0	0.251732	0.608235	0.549218	0.495206	0.811951	1.26257	0.993868	0.620217	0.829326	1.13442	1.61217	1.65332	2.74865	4.17613	3.12332	1.93685	1.76749	2.01671	3.91382	3.85617	3.67118	2.26946	1.3988	0.548077
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.1a48d1e3-a2d4-434f-8cee-d284ec0da60a.fc.signal	0	0	0	0	0	0	0	0	0	0.389417	0.951328	0.808931	0.506317	1.61249	2.65084	1.56917	1.0027	1.40457	6.14618	10.453	12.9717	8.0891	10.4379	8.39792	2.90478	1.23348	0.472549	0.786042	1.58502	0.951019	1.40242	0.0065768	0	0	0	0.218555	1.43107	1.6846	0.21637	1.84414	1.84178	3.97637	7.4205	5.1458	4.1052	5.66343	15.673	25.1051	18.093	9.29891	3.79633	0.599913	0.814516
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0.506506	0.837935	0.0785028	0.670565	0.30371	0.551615	0.702345	0.437691	0	0.147495	1.26862	0.750452	0.536386	0.66448	0	1.07555	1.29716	0.397621	0.277534	0.743702	0.556426	0.821366	2.28017	1.16332	0.252234	0.336276	0.968392	0.286985	0.323964	0	0.656476	0.26686	0.277534	0.995418	1.00611	0.0232685	0.638809	0.441388	1.22625	0.855051	2.28524	3.38099	4.93298	10.6624	6.19559	4.09759	5.03249	17.1307	13.8041	6.25822	6.42365	5.43444	0.769767
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	1.10534	0.625547	0	0.0898559	0.193277	0.0530748	0.509598	0.949125	0.359352	0.597627	0.403841	1.02875	0.396708	1.49096	0.469805	0	0.0360954	0.665829	0.556415	0.833007	1.08798	0.561349	1.10111	1.23974	0.795984	0.541873	0.867753	0.291871	0.65715	1.40833	0.864843	1.50545	1.33036	0.215003	1.12089	1.04522	1.59807	0.895066	1.22317	1.57667	1.78091	5.48856	6.74558	7.47103	4.93424	2.48475	5.33524	12.2856	7.6078	3.45566	3.2511	2.48104	0.648228
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.383727	0.534441	0.197456	0.515133	1.40262	0.741244	0.301892	0.522763	0.735809	0.733416	1.20813	0.986618	0.978256	0.0135919	0.21388	0.389756	1.04619	0.599896	0.80821	1.89859	0.862084	1.43156	1.7388	2.8794	1.95152	0.59613	0.613476	0.372969	0.874454	1.30621	0.914651	2.68915	1.39353	0.599563	0.936436	1.648	0.84616	0.731179	0.857985	1.27557	2.0635	3.85831	5.52809	6.43244	2.61034	2.3466	1.77725	6.11487	4.23453	2.82316	2.49564	2.63098	0.518207
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001906.1.d4812fd5-35f7-424c-8ea9-21e1d395b54b.fc.signal	0.423203	0.49704	0.117037	0.0119979	0.454688	0.350323	0.283846	0.222495	0.0752457	0.215114	0.118872	0.358905	0.439386	0.482997	0.761777	0.782643	0.715321	1.30019	1.1324	1.26989	2.41073	4.91625	5.11024	3.74731	1.80065	1.93151	2.56204	1.49661	1.86737	1.04427	0.217637	0.198393	0.304974	0.437792	0.615259	0.475452	0.632115	0.459286	0.275455	0.138577	0.566153	2.15482	5.66462	6.29237	3.42585	3.52098	6.60308	15.2537	13.2182	8.31352	3.63363	2.41832	0.465839
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	0.828981	0.654156	0.0660107	0.345508	0.769395	0.59709	0.182714	0.483718	1.63081	0.724816	0.781644	1.01659	0.726339	0.314415	1.25125	1.72451	1.21005	1.4788	1.76102	1.69038	1.15038	0.5092	0.656425	0.421083	0	0	0.0924048	0.467941	1.67591	1.47172	0.694534	0.606543	1.79208	0.637265	1.10486	1.15202	0.768792	0.714937	0.978219	2.17558	1.11816	3.08201	5.18884	2.71576	2.0086	2.06446	3.17872	3.73308	3.71233	2.91768	1.48956	2.11286	0.64816
