	chr7:128474582-128474731	chr7:128474732-128474881	chr7:128474882-128475031	chr7:128475032-128475181	chr7:128475182-128475331	chr7:128475332-128475481	chr7:128475482-128475631	chr7:128475632-128475781	chr7:128475782-128475931	chr7:128475932-128476081	chr7:128476082-128476231	chr7:128476232-128476281	chr7:128476282-128476381	chr7:128476382-128476531	chr7:128476532-128476611	chr7:128476612-128476681	chr7:128476682-128476791	chr7:128476792-128476831	chr7:128476832-128476981	chr7:128476982-128477131	chr7:128477132-128477281	chr7:128477282-128477361	chr7:128477362-128477431	chr7:128477432-128477581	chr7:128477582-128477731	chr7:128477732-128477881	chr7:128477882-128477961	chr7:128477962-128478031	chr7:128478032-128478181	chr7:128478182-128478331	chr7:128478332-128478481	chr7:128478482-128478631	chr7:128478632-128478681	chr7:128478682-128478781	chr7:128478782-128478931	chr7:128478932-128479081	chr7:128479082-128479231	chr7:128479232-128479381	chr7:128479382-128479531	chr7:128479532-128479673	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.27708	0.781053	0.0166554	0.0980818	0.342371	1.28152	3.11261	1.59355	0.694055	1.40848	1.48352	3.08639	3.58611	3.84065	3.91161	2.32268	1.68965	3.04566	4.38199	5.19564	6.6639	5.66851	3.32349	3.92396	3.13195	1.78791	0.464963	0.59486	1.43068	1.58984	1.86792	0.666667	0	0.294245	0.396028	0.457098	0.447867	1.26968	1.17344	0.427043	0.620818
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.205635	0	0	0	0	0	0	0	0	0.903183	1.40105	2.57857	3.16999	9.74536	8.3916	0.673931	1.52851	7.25757	15.245	13.5153	7.79383	8.66375	8.75231	3.56503	0.600778	0.66744	0	0	0	0	0	0	0	0	0	0	0.60481	0.326597	0.399175	0.157591	0.735409
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.62334	2.00432	0.565501	0.606539	0.387093	0.666096	1.48884	0.946481	0.0791064	1.55598	1.84688	2.40329	4.40024	7.06189	6.30375	4.98732	6.74891	7.60401	8.99585	7.44575	6.1544	3.54939	2.72495	4.54212	2.5552	1.76991	1.26368	0.489741	0	0.451246	1.75629	0.856368	0.82631	1.93836	1.62043	0.808769	0.64171	1.25774	1.10629	0.346649	0.761477
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.771607	0	0	0.0441738	0.530742	0.0166962	0	0	0	0	0.945945	4.88544	12.2998	18.811	20.2123	5.47288	2.21852	12.9127	18.6027	8.7174	7.46914	6.52759	4.00231	3.60192	1.01083	0.743726	0.149536	0	0	0.430269	0.357962	0.980105	0.0333924	0.219763	0.914396	0.719618	0	0.706688	0.480394	0.172123	0.619298
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0	0	0	0	0.316897	2.51946	3.73277	4.3134	7.09943	7.62787	4.36642	4.8583	6.37587	8.11853	5.05429	5.23639	4.49782	4.63381	3.57436	0.660781	1.73892	1.2172	0.71215	0	0	0	0	0	0	0	0.490804	0.185501	0.477975	0.149044	0	0.527453
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.223798	0.201293	0.386385	0.639026	0.640174	0.514481	0.185511	0.0390581	0.23237	0.360375	0.678707	1.58428	2.9514	4.1313	2.81292	1.83026	4.39549	8.02789	12.6245	12.457	11.4041	10.2763	7.01235	3.13488	0.791559	0.990351	1.48181	1.22719	0.51518	0.311372	0.71028	0.0175037	0	0.116275	0.628993	0.761552	0.690273	0.992852	0.418918	0.260179	0.731638
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0	0	0.422557	1.25686	2.90557	4.86364	9.48504	12.8114	6.52679	3.85957	5.33202	8.7366	4.09575	5.67169	6.13722	4.93561	2.09846	1.0901	1.10195	0.61459	0.566983	0	0	0	0	0	0.313956	0.442303	0	0	0	0	0.513109	0.568574
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.309654	0.586952	0.249078	0.30954	0.22378	0.706209	0.997528	0.764087	0.119194	0.0057816	0.663044	1.85763	2.495	3.03681	2.27375	1.0406	0.871087	0.865037	1.20002	1.48472	1.66083	1.57284	0.880794	1.38565	1.48215	0.533054	0.284865	0.202756	0.519567	0.534555	0.617344	0.760112	0.0696818	0.0944501	0.739837	0.824302	0.229045	0.438963	0.334326	0.409639	0.553731
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0	0.155891	0.913148	1.21458	1.5259	2.19624	1.69563	1.55565	0.326576	0.334468	0.825706	2.08464	5.05572	9.25621	11.3475	8.61603	2.44585	2.39423	6.44103	5.32446	4.39649	6.11764	4.09472	3.05045	3.31273	1.59039	0.107951	0	0.341443	0.630997	1.19227	0.749844	0.316206	0	0.542737	1.08833	0.549364	2.72758	1.61842	0.210157	0.573913
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0	0	0	0.0573804	0.573611	0.128906	0	0	0	0	0	0.573724	0.95618	3.28549	7.30333	4.8905	3.45117	3.87283	5.7757	3.76436	2.8534	2.66983	1.5421	0.455844	0.337895	0.863765	0.561822	0.368874	0	0.127512	0.430353	0	0	0	0.286902	1.12195	0.264558	0.223146	0.334719	0	0.639839
