	chr12:42349385-42349464	chr12:42349465-42349534	chr12:42349535-42349574	chr12:42349575-42349684	chr12:42349685-42349744	chr12:42349745-42349784	chr12:42349785-42349834	chr12:42349835-42349984	chr12:42349985-42350134	chr12:42350135-42350284	chr12:42350285-42350434	chr12:42350435-42350584	chr12:42350585-42350734	chr12:42350735-42350804	chr12:42350805-42350884	chr12:42350885-42351034	chr12:42351035-42351184	chr12:42351185-42351334	chr12:42351335-42351484	chr12:42351485-42351634	chr12:42351635-42351784	chr12:42351785-42351934	chr12:42351935-42352084	chr12:42352085-42352234	chr12:42352235-42352384	chr12:42352385-42352534	chr12:42352535-42352684	chr12:42352685-42352834	chr12:42352835-42352984	chr12:42352985-42353134	chr12:42353135-42353284	chr12:42353285-42353434	chr12:42353435-42353584	chr12:42353585-42353734	chr12:42353735-42353884	chr12:42353885-42354034	chr12:42354035-42354184	chr12:42354185-42354334	chr12:42354335-42354484	chr12:42354485-42354549	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0	0	0	0	0	0	0	0	0.260935	0.729705	1.1019	0.923226	1.18402	0.36897	0.393746	0.470993	0.334446	0.161002	0	0.364538	0.382171	0.361346	0.8773	0.425662	0.608708	0.984459	0.365305	0.289759	0.47627	0.494609	0.257618	1.26319	0.88305	0.747084	0.753372	0.111036	0	0	0.388626	0.324567	0.611021
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	1.3457	0.414727	0	0	0	0	0	0	1.13301	0.197571	0	0	0	0	0.430927	2.05635	1.99587	1.68073	1.97079	0.103015	0.0889592	0.280307	0.990476	0.602484	1.68568	0.782221	1.0685	1.20768	0.285335	0.131987	0.442655	0.731956	0.571972	1.87038	0.502925	0.429835	0.39196	0.0493611	0	0.734111	0.509236
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0	0	0	0	0.10987	0.43948	0.43948	0.395532	0.351584	0.0143163	0.438481	0.161143	0.603585	1.22443	1.72824	0.79515	0.160411	0.521591	0.964074	0.626289	0.43948	0.0791064	0.0521205	0.446246	0.208747	0.141601	0.360186	0.643164	0.434561	0.463797	0.292987	0.565147	1.12058	0.814628	0.339865	0.00292987	0.518613	0.812775	0.999307	1.07365	0.560786
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.354743	0	0	0	0.185513	0.549408	0.55636	0.647262	0.133538	0	0	0.00927567	0.517427	0.143097	0	0	0.36507	0.77247	1.34485	0.3261	0	0	0	0.328142	0.249587	0.00185513	1.27419	1.30145	0.801235	0.233675	1.00951	0.810874	0.381858	0.157452	0.29475	0	0	0.117293	0.509892	0.55636	0.484033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	0	0	0	0	0	1.63943	1.9786	0.904512	0	0	0	0	0	0	0	0	0	2.48167	0.910182	1.0356	1.12172	1.18371	0.0393856	0	0	0	0	0.0525112	4.43669	2.18208	1.50375	0.757529	0	0	0	0.84798	1.69596	0.741438
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.796982	0	0	0	0	0	0	0	0	0	0	0	0.038646	0.57969	0.57969	0.561291	0.395565	0.0218851	0.403279	0.496274	0.235772	0.227716	0.406731	0.392938	0.177439	0	0	0	0	0.156141	0.616263	0.438258	0.573784	0.3789	0.799024	0.522312	0.258443	0	0.0294971	0.501786	0.525587
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.00234425	0	0	0	0	0	0	0.0275059	0.265057	0.837811	0.407649	0	0	0	0	0.0235934	0.35542	0.417594	0.509593	0.807432	0.912006	0.358262	0.362358	0.339705	0.303045	0.0574382	0.292562	0.181289	0.407639	0.603888	0.0111043	0.0813004	0.152138	0.373837	0.916706	0.662858	0.283293	1.22113	1.47929	1.01286	0.805355
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	1.38684	0.507765	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46429	0.0623317	0.443014	0.210678	0.27616	0.277011	0.735368	0.862199	0	0	0	0	0	0.521286	0.130321	1.01258	0.278713	0.363552	0.240088	0.394721	1.30132	0.297234	0	0.339277	0.522008	0.541336
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0174045	0	0	0	0	0	0.049461	0.158922	0.0554131	0.0905986	0.0317427	0.0053736	0.0453057	0.0977264	0.188349	0.333535	0.14543	0.055765	0	0.0809042	0.0430031	0.252287	0.600121	0.44403	0.371082	0.340777	0.467436	0.325163	0.41601	0.724511	0.21015	0.405178	0.526465	0	0	0	0	0.308652	0.991005	0.612858	0.556017
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.33729	0.019219	0	0	0	0	0	0	0.0610919	0.449373	0.70945	0.0999876	0.108203	0.198976	0.263784	1.00476	0.700394	0.397552	0.49108	0.949118	0.529474	0.953504	0.42863	0.587825	1.31242	1.30883	1.44476	0.843163	1.27805	1.78418	0.83344	0.652893	0.691875	0.836164	0.476244	0.616884	0.594706	1.30164	1.44913	0.802686	0.516144
