	chr6:30555650-30555799	chr6:30555800-30555949	chr6:30555950-30556099	chr6:30556100-30556249	chr6:30556250-30556399	chr6:30556400-30556499	chr6:30556500-30556549	chr6:30556550-30556699	chr6:30556700-30556849	chr6:30556850-30556919	chr6:30556920-30556999	chr6:30557000-30557149	chr6:30557150-30557299	chr6:30557300-30557449	chr6:30557450-30557599	chr6:30557600-30557679	chr6:30557680-30557749	chr6:30557750-30557899	chr6:30557900-30558049	chr6:30558050-30558199	chr6:30558200-30558349	chr6:30558350-30558499	chr6:30558500-30558649	chr6:30558650-30558799	chr6:30558800-30558949	chr6:30558950-30559099	chr6:30559100-30559249	chr6:30559250-30559399	chr6:30559400-30559549	chr6:30559550-30559699	chr6:30559700-30559849	chr6:30559850-30559999	chr6:30560000-30560149	chr6:30560150-30560299	chr6:30560300-30560449	chr6:30560450-30560599	chr6:30560600-30560712	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	4.99111	5.60734	7.50117	5.67859	6.12483	7.16289	5.10888	3.98154	4.91666	4.79026	4.58284	5.43997	6.77513	7.78425	6.62277	4.0138	3.60978	2.6436	2.0438	1.10075	1.65087	0.449166	1.31957	1.03574	0.11701	0.964138	1.24882	0.688807	0	0.156762	0.688132	0.968219	2.0064	1.27708	0.976043	0.378581	0.436204	0.445378
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	13.8211	13.2935	11.6276	10.9284	21.3751	21.8638	16.0854	14.4699	22.6745	13.2011	11.7461	11.3555	14.887	16.3679	14.8098	8.1987	6.37872	5.03979	1.89705	1.14424	1.13273	1.49192	2.38321	1.72555	0.292931	0	0.426907	1.3093	0.194345	0.79403	1.09867	0.459968	1.08696	1.78632	1.12946	0.919856	0.490718	0.172507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	14.5358	17.1491	7.17218	22.9039	30.8999	84.8705	29.7368	8.37035	37.2399	22.7031	13.4756	29.2677	18.0542	8.3296	5.87867	2.14385	0.949353	1.80875	0.667654	2.12374	0.382094	1.27049	0.478512	0.339421	0.254112	0	0	0	0	0.44124	0.218072	0.863473	1.23467	0.803263	0.302501	0	0	0.778037
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	13.1639	15.0256	16.9448	25.9271	42.2916	63.5341	42.8212	28.1921	24.3844	40.6277	38.4839	25.8361	26.4089	31.8697	29.3173	15.6313	9.51881	5.10839	2.54538	0.863117	1.4038	0.225489	0.358648	0.253689	0.380382	0	0	0.305823	0.772275	0.32518	0	0.352176	0.138273	0	0	0	0	0.37525
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	9.06915	15.2787	20.5679	27.6011	32.3805	46.9848	44.1422	31.7	52.4868	46.4651	30.7504	23.4699	32.3444	30.9727	26.7437	17.2815	9.05584	3.12507	0.227002	1.20852	0.601014	0.857205	0.400927	0	0	0.359389	0.105144	0	0.366116	0.114792	0	0.237997	0.264094	0	0.292253	0.229402	0.288901	0.510753
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	1.64637	2.41134	1.81751	1.72993	1.90528	2.30234	1.96325	1.60869	1.52309	1.18552	1.29905	1.42332	1.3061	1.86271	2.83491	2.46336	2.30742	2.8652	1.42891	1.50398	1.57051	0.333497	0.841026	0.772846	0.351401	0.15222	0.442758	0.629284	0.204622	0.0421277	0.123128	0.207206	0.605778	0.718961	0.358492	0.210628	0.266089	0.059823
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	12.5717	12.5554	14.8405	20.7663	37.6707	42.6039	23.6884	11.3497	13.8175	13.1754	18.8949	25.9557	24.8213	21.2652	16.3698	10.2453	8.29183	6.37877	2.4691	2.92154	1.01434	0.916077	1.46095	0.713392	0.721829	0.0376076	0.368889	2.09249	1.14429	1.52089	0.876	0.643628	1.85744	1.4763	0.567388	1.15345	1.82906	0.682243
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	14.3117	12.392	23.0979	37.4337	48.8774	35.8933	44.7999	17.3239	23.3737	13.0682	11.4076	24.7419	31.2595	22.7873	18.873	15.5389	9.93765	5.68815	5.86577	2.64312	2.25539	1.73998	1.44229	0.322629	0	0.21383	0.218661	0.39307	0.688776	0.93553	1.6802	0.644175	0	0.411158	1.08373	0.178517	0	0.758427
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aa854cbd-228f-48b3-bc4a-7a1e57daf907.fc.signal	15.9783	14.7426	16.0051	28.2422	44.9977	39.8128	18.3664	11.3509	27.8781	37.2583	26.6336	19.033	24.3716	20.5182	25.4132	12.8515	8.68926	7.61703	3.00265	2.27186	0.552086	0	0.353374	1.49898	0.656056	0	0	0	0	0	0.615545	0.428703	1.36255	0.359836	2.23834	1.25974	0	0.281818
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	3.54575	5.77605	9.71761	34.4193	53.4112	104.822	42.6057	29.3187	103.689	82.8721	37.272	41.2752	37.5644	35.871	33.8223	23.1287	15.6887	10.0399	3.85295	3.78702	3.75042	1.38476	2.65187	1.08632	0.951223	0.946733	0.746613	1.68044	0.42429	0.957582	0.344277	0.733576	1.02626	1.69463	1.59744	1.94825	0.657598	0.0538922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	6.03359	6.75242	7.42739	21.3172	28.9511	44.7494	28.0514	16.4155	52.8499	68.8815	68.2627	67.7612	34.9514	38.1666	53.8958	31.7609	22.07	23.3835	19.7254	13.2665	5.22673	6.16126	2.42265	0.544607	1.43266	0.771246	0.237836	0.0883064	0.703135	0.788096	0.184747	2.13098	0.615912	0.125678	0.872191	0.915798	0.825863	0.136483
