	chr12:69674416-69674565	chr12:69674566-69674635	chr12:69674636-69674715	chr12:69674716-69674865	chr12:69674866-69674935	chr12:69674936-69675015	chr12:69675016-69675165	chr12:69675166-69675315	chr12:69675316-69675465	chr12:69675466-69675615	chr12:69675616-69675765	chr12:69675766-69675915	chr12:69675916-69676065	chr12:69676066-69676215	chr12:69676216-69676365	chr12:69676366-69676515	chr12:69676516-69676665	chr12:69676666-69676815	chr12:69676816-69676965	chr12:69676966-69677115	chr12:69677116-69677175	chr12:69677176-69677265	chr12:69677266-69677415	chr12:69677416-69677565	chr12:69677566-69677615	chr12:69677616-69677715	chr12:69677716-69677805	chr12:69677806-69677865	chr12:69677866-69678015	chr12:69678016-69678165	chr12:69678166-69678215	chr12:69678216-69678315	chr12:69678316-69678465	chr12:69678466-69678575	chr12:69678576-69678615	chr12:69678616-69678765	chr12:69678766-69678915	chr12:69678916-69679005	chr12:69679006-69679065	chr12:69679066-69679165	chr12:69679166-69679215	chr12:69679216-69679285	chr12:69679286-69679365	chr12:69679366-69679515	chr12:69679516-69679568	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	6.98042	3.19432	1.14389	0.435204	0.632766	1.04574	1.07715	1.39874	1.9564	1.38428	0.7547	3.34451	4.87695	6.33041	4.66907	1.67135	0.89606	2.6391	6.01175	9.91822	7.64179	5.61655	4.9423	3.43257	5.59144	6.45613	5.09301	2.33545	0.387647	0.645457	1.55239	1.60278	4.30139	5.92371	5.62073	4.76258	1.89014	0.844275	2.23328	3.4303	2.53287	2.08156	3.30231	3.82621	4.52879	0.436942
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.41bb4ab6-1e8d-4527-bfe1-5ddf65dcaa7f.fc.signal	0.568869	0.127846	0.640648	0.36984	0	0	0	0	0	0	0.21652	0.612704	0.382092	0.859152	0.939283	0.209776	0.314305	0	0	0.356823	0.214773	0	0	0.390132	1.13626	0.91019	0.0213077	0	0	0.0368192	0.316025	0.477504	0.0552288	0	0	0	0	0.440354	0.915717	0.640387	0.202506	0	0	0	0	0.609687
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000864.3.14e2d66e-78ce-42e0-867f-4b49c7b19bff.fc.signal	1.03133	0.759394	0.750371	0.531482	0.457742	0.406659	0.084054	0.520425	0.832186	1.10947	0.442531	0.663045	0.638696	0.413392	0.63919	0.688009	1.41881	1.61344	1.69456	1.81894	1.30838	1.52234	1.08296	0.804366	1.50651	1.98445	1.55327	0.802067	0.295539	0.548526	0.558318	0.209032	1.3183	2.81118	2.80405	2.22702	1.04966	0.494489	0.300747	0.325048	0.606514	1.13425	1.68685	1.31619	1.43449	0.426691
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	2.44365	0.260909	0.0208886	0	0.154601	0.42622	0.435861	0.49229	0.490441	0.0811741	0	0	0	0.780899	4.03288	3.98665	0.857947	0	0.41357	2.89749	3.30719	1.93372	0.466965	1.87365	1.971	1.50127	0.750878	0.430254	0	0	0	0.342935	0.77057	0.283738	0	0	0	0	0	0	0	0.0550486	0.741698	1.59319	1.29811	0.107143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	2.6208	1.97532	1.7974	2.42393	1.10703	1.49277	0.835116	1.14602	1.47906	1.6206	3.02947	1.27574	1.23356	1.5618	1.36271	0.975028	1.27849	0.923607	0.99882	1.70072	0.773792	0.692319	1.04457	1.38391	0.94282	1.63193	1.99845	1.64045	1.01209	1.83459	1.18231	0.635562	1.31966	0.583029	1.08522	2.04746	1.30258	1.28885	1.78087	1.90391	1.8706	1.27667	1.78665	2.33053	1.72501	0.499464
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	2.20319	2.46966	1.77493	1.22369	0.278098	0.026165	0.500981	0.122659	0.425951	0.478626	1.06003	0.719572	0.147355	0.00465747	0.203216	0.25688	0.616544	0.543969	0.493015	0.268911	0.498341	0.683679	1.25381	1.40996	0.818509	0.819643	0.557199	0.41865	0.690665	0.803676	0.673974	0.962646	1.3363	0.857157	1.34214	0.80593	0.678053	0.71883	1.45342	1.51223	0.968891	0.494361	0.602583	0.606966	0.390623	0.436195
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	9.02346	7.70745	4.00097	1.42034	0.53917	0.726319	1.841	2.96983	3.90257	2.12112	3.04703	3.98816	5.77325	6.126	5.91296	2.66547	4.82799	3.67568	2.91783	2.92888	1.73705	1.9906	1.66151	1.32246	2.06366	3.16171	2.81989	3.2414	3.36252	1.98342	1.35777	0.917982	1.47817	1.27621	3.28661	4.3749	3.84208	3.45304	4.56699	4.82658	2.34621	2.27279	3.12353	3.59112	3.6582	0.484289
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000784.3.589e1f11-0874-4698-ac02-5c217aac91a6.fc.signal	0.682065	0.845211	0.543367	0.439634	2.28648	5.18518	3.3753	2.2112	1.06179	1.15172	0.637864	1.39431	1.37712	1.92813	2.3352	2.34241	1.61501	1.14785	1.08966	1.14139	1.97011	1.57551	0.669278	0.778132	1.08112	1.03335	1.08323	1.26756	0.753556	1.59744	0.368315	0.814643	1.53618	1.19801	0.960076	1.04974	1.23977	1.09547	0.622101	0.644863	0.34602	0.554034	2.52505	3.19931	1.52141	0.465782
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.3cd86255-36f1-4b55-a6a7-d6b5647cff3a.fc.signal	0.80731	1.03534	1.22907	0.718948	0.0194569	0	0	0.42628	0.949508	0.638548	0.739121	0.270204	0.575221	0.311562	0.683338	0.853717	0.401353	0.212788	0.453643	0.372577	0.274534	0.0185373	0.114681	0.523983	0.542997	0.7093	0.74037	0.528369	0.217957	0	0	0	0.201652	0.891833	0.942061	0.843764	1.06528	0.928288	0.854227	0.908832	0.842392	0.627254	0.437806	0.487293	0.645647	0.01
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001027.7.cd19865b-26c6-4f71-a2cb-2c7271712e2b.fc.signal	2.76636	0.441378	2.51696	3.40102	1.68323	1.23741	1.50629	1.18197	0.474659	2.44826	0.604994	1.95556	2.56585	0.937153	1.09632	1.03052	1.31275	1.42015	1.2996	5.0306	4.76531	2.01771	1.58671	1.98721	1.12583	4.08171	3.55086	2.03057	1.45371	1.4773	1.75569	0.354702	1.35864	1.3285	5.40962	3.21497	1.22987	0.998073	1.55306	1.50895	1.09989	2.4272	4.65688	2.70816	1.28881	0.846811
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	1.35628	1.78183	1.42896	0.892246	0.938658	0.967738	0.478572	0.0842281	0	0	0	0.930771	3.09019	2.63808	2.51309	1.03981	0.135633	0.757934	1.28449	0.768586	1.51582	2.38455	1.98918	0.684718	0	0.0518596	0.687029	0.79784	0.510618	0.276585	1.0611	1.96258	3.68857	2.99179	2.47319	1.33501	0.396261	0.0753516	0.39892	0.801829	1.19676	0.871925	0.69811	1.11423	1.01288	0.28
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.6e43a1d4-827b-4226-ab35-bcd9e4427ba9.fc.signal	0.556623	0.521476	0.320809	0.364211	0.690677	0.539303	0.45209	0.47225	0.0440489	0	0.189349	0.384233	0.460555	0.882746	2.05244	1.16355	0.173356	0.110942	1.58369	2.80742	2.01919	1.33765	1.4432	1.17849	1.50456	2.00859	2.09254	0.957206	0.093152	0	0	0	0	0.0220818	0.514545	0.706277	0.343814	0	0	0	0	0	0	0.19397	0.878908	0.404428
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000775.1.672aeb75-b003-40bb-88b0-79458561e736.fc.signal	2.74596	1.25337	0.773932	1.39127	1.18523	0.849657	0.567243	1.14202	1.83576	1.88617	1.34107	0.936836	0.393694	1.01304	2.76014	1.25917	0.833327	0.681082	1.84234	1.85821	1.62136	0.809598	0.95658	1.87884	2.05299	2.75578	2.17075	2.06652	1.15771	1.86557	0.417964	0.723924	0.36792	0.0300968	0.892185	2.41986	0.903276	0.346348	0.511197	0.718744	0.464445	0.728611	1.86614	2.16191	2.19235	0.450521
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.651f7635-fa04-4a73-ad9d-b88c234511f0.fc.signal	2.02623	1.71542	1.45209	0.805013	0	0.24645	1.13147	1.66798	1.85404	0.42693	1.53651	2.19892	1.09282	1.90504	2.89238	0.982804	1.55869	1.43236	2.04643	1.30368	1.03073	2.09871	1.68535	1.4232	0.609726	1.17636	2.00781	0.878581	1.9089	1.11357	0.867744	0.92926	1.28468	1.19466	1.33597	1.83948	1.96329	1.45573	1.11061	1.50533	1.21798	0.895483	2.84219	3.41457	1.46161	0.38048
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	4.0118	0.742821	0.117921	0.334564	0.730429	1.18558	1.45474	2.01118	1.39361	0.207296	1.20323	2.90791	1.62293	1.26217	2.50832	2.24159	0.738872	0.703407	4.57052	4.68831	2.9854	1.71824	0.845195	1.66872	3.04771	3.12526	1.547	0.781845	0.16781	0	0	0	0.188159	1.47549	1.50939	1.41691	1.16446	0.863813	0.874977	0.64081	1.17475	1.34913	2.39128	1.27849	0.453305	0.392631
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.486b8afb-6747-4d4a-93ee-788cf88097fc.fc.signal	2.41237	3.27725	3.48822	2.80385	0.663571	0.967682	1.86007	2.75113	2.02724	1.30393	1.39242	2.56998	1.96121	3.18931	3.91609	1.81586	2.50449	2.90929	2.50219	1.78007	0.779231	0.333224	1.13568	1.01998	1.75756	2.18542	1.27859	0	0.394417	2.6785	2.54764	0.928622	2.3187	2.20942	2.63574	2.7359	2.93446	2.59852	5.03967	4.6375	1.7902	1.12606	3.09201	4.63705	3.09916	0.545566
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.da9e495d-70d1-4135-9b7b-7d3c249e647d.fc.signal	3.34669	4.01428	2.65099	2.08783	0.743511	0.517526	0.728134	1.63196	2.22398	2.13443	2.56024	2.40645	2.02533	1.79399	1.67678	1.66464	3.12465	2.63911	3.73915	2.81784	1.35374	1.45242	2.11187	1.48258	1.59449	1.40665	0.870593	0.456328	1.29045	1.8509	1.16195	0.556374	0.371376	0.309579	0.475175	0.381155	0.863672	0.897577	1.28629	1.56778	1.69048	1.40952	1.43279	1.50115	1.56744	0.456206
