	chr1:207024994-207025043	chr1:207025044-207025143	chr1:207025144-207025233	chr1:207025234-207025293	chr1:207025294-207025443	chr1:207025444-207025493	chr1:207025494-207025593	chr1:207025594-207025673	chr1:207025674-207025743	chr1:207025744-207025893	chr1:207025894-207026043	chr1:207026044-207026193	chr1:207026194-207026343	chr1:207026344-207026493	chr1:207026494-207026643	chr1:207026644-207026793	chr1:207026794-207026943	chr1:207026944-207027093	chr1:207027094-207027243	chr1:207027244-207027303	chr1:207027304-207027393	chr1:207027394-207027543	chr1:207027544-207027603	chr1:207027604-207027693	chr1:207027694-207027843	chr1:207027844-207027993	chr1:207027994-207028143	chr1:207028144-207028293	chr1:207028294-207028443	chr1:207028444-207028593	chr1:207028594-207028743	chr1:207028744-207028893	chr1:207028894-207029043	chr1:207029044-207029193	chr1:207029194-207029343	chr1:207029344-207029493	chr1:207029494-207029643	chr1:207029644-207029793	chr1:207029794-207029943	chr1:207029944-207030093	chr1:207030094-207030179	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.02991	0.412406	2.29157	2.76428	1.88239	1.27137	1.61704	1.09994	1.0932	1.59824	1.69804	2.29405	2.63354	3.46379	2.15367	1.63026	0.893645	0.623695	0.817941	1.76311	1.76391	3.38828	4.3737	4.11754	4.25256	4.1188	2.75142	1.82546	2.54398	2.89239	2.97734	1.89049	1.8679	2.43354	2.02304	3.17947	2.98659	1.96915	1.31038	1.6386	1.20041	0.296279
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	20.6045	2.04488	8.44843	47.5607	110.368	56.0769	14.9401	12.405	66.1625	96.5316	57.7694	28.9516	26.7046	32.2982	21.6192	13.7449	23.0968	38.3731	31.9731	26.6155	10.0797	8.5653	10.4657	7.2614	9.23753	13.5665	15.6995	16.6319	17.0523	20.0032	16.5374	10.218	7.38331	10.372	8.20297	9.22449	6.45725	7.46756	9.08016	16.0365	12.3688	0.532852
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	9.24799	3.87249	11.1677	22.264	21.2309	16.4279	10.7506	9.83226	15.4586	14.664	14.5603	20.9797	7.61175	7.04017	11.6712	10.8553	10.4912	12.2267	16.0861	15.3061	11.9202	7.55107	15.1404	20.7822	22.9977	19.7418	12.3027	9.76832	9.23529	11.5571	7.81887	5.32525	8.37524	6.55939	5.2916	6.63919	7.47161	6.17967	7.68926	14.6367	10.9183	0.656051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	10.691	5.88126	12.4514	14.7106	19.775	26.7815	24.7411	21.9901	20.9705	20.2805	21.2884	24.1629	13.7981	7.53587	11.9241	9.98479	16.3444	18.5868	17.0641	15.5208	14.3971	14.3913	16.2719	22.2017	20.5365	9.85104	12.9855	9.55775	15.5352	15.7522	10.9711	5.16165	9.87902	6.62423	9.79154	11.3118	11.7406	11.5059	16.863	21.8204	13.6174	0.623786
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0.627759	0.228522	1.22353	1.36635	1.36719	0.549135	2.18449	3.82914	1.69511	1.07965	0.697034	1.26007	0.482955	1.10736	0.541049	1.02645	0.805999	2.12245	1.04551	1.9146	1.64588	1.0261	2.98624	4.15474	4.34828	2.3473	2.06575	0.964563	1.73385	2.21733	0.92194	0.463593	0.864545	1.79825	1.54591	2.38365	2.70912	1.15648	0.398609	2.30974	4.53039	0.329685
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	5.80212	4.45116	5.60141	6.96229	6.14609	3.26428	3.63601	3.24633	2.78066	3.75349	2.59393	4.04236	5.74175	5.25281	6.97617	6.84105	10.0513	14.4215	16.038	9.53391	1.42603	4.85108	25.0109	33.9519	21.8904	18.7714	20.1471	11.4502	10.7415	9.91593	6.85726	8.43063	8.11302	10.6064	10.3538	9.18408	8.25793	6.88416	6.19523	8.89081	5.00669	0.569881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	0.875366	0.390741	1.03865	1.18444	1.30291	2.35574	2.58268	1.97296	1.64307	1.7251	1.52978	1.62386	2.619	3.02154	2.56641	1.78636	2.99883	2.84498	1.91041	1.41359	1.6665	2.03317	2.41356	3.14962	5.28705	4.44993	2.14972	1.862	3.17812	3.76528	1.94442	1.3397	1.56464	1.65297	2.48108	3.14067	2.36423	1.73382	2.93702	3.37551	2.46724	0.227799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	1.90696	1.19097	4.49334	8.45132	9.18454	6.30005	3.44661	0.952779	0.565463	0.586105	2.00198	8.01082	9.45407	3.22634	0.716742	0.352131	0.19731	0.568875	3.52364	5.38783	4.23754	3.50012	4.25464	5.05021	6.52108	4.73605	0.52498	0.204049	1.35443	2.5821	1.22271	0.626734	2.82225	5.23395	7.50135	6.83203	2.83263	0.720104	0.182253	0.0612517	1.66511	0.560928
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	9.51943	6.22884	7.34795	9.84766	10.6747	7.87812	4.24326	4.0031	7.52587	10.771	12.0387	8.65161	6.30356	6.94944	8.94768	11.1703	14.3632	18.345	23.4743	14.1977	3.2692	6.39163	34.8405	55.6122	46.6524	38.2485	23.3168	16.2647	13.2057	10.9494	7.11975	8.4298	8.395	9.97893	17.0576	7.66206	6.54592	6.94554	7.88203	14.035	8.42517	0.533228
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	0.721974	1.61064	2.98676	2.7106	2.33658	2.04383	1.36497	0.721228	0.0508183	0.587485	0.812557	3.35273	3.11169	1.2109	0.563351	0.991549	0.108623	1.38158	2.10261	1.80077	1.33828	1.30223	1.42889	2.33132	4.57961	1.28151	1.11257	1.29185	2.12486	2.13369	0.552049	0.89861	0.711746	0.426118	1.32881	1.69745	0.984145	0.180984	0.105131	1.11456	1.57587	0.547655
