	chr15:50245745-50245894	chr15:50245895-50245954	chr15:50245955-50246044	chr15:50246045-50246194	chr15:50246195-50246284	chr15:50246285-50246344	chr15:50246345-50246494	chr15:50246495-50246644	chr15:50246645-50246794	chr15:50246795-50246944	chr15:50246945-50246984	chr15:50246985-50247094	chr15:50247095-50247244	chr15:50247245-50247324	chr15:50247325-50247394	chr15:50247395-50247494	chr15:50247495-50247544	chr15:50247545-50247694	chr15:50247695-50247844	chr15:50247845-50247994	chr15:50247995-50248144	chr15:50248145-50248214	chr15:50248215-50248294	chr15:50248295-50248444	chr15:50248445-50248594	chr15:50248595-50248694	chr15:50248695-50248744	chr15:50248745-50248894	chr15:50248895-50249044	chr15:50249045-50249194	chr15:50249195-50249344	chr15:50249345-50249494	chr15:50249495-50249644	chr15:50249645-50249794	chr15:50249795-50249944	chr15:50249945-50250094	chr15:50250095-50250244	chr15:50250245-50250304	chr15:50250305-50250394	chr15:50250395-50250544	chr15:50250545-50250694	chr15:50250695-50250843	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000193.3.aa854cbd-228f-48b3-bc4a-7a1e57daf907.fc.signal	0.25658	0	0	0.915979	0.29541	0	0	0.759635	5.06052	1.64766	1.47488	1.48653	0.810472	4.36044	3.57286	0.404065	0.84327	7.29836	13.4554	5.80107	8.75602	2.24553	0.554684	0.991031	1.78099	2.70585	1.30451	3.21714	0.65256	0	0	0	0	0	0.590021	1.85653	0.85257	1.3091	0.383056	0	0	0.711047	0.455556
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	1.25463	1.52874	0.542597	0	0	0.0273885	0.920253	2.92342	1.77423	0.0452013	0	0	0	0	0	0	0	0.0919301	0.504222	1.94125	2.36564	1.6678	1.38487	1.21162	1.23089	1.03492	1.14291	2.84594	3.80361	0.900478	0.080247	0.683702	1.19042	0.497359	0.76608	2.89602	2.52762	0.688043	0.231425	0	0	0	0.663793
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001044.7.93646603-f0c6-4b5c-9750-3c77b569d934.fc.signal	1.0944	0.723989	0.396245	0.182173	0.0763448	0.334284	0.719007	1.01219	1.32706	1.02958	0.726599	0.379959	0.122011	0.591965	1.28931	1.96608	4.78288	6.29343	4.19627	2.59522	2.91115	2.49382	2.15419	2.65623	2.01861	1.25172	1.10408	1.1566	0.490319	0.973332	2.2434	2.07788	2.4278	1.63776	0.130834	1.005	0.533663	0.561689	0.793135	1.7639	2.22791	3.1752	0.771944
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000014.2.6a99d923-7ab5-41be-874b-467d20e26e79.fc.signal	0.293423	0.688058	1.70314	1.1382	0.810334	1.28996	1.61851	1.90246	1.57612	0.333739	0.60464	0.732851	0.879712	1.15534	1.08488	0.76946	0.865955	1.64994	2.87785	2.20758	1.43878	2.6042	1.96517	1.65593	0.901312	0.74651	1.66282	2.20303	0.483015	0.469387	0.847283	1.43839	0.827128	1.07802	0.313378	1.0282	1.01288	0.4334	0.597062	1.51611	1.39258	0.573887	0.246575
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000315.2.e9fbad15-4a0e-4eb7-a1cb-5ed723b77040.fc.signal	0.687724	0	0	0	0	0.555513	1.29005	0.672433	1.12812	1.91509	1.30965	1.24326	0.896115	0.924998	1.32421	1.10149	1.54069	1.682	1.81157	0.529481	0.299976	1.49682	1.7659	0.50869	0	0.763483	1.27759	1.33759	1.46919	2.35483	2.28777	1.74813	1.91713	0.799742	0.755666	0.0972509	0	1.16635	1.9041	1.43558	0	0.267953	0.641791
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003825.5.7e6f312b-3e7d-4ced-adc8-a790c0432db2.fc.signal	1.22052	0.433385	1.38018	0.851032	0.300169	0.383668	0.0187996	0.163052	0.964265	0.358238	0	0.804104	1.27094	0.637323	0.973988	1.44132	0.97012	0.705162	1.08824	1.9755	1.44119	0	0	1.2919	1.88791	1.87247	0.792751	0.691393	0.556419	0.572859	0.84029	0.20843	1.2103	1.70703	0	0.635032	1.08181	1.30826	1.36828	0.640616	0.308037	0.631153	0.257933
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001908.1.6595c262-e2a7-4360-ae08-dca9de90347a.fc.signal	1.35361	0.380133	0.403191	0.960868	0.593425	0.366847	1.02352	1.52109	2.84503	1.40282	1.69586	1.28415	0.618548	0.570144	0.493966	2.24737	4.35781	6.4386	4.92937	4.81943	13.1113	12.1524	9.40299	7.25477	6.53753	2.38876	2.07266	2.46587	2.20611	2.82186	1.51385	0.990748	1.63373	1.33829	1.79643	1.64356	1.77757	1.75986	1.54706	1.62603	1.56618	0.838522	0.0911162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001518.1.19ef5b88-8aca-40d7-ba6e-e2093039b88a.fc.signal	0.794595	0.571283	0.730833	1.17746	1.61305	1.87196	0.969075	2.62541	3.20295	2.59393	2.31273	2.03986	0.81632	0.65396	1.36704	2.61507	4.45617	6.14267	4.59273	4.90289	11.0975	13.6743	10.6216	6.63662	4.18182	3.5168	3.02447	2.90265	2.27391	1.824	0.786592	0.478856	1.4562	1.59926	1.60638	1.71991	1.42131	1.41922	1.21161	1.02827	1.17523	0.856787	0.267813
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000277.2.6f1c9091-fd70-44a8-b612-a333084af5aa.fc.signal	2.42554	1.95439	2.18254	5.52959	3.35366	2.99557	3.03873	3.0516	3.34112	5.55202	3.85594	2.49181	5.69181	7.94721	2.77121	2.10738	5.4192	8.60121	4.22927	6.81265	7.70455	7.34112	7.20698	8.43535	3.28352	3.31653	4.23652	3.57209	3.02151	3.26717	1.43429	2.70513	1.78773	3.36029	3.43443	2.92824	4.18541	3.11067	2.11462	2.02731	0.753027	1.06777	0.263415
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001004.4.11ad2674-be5c-41ad-b54e-80291c85aeb3.fc.signal	2.48735	0.878926	0.382751	0	0	0.124879	0.72524	4.86395	2.21694	0.0455221	0	0	0	0	0	0	0	0	0.247643	4.11909	9.33203	5.20721	3.69793	5.05479	3.53935	1.76616	2.38551	5.61734	2.51259	0.877399	0.0627811	0.322715	0.579884	0.315864	0.698861	2.59633	3.53559	3.31528	1.28347	0.0769571	0	0	0.309735
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004905.1.68af8a6c-0e3d-475b-8b36-e8635e2eb67e.fc.signal	0.181067	0	0	0	0.28054	0.776	0.573043	0	0	0.35506	0.51735	0.401394	0.791604	1.42889	1.53653	2.59424	2.42819	0.879864	3.26693	2.12749	3.90727	5.2107	7.16946	5.14504	0.663669	0.767413	1.76641	2.69978	1.31071	0.859834	0.897191	0.993288	2.11934	1.99851	1.68095	0.785693	1.20939	1.5521	0.740583	0	0.429139	0.921883	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000348.2.ebee7a5f-3411-4595-bc73-d0dfa8919fd3.fc.signal	0	0	0.083408	1.5014	1.4376	0.394459	0	0.314429	2.58942	0.850822	0.475497	0.647655	1.60124	2.57266	2.56316	2.02321	1.56401	0.679954	1.84603	2.64766	2.69956	2.60034	2.10817	1.06994	1.28633	1.43326	1.24833	0.956135	0.778085	0.679084	0.460445	0.567169	0.819991	1.39702	2.28466	1.18881	0	0	0.256708	0.820199	0.144653	0.766748	0.57599
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000270.2.43754eb9-4d4f-4ac8-9c98-cfd7436168c7.fc.signal	0	0	0	2.39525	2.47616	1.98042	2.70792	1.24756	0	0	0	0	0	0	0	0	0.387787	2.02136	1.63264	1.09828	0.91043	0.948231	1.15518	0.393128	0.794433	0.994801	2.41776	1.46124	0	0	0	0	0	1.42459	2.9122	0.77693	1.63004	3.41368	1.90481	3.06546	0	0	0.270968
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003826.4.93a8f270-5d77-4704-ada1-4b6b1a7c8853.fc.signal	0.0496093	0	0.193702	2.09462	0.215681	0	0	2.17809	1.11464	0.74982	0.436802	1.00671	0.435817	0	0	0	0	3.1157	0.441616	3.43497	9.1753	5.82323	3.56134	2.13733	5.52687	3.3548	0.831224	1.33779	1.55108	1.2524	0.702348	2.19866	2.56814	0.268012	0.927565	0.231645	0.976021	1.07723	0	0	0	0.0526509	0.4375
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003843.4.c2c52d4b-c9da-43f3-925f-8359bbb97ee0.fc.signal	0	0	0	0	0	0	0	0.694238	4.55177	0.556264	0	0	0	0	0	2.40963	2.90686	0.334106	11.4404	7.87412	6.10597	0	0.863376	2.05219	0.860664	3.12687	0.386191	0	0	0	0	0	0.804133	5.04595	0.160116	0	0	0	0	0	0	0	0.191571
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001905.1.df1689af-57f6-440c-8357-740ccbe030e5.fc.signal	0.48832	0.484592	0.92039	1.93549	2.51675	1.73765	0.588303	0.750949	0.400629	1.44762	0.767656	0.262315	0.362791	0.808475	0.685988	1.03814	3.28005	3.02752	2.87822	3.86428	8.30709	12.9135	9.54232	4.94201	3.42555	2.12208	1.82072	2.24893	1.63463	0.819781	0.268288	0.649868	0.35067	0.59224	0.341393	0.618082	1.32565	1.11277	0.730952	0.952571	0.290602	0.768509	0.169811
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000070.3.1d2d8a11-2856-4a11-b3ab-c0927aa2c890.fc.signal	1.23708	1.15029	1.1633	0.292465	0.0927851	0.074394	0.602591	0.936634	0.843146	0.664226	0.245405	0.473751	0.414465	0.27067	0.588093	1.39353	0.925909	0.226402	0	0.441365	1.98191	3.0911	2.17929	0.878177	1.08728	1.96194	1.11594	0.885204	0.720217	0.748261	0.785642	0.707553	0.313212	0.458717	0.524737	0.425912	0.560534	0.292467	0.309718	0.50731	0.461243	0.142019	0.273159
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000321.2.e400c00e-f4bd-4ecb-8a68-235b22580a1f.fc.signal	0	0	0.377091	1.12231	1.48094	0.86817	0.322141	0.341661	1.09685	3.67167	3.31516	0.58056	0	0	0.105033	0.876063	1.2995	2.48311	1.73067	0.995161	2.38288	3.09336	0.626195	2.3958	2.23682	1.2042	1.41067	0.221791	0.713073	0	0.453632	1.53407	2.58954	1.51404	0.994871	0.275753	0	1.19765	3.00733	3.9587	3.4703	0.273246	0.378619
