	chr5:179835385-179835444	chr5:179835445-179835534	chr5:179835535-179835684	chr5:179835685-179835834	chr5:179835835-179835984	chr5:179835985-179836054	chr5:179836055-179836134	chr5:179836135-179836284	chr5:179836285-179836434	chr5:179836435-179836584	chr5:179836585-179836734	chr5:179836735-179836884	chr5:179836885-179837034	chr5:179837035-179837184	chr5:179837185-179837334	chr5:179837335-179837484	chr5:179837485-179837634	chr5:179837635-179837784	chr5:179837785-179837934	chr5:179837935-179838084	chr5:179838085-179838234	chr5:179838235-179838384	chr5:179838385-179838534	chr5:179838535-179838684	chr5:179838685-179838834	chr5:179838835-179838984	chr5:179838985-179839134	chr5:179839135-179839204	chr5:179839205-179839284	chr5:179839285-179839434	chr5:179839435-179839584	chr5:179839585-179839734	chr5:179839735-179839884	chr5:179839885-179840034	chr5:179840035-179840184	chr5:179840185-179840334	chr5:179840335-179840484	chr5:179840485-179840634	chr5:179840635-179840784	chr5:179840785-179840934	chr5:179840935-179841084	chr5:179841085-179841234	chr5:179841235-179841384	chr5:179841385-179841534	chr5:179841535-179841684	chr5:179841685-179841834	chr5:179841835-179841984	chr5:179841985-179842134	chr5:179842135-179842284	chr5:179842285-179842434	chr5:179842435-179842584	chr5:179842585-179842734	chr5:179842735-179842884	chr5:179842885-179843034	chr5:179843035-179843184	chr5:179843185-179843334	chr5:179843335-179843372	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0	0.324807	0.923533	0.559903	0.409372	0.240772	1.33257	2.87373	3.18799	1.36332	1.35165	1.81705	1.77175	1.76162	1.48243	2.85107	3.19747	1.42139	1.37014	1.03314	0.34894	0.492913	1.26791	1.41318	1.39418	1.10687	0.549417	0.392196	0.238258	0.647451	0.839873	2.31366	2.89115	1.14435	1.53399	1.23217	1.11824	0.593052	0.206416	1.02238	1.81865	1.56176	0.681344	0.127001	1.07029	1.33631	1.38339	1.08184	0.50666	0.0612586	0	0	0.264681	1.09483	0.555124	0.128407	0.411866	0.55
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0	0	1.12091	0.770125	0.153219	0.61345	1.20962	1.42699	2.64351	6.0466	5.89915	7.79554	7.34946	5.99693	2.55225	3.80691	6.33881	5.415	3.74269	2.55924	4.08168	2.11477	2.11182	2.80632	3.44339	2.78925	1.34671	0.60481	1.47608	5.46792	6.91484	3.64903	3.40139	5.16896	2.10878	0.887055	3.29113	2.36535	2.17489	2.17876	1.67243	1.48794	0.379886	1.10065	0.603179	0.33328	0.771047	0.697837	0.447836	0.402787	0.475784	1.258	0.262084	0.124994	0.982152	1.98742	0.48288	0.628931
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.318921	0.423596	0.512955	0.0641664	0.06684	0.402364	1.60836	3.24408	3.59497	2.11102	2.73481	1.23986	1.54359	1.71778	1.00571	2.13416	2.14214	2.56425	1.76681	2.16367	1.45118	2.56685	1.99159	3.32346	1.60738	0.359956	0.417964	0.50032	0.540202	0.354574	2.26448	1.50023	1.3313	1.65054	1.16372	1.39196	2.4199	1.75276	1.98932	1.3456	2.13855	2.75302	0.559623	0.637908	1.19128	1.24122	1.96864	1.33551	1.28044	0.801207	1.2081	0.416789	0.605656	1.45305	0.747518	1.08343	1.08946	0.464151
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.356999	0.55636	0.116836	0	0	0	0.0313054	0.450717	0.708495	0.0111308	0.387142	1.91887	0.659134	1.5415	1.62782	1.84921	0.880549	0.313443	1.86775	0.790112	0.0315325	0.554506	0.547848	0.463068	0.139535	0.0741849	0.519273	0	0.111308	2.57232	1.46226	0	0.109304	1.56918	1.08686	0.111303	0.835502	0.777118	0.565645	0.27633	0.619434	1.03869	0.476671	1.75276	0.441415	0.326422	0.406153	0.187318	0	0.235473	0.909715	0.0408021	0.324594	0.879186	0.582424	0.788252	1.11289	0.325723
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	0	0	0	0.657185	7.6995	5.49479	0.0226128	2.45834	3.75802	7.0324	5.23645	3.34687	6.30962	5.66244	4.56788	3.52646	5.10123	4.8943	1.80082	0	0.720714	6.10901	3.1318	0	0	0	0.644447	3.6556	5.18565	5.8679	2.90565	2.48735	1.11713	3.20761	3.12003	1.9692	2.97707	0.709908	0	0.806506	2.83489	4.11672	3.99955	0.184414	1.76627	2.95821	0.971497	0.361805	1.69596	0.203515	0	0	0	0	0.754286
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0	0.202891	1.23266	1.7698	2.1525	3.62951	1.59285	1.21869	2.25309	0.907018	0.989604	0.817106	0.372356	0	0.763783	0.701531	0.758357	0.123667	0.0502398	0.553152	0.042584	0	0	0	0	0	0	0.258928	0.417377	0	0	0.332356	0.316885	0	0	0	0	0	0	0.57969	0.096615	0	0.22595	0.20879	0	0	0	0	0.224147	0.452158	0	0	0.987516
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0	0.0500107	0.435181	0.757802	0.802811	0.726159	3.46062	5.99192	4.57994	5.74524	6.75298	6.58534	6.29351	5.92213	4.39033	5.04069	8.8152	7.94725	5.94405	6.99315	6.63112	5.14664	4.87175	3.73509	6.09469	6.29477	2.73598	3.36815	3.43014	5.0268	5.59769	5.10745	5.96819	6.6844	3.77334	3.89558	6.5446	5.90479	3.5328	3.33042	4.58788	4.5407	3.11399	4.28313	5.28533	4.97665	5.91778	4.23785	2.53733	1.98175	1.02713	0.6696	1.00304	1.52644	1.48525	0.85446	1.57631	0.250493
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0.442317	1.29188	2.80948	2.62617	4.37503	3.31591	2.03669	6.10909	3.29309	1.6463	2.90072	1.10985	0.338482	0.36332	1.33486	0.471995	0	0.0947792	0.546461	0.41704	0.221151	0.583908	1.01455	0.793834	0.347524	0	0	0	0	0.61217	1.2645	1.53454	0.248795	0	0.322118	0.302282	0.387015	0.038958	0.420198	0.350166	0.545998	0.193384	0.675397	1.11375	0.165864	0	0.414659	0.236948	0.394913	0.865794	1.00194	0.987854
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0432317	0.0905428	0.204133	0.0770602	0.0743419	0.0536794	0.131738	0.291426	0.228138	0.165083	0.19189	0.569186	0.431612	0.312219	0.111038	0.156823	0.305164	0.206692	0.211784	0.233761	0.248686	0.266155	0.213079	0.285825	0.314296	0.244882	0.0108897	0.0144329	0.0505722	0.344542	0.395902	0.218452	0.267152	0.29122	0.298014	0.155627	0.137311	0.287605	0.181678	0.278845	0.203137	0.174775	0.230192	0.239619	0.182974	0.132673	0.131838	0.127541	0.22433	0.322959	0.321822	0.160935	0.122367	0.14526	0.112067	0.262788	0.348591	0.385584
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0	0.398392	0.761695	0.473586	0.0623504	0.410367	0.44536	0.727497	1.59322	0.962139	1.80865	3.56499	1.72683	3.11256	1.82183	2.56152	2.08908	0.700817	1.56796	1.37019	0.0686596	2.01457	1.53823	2.14996	2.23314	1.94803	1.06457	0.0190869	0.367422	0.666634	0.642905	0.685957	1.46845	1.71793	0.846298	0.981437	0.913143	0.622104	0.922055	0.832979	1.48926	0.285055	0.789574	0.903532	0.703775	1.44025	0.482546	0	0.296643	0.983864	2.38312	2.09652	1.12395	0.601298	0.659218	0.855206	0	0.791908
