	chr9:93296570-93296719	chr9:93296720-93296869	chr9:93296870-93297019	chr9:93297020-93297169	chr9:93297170-93297319	chr9:93297320-93297469	chr9:93297470-93297619	chr9:93297620-93297769	chr9:93297770-93297919	chr9:93297920-93298069	chr9:93298070-93298219	chr9:93298220-93298369	chr9:93298370-93298519	chr9:93298520-93298669	chr9:93298670-93298819	chr9:93298820-93298969	chr9:93298970-93299119	chr9:93299120-93299269	chr9:93299270-93299419	chr9:93299420-93299569	chr9:93299570-93299719	chr9:93299720-93299869	chr9:93299870-93299929	chr9:93299930-93300019	chr9:93300020-93300169	chr9:93300170-93300319	chr9:93300320-93300469	chr9:93300470-93300619	chr9:93300620-93300769	chr9:93300770-93300919	chr9:93300920-93301069	chr9:93301070-93301219	chr9:93301220-93301369	chr9:93301370-93301519	chr9:93301520-93301669	chr9:93301670-93301761	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	3.0805	1.71101	1.73021	1.67451	2.08625	2.85185	3.99838	5.15332	2.58848	1.6916	3.20006	4.70469	2.77463	4.49234	2.6652	1.57082	1.46205	3.43239	3.83921	3.02856	2.33286	1.33501	2.12861	3.81825	2.74549	1.85441	2.28312	1.66138	1.79011	2.16766	1.90727	1.8209	2.8136	1.78152	1.42415	2.39782	0.455724
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0	0.395039	0.198458	0.102002	0.526697	0.801234	0.350513	0	0	0.163252	0.853186	0.584251	0.739799	0	0.248132	0.344316	0	0	0	0	0	0.037986	0.62693	0.237201	0	0	0.237426	0.663961	0.285605	0.341234	0.721465	0.376491	1.02199	0.762036	0.582524
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0.677198	1.20264	1.0306	1.09428	2.17999	1.6147	0.809701	0.156145	0.516659	0.926476	1.25368	3.12133	3.34905	3.79524	5.24484	4.55942	5.65898	5.88155	3.75925	2.41415	1.61154	0.981146	2.58068	3.44094	1.32728	2.30946	1.41876	0.653888	1.20933	2.37718	1.86755	1.11763	0.605661	0.0784047	1.20655	0.356441
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0.429111	1.05354	0.88378	0.608573	0.750888	3.76595	5.88879	6.90098	7.2244	6.12383	7.90501	8.35915	7.28177	1.93387	2.00513	1.05449	1.95196	2.15762	2.48772	2.42987	0.882448	0.548924	0.629412	0.894355	1.63899	2.3152	1.30828	0.427551	0.497242	0.335149	0.398193
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	2.18786	1.3733	0.934331	0.997974	2.35187	1.73825	1.45463	1.37814	1.47991	1.06826	2.35875	3.11442	2.73524	3.20024	0.913665	1.34701	2.74101	1.96909	1.95231	1.32082	0.966618	0.323518	1.28183	2.05604	0.890125	0.366279	1.02156	1.30653	1.53551	2.04738	1.88003	0.964556	1.05198	1.25505	1.69095	1.6922	0.417293
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.220413	0.587828	0.602054	0.139818	0	0	0.0937165	0.227673	0.238239	0.287276	0.217606	0.0501949	0	0	0.767964	0.805891	0.559394	0	0	0	0.208542	0.146928	0.266603	0.335026	0.136	0.529535	0.0595818	0.256458	0.0450085	0.248881	0.260754	0.743963	0.349471	0.571231	0.258309	0.977722	0.480392
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0	0	0	0	0.817564	3.48523	10.1698	15.776	13.0561	13.0272	28.3808	41.7803	45.226	53.2453	80.2209	54.6525	43.6821	43.1668	53.7548	41.1351	13.654	9.30004	25.178	51.3442	58.1272	18.7768	18.2532	8.95094	15.255	12.0926	7.73718	4.99593	7.743	6.42632	6.05749	4.26954	0.328205
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	2.54728	3.46007	1.99693	1.57888	1.56067	1.78785	2.32085	2.40158	1.73972	1.26261	1.96762	3.97526	4.14506	3.86414	2.12516	2.24655	1.78918	3.07572	2.95915	1.3493	2.09636	1.2103	1.56116	2.47924	1.67307	1.02925	1.75067	1.13614	2.1173	2.69695	3.64348	2.95768	1.274	1.70824	2.10681	0.79088	0.462687
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.0767288	0.18954	0.0553579	0.0146171	0.16386	0.292718	0.305866	0.370379	0.418037	0.620408	0.401135	0.264218	0.403302	0.248269	0.435899	0.554756	0.617553	0.386508	0.403289	0.870013	0.447381	0.118886	0.0959212	0.282918	0.306811	0.303885	0.52551	0.30114	0.512833	0.374921	0.660396	0.769796	0.756405	0.717834	0.25155	0.195118	0.568627
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	0.174899	0.634007	0.623076	0.010931	0.161781	1.26384	0.970591	3.68057	2.91867	3.12844	2.34372	4.44654	5.8051	4.05758	1.69229	0.404552	1.45582	1.11234	1.71465	3.64437	2.39281	2.46634	2.49734	1.06254	0.146238	0.767366	1.07125	1.80145	1.38369	2.67812	1.15109	1.82435	0.745069	1.02097	1.82112	2.1779	0.347959
