	chr4:75554041-75554190	chr4:75554191-75554340	chr4:75554341-75554490	chr4:75554491-75554570	chr4:75554571-75554640	chr4:75554641-75554740	chr4:75554741-75554790	chr4:75554791-75554830	chr4:75554831-75554940	chr4:75554941-75555090	chr4:75555091-75555240	chr4:75555241-75555390	chr4:75555391-75555540	chr4:75555541-75555690	chr4:75555691-75555790	chr4:75555791-75555840	chr4:75555841-75555910	chr4:75555911-75555990	chr4:75555991-75556080	chr4:75556081-75556140	chr4:75556141-75556290	chr4:75556291-75556390	chr4:75556391-75556440	chr4:75556441-75556590	chr4:75556591-75556740	chr4:75556741-75556890	chr4:75556891-75557040	chr4:75557041-75557150	chr4:75557151-75557190	chr4:75557191-75557260	chr4:75557261-75557340	chr4:75557341-75557460	chr4:75557461-75557490	chr4:75557491-75557530	chr4:75557531-75557640	chr4:75557641-75557730	chr4:75557731-75557790	chr4:75557791-75557940	chr4:75557941-75558090	chr4:75558091-75558130	chr4:75558131-75558240	chr4:75558241-75558390	chr4:75558391-75558460	chr4:75558461-75558540	chr4:75558541-75558640	chr4:75558641-75558670	chr4:75558671-75558690	chr4:75558691-75558780	chr4:75558781-75558840	chr4:75558841-75558990	chr4:75558991-75559084	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	1.86174	2.3219	1.98941	2.44216	2.33462	1.17153	1.59708	1.85715	1.97522	2.32184	2.86067	3.50529	6.45674	9.01049	7.1028	4.95942	3.72582	3.8178	4.12011	4.23477	3.21115	3.49948	2.66967	2.47833	1.95454	2.08262	1.45427	1.43986	1.57264	1.59567	1.17287	0.128569	0.46072	0.852319	1.37366	0.747348	0.23027	0.0557311	0.542598	0.584032	0.125501	0.724236	0.960131	0.863871	0.885526	0.81109	0.543419	0.572454	1.12535	1.5878	1.07851	0.54881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	0.467128	0.155708	0.345817	0.421108	0.789801	0.910467	1.0468	1.40533	0.960856	0.759036	0.818677	1.01862	1.119	3.19519	2.84552	1.81032	1.77633	1.38445	1.69109	1.75267	1.28162	1.95106	1.80937	1.57773	0.558546	0.344825	1.43021	2.39503	3.3707	2.85899	2.33715	2.37231	1.10269	0.810818	0.750856	0.674672	0.962392	0.792431	1.84964	2.89	1.24475	0.714157	0.606609	0.599812	0.145521	0	0	0	0.0846328	0.398452	0.234286	0.561644
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	0.340991	0.411032	0.866562	0.583237	0.474401	1.09575	0.876455	0.246076	0.659753	1.75683	2.49418	6.20119	9.93269	14.0603	10.2579	6.26434	4.10815	1.87775	2.66504	5.0275	6.28636	5.11514	2.29302	0.40007	1.15847	1.84752	1.02837	1.15686	1.07086	0.650389	0.0319406	0.486805	0.427587	0	0.404154	1.05128	1.44532	0.797318	1.353	2.51589	1.05009	1.42617	1.00955	0.131885	0.0052754	0.526945	0.526886	0.528399	0.035244	0.43947	0.246812	0.156448
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	1.40438	1.69925	1.66652	1.11505	1.06877	1.23326	0.991927	1.10459	1.02249	0.970046	0.902839	0.921504	1.02007	1.50624	2.31409	2.07789	1.45087	0.615253	0.468507	1.02258	1.33861	0.915353	0.879816	0.897869	0.739545	0.641903	0.324813	0.328959	0.428633	0.551457	0.629148	0.452959	0.213343	0.149887	0.0275541	0.348261	0.494834	0.45048	0.375735	0.685139	0.774392	0.598547	0.471041	0.531194	0.438264	0.44011	0.381653	0.247565	0.190349	0.320966	0.269875	0.391304
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.13102329-ee3d-4773-b2d1-9ab40cd17100.fc.signal	1.41206	2.62262	2.71915	2.19359	1.65988	2.49913	3.2836	3.62508	3.95149	5.35924	8.81875	10.287	7.46837	11.884	13.9526	11.3546	7.44482	3.5693	2.53143	3.37234	6.64952	9.04133	8.95833	7.25537	6.30821	4.62808	2.46587	1.97649	1.22458	1.47673	1.59269	1.93089	1.43317	1.30314	1.99791	2.21601	2.84284	2.15894	1.59243	2.14401	2.37559	2.91506	3.13838	3.33152	2.46489	1.5423	1.31514	1.47907	1.86365	1.9736	1.89839	0.469034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.b52b6048-f5e8-441d-8082-83c6ea7d797d.fc.signal	3.2285	1.84027	2.28269	1.58139	0.703992	2.20129	3.61703	4.74286	4.16825	2.6794	3.9965	5.92919	3.68762	5.42125	2.87176	1.84545	2.04693	4.93194	2.37603	4.53469	7.23361	5.23282	8.60142	5.55471	4.71596	3.60296	3.04533	4.05291	4.30291	4.90024	3.32495	1.91939	0.904539	0.466467	0.883145	1.1957	0.781913	0.464948	1.34751	1.30443	2.34828	0.593611	1.58628	1.02451	2.2637	2.97439	3.06579	3.12853	2.63162	2.76758	1.0904	0.504902
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.fc509fae-cfc8-4cd1-b6e1-cb05b98526c1.fc.signal	1.66185	0.30844	0.979566	1.32877	2.63335	2.61189	1.24854	1.34719	2.72108	1.64247	0.635004	1.25385	1.48074	6.06538	4.01813	2.11513	3.0414	2.76797	2.97083	3.17531	2.31978	2.27474	1.85712	2.44406	1.20349	0.875865	1.23872	1.14306	0.58894	0.386963	0	0.0755807	0.438779	0.461233	0.934871	0.412065	0.762147	1.30041	0.238018	0.908478	1.33059	0.534532	0.0709623	0	0.305926	0.664445	1.24932	1.66217	2.65549	1.93448	0.698545	0.456522
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.cdb41994-86e2-4949-bf91-2378fd47bfa2.fc.signal	4.73762	1.70287	2.34251	1.83595	2.52707	3.75624	1.86682	0.947628	1.80838	4.61394	2.46133	4.41134	4.65503	4.92741	5.3466	4.09503	3.79094	2.94128	4.1891	5.55186	2.64369	4.22784	3.03597	2.97877	1.7359	0.608633	5.16181	5.65645	5.87626	6.07631	4.30543	2.02751	0.141192	0.448792	0.953171	0.84526	2.50712	1.7742	0.5257	0.748052	1.73307	0.713254	1.50196	1.49819	1.52153	3.25055	3.6019	3.58334	4.6702	2.88562	0.450652	0.562857
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.0bd574cb-6c79-4f0e-a131-98ee1a6088f8.fc.signal	0.414675	0.448112	0.467343	0.35102	1.29061	1.67589	0.347475	0	1.79912	2.75445	1.69078	2.02889	3.15421	5.75901	5.36827	4.45935	3.62875	2.47418	2.5335	1.45056	1.79091	2.07872	1.65541	2.15326	1.68071	1.10943	1.46823	1.34834	0.758522	0.753832	1.26863	2.26371	0.356155	0.212209	0.552601	0.173971	1.48297	2.25702	1.74863	0.367461	1.1984	0.873696	0	0	0.500124	0.723868	0.861507	1.10876	1.242	1.27923	3.58808	0.394737
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001958.3.3cd86255-36f1-4b55-a6a7-d6b5647cff3a.fc.signal	3.3062	2.6766	1.94005	0.861944	2.53894	5.71509	6.28408	6.04033	4.93646	6.44918	9.42052	11.1718	12.2551	14.213	11.5222	8.57453	7.72877	6.24906	5.24562	6.08378	9.04449	8.03229	5.17126	3.65156	3.04305	3.81783	4.54522	3.43419	2.04801	1.51232	1.08686	1.94668	2.46603	2.22037	1.9623	1.51141	1.49312	2.03434	1.17864	1.09347	1.04355	1.08754	1.71522	2.11793	1.7197	1.38132	1.00268	1.19658	1.56624	1.419	1.07146	0.609262
