	chr1:154544979-154545128	chr1:154545129-154545278	chr1:154545279-154545428	chr1:154545429-154545578	chr1:154545579-154545728	chr1:154545729-154545878	chr1:154545879-154545928	chr1:154545929-154545978	chr1:154545979-154546028	chr1:154546029-154546178	chr1:154546179-154546328	chr1:154546329-154546378	chr1:154546379-154546478	chr1:154546479-154546518	chr1:154546519-154546628	chr1:154546629-154546778	chr1:154546779-154546928	chr1:154546929-154547078	chr1:154547079-154547228	chr1:154547229-154547278	chr1:154547279-154547378	chr1:154547379-154547528	chr1:154547529-154547678	chr1:154547679-154547828	chr1:154547829-154547978	chr1:154547979-154548128	chr1:154548129-154548278	chr1:154548279-154548428	chr1:154548429-154548578	chr1:154548579-154548728	chr1:154548729-154548878	chr1:154548879-154549028	chr1:154549029-154549178	chr1:154549179-154549328	chr1:154549329-154549478	chr1:154549479-154549548	chr1:154549549-154549628	chr1:154549629-154549778	chr1:154549779-154549928	chr1:154549929-154550078	chr1:154550079-154550178	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.189487	0.47986	0.710258	0.0485367	0.46752	0.487764	0.489618	0.0779156	0	0	0	0	0	0.187783	0.55636	0.968193	1.63217	1.70825	0.984872	1.85291	1.8223	0.725088	0.205006	0.448619	0.862404	0.459091	1.27393	1.13801	0.748795	2.35131	3.03748	2.62567	1.90114	0.924782	1.55333	1.0095	1.76664	0.921792	0	0	0.35051	0.534799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.369365	0.299543	0	0	0.356638	0.313033	0	0	0	0	0	0	0	0	0.366792	1.31337	8.85839	10.3328	5.27771	4.36525	2.4019	0.612662	0.735421	1.42408	0.767293	1.36759	3.89479	2.18802	0.901012	0.773978	2.01279	1.4216	0.42648	1.00872	2.29647	1.26605	0.905572	0.0436487	0	0.105223	0.731903	0.504425
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0.998051	0.559878	1.57988	1.25431	2.51399	1.27563	0.512371	0.184133	1.18485	1.11549	1.08348	0.472342	0.24818	1.24093	4.33789	8.47416	9.50437	15.6656	12.2949	9.74361	3.47982	5.28583	3.80675	2.81397	2.49848	2.78865	3.55766	2.96803	2.30117	3.58473	3.89321	4.48762	3.6892	4.18784	5.20746	6.27916	3.70789	3.10188	3.61988	0.834014	1.66218	0.490909
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.134038	0	0.0712722	0.514604	1.26983	0.0912738	0	0	0	0	0	0	0	0.23026	0.412076	0.478516	1.20706	1.44021	1.02793	0.992943	1.84208	2.49078	2.3295	1.81416	0.665591	0.87995	2.00317	0.690249	0.514149	2.05251	1.69669	1.11412	0.991471	1.84884	1.12301	2.06658	1.39019	1.51994	0.766384	1.21798	1.6537	0.584746
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	1.28979	1.25478	3.05737	0.369578	0	0	0	0	0.370534	0.30606	0	0	0	0	0.132315	2.4072	1.52634	0.959815	0.831274	0.809162	2.70128	2.40026	1.60618	0.687814	1.39014	1.15323	3.13758	0.196946	0.109367	0.50404	1.50716	3.15806	1.76357	1.99017	1.00578	2.29703	1.55314	0.997998	1.37677	0.108283	0.574978	0.798206
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0.355733	0.0305886	0	0.295624	0.00421853	0.210806	0.275163	0	0	0	0	0	0	0.139797	0.686714	1.33856	0.850469	0.495295	0.188409	0.027894	0.262416	0.133307	0.571559	0.412556	0.907989	1.92838	1.91454	1.54362	3.62626	2.05388	2.1227	2.52745	1.8755	2.3976	1.9398	1.82463	1.7587	2.06533	0.373527	0.195599	1.02085	0.432692
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.f2b1cfa1-231f-48d8-af6a-ed3f48905f6f.fc.signal	0	0.34148	0.603948	0.0695022	0.547959	0.0253823	0	0	0	0	0	0	0.308518	0.475894	0.322832	0.569241	0.856178	0.698958	0.379013	0	0	0.0475878	0.227126	0.398284	0.629622	0.642569	2.25639	1.92075	2.86831	2.45895	1.7807	1.81237	0.987998	0.829104	0.833521	0.524035	0.124612	0.167903	0.298036	0.0645343	0	0.488281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.b69b018c-be0b-42b3-9bd0-adb684b6c71f.fc.signal	0.245901	0.554224	0.700931	0	0.0888069	0.697671	0.0190812	0.501482	1.74024	2.27364	0.519844	0	0	0	0.324567	0.818422	0.142217	0.362345	0.50911	1.77454	1.50461	0.57494	0.443539	0.98267	2.04816	1.24274	1.64122	0.918143	0.738259	0.378424	1.05953	0.628324	1.20772	2.15087	0.669678	0.745213	0.364629	0.0979502	0.429991	0.41943	0.264123	0.50303
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.b52b6048-f5e8-441d-8082-83c6ea7d797d.fc.signal	1.39845	1.60763	0.215298	0.016711	0.523508	0.220898	0	0.180836	0.505083	0.257951	0.50031	0	0	0.343699	1.20008	0.951686	0.65345	0.682856	0.284669	0.711642	0.569822	0.491044	1.18931	0.740751	1.03313	1.23486	0.446918	0.469674	0.894421	0.529998	2.04319	2.12208	0.241806	1.70717	1.21613	0.501903	0.472084	0.544184	0.355115	0.688325	0.710369	0.597015
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	0.184727	0.186529	0.249006	0.275726	0.290755	0.118777	0	0	0	0	0	0	0	0	0	0.471753	0.788794	0.444433	0	0	0	0	0.0029364	0.699563	1.60377	2.19922	2.46831	3.0927	1.51253	1.05624	1.50285	1.98088	1.51407	3.06403	0.520091	1.06477	1.1057	1.04835	1.44832	0.312572	0.872307	0.467742
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004641.3.2af65a74-ad9a-47d1-bb59-7449ff40f2d9.fc.signal	0.276031	0.542117	0.89578	0.909882	1.08296	1.03588	0.276643	0	0.188296	0.387865	0.34377	0.19716	0.0649091	0	0.240785	0.498311	0.708432	0.400889	0.529479	0.651697	0.45039	1.05014	0.803517	0.206709	0.52375	0.644259	0.685947	0.962913	0.838654	1.05029	1.15774	0.720974	1.36765	0.958873	0.589661	1.12022	1.19461	0.622803	0.712008	1.11579	0.964921	0.19
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001875.2.6632043e-47cf-4bfd-b8e1-020b2411b571.fc.signal	1.25091	0.550924	0.69369	1.26325	0.289096	0	0	0	0.817095	0.956782	0	0	0	0.593838	3.02756	1.35292	0.860084	1.96712	1.02505	1.03022	1.12073	2.59428	1.2569	3.63228	2.27386	0.806148	0.762063	0.495062	1.60803	0.932597	0.845903	0.618325	0.562484	0.842162	0.518262	1.69908	0.849605	0.52375	0.937728	0.0935062	0	0.735955
