	chr16:74407352-74407421	chr16:74407422-74407501	chr16:74407502-74407601	chr16:74407602-74407651	chr16:74407652-74407671	chr16:74407672-74407701	chr16:74407702-74407801	chr16:74407802-74407951	chr16:74407952-74407991	chr16:74407992-74408101	chr16:74408102-74408131	chr16:74408132-74408251	chr16:74408252-74408401	chr16:74408402-74408551	chr16:74408552-74408701	chr16:74408702-74408761	chr16:74408762-74408851	chr16:74408852-74409001	chr16:74409002-74409151	chr16:74409152-74409181	chr16:74409182-74409301	chr16:74409302-74409451	chr16:74409452-74409541	chr16:74409542-74409581	chr16:74409582-74409601	chr16:74409602-74409641	chr16:74409642-74409731	chr16:74409732-74409751	chr16:74409752-74409901	chr16:74409902-74409921	chr16:74409922-74410011	chr16:74410012-74410051	chr16:74410052-74410091	chr16:74410092-74410161	chr16:74410162-74410201	chr16:74410202-74410351	chr16:74410352-74410501	chr16:74410502-74410631	chr16:74410632-74410651	chr16:74410652-74410801	chr16:74410802-74410871	chr16:74410872-74410951	chr16:74410952-74411001	chr16:74411002-74411101	chr16:74411102-74411181	chr16:74411182-74411251	chr16:74411252-74411281	chr16:74411282-74411331	chr16:74411332-74411401	chr16:74411402-74411421	chr16:74411422-74411471	chr16:74411472-74411511	chr16:74411512-74411551	chr16:74411552-74411641	chr16:74411642-74411661	chr16:74411662-74411701	chr16:74411702-74411771	chr16:74411772-74411791	chr16:74411792-74411851	chr16:74411852-74412001	chr16:74412002-74412131	chr16:74412132-74412151	chr16:74412152-74412301	chr16:74412302-74412331	chr16:74412332-74412378	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	1.55978	7.10574	7.76565	2.56052	0.454252	0.3364	0.001682	0	0	0	0	0	0	0.00560667	0.576492	0.44019	0.00747556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0432514	0.239685	0.484519	0.334174	0.275589	0.01682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0841	0.325187	0.0258769	0	0	0	0	0.725523
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.32725	1.03102	1.62211	0.75755	0.22905	0	0	0	0	0.299847	0.3054	0.017815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27486	0.507089	0.3054	0.01018	0	0	0	0	0.249575	0.14252	0.225526	0	0	0	0	0	0	0.01527	0.606624	0.61099	0.531552	0	0	0	0	0	0	0	0	0	0	0.218927	0.503044	0	0	0	0	0	0.584892
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.2cec18a6-acf1-4ec3-b511-04e126f82363.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369162	0.580403	0	0	0	0	0	0.359338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00933275	0.37331	0.37331	0.438017	0.348423	0.37331	0.242651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.367088	0.477837	0.370438	0	0	0	0	0.571064
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.13102329-ee3d-4773-b2d1-9ab40cd17100.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0816953	0.1829	0.1829	0.021948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.740741
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003842.2.aaff33ab-ed7b-4de9-8003-f28b910ee10b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421488	0.80864	0.46832	0.0156107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112583
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	2.69715	1.59111	0.717852	0.0176964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.368938	0.67678	0.27131	0	0	0	0	0	0	0	0	0	0	0	0	0.231933	0.249723	0	0	0	0	0	0	0.650271	0.74183	0.681006	0.035753	0	0	0	0	0	0	0	0	0	0	0.551018	0.681205	0.778683	0.533448	0.33185	0.0154863	0	0	0.538776
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.20932	0.15699	0.192574	0.20932	0.136058	0.20932	0.20932	0.020932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00598057	0.444814	0.440106	0.435774	0.191611	0	0	0	0	0	0	0	0	0	0	0	0.0209325	0.41865	0.41865	0.41865	0.0883817	0	0	0	0	0.216298	0.332127	0	0	0	0	0	0.677632
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099815	0.19963	0.314515	0.222289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0898335	0.3295	0.282247	0	0	0	0	0.186888	0.358974
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.92e33eb4-60fb-4aba-99b3-db60d30e791f.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.682759
