	chr7:6821955-6822104	chr7:6822105-6822254	chr7:6822255-6822404	chr7:6822405-6822554	chr7:6822555-6822704	chr7:6822705-6822854	chr7:6822855-6823004	chr7:6823005-6823154	chr7:6823155-6823304	chr7:6823305-6823454	chr7:6823455-6823604	chr7:6823605-6823754	chr7:6823755-6823904	chr7:6823905-6823984	chr7:6823985-6824054	chr7:6824055-6824114	chr7:6824115-6824204	chr7:6824205-6824354	chr7:6824355-6824504	chr7:6824505-6824654	chr7:6824655-6824804	chr7:6824805-6824864	chr7:6824865-6824954	chr7:6824955-6825104	chr7:6825105-6825254	chr7:6825255-6825404	chr7:6825405-6825554	chr7:6825555-6825704	chr7:6825705-6825804	chr7:6825805-6825854	chr7:6825855-6826004	chr7:6826005-6826104	chr7:6826105-6826154	chr7:6826155-6826204	chr7:6826205-6826254	chr7:6826255-6826304	chr7:6826305-6826344	chr7:6826345-6826454	chr7:6826455-6826534	chr7:6826535-6826604	chr7:6826605-6826644	chr7:6826645-6826754	chr7:6826755-6826904	chr7:6826905-6827048	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.290544	0.0314602	0.188761	0.523728	0.40158	0.183209	0.37012	0.109185	0.793991	0.842122	0.140646	0	0	0	0	0	0	0	0	0	0	0	0	0.669978	0.831028	0.868053	0.364618	1.36961	0.0638542	0	0	0	0	0	0.233176	1.28261	3.26003	5.98503	5.87102	2.60172	0.50664	0	0.170255	0.385542	0.543573
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.278213	0.592714	0	0.538252	0.0579456	0	0	0	0	0	0	0	0	0	0	0	0	0.447559	0.217732	0	0	0.60481	0.60481	0.060481	0.399175	1.60073	0.971728	1.29429	0.586666	0	0	0	0	0.0120962	0.60481	0.60481	0.680411	1.2811	0.876974	0	0	0	0	0	0.916497
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.199231	0	0	0.392602	0.134774	0.348654	0.178722	0.287153	0.756014	0.266653	0.799982	0	0	0	0	0	0	0	0	0	0	0	0.288104	0.896648	0.512795	0.336935	0.325215	0.650502	0.404322	0	0	0	0	0	1.10765	2.08343	2.48338	2.22566	0.626355	0	0	0	0	0.122078	0.394226
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0.0333924	0.806834	0.350545	0.517427	0.0723406	0	0	0.306027	0.287482	0	0.254075	0.55636	0.091411	0	0.0865729	0.467371	0.0742053	0	0	0	0	0	0.830924	0.356103	0	0	0	0	0	0	0	0	0.133537	0.996019	2.7682	5.75144	3.57854	0.846555	0.299095	0	0	0.162284	0.833643
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15829	1.69596	0.40703	1.515	3.39179	2.23859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405783	0.270522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347781	2.30793	1.72437	0	0	0	0	0	0.255906
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.218797	0.28131	0.0125027	0	0	0.167536	0.256305	0.438891	0.162535	0	0	0	0	0	0	0.046885	0.37508	0.268807	0	0	0	0	0	0.270115	0.767804	0.495193	0.610245	0.420133	0	0	0.0950203	0.37508	0.367578	0.206294	0.37508	1.23044	2.26957	3.06074	2.29068	0.959273	0.506456	0.387023	0.14253	0	0.997143
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0.0118474	0.59237	0.0473896	0	0	0	0.41071	0.240897	0	0	0	0	0	0	0	0	0	0	0	0.309349	0.465998	0.0868809	0.564726	0	0	0	0	0	0	0	0	0	0	0.0444277	1.1472	0.844238	0	0	0	0	0	0.185075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.377123	0.284975	0.0116987	0.215846	0.10329	0.816687	0.704899	0.3478	0.539272	0.865172	0.455701	0.776157	0.334409	0.0629928	0	0	0	0	0	0.05964	0.171953	0.253808	0.354159	0.721996	0.563387	0.741038	0.496145	0.901709	0.638845	0.266352	0.129519	0.0744007	0.099153	0.194633	0.545399	1.10338	1.54096	2.71724	3.6295	2.69072	1.46756	0.291328	0.577966	0.849171	0.151458
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.0283593	0.287267	0.378114	0.438957	0.149081	1.00517	0.76321	0.694867	0.420123	0.300723	0.233816	0.273154	0.231587	0	0	0	0	0	0	0	0.0326597	0.805511	1.43531	1.07052	0.625103	0.491414	0.181113	0.408247	0.0690308	0	0	0	0	0	0.98884	3.56798	6.06351	8.43702	4.94715	1.2154	0.345182	0	0.145484	0.595404	0.790795
