	chr7:131507736-131507885	chr7:131507886-131508035	chr7:131508036-131508105	chr7:131508106-131508185	chr7:131508186-131508335	chr7:131508336-131508485	chr7:131508486-131508635	chr7:131508636-131508785	chr7:131508786-131508935	chr7:131508936-131509085	chr7:131509086-131509235	chr7:131509236-131509385	chr7:131509386-131509535	chr7:131509536-131509685	chr7:131509686-131509835	chr7:131509836-131509985	chr7:131509986-131510135	chr7:131510136-131510285	chr7:131510286-131510435	chr7:131510436-131510585	chr7:131510586-131510735	chr7:131510736-131510885	chr7:131510886-131511035	chr7:131511036-131511185	chr7:131511186-131511335	chr7:131511336-131511485	chr7:131511486-131511635	chr7:131511636-131511785	chr7:131511786-131511935	chr7:131511936-131512085	chr7:131512086-131512235	chr7:131512236-131512385	chr7:131512386-131512535	chr7:131512536-131512685	chr7:131512686-131512831	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.60962	1.00082	0.258519	0.263724	1.14865	1.08384	0.751933	0.473626	0.574921	0.311603	0.781181	1.70248	0.99706	1.04424	1.64282	1.38351	0.66624	0.986419	0.671629	1.92806	0.878001	0.614486	0.528822	1.34729	0.450804	0.730109	0.192202	0.832663	1.8118	1.16219	1.1165	1.6787	1.5518	0.467269	1.1147	0.353903
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.161252	0.299976	0.316971	0.86941	1.05162	1.34671	1.12024	0	0	0.448444	0.143422	0	0	0.511917	0.608366	0.0909015	0.427404	0.0811253	0.250388	0.343114	0	0	0.304181	0.40063	1.14251	2.11996	0.187325	0.146981	1.47551	1.66925	3.01027	1.92335	2.12739	0.919955	0	0.322946
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.474486	0.0279173	0	0.0595074	0.824409	0.199031	0	0	0.436916	0.0960394	0.214852	1.00701	0.28092	0	0	0	0	0	0	0	0	0.386228	0.159117	0	0	0	0.341638	0.757622	0.41712	1.8143	1.41538	0.861756	1.65061	1.01939	0.111818	0.372881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0.0567677	0.513348	0.721349	0.562215	0.632294	0.161911	0	0	0	0	0.791289	0.963768	0.962584	0.114782	0.488945	0.126335	0	0	0	0.348863	1.28146	0.768929	0	0.0934989	0.318807	0.275156	1.30886	1.15991	1.89136	0.447437	0.986776	2.0935	0.0474142	0.359184
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	1.51494	0.584704	0.58731	1.05924	2.29797	1.69854	0.978593	0.3674	0.636923	0.880834	0.745474	0.552394	0.731327	0.66854	0.632721	0.550668	0.449135	0.485701	0.362533	0.195285	0.244465	0.792303	0.866504	0.712785	0.740346	0.592406	0.571959	0.621922	1.02552	1.08715	1.64913	2.99466	2.58324	1.68546	1.37548	0.287941
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.879328	0.502496	0	0	0.644678	0.948036	0.73716	0.744286	1.01445	0.533287	0.310444	0.948125	0.739495	0.64965	0.205355	0	0	0	0.531082	0.520538	0.408089	0.213534	0.0366259	0	0	0.0545054	0.459794	0.606796	0.300965	0	0.744269	0.664426	0	0.244089	0.236168	0.454545
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.449248	0.41694	0.254513	0.2912	0.719063	0.670749	0.21333	0.214325	0.562429	0.51008	0.469121	0.590976	0.41928	0.353384	0.336912	0.486448	0.419638	0.428148	0.946929	0.846187	0.474753	0.479357	0.812736	1.62538	1.30159	1.14738	1.45476	1.29378	1.40075	1.39289	0.8819	0.421707	0.459539	0.911094	1.13771	0.475359
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	1.31816	0.478908	0.599946	0.63199	1.23838	0.874294	0.433564	0.186263	0.686771	0.899282	0.974732	1.45934	0.929357	0.274401	0.851457	1.53541	0.931413	0.414818	0.450224	0.324024	0.780004	0.839144	0.484585	0.841112	1.17638	1.35887	0.874001	0.82651	1.35298	0.944052	0.765296	1.25665	1.24028	1.44406	0.794725	0.621622
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0.622252	0.505148	1.11509	0.755545	0.157075	0	0	0	0	0	0	0.496614	0.202677	0.223904	0.295597	0	0.691167	0.109413	0	0	0.160116	0.963778	0.475009	0.291761	0.229919	0.250518	0.0613778	0.721583	0.3963	1.00872	1.39846	0.386964	0	0.298883	1.20091	0.374593
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	3.32655	3.56354	2.09558	2.84371	6.43384	3.1741	1.26981	1.33219	4.26918	4.55492	3.5273	2.30779	4.68315	2.41155	2.04957	2.40378	2.71974	2.34922	1.28192	2.09149	3.13517	2.54415	3.62488	4.63122	3.11365	3.7736	5.27053	6.22639	5.67395	6.22333	6.21375	6.2589	7.1768	8.94215	6.27465	0.594315
