	chr11:64651196-64651345	chr11:64651346-64651495	chr11:64651496-64651645	chr11:64651646-64651795	chr11:64651796-64651945	chr11:64651946-64652095	chr11:64652096-64652245	chr11:64652246-64652395	chr11:64652396-64652545	chr11:64652546-64652615	chr11:64652616-64652695	chr11:64652696-64652845	chr11:64652846-64652995	chr11:64652996-64653065	chr11:64653066-64653145	chr11:64653146-64653225	chr11:64653226-64653295	chr11:64653296-64653445	chr11:64653446-64653595	chr11:64653596-64653685	chr11:64653686-64653745	chr11:64653746-64653895	chr11:64653896-64654045	chr11:64654046-64654195	chr11:64654196-64654345	chr11:64654346-64654495	chr11:64654496-64654645	chr11:64654646-64654795	chr11:64654796-64654945	chr11:64654946-64655095	chr11:64655096-64655245	chr11:64655246-64655395	chr11:64655396-64655545	chr11:64655546-64655695	chr11:64655696-64655845	chr11:64655846-64655995	chr11:64655996-64656145	chr11:64656146-64656222	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0.139403	0.206529	0	0	0.453008	2.8967	4.51293	3.79395	5.07233	5.8117	3.76546	1.42908	4.80659	8.81373	5.28136	1.64092	2.01933	2.61527	1.26741	0.78489	0.138666	0	0	0	0	0	0.328966	0.58576	0.213477	0.341182	0.356816	0.002366	0	0	0.313603	0.101737	0	0.518519
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.671202	0.479082	0.5363	0.537452	0.540292	0.561538	0.688325	0.711965	0.771515	0.714041	0.858079	1.20297	0.754924	0.919749	1.01398	0.808478	0.70219	1.06913	1.32338	0.937859	0.595083	0.352106	0.573967	0.551901	0.536654	0.495893	0.514397	0.603206	0.663943	0.587897	0.431613	0.511654	0.570349	0.40332	0.432807	0.685717	0.815973	0.61553	0.28167
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	0.849561	0.800077	1.23762	0.179184	0.0833413	2.23759	0.658689	0.820017	1.21678	1.44656	0.62506	0.183351	0	0.356387	1.23449	1.48621	0.954947	1.28897	0.979259	2.13208	1.46889	0.158349	0.925069	0.508382	0.038045	1.73685	1.47094	0.466148	1.3242	1.0751	0.500048	1.97118	1.00436	0.308363	0.76705	2.19376	5.83707	4.75822	0.323308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	4.70748	2.45	3.04639	4.30447	3.99521	5.83008	4.19192	3.20287	3.7741	4.85266	7.26794	8.11523	6.98917	4.54519	6.70879	6.92563	5.89467	11.807	11.5443	10.6569	11.9769	10.1688	9.91842	7.04845	6.9505	8.07908	6.88024	8.02805	8.95035	9.35361	8.30033	2.81009	2.29342	4.25373	7.40338	4.20796	2.78762	3.14741	0.61165
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	1.0309	2.46952	0.267267	1.7104	1.34682	2.01281	1.57042	0.942834	1.66155	3.60927	3.38589	3.43841	4.92463	3.23868	5.85881	7.29218	2.41754	1.90063	2.44309	4.23334	2.82605	1.74987	2.58743	5.25384	5.84413	4.98514	5.79333	4.51219	5.97442	5.30762	5.00887	2.03192	2.27292	3.18795	5.04711	5.85617	3.20601	2.5622	0.332248
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0.517501	0.474256	0.114374	0.64144	0.964083	0.561917	0.702918	1.35392	1.00388	0.495182	0.867912	1.87275	0.540049	0.69329	0.74662	0.447972	0	0	0	0	0.267137	1.07416	1.57743	0.83525	0.746609	0.866814	1.2539	1.6169	1.24847	1.9009	1.94994	1.2904	0.451887	0.153633	0	0.0909621	0.65904	1.08664	0.13253
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.41bb4ab6-1e8d-4527-bfe1-5ddf65dcaa7f.fc.signal	0	0	0.0478779	0.427004	0.458167	0.204199	0.172333	0.399233	0.0490907	0.217619	0.784378	0.95228	0.781631	0.553008	0.425722	0.486631	0.394491	0.0214779	0.704583	0.627282	0.148944	0	0.426427	0.165493	0	0.267256	0.948879	1.01264	0.757134	0.724325	0.482951	0.476114	0.291477	0	0.780282	1.58045	1.6911	1.10371	0.470297
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001458.1.90311c59-c092-4716-8ced-a612dc9a7683.fc.signal	2.31257	2.58063	1.21333	1.5737	2.32324	1.64494	1.92154	2.41907	1.48612	1.8109	2.03233	0.851105	1.14031	1.50646	0.766996	0.776162	2.37926	3.0652	1.61424	3.14503	5.17023	3.5049	4.06892	2.34616	2.20366	2.54899	3.24395	5.53463	4.54141	6.57059	8.80758	4.36584	4.57617	3.96512	3.44411	5.29522	3.0021	6.31203	0.4851
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	2.53967	2.99553	2.28541	1.9873	2.46074	3.67648	3.14169	4.63485	3.67284	5.5244	9.05789	9.09771	6.89709	8.10364	8.99701	7.78429	3.93145	6.56785	10.2872	9.48838	6.82402	8.84054	7.90243	4.82213	5.19273	6.02892	6.4306	7.26361	5.59074	6.38565	6.02033	3.66187	3.82639	3.17041	4.13615	2.52026	5.77602	6.27959	0.570338
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	3.36285	5.81552	3.81724	3.01491	2.2628	1.72037	1.15492	3.06512	2.3928	4.46147	5.36098	4.85944	5.34303	4.95215	6.42422	5.39815	1.80612	2.35225	3.18813	3.08695	1.32756	1.59493	3.08823	3.69513	3.10483	6.35024	4.9348	4.27267	2.34014	2.74576	3.56849	1.91134	2.59731	2.46232	4.52841	4.80227	2.81379	2.56783	0.309893
