	chr12:85049677-85049826	chr12:85049827-85049976	chr12:85049977-85050126	chr12:85050127-85050276	chr12:85050277-85050426	chr12:85050427-85050516	chr12:85050517-85050576	chr12:85050577-85050726	chr12:85050727-85050876	chr12:85050877-85050936	chr12:85050937-85051026	chr12:85051027-85051176	chr12:85051177-85051326	chr12:85051327-85051476	chr12:85051477-85051626	chr12:85051627-85051776	chr12:85051777-85051926	chr12:85051927-85052076	chr12:85052077-85052116	chr12:85052117-85052226	chr12:85052227-85052256	chr12:85052257-85052376	chr12:85052377-85052526	chr12:85052527-85052676	chr12:85052677-85052746	chr12:85052747-85052826	chr12:85052827-85052886	chr12:85052887-85052976	chr12:85052977-85053126	chr12:85053127-85053196	chr12:85053197-85053246	chr12:85053247-85053276	chr12:85053277-85053426	chr12:85053427-85053516	chr12:85053517-85053576	chr12:85053577-85053676	chr12:85053677-85053726	chr12:85053727-85053876	chr12:85053877-85054026	chr12:85054027-85054076	chr12:85054077-85054176	chr12:85054177-85054226	chr12:85054227-85054326	chr12:85054327-85054476	chr12:85054477-85054626	chr12:85054627-85054751	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0.313092	0.0265241	0.296412	0.10278	0	0	0	0	0	0.604119	1.15904	0.729878	0.0521647	0.0135996	0.455831	0.640858	0.471027	0.286666	0	0	0	0	0	0.136571	0.749755	0.623197	0.140466	0	0	0	0	0	0	0	0	0	0.0994157	0.385155	0	0	0.0701868	0.373011	0.195157	0	0	0.385305
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03031	0.250808	0	0	0	0	0	0.038836	0.41849	0.129705	0	0	0	0	0	0	0	0	0	0	0.0523997	0.337816	0.433559	0	0	0	0	0	0	0.246429	0.260971	0	0	0.858025
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.121289	0.343974	0.375381	0.0624961	0.264582	0.383286	0.415363	0.302298	0.0180453	0	0	0	0.428445	0.34953	0.197927	0.218615	0.009218	0	0	0	0.008378	0.268299	0.110984	0	0	0	0	0	0	0	0	0	0.0143716	0.201254	0.247555	0.0356055	0	0	0	0	0.20916	0.246314	0.0736148	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.391947	0	0	0	0.381894	0.339439	0	0	0	0.351381	0.467468	0.741772	1.16271	0.645575	0.317687	1.6255	0.243476	0.9266	0.19851	0	0	0	0	0	0	0	0	0	0.270869	0.61099	0.103859	0	0	0	0	0	0.274928	0.515257	0.485173	0.0171684	0	0	0.070572	0.378919	0.119672	0.531582	0.397849
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0.00617407	0.0215435	0.294387	0.0296981	0	0	0	0	0.257047	0.471677	0.433872	0.248357	0	0	0	0	0	0.0506224	0.411304	1.09576	0.875336	0.105463	0	0	0	0	0	0	0.0063278	0.433903	0.63277	0.548402	0.0822614	0	0	0	0	0	0	0	0	0.0506224	0.308324	0.348028	0.0358575	0	0.296774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.f2b1cfa1-231f-48d8-af6a-ed3f48905f6f.fc.signal	0.254185	0.613344	0.542157	0.428905	0.22452	0.24462	0.385241	0.242162	0.491624	0.610505	0.251757	0.263222	0.466231	0.608053	0.852991	0.0781549	0.0361917	0.780593	0.330246	0.192451	0.51271	0.576048	0.698573	0.225608	0.444657	0.296326	0.31066	0.45241	0.395728	0.315402	0.148338	0.1809	0.130248	0.390047	0.859605	0.553782	0.05427	0	0.021542	0.238629	0.340468	0.173664	0.474365	0.403801	0.126675	0.311272	0.38512
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.b69b018c-be0b-42b3-9bd0-adb684b6c71f.fc.signal	0.233825	1.18653	0.934633	0.769439	0.172408	0	0.0730733	0.701374	0.122763	0.942441	1.66637	0.783857	1.35078	0.271774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379981	0.416518	0.591315	0.635931	0	0	0	0.280602	0.407749	0.356598	0.0087688	0	0.628352
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0	0	0	0	0.141055	0.27795	0.510246	0.589844	0.0803417	0	0	0.132752	0.983046	1.10586	0.70242	0.492278	0.355549	0.497106	0.0400035	0	0	0.29162	0.343893	0.982776	0.791644	0.271357	0.102282	0.26115	0.25878	0.232256	0.133555	0.112205	0.0135115	0.162862	0.27564	0.250252	0.0094504	0.100275	0.518017	0.352376	0.955592	1.57773	1.87485	0.63029	0.0893097	0	0.803922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	0	0.0179825	1.53354	1.09429	0.77057	0.34252	0	0	0	0.102757	0.64216	0.716638	0.716638	0.55482	0	0	0	0.290252	0.77057	0.77057	0.680683	0.0128447	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0784751	0.216633	0.92709	0.547935	0.100508	0.0763795	0	0	0	0	0	0.361809
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.309624	0.376615	0.191898	0.417991	0	0	0	0.0304967	0.539837	0.140661	0	1.2789	0.27868	0	0	0	0	0	0	0	0	0.0429798	0.613421	0.0563671	0	0	0	0.102906	0.658236	0.101459	0	0	0	0	0	0	0	0	0.308626	0.605269	0.819273	0.754824	0.614269	0.125036	0	0	0.645161
