	chr3:56000599-56000698	chr3:56000699-56000748	chr3:56000749-56000868	chr3:56000869-56000898	chr3:56000899-56001048	chr3:56001049-56001158	chr3:56001159-56001198	chr3:56001199-56001278	chr3:56001279-56001348	chr3:56001349-56001498	chr3:56001499-56001648	chr3:56001649-56001798	chr3:56001799-56001948	chr3:56001949-56002098	chr3:56002099-56002168	chr3:56002169-56002248	chr3:56002249-56002398	chr3:56002399-56002548	chr3:56002549-56002698	chr3:56002699-56002848	chr3:56002849-56002928	chr3:56002929-56002998	chr3:56002999-56003148	chr3:56003149-56003298	chr3:56003299-56003378	chr3:56003379-56003448	chr3:56003449-56003598	chr3:56003599-56003748	chr3:56003749-56003898	chr3:56003899-56004008	chr3:56004009-56004048	chr3:56004049-56004198	chr3:56004199-56004278	chr3:56004279-56004348	chr3:56004349-56004408	chr3:56004409-56004498	chr3:56004499-56004648	chr3:56004649-56004738	chr3:56004739-56004798	chr3:56004799-56004948	chr3:56004949-56005068	chr3:56005069-56005098	chr3:56005099-56005148	chr3:56005149-56005248	chr3:56005249-56005318	chr3:56005319-56005398	chr3:56005399-56005438	chr3:56005439-56005548	chr3:56005549-56005634	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.584176	0.81703	0.320007	0	0.0843944	0.107659	0.13612	0.13612	0.0777829	0	0	0.714493	0.455707	0.0644301	0	0	0	0	0	0	0.0868164	0.441568	0.362179	0.0027224	0	0	0	0	0	0	0	0	0	0	0.0975527	0.13612	0.127953	0.0998213	0	0	0	0	0	0.0313076	0.247079	0.539525	0.401704	0.165895	0.2724	0.425197
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0.496991	0.117434	0.542287	0.544073	0.032634	0	0	0	0.135628	0.541258	0.0097086	0.39372	0.255549	0.311113	0.489724	0	0	0	0.0458494	0.422999	0	0	0	0.297499	0.773557	0.30368	0.0465428	0.392677	0	0.0832815	0.872814	1.06205	0.48427	0.0339957	0	0	0.0043152	0.319839	0.426536	0.365273	0.419393	0.334118	0.357263	0.285409	0.486804	0.647577	0.487341	0.292171	0	0.417083
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	1.861	1.42357	0.818045	0.321341	0.165039	0.301213	0.295403	0.54701	1.01526	1.19362	1.08515	0.976671	1.50853	2.30689	2.04318	1.79314	0.626514	1.50255	2.87157	1.3618	1.34531	1.4028	2.34714	0.955609	0.818785	0.640179	0.143882	0.468451	1.62374	0.761438	1.09518	0.768962	0.629667	0.776897	0.840977	0.738327	1.21596	1.00487	0.398248	0.609857	0.222305	0	0	0.0740186	0.199321	0.665934	0.725138	0.867134	0.67532	0.303448
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000126.3.4655431f-8c56-4476-831c-eb227cec568c.fc.signal	0	0	0	0	0	0.0142058	0.391344	0.398125	0.320679	0.101445	0.258172	0.240916	0.14408	0.253636	0.421347	0.317805	0.148206	0	0.0805803	0.506832	0.2672	0.00381714	0	0.484248	0.370705	0.0419886	0	0.269969	0.414797	0.449833	0.223286	0.0395856	0.332257	0.393744	0.404824	0.338866	0.260709	0.18818	0	0.217857	0.374473	0.475566	0.737807	0.81185	0.638655	0.475426	0.17683	0.20068	0.253505	0.362319
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0	0	0	0.305328	0.352256	0.106899	0	0	0	0	0.0847177	0.42378	0.59915	0.667242	0.676394	0.418602	0.773874	0.966983	1.2364	0.490372	0	0.211064	0.339217	0	0	0	0.215123	0.289834	0.247101	0.782357	0.480019	0.44484	0.43006	0.339334	0	0	0.0113088	0.4156	0.378643	0.150668	0	0	0	0	0	0.218645	0.306902	0.490066	0.354073	0.450112
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.245394	0.257116	0.450133	0.551254	0.554329	1.20583	1.22671	0.549188	0	0.535598	1.07738	0.491693	0.131118	0	0.632399	1.06361	0.696254	0.0462567	0.614285	0.653141	0.471816	0.451879	0.36115	0.720706	2.04771	1.25061	0.280498	0.0697755	0.632412	1.32149	0.805907	0.689943	0.175375	0	0	0	0	0.118998	0.310221	0.78921	0.00198883	0	0.0791316	0.433643	0.453113	0.277131	0.174453	0.0436645	0.458432	0.513393
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0	0	0	0	0	0.358202	0.577547	0.761686	0.63551	0.492697	0.317446	0	0	0.443383	0.608326	0.118202	0.604124	0.0648525	0.417278	0.0333437	0	0	0	0.20003	0.48412	0.38855	0.399133	0.309619	0	0	0	0.377294	0.446565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.425055	0.318037	0.405848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.385226	0.440691	1.05588	0.718591	0.311194	0.371075	0.20932	0.102043	0.0149514	0.510748	0.586137	0.481785	0.950904	0.750884	0.328629	0.944651	1.20321	0.368252	0.657424	0.424572	0.201195	0.638549	0.851382	0.740306	0.674999	0.363785	0.045414	0.609016	0.4504	0.591286	0.292896	0.133582	0.244073	0.166512	0	0	0.110639	0.439781	0.334554	0.709105	0.398122	0.198269	0.0908416	0.225678	0.821869	1.45106	1.16978	0.474099	0.488282	0.567308
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0.306886	0.180878	0.729539	0.59906	0.0772175	0	0	0	0	0	0.489695	0.277488	0.279752	0.356639	0.258587	0.326844	0.0518483	0	0.140763	0.0523077	0.25237	0.442769	0.292722	0.081697	0.337139	0.391492	0.0868498	0	0	0	0	0.20431	0.328592	0.347306	0.341756	0.151607	0	0	0	0	0	0	0	0	0	0	0	0.0175332	0.168465	0.472973
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	0	0	0.299929	0.374401	0.0542447	0	0	0	0	0.347521	0.1899	0	0.352732	1.30898	0.737278	0.908506	0.253293	0	0.057185	0.977955	0.440422	0.348077	0.598509	0.674412	0.765857	0.632055	0.340744	0.412091	0.0764514	0.255261	1.02358	0.663422	0.047905	0.267282	0.657514	0.548549	0.463488	0.967832	0.180027	0.35105	0.458681	0.5105	0.511284	0.199095	0.25268	0.529975	0.958954	0.324676	0.0558301	0.36388
