	chr19:30281572-30281671	chr19:30281672-30281721	chr19:30281722-30281821	chr19:30281822-30281871	chr19:30281872-30281951	chr19:30281952-30282021	chr19:30282022-30282071	chr19:30282072-30282171	chr19:30282172-30282321	chr19:30282322-30282471	chr19:30282472-30282621	chr19:30282622-30282771	chr19:30282772-30282921	chr19:30282922-30283071	chr19:30283072-30283221	chr19:30283222-30283281	chr19:30283282-30283371	chr19:30283372-30283431	chr19:30283432-30283521	chr19:30283522-30283601	chr19:30283602-30283671	chr19:30283672-30283781	chr19:30283782-30283821	chr19:30283822-30283971	chr19:30283972-30284061	chr19:30284062-30284121	chr19:30284122-30284201	chr19:30284202-30284271	chr19:30284272-30284311	chr19:30284312-30284421	chr19:30284422-30284501	chr19:30284502-30284571	chr19:30284572-30284611	chr19:30284612-30284721	chr19:30284722-30284791	chr19:30284792-30284871	chr19:30284872-30285021	chr19:30285022-30285171	chr19:30285172-30285321	chr19:30285322-30285471	chr19:30285472-30285621	chr19:30285622-30285771	chr19:30285772-30285921	chr19:30285922-30286071	chr19:30286072-30286221	chr19:30286222-30286371	chr19:30286372-30286521	chr19:30286522-30286641	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	6.42121	3.53515	2.0178	4.16437	3.74045	3.3451	4.26573	4.92891	3.21834	3.5334	1.20243	1.69319	4.26948	5.33491	2.59542	3.16858	4.63968	5.08523	5.90499	5.21493	3.42394	3.13059	2.49214	2.13469	1.78972	1.6917	3.19361	4.16889	3.87237	4.45384	4.48226	2.79454	2.82522	2.36873	1.9385	1.58205	2.35981	4.59035	5.38136	3.62562	4.17574	6.53636	2.26771	3.58685	5.79799	6.00508	4.39392	4.93799	0.664671
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	3.09631	3.97237	3.39441	3.02592	3.38824	3.38655	3.84796	3.8585	2.03536	2.60329	4.63729	1.01531	2.30936	3.86212	2.60023	2.73112	5.19073	3.44052	1.68248	3.24277	3.49865	2.42142	1.8471	3.45451	1.9906	3.92164	3.97322	4.4212	4.67723	1.97896	0.764123	2.0421	1.82416	1.33025	2.21656	1.09869	0.956486	3.22367	1.4461	1.54062	2.62871	1.37165	1.24768	1.32426	2.05547	1.87039	2.74242	2.78805	0.188811
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.381814	0.2314	0.255697	0.701152	0.8923	0.819983	0.551753	0.674499	0.665003	0.360987	0.508318	0.472929	0.683526	0.371189	0.655871	0.811838	0.600364	0.619005	0.604221	0.579956	0.707433	1.00239	0.642145	0.720657	0.495105	0.351921	0.574474	0.730046	0.73328	0.422922	0.267684	0.307239	0.374876	0.48245	0.765502	0.649233	0.888821	0.871922	0.452125	0.559913	0.221373	0.164294	0.526828	0.610906	0.819937	0.721978	0.570025	0.54493	0.348958
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	3.00256	2.43163	4.08567	5.19908	5.41553	3.39296	4.61596	4.86863	4.83965	6.60951	5.12139	5.15074	2.28558	2.10949	4.35746	4.24495	4.7296	4.66873	2.74228	1.76992	1.79106	3.18815	4.46048	3.75985	2.20887	1.67311	1.77661	3.82011	3.4457	2.90424	3.18511	5.0288	5.67694	4.28812	4.35872	6.01122	5.63457	3.92401	2.80481	2.44541	2.67291	3.43839	2.72871	4.16619	3.34319	2.79768	3.53122	2.65506	0.591241
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.851724	0.977158	4.15279	6.81345	7.45051	9.65658	8.25703	5.40016	5.02464	3.16105	2.13099	4.4611	3.4405	3.2458	1.58179	2.32045	5.07935	5.10519	2.97289	2.54077	2.5636	2.10558	1.78084	1.50629	1.20253	0.925343	0.673635	1.37801	2.89763	4.54976	7.1928	8.22827	9.57138	9.56084	6.31297	2.98588	2.67178	2.06709	2.25788	4.59467	1.99235	6.81337	5.15338	4.38811	6.77238	4.64025	3.55679	5.28595	0.45625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.852946	1.51986	1.28198	1.57439	1.60499	1.02567	0.915432	0.589252	1.99007	4.06929	3.04383	4.40362	3.94737	2.91049	1.72972	2.03718	3.67437	3.91737	3.11387	3.68104	4.74211	4.5551	2.1924	3.06136	1.59742	2.32705	2.32075	2.76521	2.60667	1.20931	2.21554	2.28042	1.43174	2.24499	1.59652	0.742795	2.63664	4.39945	3.4674	2.66783	4.88267	5.51292	2.05531	1.94813	1.98356	3.00016	3.36272	4.84702	0.173333
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	4.81445	2.4217	1.95041	2.56734	5.37929	4.93016	5.70068	5.19704	4.40925	6.20005	3.00223	4.07296	2.8725	2.32649	1.34503	3.75361	4.60582	4.13774	2.075	2.18076	3.67264	2.42487	1.57879	3.15334	2.77413	3.59966	3.58018	4.88676	3.76865	1.00534	2.97555	2.75587	2.94238	3.86702	3.3095	2.96896	0.682817	2.52357	1.37309	3.28031	1.31717	1.25777	4.40513	1.32186	4.37327	4.29295	4.26506	3.34169	0.412844
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.1ff1e0cf-fe7a-4485-b51f-e180baac3300.fc.signal	2.76758	3.55239	3.76114	4.46338	6.3699	4.45234	3.34098	3.17232	3.75627	2.61178	2.8789	1.63763	3.71011	3.04821	2.0566	3.01611	5.65033	5.11305	3.14999	3.46977	3.44396	2.88793	2.37411	2.35805	0.999248	1.21123	2.17006	3.31736	3.00488	2.79017	4.59029	5.90982	5.26029	4.8661	5.61078	3.2049	1.18676	3.84856	3.23783	4.71152	2.52636	2.54192	1.9138	5.92331	4.20194	4.40786	6.35399	5.99668	0.392
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.61dbfaab-48a0-49aa-b249-2516c02981de.fc.signal	3.34465	4.65753	5.03247	5.10199	3.85953	5.28961	7.92039	6.25094	4.15389	2.04477	1.77971	1.45595	1.7325	2.32854	3.06731	3.24343	2.67463	4.07632	4.70973	4.12383	4.23209	6.12386	4.73793	1.04118	2.60298	3.61303	3.21698	3.01767	2.66886	2.11564	2.42676	3.84698	3.19953	4.98866	3.91559	3.5937	4.25288	2.2342	3.01449	5.01734	5.08708	6.02804	5.62318	6.19322	4.35166	1.80205	3.54954	5.15945	0.286713
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.986e393c-de82-4afc-818b-4cc2a632dc28.fc.signal	3.47204	2.79313	3.1505	3.14765	3.90318	3.92382	3.49168	1.34376	2.16812	5.18003	5.64996	4.90238	6.25747	3.12161	1.95153	4.204	7.46157	8.7011	4.82453	2.3848	1.56279	2.35802	5.46793	5.58985	2.46348	4.2747	5.36545	4.02098	3.97909	4.6026	3.42554	1.93446	1.31343	2.34402	3.3681	2.30151	3.20732	5.8672	5.91986	4.23687	5.23583	6.47984	6.50176	5.12692	2.72221	3.5854	3.96655	2.34442	0.724868
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.b81732b7-0852-42a0-916a-8784920a02a3.fc.signal	5.23687	3.85019	4.91051	6.61679	6.08999	3.6583	3.15047	5.41345	5.77956	5.21868	3.81987	3.00256	2.44642	1.9538	1.22574	3.34119	3.7574	3.31579	2.74165	2.78494	2.33542	2.37559	2.2422	1.54295	1.44542	2.13945	2.98682	4.46035	4.56844	3.42889	3.54097	2.98672	4.57203	2.18523	1.23484	1.64383	3.04559	2.81103	3.83112	1.7863	1.97093	1.88471	2.55968	3.24288	3.13799	4.90632	5.37099	4.72924	0.611111
