	chr4:113370033-113370182	chr4:113370183-113370332	chr4:113370333-113370482	chr4:113370483-113370632	chr4:113370633-113370782	chr4:113370783-113370932	chr4:113370933-113371082	chr4:113371083-113371232	chr4:113371233-113371382	chr4:113371383-113371532	chr4:113371533-113371682	chr4:113371683-113371832	chr4:113371833-113371902	chr4:113371903-113371982	chr4:113371983-113372132	chr4:113372133-113372282	chr4:113372283-113372432	chr4:113372433-113372582	chr4:113372583-113372732	chr4:113372733-113372882	chr4:113372883-113373032	chr4:113373033-113373182	chr4:113373183-113373332	chr4:113373333-113373482	chr4:113373483-113373632	chr4:113373633-113373782	chr4:113373783-113373932	chr4:113373933-113374082	chr4:113374083-113374232	chr4:113374233-113374382	chr4:113374383-113374532	chr4:113374533-113374682	chr4:113374683-113374742	chr4:113374743-113374832	chr4:113374833-113374892	chr4:113374893-113374982	chr4:113374983-113375125	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.82317	0.772805	1.16018	2.04491	2.57303	0.632718	0.232512	1.25162	1.15136	0.637842	1.79015	0.665592	0.760978	1.22372	1.86874	1.99359	1.13575	1.42748	1.96463	2.0074	0.45935	0.431844	0.146606	0.483347	0.470607	0.369163	0.410077	1.79042	1.20202	0.576283	0.412673	1.22008	1.44912	0.872609	0.620087	1.37207	1.40365	0.680982
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.44583	0.743578	0.405039	0.226348	1.29772	0.151675	0	0.157038	0.59263	0.548453	1.6585	0.148764	0	0.377255	1.74527	0.762532	0.514915	0.621101	0.421897	0.101613	0.242976	0.33286	0.937573	0.845535	0.179041	0	0	0	0	0.353492	0.632081	0.819562	0.676216	0.626659	0.766237	0.66813	0.831379	0.400566
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.0301657	0.0207872	0.25069	0.389198	0.0948455	0.326503	0.436629	0.274821	0.245122	0.425929	0.289178	0.300619	0.331871	0.851242	0.409334	0	0	0	0	0	0	0	0	0.928697	0.746249	0	0	0	0.0125283	0.60284	0.970691	0.897135	0.7571	0.475886	0.370837	0.0118298	0.594623	0.326664
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.211616	0	0.58353	0.271363	0.275288	0.406289	0.402056	0.0218891	0.460435	1.0058	0.803741	0.420888	0.871756	0.72477	1.2994	0.186777	0.510342	0.84559	0	0	0.227753	0.711987	0.302381	0.0349187	0.197145	0.277362	0	0	0.235017	0.503839	0.224698	0.230744	0.472078	0.411337	0.472577	0.373502	0.343438	0.456813
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.387837	0.0381136	0.196858	0.68575	0.68642	0.21223	0.0417531	0.256955	0.00998213	0.0372229	0.446624	0.133414	0	0	0.0798976	0.22881	0.20606	0.881516	0.825254	0.978657	0.826126	1.40351	0.6736	0.911489	0.558306	0.659971	0.756219	0.711754	0.675448	0.118014	0.0553853	0.265132	0.27683	0.703531	0.817032	0.502315	0.363747	0.341543
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.557143	0.970012	0.957829	1.06753	0.252154	0.0482162	0	0	0	0	0	0	0	0	0	0	0.243635	1.01811	0.985597	0.469021	0.494042	0.120992	0.351074	0.869541	0.452673	0.475092	0.869858	1.16768	0.985123	0.767859	0.0343559	0	0.41086	0.89644	0.89644	0.771929	0	0.541436
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.1a48d1e3-a2d4-434f-8cee-d284ec0da60a.fc.signal	0	0	0	0	0	0	0	0	0.0747555	0.838898	0.169569	0	0	0	0	0	0	0	0	0	0.447763	0.894677	0.350751	0.580978	0.561277	0	0	0	1.28801	0.892992	0	0	0	0	0.580414	1.95356	2.11474	0.247619
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	0.214384	0.930952	1.26075	0.646705	0.612805	0.665254	0.0455872	0.287343	1.01542	0.609429	0.451635	0.614356	0.471676	0.100775	0	0	0	0.34246	0.32921	0.27183	0.285031	1.13034	0.499219	0.315401	0.502166	1.0262	0.433109	0	0	0.137513	0.426827	0.254191	2.20819	2.37705	0.682327	0.387961	0.390865	0.689367
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	1.93489	2.85836	2.40823	3.28639	2.64063	1.35816	0.0525931	0	0	0	0	0	0	0	0	0	0.152985	3.12696	4.04344	0.917088	0.57195	0.147918	0	0	0	0.138057	1.97848	3.96386	2.71598	0.556579	0	0	0	0	0	0	0	0.708397
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	0.408625	1.46535	0.749257	0.0115739	0	0.41369	0.12048	0	0.151977	0.562863	0.127203	0	0	0	0.553488	0.487865	0.441033	2.49472	3.69481	0.676033	0.578736	0.762584	0.640668	0.133729	0.64319	1.04961	1.16656	0.989936	0.585562	0.367825	0.754421	1.2818	0.837112	0.319973	1.50814	1.6592	0.81401	0.768817
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	1.45765	1.2488	1.03023	0.755688	1.04011	0	0.600353	0.836777	0.971678	0.96056	0.556839	0.231849	0.837098	2.03391	1.4133	0.800057	0.684135	1.46422	1.65244	1.4645	1.09071	0.910253	1.41191	1.28224	1.35028	0.290436	1.36085	1.45607	0.441044	1.46687	1.27626	0.713343	0.237019	0.833703	1.21846	1.56555	1.28042	0.158944
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.0156624	0	0.596575	0.597265	0.600854	0.261749	0	0.171664	0.451031	0.133511	0.147239	0.507068	0.830024	0.689505	0.682307	0.444179	0.325266	0.443244	0.393984	0.107902	0.399707	0.527774	0.334315	0.242738	0.096103	0.0226471	0.223725	0.00771667	0.39302	0.392272	0.483886	0.46974	0.667302	0.56899	0.607442	0.49124	0.607743	0.601817
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.766722	0.582121	0.880023	1.1205	0.933174	2.30727	1.14048	0.828879	0.235223	0.318885	0.689987	1.19305	0.960669	2.33789	3.61595	3.41229	1.59552	1.64262	0.48133	1.47518	0.271206	2.02678	1.79759	2.13724	2.25731	1.74447	2.04343	1.442	2.66547	1.18853	1.58032	1.2114	1.80154	2.79081	3.08959	2.04662	0.638642	0.454726
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000153.3.4632c7b2-2ae2-40a1-bd27-50236900252a.fc.signal	0	0	0.555459	0.825163	1.07399	0.926808	0.584146	0	0	0	0	0.196153	2.10678	2.69728	1.38024	2.6577	1.7447	0	0.466761	3.08821	1.04107	0.876366	0.278398	2.11709	1.97453	0	0	0	0	0	0	0	0	0	0	0	0	0.317365
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0	0	0	0	0	0	0.00399107	0.516444	0.603815	0.306587	0	0	0.129577	0.599592	0.194202	0	0.153931	0.297687	0.192294	0.387467	0.0293597	0.555987	0	0	0	0	0	0.062203	0.351172	0.506926	0	0.0763284	1.00515	1.09278	0.18487	0.0593991	0.584546	0.64
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004647.3.6c7e93ea-bf0c-48a2-82fb-1c49e3dc143b.fc.signal	0.927316	1.09092	0.793153	0.432095	0.843866	0.725317	0.162771	0.20511	0.628857	0.963139	1.07998	1.41417	1.2924	1.11482	1.13816	0.780846	0.760957	1.11763	0.894674	0.64548	0.377004	0.164624	0.069427	0.453036	0.736632	0.859682	0.946636	0.942143	0.697666	0.471404	0.618321	0.518286	0.348555	0.367789	0.285705	0.280436	0.432091	0.741117
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.481319	0.269257	0.265588	0.458951	0.307011	0.263813	0.483856	0.43749	0.787664	0.99133	0.641838	0.573373	0.613237	0.783546	1.31634	1.11612	0.565108	0.665122	0.480764	0.524385	0.488631	0.521556	0.770909	0.325992	0.163332	0.532153	0.885643	0.332477	0.289733	0.405271	0.650237	0.471575	0.669896	0.836359	0.824023	0.371803	0.397039	0.467213
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.f2b1cfa1-231f-48d8-af6a-ed3f48905f6f.fc.signal	0.367939	0.791127	0.497028	0.106566	0.774537	1.03035	0.921771	1.4454	1.45985	2.32128	0.86871	1.60397	0.765263	1.19218	0.728717	0.792633	1.43693	0.306434	0.249831	0.623715	0.282033	0.447996	0.114158	0.125593	0.436542	0.626188	0.202681	0.004632	0.217868	0.327853	0.132324	0.682457	0.790425	0.671056	0.259348	0.0736164	0.206103	0.411373
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000318.2.9cc4804f-5850-46a5-b627-ca441aa97c73.fc.signal	0	0	0	0	0	0.468455	0.255147	0.347134	0.294741	1.77077	0.724581	0.625932	0	0	0.125719	0.454467	0.261961	0.907456	0.758651	0	0	0	0.483947	0.296162	0.983451	0.418697	0	0.127251	0.61573	0.570172	0.158844	0	0.884603	1.06838	0.977638	0.285185	1.27145	0.566929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000250.2.a39935bf-2e13-411b-a0e6-5df09e4383e1.fc.signal	1.2088	0.0930503	0.569075	0.0869591	0	0	0.0120103	0.788302	1.00766	0.541711	0	0.0718403	0.419652	0.489596	0.585385	1.21272	1.54275	1.03196	0.89688	0.858606	1.21749	0.354486	0.437206	0.432755	0.168345	0	0.229368	0.499507	0.054829	0.829821	1.89063	1.22605	0.919561	0.574795	0.332453	0	0	0.787938
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0.7439	0.870333	0.650051	0.479412	0.842613	0.951528	0.144445	0.646357	0.804607	1.00286	1.07935	0.404294	0.191958	0.121408	0.388373	1.11038	0.836193	1.2482	0.334915	0.956301	1.25591	0.941536	0.66365	1.21343	1.06389	0.627158	0.548102	0.321255	0.350601	0.208	0.477317	0.133527	0.505825	0.770216	0.839487	0.65611	0.420371	0.314917
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.41bb4ab6-1e8d-4527-bfe1-5ddf65dcaa7f.fc.signal	0.852588	0.424903	0	0.150404	0.753969	0	0.193357	0.472604	0	0	0	0	0.063923	0.531359	0.277117	0.273135	0.243811	0.066068	0.19891	0.483772	0.290751	0.683841	0.0403979	0.338209	1.04163	0.761036	0	0	0.119662	0.460907	0	0	0	0	0.228975	1.29414	0.792481	0.584967
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.440b0def-8afc-49ae-ab48-eb6e55baaba4.fc.signal	1.19757	0.684738	1.114	0.231786	0.743649	1.9144	0.76496	0.334433	0.609744	0.873821	0.327524	0.426231	1.02026	1.05194	0.608116	0.447766	0.294111	2.29168	3.4248	2.34391	2.90682	1.9124	0.882167	0.377215	0.479672	0.821157	0.304755	0	0	0	0	0.134777	2.43612	3.08083	1.89352	0.643133	1.53712	0.522843
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001235.5.b69b018c-be0b-42b3-9bd0-adb684b6c71f.fc.signal	0.330217	0.400351	0.662283	0.657644	1.13368	1.35308	0.394508	0	0	0	0	0	0.500984	0.849281	0.640008	0.134451	0	0.642188	0.8638	0.521766	0.371229	1.20117	0.421781	0.108964	0	0.236703	0.572258	0.803426	0.119624	0	0	0	0.628089	0.708431	0	0	0	0.311124
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.274958	0.49054	0	0.0840549	0.340392	0.0191257	0.0671499	0.139092	0	0	0	0	0	0	0	0	0	0.00444933	0.104021	0.39944	0.284616	0.0184076	0.220557	0.610465
