	chr8:22175067-22175216	chr8:22175217-22175366	chr8:22175367-22175516	chr8:22175517-22175666	chr8:22175667-22175816	chr8:22175817-22175966	chr8:22175967-22176116	chr8:22176117-22176266	chr8:22176267-22176416	chr8:22176417-22176566	chr8:22176567-22176716	chr8:22176717-22176776	chr8:22176777-22176866	chr8:22176867-22177016	chr8:22177017-22177166	chr8:22177167-22177316	chr8:22177317-22177466	chr8:22177467-22177616	chr8:22177617-22177766	chr8:22177767-22177916	chr8:22177917-22178066	chr8:22178067-22178216	chr8:22178217-22178366	chr8:22178367-22178516	chr8:22178517-22178666	chr8:22178667-22178816	chr8:22178817-22178966	chr8:22178967-22179116	chr8:22179117-22179266	chr8:22179267-22179416	chr8:22179417-22179566	chr8:22179567-22179716	chr8:22179717-22179866	chr8:22179867-22180016	chr8:22180017-22180166	chr8:22180167-22180232	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.886944	0.865818	0.513793	0.557757	0.511901	0.240781	0.159163	0.383623	2.00214	1.46623	1.12161	0.854188	0.285361	0.755605	1.76872	1.30494	1.60437	1.58168	1.49763	1.24452	0.763069	0.53144	0.330242	0.289778	0.381138	0.433967	0.33595	1.16827	1.63991	0.854273	1.36163	0.752533	0.387527	0.561727	0.514155	1.0074	0.376238
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.931393	1.12105	0.451377	0.843097	1.08163	1.22997	0.776378	1.18596	0.931299	1.84492	1.8937	2.25346	1.52194	2.19526	3.66678	3.09141	3.72949	4.16175	3.29294	3.34117	4.65585	6.00328	5.40512	6.57579	7.89581	7.02044	5.40935	2.73265	2.64537	4.47842	3.47459	2.96592	1.99424	1.48728	0.585227	1.48093	0.0973149
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	1.05537	1.1314	2.04712	2.12441	1.37441	1.10362	1.22831	4.4592	3.62537	2.23701	3.26909	2.68473	0.454399	0	0	0	0	0	0.304148	0.459959	1.10175	0.508181	0.168768	0.424694	0	0.250382	1.79884	1.23204	0.879151	1.29645	2.22573	0.642343	0.834626	1.10728	0.578696	0.813545	0.0246753
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	1.4214	1.77866	0.796251	0.774174	0.963153	0.744758	0.380766	0.0211616	0	0	0	0	0	0.22884	0.418012	0	0	0.628471	1.2862	0.0541993	0	0	0	0.169163	1.50175	2.9604	0.862323	1.25079	0.954334	1.11678	1.40942	0	0.468375	1.10808	0.355679	0	0.798061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	6.46452	7.06843	7.56021	7.01602	11.3454	8.34384	8.1715	11.0537	7.77152	5.02023	8.03422	10.7936	9.31552	5.64439	5.17403	5.63919	5.21722	5.35417	3.16917	2.37129	3.41386	3.48834	2.80683	2.49401	3.40612	3.82371	5.93015	6.6766	4.66705	4.45945	4.34437	3.1118	2.29614	2.2812	3.6431	3.90065	0.66005
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	1.61072	0.460683	0.111307	0.249886	0.76811	0.617001	0.25425	1.35067	0.370975	1.04146	0.97788	0.125225	0	0	0	0	0.505537	1.23227	0.217202	0.505489	1.34055	1.34685	0.0118474	0.130321	1.20858	1.87653	0.358424	0.398272	1.31095	2.09358	1.157	0.636269	0.148594	0	0.537109	1.0682	0.715743
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.243599	0.0932286	0.0860071	0.218684	0.435223	0.178696	0.161695	0.127114	0.0994746	0.140262	0.0847137	0.0724545	0.0546853	0.0320345	0.149951	0.115882	0.12831	0.183363	0.124167	0.135723	0.187572	0.0969121	0.0369117	0.139184	0.229776	0.169803	0.100235	0.109257	0.140625	0.137508	0.0821441	0.139623	0.179921	0.205652	0.198216	0.188234	0.832335
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0.693925	0.387847	0.0431801	0	0.266924	0.520195	0.621864	1.15244	1.7975	1.1595	1.08173	1.15972	0.510781	0.0247864	1.06931	0.709039	0.875662	0.448153	0.577146	0.267502	0.537902	0.367819	0.337849	0.348455	1.38056	1.54215	1.81875	1.51018	0.766573	0.344876	0.419247	0.469245	0.841251	1.23864	1.38572	1.47916	0.170599
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001546.1.967ca253-1932-4175-8466-de89b0808edb.fc.signal	0.212649	0.568105	0.688556	0.676691	0.409123	0.582525	0.117004	1.73345	1.37529	0.529447	0.522471	0.55089	0.365317	0.456699	0.238357	0	0.00812587	1.38797	0.258786	0	0	0.695251	0.366673	0	0	0	0.158955	2.25877	1.00631	0.583076	0.776552	0	0	0.682913	0.203888	0	0.774566
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.725127	0.0742975	0.231884	0.518871	0.79701	0.718554	0.40764	0	0	0.203803	0.270157	0.693338	0.513537	0.362583	0	0	0	0.206189	1.1756	0.0402866	0	0	0.848524	0.504832	0.469321	0.54043	0.86221	1.4393	0.907789	0.436106	0.194349	0.628135	0.341251	0.557005	0.348421	0.71112	0.324232
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	1.71604	2.62441	2.61877	2.89568	2.8481	0.531193	0	0	0.860592	0.732587	1.08713	2.67276	1.34768	0.269536	0	0	0.188675	1.34768	0.0808608	0	0.934391	0.682825	0	0	0.39013	3.36509	2.26162	0	0.610917	4.20455	1.65308	0.619933	1.29377	2.08434	1.58125	1.34768	0.651316
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	2.11214	2.96075	2.49546	2.39986	5.51746	3.85634	5.35902	5.19591	2.5202	2.03686	3.57678	2.54069	2.46134	1.85797	2.0918	2.31667	2.51552	1.51932	1.01816	1.8844	3.23247	3.58745	2.23196	1.93003	4.34928	3.98869	3.14415	3.57534	4.29246	4.35121	2.8752	1.84064	2.36646	2.76875	3.03382	3.18063	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	0.341453	0.0714325	0	0.148352	0.854007	0.713854	0.547962	0.399796	0.212137	0.509696	0.710743	0.652769	0.701231	0.398176	0.559886	0.604763	0.871602	0.910752	0.558269	0.639332	1.24277	0.807538	0.314321	0.343805	0.423167	0.491915	0.537396	0.70431	0.655291	0.663328	0.752538	0.85558	0.962009	0.652545	0.340189	0.524389	0.222642
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	1.55681	1.17542	0.194229	1.11975	0.673731	0.623889	0.853929	1.6256	1.59288	1.86536	2.49461	1.73865	0.320949	0.104733	0.0684176	1.07013	0.90519	0.843559	0.849262	0.66391	0.658821	1.02486	1.16741	0.487154	0.304018	0.310918	0.684204	1.34313	1.01466	0.979615	1.60801	0.75755	0.722514	0.251748	0.204944	0.189915	0.33913
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.494972	0.292639	0.0834243	0.0617503	0.659022	1.20156	1.31324	1.67491	1.75062	1.2889	0.952269	0.619815	0.539639	0.161714	0.427816	0.567893	0.53645	0.440871	0.295328	0.452921	0.682855	0.756861	0.514804	0.424276	0.78079	0.84213	0.502929	0.420499	0.49672	0.880733	0.987906	0.759743	0.608508	0.516053	0.436093	0.351629	0.226121
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	1.64879	0.447603	1.77826	1.82141	1.59454	0.678779	2.09604	1.7422	2.22212	6.36323	4.17282	4.18456	5.46742	6.56284	3.1831	3.57068	2.82887	9.47775	7.14473	8.10407	4.39331	1.30699	2.71395	6.62244	7.86984	9.65548	8.08375	4.41191	4.35732	8.25594	8.75506	2.77481	3.41592	1.92269	2.99612	2.54743	0.830769
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	1.0779	0.404346	0.0200157	0.156416	0.182817	0.498024	0.698539	1.04925	0.920032	0.92914	0.975179	0.575783	0.458289	0.617958	1.57979	2.34459	1.61838	1.59833	1.29921	0.703413	1.42938	1.81747	0.984239	0.841149	1.36255	1.16437	0.816232	0.977089	1.20488	1.70003	1.68929	1.63058	2.11429	1.8497	1.49926	1.35024	0.748021
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001482.1.feb5cf97-c346-43c5-9925-b098ecdfe359.fc.signal	1.02982	1.56574	0.140859	0.883486	5.65912	2.0159	0.966614	2.58503	4.14956	3.35553	3.64485	1.67567	1.30135	1.20281	2.52952	1.37471	2.29276	2.49194	2.27082	1.59102	2.02653	1.11674	0.790578	0.369947	0.433746	1.30336	1.4896	0.325985	1.37954	1.75168	1.09295	1.40381	1.49615	1.43787	0.782019	0.662345	0.964912
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0.394953	0	0	0.205525	0.764542	0.721417	1.56654	0.467005	0.549732	0.250848	0.408296	0.80058	0.120087	0.282872	0.282872	0.234837	0.290636	0.461427	0	0	0	0	0.346918	0.453662	0	0.472342	1.62799	2.11901	2.31118	0.360285	0.432313	0.99659	0.299597	0	0	0.151028	0.211881
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	1.45009	1.687	0.625303	0.976416	1.36026	1.54587	0.513419	0.725083	0.47274	1.13932	1.76767	1.65139	1.37769	0.274786	0.485873	0.988499	0.824752	1.12767	2.44792	0.774337	1.70394	0.760759	0.984903	0.247193	0.181864	1.35105	1.14781	1.50945	0.654693	0.987764	1.29498	0.0915851	1.42536	0.600682	1.26892	1.95801	0.464363
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.592129	0.258856	0.495809	0.817347	1.43961	1.76058	1.29492	2.71934	2.52979	3.99939	4.43465	3.25251	1.17016	0.282598	0.972366	0.236651	1.7059	4.96739	2.75342	1.97058	1.51521	2.44947	3.21887	5.12655	8.05935	7.82281	6.16182	7.26655	3.49589	4.08023	6.05022	4.16505	1.36381	0.873688	1.38324	0.773935	0.177778
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.3579346a-a108-4e99-ba8a-c53f4809c6bb.fc.signal	0.602082	0.768821	0.575021	0.153666	0.164468	0.359699	0.536699	0.232675	0.565119	0.903494	0.901053	0.752052	0.485244	0.303236	0.346788	0.57739	1.21028	1.03864	1.53141	1.37964	1.31715	1.11563	0.770796	0.227629	0.471125	0.878712	1.22622	1.20812	1.03326	1.6967	1.18369	1.19559	1.19386	1.08448	0.349404	0.140256	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.824905	0.570826	0.0794968	0.329566	0.288524	0.242383	0.370305	0.561193	0.579853	0.644887	0.103614	0	0	0	0.314879	0.210182	0.502274	0.189757	0.0830354	0.0626939	0.176691	0.107222	0.812857	0.461684	0.436574	0.866721	0.716374	2.09969	0.7224	0.545134	0.631221	0.390727	0.280866	0.0973229	0	0	0.12772
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001906.1.d4812fd5-35f7-424c-8ea9-21e1d395b54b.fc.signal	0.421369	0.372345	0.455214	0.186397	0.0928921	0.226289	0.895382	0.552729	0.219229	0.0775477	0.0287947	0.205391	0.252143	0.296458	0.312715	0.585863	0.859915	1.47412	1.22293	0.14532	0.733766	1.32922	0.804248	0.65704	0.959319	0.713472	0.174476	0.829464	0.905504	0.967877	0.892011	0.267314	0.285845	0.41025	0.184264	0.0408371	0.623418
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	1.92316	1.92101	1.09134	0.81205	1.15566	1.09099	1.26792	1.24693	2.11764	2.43091	4.01683	2.34564	0.529778	0.534381	2.84855	1.83661	2.14986	3.19831	2.13363	1.52797	1.91513	2.40314	1.8627	1.17319	0.947486	0.617713	0.512897	1.08721	0.291729	0.298178	0.594819	0	0.253387	0.486817	0.637299	0.436278	0.255856
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	0.754431	0.17356	0.134964	0.481331	0.829353	0.490653	0.368346	0.79408	1.27823	1.51003	1.02884	0.358712	0.0172938	0.284563	0.630071	0.475997	0.902634	2.11485	1.02503	1.096	1.10012	1.75744	2.09869	1.90406	1.87913	1.74625	2.13857	1.64116	1.33824	0.962717	1.57939	1.47203	1.2707	1.30662	1.05494	1.02454	0.0677966
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	1.06279	0.23724	0.318706	0.437324	0.515148	0.806971	0.287547	1.01417	3.1453	1.51434	2.84862	4.23364	1.58815	1.35058	1.90593	0.900633	1.28309	1.5306	0.725597	0.778118	1.02304	1.37821	1.21766	0.483646	0.969701	0.50106	1.5985	1.19412	1.63464	1.08378	1.62762	0.993206	1.33916	1.87475	0.854154	0.777642	0.845771
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bdafba4d-384d-4886-a6c9-d1ddd966b153.fc.signal	0.798538	0.514619	0.469764	0.803598	0.54733	0.812986	0.55631	1.4955	2.0551	1.49852	2.69256	3.62697	2.2566	0.858565	0.372643	0	0.313328	0.91744	0.790143	0.632064	0.971606	0.41156	0	0.25674	1.08626	1.98456	1.16288	0.617342	0.576158	0.923649	0.697884	0.643881	0.478546	0.474134	0.163473	0.163745	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001005.4.f193a9be-90be-4e6b-adc3-81560fdb7706.fc.signal	0.664739	0.78317	0.563185	0.713953	0.744514	0.434452	0.357072	0.453896	0.625938	2.35498	2.02576	0.697094	0.157946	0.239605	0.185966	0.298396	0.678983	1.33016	0.381553	0.31943	0.187395	0.231061	0.487922	0.690789	1.03693	1.21506	1.21219	0.60841	0.270132	0.552652	0.437259	0.599078	0.677205	0.509611	0.409689	0.317935	0.0796646
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0.81068	0.585971	1.64031	2.90788	6.84868	7.74769	12.5801	16.6161	11.5196	3.34603	3.15515	2.40956	0.657364	0.278422	0.712922	0.238347	0.955411	0.970218	0.427074	0.949284	1.50589	3.03913	2.42329	1.82012	2.80292	7.19818	4.49439	4.66944	3.56428	2.60466	1.11362	0.265765	0.751181	0.0892047	0	0.143814	0.0427443
