	chr10:84255393-84255462	chr10:84255463-84255542	chr10:84255543-84255652	chr10:84255653-84255692	chr10:84255693-84255842	chr10:84255843-84255992	chr10:84255993-84256022	chr10:84256023-84256072	chr10:84256073-84256082	chr10:84256083-84256142	chr10:84256143-84256222	chr10:84256223-84256292	chr10:84256293-84256402	chr10:84256403-84256442	chr10:84256443-84256562	chr10:84256563-84256592	chr10:84256593-84256692	chr10:84256693-84256742	chr10:84256743-84256852	chr10:84256853-84256892	chr10:84256893-84256972	chr10:84256973-84257042	chr10:84257043-84257192	chr10:84257193-84257292	chr10:84257293-84257342	chr10:84257343-84257452	chr10:84257453-84257492	chr10:84257493-84257542	chr10:84257543-84257612	chr10:84257613-84257642	chr10:84257643-84257792	chr10:84257793-84257942	chr10:84257943-84258092	chr10:84258093-84258242	chr10:84258243-84258292	chr10:84258293-84258322	chr10:84258323-84258392	chr10:84258393-84258482	chr10:84258483-84258522	chr10:84258523-84258542	chr10:84258543-84258612	chr10:84258613-84258692	chr10:84258693-84258742	chr10:84258743-84258842	chr10:84258843-84258902	chr10:84258903-84258992	chr10:84258993-84259112	chr10:84259113-84259142	chr10:84259143-84259272	chr10:84259273-84259292	chr10:84259293-84259442	chr10:84259443-84259512	chr10:84259513-84259592	chr10:84259593-84259712	chr10:84259713-84259742	chr10:84259743-84259792	chr10:84259793-84259832	chr10:84259833-84259892	chr10:84259893-84259992	chr10:84259993-84260042	chr10:84260043-84260092	chr10:84260093-84260122	chr10:84260123-84260192	chr10:84260193-84260342	chr10:84260343-84260412	chr10:84260413-84260442	chr10:84260443-84260492	chr10:84260493-84260506	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.421508	0.27137	0.188294	0.0527225	0.175837	0.369968	0.175172	0.0465498	0.04657	0.0749512	0.216701	0.359069	0.350528	0.266992	0.256712	0.380072	0.528535	0.488655	0.426044	0.324328	0.222784	0.0792823	0.0608825	0.0904164	0.121554	0.154524	0.297935	0.301143	0.333418	0.317494	0.377354	0.217487	0.206427	0.349786	0.293387	0.319166	0.304955	0.451445	0.450388	0.428895	0.333485	0.319063	0.24092	0.133942	0.0577532	0.22505	0.540252	0.41538	0.0701671	0	0	0	0	0	0	0	0.03708	0.076319	0.087462	0.0355572	0.0374072	0.211165	0.648503	0.971546	0.880136	0.721184	0.492913	0.39807	0.516784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	1.29758	1.3369	1.27376	0.959078	0.174021	0.49401	0.304879	0	0	0.17328	0.820338	0.901495	0.774657	0.943115	0.626234	0.38561	1.19728	1.03366	0.855976	1.24376	1.19135	0.223508	1.0585	0.329814	0.136485	0.207102	0.276543	0.288597	0.554116	1.36895	1.33327	0.781984	0.127315	0.496616	0.500696	0.635766	0.979633	1.05275	0.692124	0.465396	0.0494371	0	0	0.430296	0.840377	1.1699	1.01942	0.423225	0.118964	0.431567	0.802524	0.456993	1.24834	1.66985	0.814112	0.366353	0	0	0	0.255337	0.516224	0.506534	1.12403	1.21063	0.496111	0.55508	0.299743	0.41631	0.435927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.585387	0.377089	0.248954	0.194739	0.0983151	0.608852	0.414516	0.0228636	0	0	0.0408425	0.397915	0.574247	0.704439	0.654636	0.558729	0.599902	0.690464	0.985947	1.82005	1.77343	1.08743	1.22522	0.976133	1.5937	1.98849	1.45252	0.762103	0.620219	0.426213	0.33177	0.480933	0.650726	0.427611	0.290604	0.388833	0.490623	0.684301	0.511485	0.34008	0.192172	0.614474	0.80348	0.704644	0.815617	0.863905	0.310708	0.160054	0.191936	0.653462	1.10635	0.945744	0.421883	0.376276	0.34424	0.384915	0.621447	1.15809	1.42303	0.844991	0.74795	0.771065	0.650691	0.990289	1.11654	0.756966	0.39145	0.737925	0.444138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0.93548	0.76375	0.312212	0	0	0	0	0	0	0	0	0	0.0453705	0.324505	0.49259	1.07158	0.910473	0.559068	0.529734	0.53418	0.142277	0	0	0	0	0	0	0	0	0	0.118797	0.285433	0.70672	0.935104	0.462073	0.39943	0.285259	0.36783	0.360945	0.244188	0.0899526	0.31354	0.37995	0.434931	0.38944	0.261811	0.39943	0.00665433	0	0.189725	0.903881	0.633281	0.0998171	0.00166358	0.19963	0.19963	0.19963	0.602382	0.79868	0.415387	0.519208	0.778719	1.34924	0.608513	0.523144	0.50149	0.876562	1.28715	0.521368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0	0	0.0102968	0.163972	0.181928	0.218905	0.169718	0.208525	0.047195	0	0	0.0640963	0.260154	0.324671	0.264996	0.323533	0.400498	0.356147	0.38943	0.403018	0.401274	0.274809	0.070164	0.109016	0.241672	0.256491	0.520917	0.463551	0.432348	0.41827	0.238065	0.201393	0.398956	0.559779	0.277785	0.00610967	0	0	0	0	0	0	0.0592798	0.210482	0.477846	0.42078	0.315749	0.273422	0.268996	0.139313	0.0875864	0.279852	0.285505	0.139136	0.140822	0.139071	0.152681	0.27689	0.208429	0.287124	0.570611	0.68734	0.879657	1.02612	0.977323	0.81081	0.796828	0.794391	0.68254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.6e43a1d4-827b-4226-ab35-bcd9e4427ba9.fc.signal	1.11264	0.519292	0.0830576	0.10127	0.255326	0.219197	0.186193	0.21583	0.155796	0.16686	0.274174	0.287321	0.402148	0.396683	0.415351	0.457192	0.558404	0.768794	0.59809	0.52378	0.418441	0.26599	0.259886	0.347902	0.346378	0.328638	0.40061	0.396377	0.403238	0.242771	0.0895623	0.238656	1.01388	0.955771	0.659456	0.583262	0.449785	0.485968	0.409895	0.248883	0.337789	0.428104	0.508406	0.505513	0.313735	0.0578937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767433	0.267812	0.328699	0.322782	0.16373	0.16373	0.16313	0.526992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.651f7635-fa04-4a73-ad9d-b88c234511f0.fc.signal	1.13925	0.804761	1.44998	0.484651	0.0219438	0.707246	0.036573	0	0	0	0	0.138939	1.00033	0.668897	0.0563461	0.862694	1.33454	0.38958	0.301902	1.47241	1.87463	1.23371	1.09836	0.741215	0.487046	0.6063	0.444583	0.269487	0.326911	0.571372	0.669659	0.972124	0.616542	0	0.109369	0.646261	1.32735	1.78099	0.81634	0.478772	0.365903	0.036573	0.416947	1.60588	1.29866	0.186947	0.371827	1.30472	1.0214	1.31692	1.36013	0.689822	0.562407	0.024382	0	0	0.237724	0.487694	1.56933	1.31692	0.351133	1.31692	1.46328	1.73254	1.12679	0.268202	0.463355	0.6596	0.544707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	0.215138	0.289557	0.398578	0.594005	0.847131	0.255117	0	0	0	0	0	0	0.3656	0.799302	1.00392	0.83976	1.47018	1.39415	1.18685	0.72407	0.607991	0.741536	0.35017	0.457511	0.508604	0.794118	0.623614	0.620502	0.569673	0.228241	0.356384	0.487033	0.095449	0.119941	0.273897	0.274385	0.266275	0.077935	0.0974127	0.47736	0.467028	0.552178	0.926522	0.783775	0.738893	0.425919	0.00715533	0	0	0	0	0	0	0	0	0	0	0	0	0.203304	0.216896	0.239561	0.435633	0.572916	0.470627	0.427343	0.234548	0.259519	0.430126
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.486b8afb-6747-4d4a-93ee-788cf88097fc.fc.signal	0.970545	1.88409	1.66322	0.742547	0.149577	0	0	0	0.094815	1.00056	1.26386	0.392708	0	0	0	0	0	0	0.33039	0.63193	0.363432	0.058695	0	0	0.455013	0.623315	0.0869137	0.006321	0.361176	0.63193	0.334957	0	0.006321	0.309729	0.151704	0.558225	0.934435	0.765387	0.31605	0.31605	0.559729	0.63193	0.341286	0	0.136955	0.31605	0.208035	0.63193	0.583328	1.07433	1.20702	0.537166	0.31605	0.579283	0.63193	0.221211	0	0	0.148543	0.31605	0.562484	0.737269	1.26386	1.8369	2.21189	1.07571	0.76331	1.01528	0.337981
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.da9e495d-70d1-4135-9b7b-7d3c249e647d.fc.signal	0.535121	0.431258	1.21153	0.842783	0.0696577	0	0	0	0	0	0	0.194265	0.204253	0.19708	0.335169	0.446906	0.684062	0.611125	0.436888	0.59143	0.275967	0.0732011	0.17343	0.435732	1.47859	1.58076	0.576675	0.283879	0.00281543	0	0.19717	0.578492	0.496832	0.579613	0.599317	1.1106	1.07864	0.935335	0.911803	1.18287	0.906837	0.267437	0.078832	0.661925	0.599963	0.0520304	0.385232	0.332562	0.107664	0.749119	1.82952	1.58558	0.586502	0.921675	0.591431	0.130088	0.39435	0.604573	0.743189	0.53625	0.378568	0.0262773	0.236534	0.578449	0.353056	0.138638	0.427048	0.713905	0.46729
