	chr22:30522850-30522999	chr22:30523000-30523069	chr22:30523070-30523149	chr22:30523150-30523299	chr22:30523300-30523449	chr22:30523450-30523559	chr22:30523560-30523599	chr22:30523600-30523749	chr22:30523750-30523899	chr22:30523900-30524009	chr22:30524010-30524049	chr22:30524050-30524199	chr22:30524200-30524259	chr22:30524260-30524349	chr22:30524350-30524499	chr22:30524500-30524649	chr22:30524650-30524799	chr22:30524800-30524949	chr22:30524950-30525099	chr22:30525100-30525249	chr22:30525250-30525329	chr22:30525330-30525399	chr22:30525400-30525479	chr22:30525480-30525549	chr22:30525550-30525699	chr22:30525700-30525849	chr22:30525850-30525959	chr22:30525960-30525999	chr22:30526000-30526079	chr22:30526080-30526149	chr22:30526150-30526299	chr22:30526300-30526449	chr22:30526450-30526599	chr22:30526600-30526749	chr22:30526750-30526899	chr22:30526900-30527049	chr22:30527050-30527089	chr22:30527090-30527199	chr22:30527200-30527349	chr22:30527350-30527429	chr22:30527430-30527499	chr22:30527500-30527649	chr22:30527650-30527709	chr22:30527710-30527799	chr22:30527800-30527949	chr22:30527950-30528019	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0.996712	0.930594	0	0.835529	2.39876	0	0	0.814078	0.736815	0	0	0	0	0	0	0	0.435553	0.991216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251567	1.34768	0.0179691	0	0	0	0	0	0	0	0	0	0	0	0.401323
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.239174	0.396726	0.464267	0.281087	0.418344	0.944043	0.999968	0.80651	0.615687	0.91838	0.99081	1.12156	0.936663	0.863487	0.736134	0.619654	0.27649	0.282593	0.330755	0.129101	0.0179209	0.171244	0.179633	0.447584	0.560616	0.605239	0.86219	1.0014	0.919495	0.87536	0.699808	0.375411	0.386783	0.20338	0.262579	0.383909	0.372991	0.326699	0.0738085	0.110234	0.199792	0.184823	0.146018	0.119986	0.0849661	0.0957091	0.496855
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.249096	0.225359	0.134342	0.289351	0.980215	0.40986	0.866399	1.38176	0.255724	0.133031	0.326927	0.240726	0.3364	0.293416	0.890727	0.974498	0.726793	0.422838	0.109909	0.832199	0.567838	0.382096	0.1682	0.0264314	0.0897067	0.291547	0.189607	0.3364	0.269338	0.0288343	0.336415	0.377926	0.214175	0.205217	0	0	0	0.146015	0.209977	0.151306	0.331838	0.365154	0.31958	0	0.299049	0.139614	0.549068
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.184945	0.60456	0.729082	0.67005	0.681965	0.314334	0.301469	0.267578	0.169843	0	0	0.164104	0.324763	0.0461764	0	0	0.196985	0.659908	0.576338	0.666275	0.955414	0.4955	0	0	0	0.161724	0.528256	0.683381	0.374043	0.110608	0	0.39139	0.231493	0.911882	0.49072	0.835633	0.839109	0.257478	0.412034	0	0.13461	0.346768	0	0	0	0	0.548682
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0.362096	0.597167	1.82387	2.73758	0.862513	0.568209	0	0.72149	0.257272	0.473013	2.09251	2.99039	1.89513	0.402521	0.56869	0.531194	0.450912	1.82266	0.358873	0.899767	1.59618	0.0560991	0	0	0	0	0	0	0.698592	1.55534	0.641808	0.269095	0	0	0.569454	0	0	0	0	0	0.204525	1.4891	0.0537635	0	0	0	0.650943
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0	0	0	0	0	0	0	0.390118	0.185511	0.134812	0.178564	0.175974	0.243424	0.202576	0.206924	0.237523	0.141715	0.348222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206278	0.870832	0.0126731	0	0	0	0	0	0	0	0	0	0.196159	0.63277	0.431953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001889.4.440b0def-8afc-49ae-ab48-eb6e55baaba4.fc.signal	0.279247	1.57181	2.87651	3.15993	1.01781	0.0322756	0.562134	0.553984	2.06034	2.42873	0.654829	0.6209	0.285998	0	0	0.512824	0.195339	0.090182	0.939942	1.19159	0.868562	1.53703	0.59172	0.228235	0	0.102565	0.59172	1.0651	0.746155	2.09006	2.07561	2.30984	0.278767	0	0	0	0	0.134482	0.59172	0.0369825	0	0.09862	0.59172	1.07825	1.30183	1.32718	0.369231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	0	0	0.199103	0.423631	0.176426	0	0	0	0.19784	0.173879	0	0	0	0	0	0	0.0355021	0.283849	0.0682733	0	0	0.055594	0.399237	0.353922	0.00546187	0	0	0	0	0	0	0	0.300409	0.105109	0.31396	0.505075	0	0	0	0	0	0.199474	0.389005	0.0864796	0	0	0.450704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.fc509fae-cfc8-4cd1-b6e1-cb05b98526c1.fc.signal	1.6769	0.886082	0.868439	1.75742	1.81779	1.16083	2.39989	3.08402	3.23171	1.42569	2.66489	3.44098	2.33379	2.05044	1.64502	2.58541	0.877464	0.372872	0	0.537888	0.206109	0	0	0	0.0942293	0.512889	0	0.372834	0.952232	0.787488	0.0577395	0.0820543	0.656568	0.947098	0.56731	0.240012	0	0	0	0.106716	0.791579	1.12153	0.58894	0.675927	1.35285	0.357904	0.675676
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.7b895a57-db9e-4407-9979-fc4adf5592cc.fc.signal	0.184178	0	0.0810088	0.250587	0.0780379	0	0	0.205889	0.53311	0.279057	0	0.200093	0.68213	0.68213	0.334248	0.284225	0	0.255426	0.547581	0	0	0	0	0	0.316058	0.184178	0	0	0	0	0.219871	0.156557	0.179156	0.396721	0.763313	0.368184	0	0	0	0.136428	0.326469	0.263099	0	0	0.138702	0.34107	0.606061
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.465404	0.37609	0.36357	0.615528	0.791941	0.598796	0.568904	0.4518	0.332627	0.301735	0.542307	0.463831	0.400846	0.297803	0.0220889	0.518204	0.367343	0.581741	0.0656619	0.281414	0.668193	0.458281	0.215599	0	0	0	0	0	0	0	0	0.0849242	0.779355	0.212773	0.469038	1.08488	0.894082	0.491461	1.16182	0.412434	0.012785	0	0	0.147132	0.870213	0.71713	0.586047
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0.654698	0.446049	0.939838	0.420864	0.420045	0.350142	0.20932	0.665591	0.696368	0.566559	0.4894	0.0334916	0	0.106975	1.03807	0.149721	0	0.168529	0.309077	0.332504	0.17218	0.502575	0.414853	0.132686	0.301968	0.0825777	0	0.0050025	0.195257	0.172688	0.118221	0.189005	0.433066	0.330252	0.529954	0.168543	0	0.0293282	0.290687	0.0452509	0	0.302311	0.230648	0.160889	0.698774	0.00285857	0.508929
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001887.4.92e33eb4-60fb-4aba-99b3-db60d30e791f.fc.signal	0	0	0.971249	0.766717	0	0	0	0	0.0248152	0.728558	1.01525	2.11052	2.79651	1.14975	0	0	0.545907	0.56941	0	0	0.330881	1.66057	2.25862	0.970036	0	0	0	0.575445	1.15089	1.15089	1.38924	1.83277	1.5781	1.35805	0.0690534	2.16367	1.61125	0	0.566288	0.779743	0	0	0	0	0	0	0.456621
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000709.3.6a6e5234-23fa-41fc-9f41-6ee555b180c8.fc.signal	0	0	0	0	0	0	0	0	0.868641	0.283768	0	0	0	0	1.84324	1.00382	1.11881	0	0	0	0	0	0	0	0	0	0	0	0.49196	1.39557	0.228059	0	0	0.17503	1.00875	0	0	0.0511127	1.31724	1.3133	0.854384	0.989336	0.386927	1.32754	0.195646	0	0.543353
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.b63d6dc1-6fc0-4b8d-9bff-172e3f638785.fc.signal	0.003035	0.222	0.449308	0.50541	0.527074	0.285916	0.155189	0.228848	0.488334	0.406752	0.238987	0.357422	0.533395	0.668831	0.544586	0.273409	0.234381	0.040596	0.380208	0.863293	0.472776	0.145404	0.0766881	0.0379076	0	0	0	0	0	0	0.101725	0.119195	0.19885	0.406907	0.220769	0.188613	0.474035	0.379336	0.15412	0.0779146	0.340509	0.458891	0.382236	0.207305	0.0800793	0	0.696429
