	chr1:206010008-206010157	chr1:206010158-206010307	chr1:206010308-206010457	chr1:206010458-206010607	chr1:206010608-206010757	chr1:206010758-206010867	chr1:206010868-206010907	chr1:206010908-206011057	chr1:206011058-206011207	chr1:206011208-206011357	chr1:206011358-206011507	chr1:206011508-206011657	chr1:206011658-206011807	chr1:206011808-206011957	chr1:206011958-206012107	chr1:206012108-206012257	chr1:206012258-206012347	chr1:206012348-206012407	chr1:206012408-206012557	chr1:206012558-206012707	chr1:206012708-206012787	chr1:206012788-206012857	chr1:206012858-206013007	chr1:206013008-206013157	chr1:206013158-206013307	chr1:206013308-206013457	chr1:206013458-206013607	chr1:206013608-206013757	chr1:206013758-206013907	chr1:206013908-206014057	chr1:206014058-206014207	chr1:206014208-206014357	chr1:206014358-206014507	chr1:206014508-206014657	chr1:206014658-206014807	chr1:206014808-206014957	chr1:206014958-206015047	chr1:206015048-206015107	chr1:206015108-206015149	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.690597	1.46799	1.69166	1.5514	1.10204	1.41569	1.2212	1.14651	1.31332	2.0523	2.35371	2.05686	1.43425	1.56313	1.82019	1.86415	3.43788	4.92811	6.46578	5.751	4.28272	2.10726	2.2467	1.75141	1.45274	1.00302	1.8973	1.69301	1.24602	2.16233	1.43836	1.08339	0.589769	1.3346	1.50098	1.35756	2.38804	2.06414	1.91349	0.76577
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	3.01346	1.34809	2.4729	2.01314	0.739638	0.464088	0.55636	0.487757	0.181747	0	0.509998	1.42628	0.791941	1.22911	1.32776	0.574745	0.629223	1.27719	1.75743	0.764555	0.073298	0.090128	1.55729	0.674764	0	0.272625	0.665812	0.248002	0	0.367211	1.00664	1.28837	0.202079	0.405052	0.536678	0.524652	0.618579	0.348496	0.45301	0.534944
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.307104	0.244046	0.652485	0.585247	0.0729495	0.377082	0.472337	0.651873	0.582052	0	0.159889	0.445573	0.702873	1.43759	1.49486	0.468001	0.0552036	0.422856	0.758926	0.844443	1.57953	1.32689	0.545106	0.241531	0.346599	0.187506	0.044954	0.230677	0.189404	0.769946	0.0787278	0.0924025	0.3792	0.248413	0.662527	0.586428	0.582837	0.613808	0.79417	0.764831
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.371752	0.956168	0.237641	0.0480637	0.489598	0.788545	0.670015	0.232769	0.346339	0	0.380335	0.372996	1.032	1.60893	3.45325	2.66978	2.56955	3.33591	4.49887	1.72785	1.5552	0.969612	0.0618413	0.196125	0.105189	0.756523	0.225916	0	0.608775	0.691261	0.211163	0.854716	0.429371	1.39487	0.39053	0.941122	0.0212494	0	0	0.636923
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	1.4096	0.880628	1.73362	1.20291	0.10928	1.56602	1.34512	0.275364	0.513806	1.2953	0.82865	1.1799	1.99719	0.0566657	1.27685	1.57573	1.04117	1.49479	2.77042	2.20674	1.0341	0.700124	1.03589	0.475449	2.52114	1.54322	1.38155	1.47881	0.75368	1.07691	1.55051	0.993607	1.11455	1.27701	1.95006	2.29718	2.33102	2.50795	2.12182	0.632907
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	0.641388	1.72119	1.29068	0.873377	1.13999	1.03935	0.795562	0.707347	1.6624	2.51194	2.69768	2.99754	3.46641	1.6811	1.12161	1.85483	2.84574	4.24694	5.90123	3.6479	2.70034	2.04191	1.5005	1.59773	1.71122	1.72029	1.76546	2.09707	1.85219	1.32892	1.96083	3.21363	1.8449	1.34591	0.56502	1.50461	2.00536	1.49631	0.793511	0.65898
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	1.00528	0.987374	0.590628	0.64779	0.617031	0.415067	0.46543	1.36229	1.71575	0.769243	0.906012	1.61708	1.42247	0.600307	1.35006	1.16428	0.489283	0.682612	1.61554	2.24655	1.67992	1.3356	1.12128	0.870451	0.483197	1.18706	1.44375	1.11453	1.10256	0.702861	1.97226	2.06221	0.669603	1.42316	1.95752	1.69191	1.08968	0.665051	0.678275	0.495238
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	0.913251	2.04122	2.50354	1.89672	1.8416	3.61225	1.75278	2.20504	1.66579	1.20441	1.362	0.726123	1.74063	1.67933	0.549372	0.799942	3.37946	5.66743	5.81744	3.72331	0.370744	0.578029	0.992896	0.842568	0.410684	0.574974	0.198946	1.07206	1.48604	1.70399	0.25088	0.802708	0.572608	2.49118	1.7684	3.52805	1.18101	1.02897	1.15177	0.65717
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	0.97001	1.59375	1.4477	0.900149	0.38784	0.646266	0.886879	1.01215	1.54743	1.3619	1.66191	2.17261	2.53635	1.48717	2.67463	3.38367	2.79451	3.68834	5.32672	7.49293	2.67555	1.07855	1.23777	0.936147	1.32963	0.818598	0.725279	0.80537	1.1082	0.994297	0.454852	0.739764	0.1807	0.0450839	0.895191	1.04973	1.16029	0.834985	0.296062	0.634573
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0.276714	0.433211	0.549747	1.04135	0.449664	0.415838	2.05281	0.998234	0.994638	0.32693	0.0122165	1.08619	1.43935	0.118632	0.0849835	0.543319	1.99851	1.74211	4.19097	2.55264	0.570417	0.594989	0.386623	0.441453	1.48553	1.59155	2.64357	1.98306	2.10509	1.08928	1.05649	1.01953	0.114525	0.209979	1.23954	2.11325	1.12094	0.553749	0	0.502064
