	chr11:62796075-62796224	chr11:62796225-62796374	chr11:62796375-62796524	chr11:62796525-62796674	chr11:62796675-62796824	chr11:62796825-62796974	chr11:62796975-62797124	chr11:62797125-62797274	chr11:62797275-62797424	chr11:62797425-62797574	chr11:62797575-62797724	chr11:62797725-62797874	chr11:62797875-62798024	chr11:62798025-62798174	chr11:62798175-62798324	chr11:62798325-62798474	chr11:62798475-62798624	chr11:62798625-62798774	chr11:62798775-62798924	chr11:62798925-62799074	chr11:62799075-62799224	chr11:62799225-62799374	chr11:62799375-62799524	chr11:62799525-62799674	chr11:62799675-62799824	chr11:62799825-62799974	chr11:62799975-62800124	chr11:62800125-62800274	chr11:62800275-62800424	chr11:62800425-62800574	chr11:62800575-62800724	chr11:62800725-62800874	chr11:62800875-62801024	chr11:62801025-62801174	chr11:62801175-62801324	chr11:62801325-62801474	chr11:62801475-62801624	chr11:62801625-62801774	chr11:62801775-62801924	chr11:62801925-62802074	chr11:62802075-62802224	chr11:62802225-62802374	chr11:62802375-62802524	chr11:62802525-62802674	chr11:62802675-62802824	chr11:62802825-62802877	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.00477	0.915337	1.10291	0.320041	0.550101	2.29305	0.778444	0.389827	1.60616	0.392928	0.545572	0.335846	0.987193	0.998134	0.240914	0.0407407	0.695073	1.10402	0.402797	1.15078	0.869668	0.624935	2.08131	1.45791	0.336873	0.558971	0.884384	0.621038	1.70769	0.49166	0.0481483	0.216237	0.75193	1.01236	0.898249	1.72764	1.24998	1.74475	0.647105	0.222169	1.44443	1.5457	1.23724	0.590871	0.744377	0.393121	0.25387
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	2.91039	2.73512	3.48124	1.04464	1.13492	0.962807	2.28186	1.81018	2.26786	1.27485	0.36946	0.540297	0.999953	0.620938	1.11285	4.78194	4.70372	4.05855	2.58053	1.9112	1.92733	2.11046	3.77786	5.29401	3.49984	3.93123	5.67157	3.01948	3.02096	4.35456	1.26607	0.826574	1.37001	1.9086	4.31227	5.48454	2.2223	5.61803	3.51212	5.93904	7.24144	2.98942	2.13628	4.82228	2.5523	2.95559	0.474806
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.39219	0.408076	1.23199	2.17864	2.74491	3.41087	1.78025	2.46856	1.5974	0.924735	3.13202	3.91042	2.12913	0.380466	1.65305	1.8397	2.12151	1.57157	1.46744	2.3269	2.66354	2.24343	2.76345	2.75415	1.40081	2.23733	1.57481	1.25275	2.14043	2.20876	1.2688	0.8206	0.692281	1.29045	1.43462	2.64897	2.27256	1.28463	2.71762	2.82136	1.91657	3.13378	3.44569	1.96251	1.23218	1.25112	0.298465
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0.452555	1.23895	0.0890344	0	0.113127	0.480325	0	0	0.626461	0.474516	0.131678	0.745581	0.30971	0	0	0	0.468806	0.0964393	0.732652	0.643596	0.804945	1.21481	0.625	0.270786	0.524843	0.981119	0.701117	1.01086	0.205855	0	0.395038	0.356135	0.469234	0.864294	0.882865	0.289316	0.304152	0.372417	1.17403	1.26491	1.87888	1.35955	0.888372	0.18364	0.199514	0.463757
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	4.74125	4.89521	2.55214	1.04367	2.30826	0.755071	0	0	0	0	1.27504	0.641084	0	0	0.429643	1.69596	0.135677	2.04638	3.81342	5.41564	3.9369	2.24483	1.65018	1.81377	0.196915	3.47014	4.109	1.7778	2.12942	3.19351	5.57617	2.4632	0.80957	1.38496	3.14584	0.0612631	0.550944	1.98132	9.44066	6.92234	1.39601	1.11929	5.66438	7.05954	5.61811	4.51179	0.76041
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.330375	0.57682	0.424623	0.337365	0	0	0.0623987	0.822937	0.214517	0	0.321443	0.253893	0	0	0	0	0.55549	0.208065	0	0	0	0	0	0	0	0.0190132	0.953087	0.671623	0.27529	0.257064	0.444653	0.342035	0.193099	0.00202793	0.282715	0.0458461	0.154136	0.0950594	0	0.321749	0.583799	0.0919167	0.565142	0.134321	0.0480536	0.339833	0.5895
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.0042	1.97635	2.12798	3.31247	2.37886	0.755022	0.573889	0.920767	1.7088	1.42384	1.59552	1.18355	1.21803	1.157	0.849031	1.43729	2.06371	1.5445	1.92249	2.12002	1.79295	2.11111	2.32766	1.81501	2.01513	1.88993	1.44385	1.73766	2.09904	2.02263	2.24262	1.21614	0.997719	2.60452	2.95683	2.18111	1.39624	1.24843	1.55026	2.36989	2.97425	2.14139	1.53708	1.4977	2.10471	2.12008	0.412356
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.556621	0.0489791	0	0	0	0	0	0	0	0	0	0	0.58397	0.589414	0	0.341156	0.579655	0.237646	0	0.328197	0.471198	0.172634	0.436477	0.353368	1.52207	0.616758	0.784884	0.931108	0.00222613	0	0	0	0	0.0617761	0.23742	0	0.101692	0.353578	0.240022	0.489927	0.216485	0.0107931	0.354285	0.0183663	0	0	0.543051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.474155	0.502735	0.810633	0.869636	0.804051	0.497058	0.370426	0.482467	0.619355	0.325855	0.4065	0.321475	0.276724	0.262005	0.187853	0.0696281	0.154759	0.208654	0.131652	0.208462	0.152462	0.166435	0.295958	0.210417	0.183984	0.336894	0.271857	0.219045	0.379491	0.441287	0.0799522	0.21828	0.468946	0.47207	0.893413	1.04437	0.813341	0.519925	0.444557	0.487973	0.478798	0.360584	0.390185	0.574455	0.298911	0.357021	0.303401
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.38232	1.67485	1.55308	2.784	1.89905	1.82183	1.47737	0.89829	0.203381	1.17446	2.09904	1.27297	1.70307	0.847825	0.90721	0.440687	1.17534	2.66668	1.758	1.29262	1.70097	1.0913	1.77434	1.55603	0.699321	0.510725	1.2353	0.498831	1.05121	0.820255	1.60004	0.96514	1.42392	1.86343	2.94137	1.75947	0.552317	2.01481	1.9525	1.84859	1.83077	0.307713	0.987079	1.92725	1.71494	2.75345	0.505367
