	chr11:43433664-43433813	chr11:43433814-43433963	chr11:43433964-43434113	chr11:43434114-43434263	chr11:43434264-43434413	chr11:43434414-43434563	chr11:43434564-43434713	chr11:43434714-43434863	chr11:43434864-43435013	chr11:43435014-43435163	chr11:43435164-43435253	chr11:43435254-43435313	chr11:43435314-43435463	chr11:43435464-43435613	chr11:43435614-43435763	chr11:43435764-43435913	chr11:43435914-43436063	chr11:43436064-43436213	chr11:43436214-43436363	chr11:43436364-43436513	chr11:43436514-43436663	chr11:43436664-43436813	chr11:43436814-43436963	chr11:43436964-43437113	chr11:43437114-43437263	chr11:43437264-43437413	chr11:43437414-43437563	chr11:43437564-43437713	chr11:43437714-43437863	chr11:43437864-43438013	chr11:43438014-43438163	chr11:43438164-43438313	chr11:43438314-43438463	chr11:43438464-43438613	chr11:43438614-43438763	chr11:43438764-43438834	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.579352	0.22794	0.161817	0.171191	1.18717	0.562074	0.330268	0.373551	1.40726	0.699328	0.262358	0.240416	0.565544	0.588182	0.370501	0.807109	1.59167	1.4012	0.855691	1.016	0.38963	0.724662	0.893191	0.484263	0.616295	0.727391	0.56262	0.503376	1.21416	0.61058	0.806794	0.949637	1.40786	0.854588	2.12662	1.52112	0.462156
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0	0	0	0	0.0391669	0.663456	1.82954	1.71	1.03768	0	0.220873	0.688192	1.41156	1.66834	1.39112	1.0404	2.1159	1.3989	1.16677	0.426259	0.396771	0.474701	0.179189	0.412603	1.14361	1.59566	2.15494	0.964631	0.938636	1.30887	0.438289	0.968863	1.03946	1.61509	0.769318	0.570764	0.533898
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.457962	0.910348	0.768567	1.40443	1.21197	1.77832	1.04661	0.50484	0.407118	0.473951	0.849553	0.865826	1.20043	0.72475	0.804574	0.771409	1.11396	0.890225	1.29128	0.539746	0	0.723789	0.84692	0.852108	1.21146	0.703288	1.79918	1.87247	0.890791	1.90482	1.46059	0.923057	1.46709	1.14865	1.30124	0.766308	0.498613
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.187259	0.71537	0.202516	0.661288	1.71478	2.08452	1.94321	3.89851	2.43647	3.51961	0.711028	1.39034	3.2639	1.94387	0.60089	1.45969	3.00465	2.20829	1.30803	1.41822	0.886571	0.767845	1.38446	0.61204	0.14293	0.818224	0.35123	0.032144	0.400758	0.380831	0.307866	0.706624	0.604593	1.11558	0.806801	0.98848	0.56204
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	1.28426	0.364316	0	0.857157	2.51821	1.02529	0	0.626773	1.23072	0.52502	1.02919	0.730157	0	0	0	0	1.54892	3.08158	1.64024	0.0765809	0	0.22065	2.95436	0.842297	0	0.361039	1.56149	0.148782	0	0	0	0	0.166418	0.551765
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0.049686	0.388159	0.607506	0.711233	0.128113	0.526465	0.410152	0	0	0.136975	0.452054	0.421376	0.392144	0.002028	0	0	0	0.111992	0.391275	0	0	0	0.364909	0.141822	0	0	0	0	0	0	0.164586	0.427766	0.699748	0.48521
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.08598	0.492037	1.08997	1.29306	0.733607	0.740612	0.405371	0.568907	0.208405	0.548936	0.660698	0.831567	0.939874	1.07916	0.908071	0.290167	1.26295	1.63885	0.766599	0.86064	0.708938	0.433971	0.724088	0.534997	0.642267	0.562952	0.617261	0.786326	1.29528	0.565602	0.45337	0.513248	1.15377	1.02815	0.816026	0.567306	0.671039
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.471952	0	0.219325	0.132457	0.462842	0.772426	0.293031	0.528249	0.311967	0	0.37104	0.30293	0.036063	0.030356	0.328976	0.0066784	0.184687	0.671544	0.860406	0.541009	0.366741	0.629201	0.812871	0.212598	0	0	0.202858	0.382836	0.838136	0.377108	0.133338	0.438689	0.436596	0.0247621	0.182383	0.391033	0.488171
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.200037	0.278752	0.360409	1.67319	1.75669	0.831612	0.0680824	0.018345	0.36218	0.495682	1.42515	2.39577	2.20244	0.715374	0.143422	0.217873	1.19384	1.60415	1.31545	1.0295	0.495693	0.711771	0.921443	0.379473	0.642764	1.39625	0.202405	0.192449	0.214228	0.341339	1.21017	1.70616	1.49497	0.632831	0.875933	0.487181	0.400362
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.38291	1.01023	0.777032	0.383337	0.691957	0.355533	0.457454	0.552117	0.314026	0.413668	0.687872	1.02615	0.836871	0.579056	0.199465	0.430953	1.12943	0.364443	0.407755	1.34927	0.942758	0.563639	1.18968	1.2467	0.96985	0.909394	0.681121	0.901769	1.21357	0.885249	0.821289	1.19093	1.7775	1.38276	0.706735	0.295868	0.472119
