	chr7:76510584-76510733	chr7:76510734-76510833	chr7:76510834-76510883	chr7:76510884-76511033	chr7:76511034-76511123	chr7:76511124-76511183	chr7:76511184-76511233	chr7:76511234-76511333	chr7:76511334-76511483	chr7:76511484-76511633	chr7:76511634-76511783	chr7:76511784-76511833	chr7:76511834-76511933	chr7:76511934-76511983	chr7:76511984-76512013	chr7:76512014-76512083	chr7:76512084-76512133	chr7:76512134-76512163	chr7:76512164-76512193	chr7:76512194-76512233	chr7:76512234-76512293	chr7:76512294-76512383	chr7:76512384-76512433	chr7:76512434-76512523	chr7:76512524-76512533	chr7:76512534-76512583	chr7:76512584-76512683	chr7:76512684-76512753	chr7:76512754-76512803	chr7:76512804-76512833	chr7:76512834-76512983	chr7:76512984-76513133	chr7:76513134-76513283	chr7:76513284-76513433	chr7:76513434-76513583	chr7:76513584-76513733	chr7:76513734-76513883	chr7:76513884-76514033	chr7:76514034-76514183	chr7:76514184-76514333	chr7:76514334-76514483	chr7:76514484-76514633	chr7:76514634-76514783	chr7:76514784-76514933	chr7:76514934-76515083	chr7:76515084-76515163	chr7:76515164-76515233	chr7:76515234-76515383	chr7:76515384-76515533	chr7:76515534-76515663	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.185501	0.57969	0.313033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520457	0.102327	0.411852	0.159491	0.226773	0	0.210202	0.439132	0	0	0	0	0	0	0	0	0	0	0	0.365806
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000234.3.004bcd0c-68a8-42c5-b5aa-454db7d061e9.fc.signal	0.292571	0.327397	0.395488	0.260975	0.0574458	0.0548733	0.181493	0.238446	0.397081	0.373077	0.138739	0.0212416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000740571	0.0931618	0.0864993	0.0872119	0.169255	0.220633	0.233313	0.182267	0.0342165	0.21753	0.448362	0.293526	0.183402	0.346548	0.542967	0.46302	0.626467	0.41016	0.236604	0.336729	0.423167	0.145689	0	0.117647
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	5.83034	4.6452	2.48173	1.18192	1.03108	0.27406	0	0.989118	4.7544	2.49779	5.01054	3.51356	0.401989	0.065184	2.46251	5.54064	5.4483	1.92836	0.334973	0.03395	0.0860067	0.513022	0.412832	0.0150889	0	0.195552	5.45955	6.72273	3.61875	5.91944	12.0689	12.9117	9.39186	6.46588	5.37863	3.98897	3.89147	3.03602	1.1618	1.62543	2.37418	3.06591	0.617189	0.359901	2.37942	2.61254	1.30563	1.12578	0.08228	0	0.203883
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000188.3.deb161f9-8c5a-42cb-af84-131a7fc1593f.fc.signal	2.9128	1.25079	0.646384	0.0783496	0	0	0	0.360968	0.277022	0.106332	0.411335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.386152	0.41973	0.57438	0.919744	0.534517	0.201764	0.153901	0.363766	0	0.492484	1.59218	1.20323	0.598815	0.254636	0	0	0	0	0	0	0.0111928	0.41973	0.444444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	5.88096	3.25143	1.61513	0	0	0	0	0.221182	0.485189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.554292	0.582886	0	0	2.60885	3.38108	2.31631	1.75318	1.63124	2.11036	1.12337	1.82073	0.84665	0.148244	0.384742	0.730801	0.590079	0.472058	0.874194	0.794429	2.91355	1.32194	0.296345	0.852291	0.27371
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bdafba4d-384d-4886-a6c9-d1ddd966b153.fc.signal	1.72811	1.68321	0.679482	0.0416544	0	0	0	0.351459	0.26034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.351459	0.39051	0.256621	1.15596	3.33253	5.08473	4.90257	1.49183	0.439973	0.832103	0.880691	1.04849	0.560492	1.06809	0.249511	0.0234306	0.67167	0.294182	0	0.366838	0.236583	0.200834	0.580556	0.791424	0.225294	0.92389
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000153.3.4632c7b2-2ae2-40a1-bd27-50236900252a.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.14252	2.36999	0	0	0	0	0.70339
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.2cec18a6-acf1-4ec3-b511-04e126f82363.fc.signal	4.50305	10.7198	2.93201	0	0	0	0	0	0.140633	1.65939	1.25857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.980917	0.783529	0	0	0.921148	1.52581	1.28363	0.250053	0.921775	0.96244	1.45138	1.26487	0.551487	0.773849	0.538949	0.509355	1.46316	1.36748	1.17961	1.02118	0.483592	0.323394	0.515494	1.64873	0.244964
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.772886	0.416525	0.2314	0.0401093	0	0	0.02314	0.224458	0.440437	0.398015	0.33322	0.27768	0.181649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0732767	0.658729	0.550503	0.784456	0.878559	0.415754	0.656415	0.543029	0.472065	0.605507	0.34479	0.287707	0.54997	0.3849	0.824528	1.77178	2.0219	1.26035	0.605505	0.07298	0.0262662
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003693.3.f2b1cfa1-231f-48d8-af6a-ed3f48905f6f.fc.signal	0.844435	0.258785	0.445174	0.258136	0.05226	0.1809	0.1809	0.271448	0.579139	0.312466	0.364303	0.1809	0.113967	0.123012	0.331783	0.669614	0.637016	0.45241	0.247294	0	0	0	0	0	0	0.01809	0.36196	0.297319	0	0	0.12663	0.06633	0.172522	0.287122	0.119394	0	0.0293752	0.153106	0.025326	0.14123	0	0	0	0.194197	0.190124	0	0	0	0	0	0.161339
