	chr2:100999815-100999964	chr2:100999965-101000114	chr2:101000115-101000264	chr2:101000265-101000414	chr2:101000415-101000564	chr2:101000565-101000714	chr2:101000715-101000864	chr2:101000865-101001014	chr2:101001015-101001164	chr2:101001165-101001314	chr2:101001315-101001464	chr2:101001465-101001614	chr2:101001615-101001764	chr2:101001765-101001914	chr2:101001915-101002064	chr2:101002065-101002144	chr2:101002145-101002214	chr2:101002215-101002274	chr2:101002275-101002324	chr2:101002325-101002364	chr2:101002365-101002514	chr2:101002515-101002664	chr2:101002665-101002814	chr2:101002815-101002964	chr2:101002965-101003114	chr2:101003115-101003264	chr2:101003265-101003414	chr2:101003415-101003564	chr2:101003565-101003714	chr2:101003715-101003864	chr2:101003865-101004014	chr2:101004015-101004164	chr2:101004165-101004314	chr2:101004315-101004464	chr2:101004465-101004614	chr2:101004615-101004764	chr2:101004765-101004914	chr2:101004915-101005064	chr2:101005065-101005202	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.19475	1.29462	0.658859	1.05186	0.420573	0.475859	0.981871	1.49887	1.24028	1.06609	1.27022	1.67088	5.9089	6.41827	5.43313	4.52825	2.56497	1.33598	2.13615	4.48496	6.17324	11.8224	9.67814	5.80592	3.50302	2.80309	3.67255	2.78109	3.40544	3.47277	3.78477	3.08731	1.55822	2.49666	3.89069	1.7375	1.24344	0.863721	2.11297	0.226051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	2.42731	0.452881	1.85859	0.548361	0	0.23386	1.09672	0	0	0.0150229	0.582279	1.8278	4.44413	11.5592	20.7432	10.4161	3.3542	6.03789	11.4791	20.2306	33.3729	47.7026	28.2966	18.4089	6.57087	2.42713	5.19897	4.03261	1.84784	3.55272	3.78199	2.93535	1.69817	3.11464	2.9391	4.64648	8.11202	7.14617	6.35134	0.470962
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.43628	0.370806	1.47362	3.12507	3.28566	0.834431	0	0.710801	1.05268	1.52055	1.29405	2.47766	5.51745	13.2765	16.9279	6.69554	3.33611	3.09989	5.08109	8.90091	21.8889	26.63	18.5687	9.08539	3.42366	4.29336	5.61084	6.91367	7.00081	2.9356	2.91334	1.55636	0.62295	1.04486	1.62475	3.67342	3.82464	3.59509	2.63235	0.126803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.818109	0.427449	1.10266	1.15194	0.0222616	0	0	0.369065	0.695493	0.144666	0.93667	0.227668	1.7052	6.38256	18.4804	22.4475	4.63057	0.82921	3.47526	18.1984	18.2324	17.7598	12.4126	8.46087	6.38295	5.87672	2.49516	3.5313	3.55725	1.18623	0.871399	0.800029	0.507025	0.982983	0.72337	0	0.5813	1.51503	0.0638768	0.500337
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	5.69634	0	1.96205	3.39166	2.41435	0.0339192	0.655771	1.54843	0	0	0	0	0	5.39698	10.06	4.41096	5.013	7.10886	11.2443	14.3913	22.2683	30.303	15.0921	21.274	21.2364	15.4235	5.76448	2.67674	5.22206	9.34329	9.64416	9.01105	11.3966	5.6843	5.37418	9.22753	5.33651	3.77574	3.1703	0.247969
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.727717	0.175881	0	0.056406	0.404998	0.0108157	0.3684	0.0948144	0.319519	0.0794151	0.715062	0.562712	1.94109	8.27423	12.6534	5.36283	2.18304	2.09297	4.14943	9.76945	10.8571	8.47129	7.84064	4.9059	2.78177	2.41777	1.62047	1.76384	1.17373	1.10269	1.09131	0.725311	0.461506	0.941069	0.867379	0.406597	0.184976	0.159938	0	0.713322
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	3.25545	2.65915	2.69131	2.48689	1.03505	0.23008	1.08751	1.57469	2.6103	2.98977	3.70271	8.54129	13.5834	20.2389	18.4812	11.5224	7.33685	4.65616	4.25012	5.37242	12.231	25.1969	26.7993	19.2751	14.0318	9.8622	7.55036	4.46093	4.55616	3.15517	2.82924	2.99845	3.52344	4.55062	3.68039	3.82756	3.14193	3.4979	3.50241	0.307483
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0.192872	0.347194	0.142695	0	0.0060712	0.211825	0.059907	0.188422	0.22752	0.450974	2.16129	9.72985	8.715	8.33488	3.38143	2.47987	5.11086	11.8655	15.0001	17.9154	10.9878	6.42792	3.46819	5.10116	1.35807	0.698272	0.473364	1.41621	0.951167	1.20686	0.422886	0.678847	0.944765	0.538929	0.200777	0.138066	0.482067	0.70072
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.646469	0.967401	0.76992	1.28886	1.02668	0.285943	0.644626	0.988251	1.99619	2.93363	1.08165	0.911755	2.95686	2.73762	2.21575	1.27378	0.703584	0.493789	0.818569	1.16544	1.4487	2.53184	4.01509	3.26279	2.09086	1.63165	1.15675	0.917738	2.06975	2.76201	1.74623	1.04943	1.0171	1.29535	1.34409	0.87295	0.730381	0.914555	1.04324	0.135356
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.26774	0.9755	1.42387	1.15071	1.43725	1.12249	1.42092	0.987375	0.742383	1.43652	2.08464	1.74465	2.04901	6.61587	7.423	7.44671	5.23387	3.83817	5.68823	8.20162	14.1774	17.4062	7.85463	6.04186	8.73648	6.69853	2.67098	1.57253	1.29064	2.4224	3.68231	2.37094	1.11798	1.26248	1.28766	0.743888	1.0987	1.22641	1.74303	0.47363
