	chr2:218649201-218649350	chr2:218649351-218649500	chr2:218649501-218649650	chr2:218649651-218649800	chr2:218649801-218649950	chr2:218649951-218650100	chr2:218650101-218650250	chr2:218650251-218650400	chr2:218650401-218650550	chr2:218650551-218650700	chr2:218650701-218650850	chr2:218650851-218651000	chr2:218651001-218651150	chr2:218651151-218651300	chr2:218651301-218651450	chr2:218651451-218651600	chr2:218651601-218651750	chr2:218651751-218651900	chr2:218651901-218652050	chr2:218652051-218652200	chr2:218652201-218652350	chr2:218652351-218652500	chr2:218652501-218652650	chr2:218652651-218652800	chr2:218652801-218652950	chr2:218652951-218653100	chr2:218653101-218653250	chr2:218653251-218653400	chr2:218653401-218653550	chr2:218653551-218653700	chr2:218653701-218653850	chr2:218653851-218654000	chr2:218654001-218654150	chr2:218654151-218654300	chr2:218654301-218654450	chr2:218654451-218654600	chr2:218654601-218654750	chr2:218654751-218654800	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.49713	1.16629	0.542309	0.271293	0.174031	0.492044	1.27941	1.14857	0.528614	0.566174	1.3272	0.47449	0.236998	0.555959	0.34644	0.650432	1.07697	0.892061	0.52802	0.225363	0.78596	0.679743	1.11415	0.730456	1.77155	0.431057	0.637134	0.228832	0.664692	0.643973	0.810806	2.15079	1.03899	0.264442	0.0517728	1.42483	1.50615	0.606351	0.478632
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	1.52704	1.6866	1.00452	2.49866	0.959417	1.44562	1.79427	0.814477	1.63299	0.810712	1.47574	1.31042	0.403207	0.496831	2.2613	2.39908	1.56667	2.09747	0.0128768	0	0.45939	1.59029	0.30548	0	0	0	0.120962	1.13307	0.723193	0.645961	0.15935	0.431373	0.765188	1.25531	1.22154	0.878935	0.965106	0	0.373016
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	2.15919	1.76314	0.938452	0.71686	1.44542	1.16617	0.606394	2.06977	1.24212	0.612152	0.132422	0.848042	1.70699	1.2707	0.90129	0.602516	2.08887	1.59936	0.730414	0.996878	1.42148	1.56721	1.34964	1.38859	1.48799	0.083155	0.172862	0.485723	0.577889	0.972864	0.934373	1.40748	1.10191	0	0.400132	0.64525	1.06497	0.966962	0.451332
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.548332	0.0259707	0	0.638049	0.549015	0	0.344743	0.149946	1.03304	1.08101	0.0204065	0	0	0.0982945	0.959987	1.53016	1.09056	0.797524	0.494703	0.671134	0.872588	0.639842	0.519299	0.442344	1.3033	0.64543	0.55636	0.0148411	0	0	0.265278	0.319057	0.0307031	0.428632	0.010496	0	0	0.20592	0.390476
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0.313649	0.680498	3.60843	5.88563	4.54203	1.23665	4.53877	5.97739	8.90565	1.43587	3.65311	1.41123	0	0.634528	1.25083	0.120341	3.383	1.23881	2.79498	4.27977	4.40936	3.75946	1.82147	2.25924	0.455103	0	0	2.04639	2.47602	1.01277	3.08175	4.91201	2.38927	1.63183	4.7647	0.260047	0	0	0.484848
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.247408	0.26474	0.25804	0.396359	0.56344	0.612264	0.196605	0.269595	0.343515	0.0177436	0	0	0	0	0.0757091	0.456228	0.24847	0	0.301925	0.215306	0.411509	0.0531431	0	0.202167	0.138585	0	0	0	0	0	0	0	0.606677	0.727147	0.283276	0.382327	0	0	0.311522
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.223576	0.402644	0.358663	0.725676	0.790175	0.90485	1.189	1.54395	2.0579	1.48032	0.94605	1.60357	2.07711	2.69379	2.37474	1.49892	1.09469	1.68587	1.86649	1.50194	1.32939	0.984491	1.39343	1.26823	1.37695	0.50811	0.108004	0.420649	0.999824	1.69194	1.26486	1.09904	1.25696	0.809596	0.830297	0.460156	1.01041	1.07194	0.410853
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.280797	0	0.510957	0.458641	0	0	0.0567687	0.637051	0.854409	0.710219	0	0	0	0	0.0987283	0.959704	1.07581	1.019	0.572624	0.154829	0.250828	0.375168	0.45415	0.1877	0.568675	0.0829318	0	0	0.0671353	1.29475	1.55864	0.140252	0.110576	0.623972	0.568675	0	0	0	0.319008
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.194399	0.232472	0.496676	0.501186	0.478986	0.352905	0.468878	1.01195	1.08699	0.321091	0.402884	0.317849	0.249266	0.682298	0.587777	0.402694	0.356352	0.22872	0.253041	0.182578	0.471749	0.876212	0.528932	0.184587	0.116198	0.198041	0.407245	0.211597	0.267735	0.129781	0.217734	0.780423	0.297419	0.108253	0.0252641	0.236021	0.461608	0.0662838	0.333616
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.381582	0.769103	1.07051	1.26066	0.697897	1.29023	0.714108	0.764646	1.82482	0.570604	0.369303	0.0549277	0.0430557	1.22346	1.28285	2.07232	0.428273	0.773587	0.0861029	0.990333	0.794375	1.07156	0.911158	0.76368	1.53396	0.493617	0.81366	1.03191	1.0141	1.99991	1.58425	1.99257	1.75651	1.22491	1.34967	1.93759	1.63312	0.834126	0.466942
