	chr15:43257552-43257701	chr15:43257702-43257761	chr15:43257762-43257851	chr15:43257852-43257961	chr15:43257962-43258001	chr15:43258002-43258151	chr15:43258152-43258161	chr15:43258162-43258231	chr15:43258232-43258301	chr15:43258302-43258391	chr15:43258392-43258451	chr15:43258452-43258561	chr15:43258562-43258601	chr15:43258602-43258751	chr15:43258752-43258901	chr15:43258902-43259051	chr15:43259052-43259201	chr15:43259202-43259281	chr15:43259282-43259351	chr15:43259352-43259461	chr15:43259462-43259501	chr15:43259502-43259601	chr15:43259602-43259651	chr15:43259652-43259741	chr15:43259742-43259801	chr15:43259802-43259951	chr15:43259952-43260101	chr15:43260102-43260211	chr15:43260212-43260251	chr15:43260252-43260341	chr15:43260342-43260401	chr15:43260402-43260461	chr15:43260462-43260551	chr15:43260552-43260631	chr15:43260632-43260701	chr15:43260702-43260851	chr15:43260852-43260921	chr15:43260922-43261001	chr15:43261002-43261111	chr15:43261112-43261151	chr15:43261152-43261241	chr15:43261242-43261301	chr15:43261302-43261321	chr15:43261322-43261451	chr15:43261452-43261601	chr15:43261602-43261751	chr15:43261752-43261811	chr15:43261812-43261901	chr15:43261902-43261981	chr15:43261982-43262051	chr15:43262052-43262161	chr15:43262162-43262201	chr15:43262202-43262291	chr15:43262292-43262351	chr15:43262352-43262441	chr15:43262442-43262501	chr15:43262502-43262651	chr15:43262652-43262797	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.369829	0.0868832	0	0	0.015141	0.175402	0.2061	0.206956	0.156757	0.141948	0.436132	0.648302	0.722404	0.53476	0.422436	0.696	1.04908	0.703943	0.403914	0.0998041	0	0	0	0	0	0.176404	0.371181	0.658383	0.842556	0.89023	0.538034	0.377687	0.370467	0.440787	0.514565	0.415897	0.454232	0.601399	0.529292	0.512874	0.462774	0.66009	0.828841	1.19392	1.97057	1.93178	1.27958	0.501322	0.798532	1.14423	1.38476	0.81525	0.47992	0.186738	0.0682308	0.204284	0.34002	0.458044	0.850932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001892.4.1a48d1e3-a2d4-434f-8cee-d284ec0da60a.fc.signal	0	0	0	0	1.0658	1.12309	0.225044	0	0	0	0	0	0	0	1.13497	0.291222	0	0	0	0.394226	1.02764	1.48432	0.97438	0.944459	1.25451	1.02412	0	0	0	0	0	0	0.908687	0.859503	0.240459	0	0.0526137	1.05833	1.14423	0	0	0	0	0.287766	1.20667	0.0724056	0	0	0	0	0	0	0	0	0	0	0	0	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000343.2.43c6f7a4-d039-46a2-872e-bb5eb8075426.fc.signal	0.596398	0.623103	0	0	0	0	0	0	0	0	0.322569	0.382945	0.334977	0.947047	1.23697	1.38507	0.606754	1.26125	2.10377	0.744911	0.276308	0.542423	0.985836	0.743809	1.0837	1.08278	0.401652	0.624021	1.3702	1.25146	1.00814	0.0464557	0	0	0	0	0	0.822489	1.00214	0.298863	0.0466067	0	0	0	0	0	0	0	0	0.148263	0.261849	0.320883	0	0.3912	0.420163	0.352314	0	0	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001030.7.2cec18a6-acf1-4ec3-b511-04e126f82363.fc.signal	0	0	0	0	0	0	0	0	0	0.0352618	0.928458	1.90237	1.26406	0.47959	0.0497873	0.277089	2.18833	1.21879	0	0	0	0	0	0	0	0	0	0.0242378	0.334445	0.609434	0.214254	0.0078805	0.888592	0.679134	0	0.42333	0.793284	0.462428	0.887505	0	0	0	0	1.87915	0.264862	0.733736	0	0	0	0.465222	0.367465	0	0	0	0	0	0	0.678461	0.432056
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000223.3.555de7dc-c653-4909-9c33-caf14688e0ce.fc.signal	0	0	0	0.152597	0.279111	0.24728	0.13997	0.0879811	0	0	0.0100342	0.249996	0.813976	1.08126	1.07149	1.13516	1.60455	1.15064	0.537641	0.200339	0	0	0	0.00916578	1.08331	1.80712	0.961837	0.757473	1.0508	0.692966	0.539031	0.354784	0.286844	0.146332	0.054228	0.0738073	0.289103	0.354805	0.238632	0.105898	0.0836953	0.260454	0.308276	0.435273	0.421735	0.243879	0.0856827	0	0.116799	0.300935	0.364317	0.319527	0.135731	0.0811382	0.640916	1.58775	1.83191	1.34996	0.751953
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.cbba33e3-8091-43f4-8be2-0ec669b6bf51.fc.signal	0	0.115364	0.1925	0.264206	0.394303	0.218898	0.20095	0.146446	0	0.0932064	0.24676	0.334774	0.28775	0.143105	0.0808887	0.225015	0.256049	0.472748	0.518342	0.436804	0.160857	0	0	0	0.0367393	0.122496	0.0832551	0.121984	0.168113	0.167712	0.222023	0.153006	0.078997	0.328403	0.441966	0.559261	0.271231	0.255267	0.223524	0.258336	0.262512	0.341427	0.312912	0.236407	0.459931	0.614692	0.362462	0.575325	0.542704	0.73369	0.793131	0.636791	0.599568	0.411152	0.218541	0.0582945	0.202161	0.514648	0.676856
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	0.0796759	0.161824	0.30698	0.181781	0.169349	0.00567133	0	0	0	0.03138	0.127037	0.254789	0.291688	0.29222	0.304807	0.249697	0.00276567	0	0	0	0	0	0	0	0	0.165874	0.424394	0.280629	0.119404	0.0988643	0.189235	0.211784	0.440782	0.560033	0.408248	0.0876371	0	0.028347	0.153424	0.273165	0.252921	0.312715	0.36381	0.368216	0.214465	0.149063	0.201049	0.238736	0.137326	0	0	0	0	0	0.307767	0.734566	1.01494	0.845751	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000051.3.a62810ea-a4bd-4303-8d6a-2de025e97ead.fc.signal	0	0	0	0	0	0	0	0	0.380284	0.974526	1.0274	0.515454	0.25284	0.255848	0.327257	0	0.384164	0.704431	0.424943	0.646031	1.07874	1.18416	0.594695	0.303006	0.18879	0.40559	0.0863072	0	0	0	0	0	0.460882	0.46236	0.0396309	0.148324	0.18879	0.0542771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.342705	0.52179	0	0.0310559
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.058af969-8786-43c5-84e7-d3c325107d07.fc.signal	0.286027	0	0	0.368362	0.439383	0.0765839	0	0	0	0	0	0.0402128	0.491035	0.362489	0.373699	0.152634	0.192741	0.5041	0.10082	0	0.200676	0.614961	0.692133	0.158471	0	0.0935275	0.046134	0.0285964	0.235932	0.405733	0.488787	0.593304	0.503316	0.0849285	0.229575	0.43804	0.25123	0.414145	0.14279	0.294907	0.427798	0.255584	0	0	0.0672191	1.04966	0.412587	0.0791049	0.147708	0.198035	0.185396	0.0052425	0	0.333102	0.61334	0.372263	0	0.227678	0.162162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000225.3.d3516206-786f-4b11-864f-1792d77e2a36.fc.signal	0.176207	0.0492332	0.10944	0.211685	0.204688	0.0908595	0	0.155928	0.272194	0.26469	0.295283	0.226067	0.385564	0.314297	0.647701	0.999575	0.69301	0.277457	0.147588	0.0261985	0	0	0	0	0	0.282803	0.903614	0.625411	0.543723	0.43139	0.489413	0.443102	0.547947	0.675144	0.61668	0.244952	0.101149	0.348941	0.478682	0.512258	0.288392	0.303982	0.44312	0.420064	0.224417	0.006196	0.345883	0.954375	1.1491	0.889372	0.525263	0.42502	0.515458	0.440471	0.159117	0.071835	0	0.0771683	0.808696
