	chr9:114013613-114013692	chr9:114013693-114013762	chr9:114013763-114013912	chr9:114013913-114014062	chr9:114014063-114014212	chr9:114014213-114014362	chr9:114014363-114014512	chr9:114014513-114014662	chr9:114014663-114014812	chr9:114014813-114014962	chr9:114014963-114015112	chr9:114015113-114015262	chr9:114015263-114015412	chr9:114015413-114015562	chr9:114015563-114015712	chr9:114015713-114015862	chr9:114015863-114016012	chr9:114016013-114016162	chr9:114016163-114016312	chr9:114016313-114016462	chr9:114016463-114016612	chr9:114016613-114016762	chr9:114016763-114016912	chr9:114016913-114017062	chr9:114017063-114017212	chr9:114017213-114017362	chr9:114017363-114017512	chr9:114017513-114017662	chr9:114017663-114017812	chr9:114017813-114017962	chr9:114017963-114018112	chr9:114018113-114018262	chr9:114018263-114018412	chr9:114018413-114018562	chr9:114018563-114018672	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.124907	0.59127	0.898895	0.5356	0.193692	0.900403	0.0182433	0.260018	0.388668	0.190336	0.152469	0.692661	0.778345	1.7287	0.776745	0.59502	0.344973	1.17394	0.73231	0	0	0	0	0	1.59621	1.21936	1.32789	0.220243	0.113897	0.638809	0.27167	0.899406	1.43385	0.466788	0.164467	0.658031
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.472497	0.829799	0.359351	0.718858	1.08698	0.653283	0.506265	0.490131	1.27449	1.20585	0.462352	0.0556675	0.38274	1.06053	0.341878	0.508279	0.655778	0.309956	0.27612	0.633201	0.211387	0.757377	1.68447	1.35198	0.91254	1.68758	0.333416	0.459747	0.7403	0.591523	1.28884	0.972794	1.33809	1.25933	1.55923	0.631849
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0.369056	0.224403	0.675127	1.94762	1.43791	1.04241	0.44056	0.850641	0.307239	0.0733627	0.655995	1.79763	0.702115	1.74678	2.03396	0.275972	0	0	0.586896	0.588796	0.600875	0.975925	0.171937	1.39543	0.298037	0	0	1.37463	0.892383	0.494245	0.573658	0.47334	0.554662	0.632184
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0.0922653	0.574246	0.0177433	0.380912	0.0709733	0.525857	0.112536	0	0.324586	1.24427	1.39885	1.06034	0	0.367137	0.309168	0	0	0	0	0	0	0	0	0	0	0	0	0	0.373613	0.975378	0.483032	0.01183	0.396579	0.5625
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0	0	0.0332123	0.583136	1.7282	1.65743	1.3731	3.22445	2.58942	2.20982	2.50813	1.78598	2.60797	3.97176	2.72754	1.42524	0.91572	0.932375	2.01955	1.85849	1.7667	3.15341	3.05574	2.35944	2.26537	1.45922	0.685738	1.05532	1.81515	1.19799	1.02737	1.12423	1.4954	1.54126	2.25946	0.407821
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0.590221	0.58061	0.0467504	0	0	0	0	0.184676	0.272018	0.119315	0	0	0	0.503417	0.0576823	0	0	0.439101	0.276048	0.310841	0	0	0.518465	0.172952	0.462923	0	0.505561	0.0774297	0	0.269373	0.28143	0	0	0	0	0.596107
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.00728087	0.0782683	0.322151	0.12368	0	0	0.0654596	0.114712	0.0132081	0	0	0	0	0	0.0257381	0.243739	0.270924	0.119329	0.133283	0.0593175	0.0331103	0.101773	0.0636656	0.087475	0.0593081	0.0683417	0.0792888	0.0738023	0.141659	0.112263	0.0523481	0.190265	0.198866	0.351419	0.670359	0.504587
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0	0	0.280815	0.93609	0.615473	0	0.0730937	0.829722	0.836935	0.75865	1.01993	0.72595	0.93209	1.68664	1.20609	0.267437	0.51002	0.997244	1.12986	0.186858	0.464735	1.23248	1.36045	1.06185	0.634884	0.613905	0.321255	0.298274	0.35073	0.528542	0.735188	0.117707	0.65615	0.179284	0.309506	0.710145
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	0.686173	0.632566	0.278023	0	0	0	0	0	0	0	0	0	0	0	0	0.821196	2.98761	2.26992	0.964993	1.05627	0.861135	0.607547	0.515385	0.260704	0.293269	0.626915	0.728603	0.922199	0.994982	0.861739	0.87266	0.394088	0.481964	1.01931	1.55062	0.706612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000224.3.98331644-3ccd-45b3-bad7-e0e81208e171.fc.signal	0.446809	0.34177	0.259515	0.0138836	0	0	0	0	0	0	0	0	0	0	0	0.0791679	1.24449	1.66441	1.35726	1.07235	1.05418	0.680203	0.265385	0.367795	0.507639	0.760674	0.734972	0.600011	0.781802	0.604178	0.407288	0.959643	0.81943	0.278756	0.234037	0.513514
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001335.1.16baff19-56fb-479e-97b6-edd56ebc9920.fc.signal	0.237547	0.791243	0.863694	2.36965	2.16557	1.2407	0.987911	0.76009	1.23228	0.349382	0.106369	0.241004	0.401881	0.827564	0	0.599923	1.06929	1.1442	0.674425	0.423667	0.815251	1.05998	0.498787	1.04186	1.09203	1.02613	0.53414	0.16861	1.99478	0.621806	0.617457	1.21499	1.00966	0.670628	0.616769	0.570248
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	0.356382	0.296205	0.133975	0	0	0	0	0	0	0	0	0	0	0	0.0327356	0.728192	1.3767	0.948473	1.41638	0.887131	0.372688	1.03635	1.64661	1.65579	1.53967	1.21189	0.906307	0.420473	0.911388	1.13814	0.647411	0.443063	0.821447	1.11178	0.552655	0.232704
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004610.2.100e7289-c631-4bb0-9eef-015950828bf4.fc.signal	0	0	0.181465	0.619115	0	0.483614	0.361789	0.430733	1.97697	1.9135	0.73653	0.717853	2.20977	2.37658	1.42305	0.0767733	0.368267	0.819255	0.760551	1.28697	1.63061	1.03171	1.1718	0.0773894	0	0.301552	0.393122	0.851377	0	1.58528	1.41637	0.213192	0.86706	0.413797	0.411573	0.691983
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000665.1.5571d7d7-4894-4e51-8082-c8a874cb2438.fc.signal	0.593398	0.613404	0.534225	0.834531	0.804406	0.278277	0.584458	0.28167	0.435632	0.570729	0.0263915	0.00569707	0.47613	0.791482	0.369036	0.5181	0.497636	1.0793	0.635323	0.388203	0.735989	0.323317	0.334827	0.692846	1.16977	0.760064	1.35518	1.31586	1.10046	0.7694	1.31328	1.15211	0.643169	0.754233	0.878607	0.507576
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003816.1.3579346a-a108-4e99-ba8a-c53f4809c6bb.fc.signal	0.0619889	0.191082	0.649933	0.546598	0.609846	0.637204	0.111802	0	0.0577757	0.351369	0.0661791	0	0	0.24281	0.323536	0.0549913	0.946483	0.689392	0.621364	0.261519	0.405824	0.895546	1.00312	0.779822	0.0748129	0.0672391	0.393857	0.700916	0.295707	0.796136	0.422203	0	0.0448555	0.337845	0.80879	0.796721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0	0	0.190612	0.232742	0	0.40823	0.43189	0.478638	0.412539	0.850479	0.692977	0.342728	0.338365	1.16539	1.49415	0.730952	0.0914255	0.337304	0.269738	0.255078	0.120233	0.321421	0	0.405868	0.293359	0.246376	0.290914	0.207915	0.187593	0.0609555	0.260217	0	0.287156	0.288638	0.43706	0.473995
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001906.1.d4812fd5-35f7-424c-8ea9-21e1d395b54b.fc.signal	0	0	0.0450424	0.335245	0.250481	0.383072	0.280412	0.329135	0.40347	0.148414	0.235063	0.260912	0.562514	1.22577	1.12589	1.06555	0.614742	0.773322	0.567886	0.574632	0.257574	0.464105	0.377642	0.274761	0.475042	0.48023	0.365594	0.348104	0.84171	1.55578	0.638621	0.487867	0.533453	0.601488	0.62494	0.761062
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	0.223925	1.91482	3.04634	4.22262	6.48404	5.2053	2.23834	1.13781	1.21857	1.07104	1.04002	0.743813	1.48619	1.77345	0.437866	0.145349	0.53286	0.333925	1.3305	0.559966	1.19091	0.350973	1.33178	0.83274	0.517026	0.880948	0.400315	0.911572	0.856	0.353682	0.350693	0.499254	0.509683	0.599457	1.0191	0.462963
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	0	0.0129013	0.680697	0.530869	0.168585	0.521516	0.462391	0.195992	0	0	0	0	0	0	0	0.387812	1.63772	0.186439	0.179793	1.00037	1.15353	0.832844	0.657759	0.773815	0.692281	0.582422	0.717394	0.0190041	0.111969	0.381938	0.0879272	0.180233	0.570118	1.05242	1.33313	0.688525
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000343.2.43c6f7a4-d039-46a2-872e-bb5eb8075426.fc.signal	0.872097	1.62198	0.818268	0.0550411	0.311903	1.08837	0.285833	0.390074	0.732577	0.836024	0.102532	0.253317	0.636261	0.39538	0.630634	0.929934	1.39588	0.530707	0.713686	0.149606	0.248751	2.23321	1.38154	0.661163	0.0642846	0.321246	0.917004	1.43577	0.946513	1.26477	1.11614	0.706975	0.255716	0.277493	0.208394	0.53719
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000964.7.68ad223e-c775-4c49-8f3f-4ec63b3e920b.fc.signal	0.396093	0.58339	0.187854	0.18069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224982	1.74193	0.273659	0.449025	0.876806	1.12247	0.6662	1.3273	0.823174	0.62661	0.341482	1.1433	0.242515	0.320413	1.06677	0.342588	1.87398	0.877049
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003716.2.bdafba4d-384d-4886-a6c9-d1ddd966b153.fc.signal	0.38256	0.383071	0.0178631	0.36234	0.695366	0.205401	1.0465	0.881005	0.196166	0.965176	0.818585	0.69259	0.770315	1.11928	0.7403	0.260553	0.654691	0.0918231	0.522375	1.41007	0.959896	0.815986	1.17655	0.720322	1.31372	0.501507	0.836318	0.814559	0.325859	0.605674	0.129617	0.47306	1.40753	0.813755	0.968273	0.468153
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003846.4.a8b62515-f113-4847-973f-317b45173002.fc.signal	0.287964	1.12291	0.769343	0.862331	0.71256	0.614193	1.1752	1.23475	2.69154	2.06742	0.732567	0.837598	0.937303	2.51775	0.53648	0.566718	0.677599	0.686186	1.59558	1.02078	0.412138	0.395979	0	0.300773	0.370661	0	0	0	0	0	0.0431008	0.752301	0.0103736	0.296005	0.621501	0.552036
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0	0	0	0	0.0825449	0.299458	0.198319	0.380203	0.422602	0.174404	0	0	0.041	0.537038	0	0	0	0	0.103354	0.20249	0.331153	0.586369	0	0.571602	0.0400755	0.512544	0.183194	0.260464	1.04995	0.218414	0.14641	0.0660355	0	0.326337	0.814239	0.615285
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	0.800238	0.979606	0.890566	0.860088	0.450854	0.160076	0.677501	0.828499	0.23431	1.32057	0.133547	0	0	0	0	1.01483	0.721517	1.08353	1.17285	0.786703	0.472169	0.572634	0	0.52603	0.176154	0	0.679269	1.10109	0.529196	0.746307	1.05666	1.62649	1.38476	1.07865	1.55734	0.423214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001471.1.c36bbd63-78f2-464a-952f-d221dd832d3f.fc.signal	0.0852592	0.724794	1.27401	0.600583	0.241874	1.04337	0.540379	0.0115456	0.0494788	0.221335	0.20557	0.0571529	1.03988	1.10745	0.102852	0.240158	0.58079	0.211884	0.226214	0.308045	0	0.0997467	0.346724	0.172258	0.450244	0.107044	0.754065	0.752025	0.399997	0.643157	0.447843	0.377119	0.528763	0.677631	0.134184	0.641509
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004647.3.6c7e93ea-bf0c-48a2-82fb-1c49e3dc143b.fc.signal	0.170121	0.315444	0.335306	0.598281	0.751359	0.682463	0.710028	0.609547	0.93135	0.747138	0.579244	0.346597	0.582603	0.446569	0.632131	0.307164	0.175559	0.252689	0.584005	0.803802	0.534375	0.728687	0.510507	0.616639	0.865583	0.745247	0.662909	0.646545	0.676991	0.584802	0.458918	0.58115	0.475168	0.47987	0.353878	0.570248
