	chr1:39080863-39080952	chr1:39080953-39081012	chr1:39081013-39081162	chr1:39081163-39081232	chr1:39081233-39081312	chr1:39081313-39081372	chr1:39081373-39081462	chr1:39081463-39081612	chr1:39081613-39081762	chr1:39081763-39081912	chr1:39081913-39082062	chr1:39082063-39082212	chr1:39082213-39082362	chr1:39082363-39082512	chr1:39082513-39082662	chr1:39082663-39082812	chr1:39082813-39082962	chr1:39082963-39083112	chr1:39083113-39083182	chr1:39083183-39083262	chr1:39083263-39083412	chr1:39083413-39083562	chr1:39083563-39083712	chr1:39083713-39083862	chr1:39083863-39084012	chr1:39084013-39084162	chr1:39084163-39084312	chr1:39084313-39084462	chr1:39084463-39084542	chr1:39084543-39084612	chr1:39084613-39084762	chr1:39084763-39084912	chr1:39084913-39084972	chr1:39084973-39085062	chr1:39085063-39085212	chr1:39085213-39085362	chr1:39085363-39085412	chr1:39085413-39085512	chr1:39085513-39085592	chr1:39085593-39085662	chr1:39085663-39085692	chr1:39085693-39085812	chr1:39085813-39085917	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	7.93956	9.74576	9.80565	4.54517	0.644708	0.540932	1.21057	2.82814	2.22153	7.61891	1.33679	3.83262	6.73414	8.72989	6.22249	2.28246	6.337	5.52378	1.81211	1.76555	1.80806	0.949052	1.45299	1.90495	1.16553	1.42585	2.60427	3.06495	0.917093	0.231828	0.688169	0.793123	0.753396	0.842516	3.49922	2.83604	0.833975	1.14905	2.28168	1.68068	1.24159	1.10511	2.1853	0.340237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	5.85856	6.23697	6.77972	3.66145	0.557471	0.320751	5.89247	10.2969	8.93032	11.0565	5.76147	5.43152	5.28374	3.80271	5.00002	9.92028	7.64817	8.50471	4.98377	3.08161	4.32767	1.9678	3.084	2.71424	1.94888	1.29407	1.90569	0.939389	2.56208	2.42648	2.7859	2.44947	3.32977	3.85589	2.85352	2.65185	2.95609	7.24463	7.28942	2.55315	2.97815	4.27858	4.0747	0.547771
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	5.84988	4.31067	2.8845	0.995792	0.274	0	0	0	0	0	0.263021	4.23762	6.49816	6.59576	8.37586	8.2005	4.4043	6.14528	6.93882	4.36183	2.82591	2.84181	1.93126	5.00573	4.22301	2.92918	4.18617	5.10853	3.55082	1.82864	0.958603	0.917693	0.835246	1.21224	2.7903	3.18826	3.22512	3.58	2.13059	1.25252	0.87681	3.22203	4.63423	0.377551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.7d6e7c7b-090f-4b2a-a7ba-f833c718a8ac.fc.signal	0.0848769	0.134264	0.327798	0.268316	0.092396	0.110301	0.332538	0.830491	0.937243	1.09903	0.948084	0.70996	0.811766	0.614419	0.724223	1.3427	1.02785	0.722945	0.476032	0.288885	0.493896	0.522897	0.254427	0.260552	0.366462	0.54155	0.48432	0.415394	0.429145	0.282191	0.345603	0.283064	0.651042	0.902525	0.685547	0.842153	1.1842	0.946872	0.369999	0.228504	0.384677	0.412556	0.727975	0.466667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	6.02634	9.44839	11.253	8.31387	2.96099	0.906826	1.54088	3.4017	3.86787	15.2968	8.71872	8.53148	4.46413	4.83366	1.77201	4.97688	5.16695	2.69526	3.92519	3.9563	3.88387	3.1539	4.79066	4.60927	3.62287	3.47037	3.77517	2.24139	2.89548	1.95411	0.995292	0.415805	2.83552	6.68686	5.64439	3.50787	3.13188	1.99059	1.8496	1.33656	2.87526	6.24819	5.12765	0.359712
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	7.91964	5.9163	4.88042	1.80564	0.244605	0.469293	3.37006	4.14525	4.06269	3.47966	2.3455	2.94454	5.24344	6.04747	6.49873	5.04671	5.12682	3.06832	1.44621	0.671422	0.830622	0.641403	0.969323	0.255627	0.426039	0.535175	0.800014	0.398098	0.351978	0.0370741	0	0	0.139741	0.754327	1.66928	1.06224	0.406157	0.585083	0.733803	0.476371	0.59906	0.830291	0.614266	0.5875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	2.79609	0.52077	0.526896	0.315087	0	0	0	0	0	0	0	0.784286	3.13306	3.095	3.1563	4.53202	2.82711	1.74203	3.50326	1.87396	1.78934	0.654104	1.28672	1.84776	1.28605	0.197362	2.04163	1.44701	1.31101	1.39537	1.33353	1.53974	2.16291	2.37868	2.60522	2.49989	1.80475	2.27478	2.29987	1.93843	2.10307	1.48645	2.80608	0.544444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	8.91922	13.4407	9.90162	5.45911	0.733523	0	0.04657	1.30412	2.23089	3.32539	2.79913	5.34204	2.31822	3.73412	7.03775	6.42535	2.31717	6.27818	6.7266	3.71135	3.71661	0.580185	0.904682	2.81304	2.31008	2.32405	3.54429	1.9947	2.53107	2.67625	4.3407	2.13311	1.68835	0.69855	1.43769	2.02823	2.68264	3.82838	3.755	1.875	1.53647	1.78709	1.82062	0.367347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	4.11077	9.36181	13.3531	11.5075	7.02533	7.49521	11.7581	16.0583	14.4703	19.1267	14.0203	5.05153	7.09522	5.8274	6.05756	4.94207	4.9833	4.83318	3.2201	2.4253	1.29065	0.539235	1.4433	0.90112	1.27024	0.892707	2.7647	2.12706	2.29428	1.98913	2.26693	2.43342	2.16341	2.32444	2.25699	1.17224	1.24282	1.97241	1.53481	1.13021	1.24871	1.39762	1.74134	0.441176
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.ec16fc35-ccb2-4f91-92dd-1cc5fac441b7.fc.signal	0	0	0	0	0	0	0.159814	0.31268	0.210538	0.214707	0	0.0458597	1.30282	2.21116	1.42513	0.847983	1.65291	1.19878	1.55036	1.78381	0.542218	0.876958	1.43861	1.22642	0.827736	1.66497	0.523807	0	0.543273	1.28644	1.48834	1.16733	0.995602	0.37912	0.774274	1.51152	2.21774	1.46309	0.853695	0.110484	0.309346	0.486924	0.408514	0.486486
