	chr3:16261655-16261804	chr3:16261805-16261954	chr3:16261955-16262104	chr3:16262105-16262254	chr3:16262255-16262404	chr3:16262405-16262554	chr3:16262555-16262704	chr3:16262705-16262854	chr3:16262855-16263004	chr3:16263005-16263154	chr3:16263155-16263304	chr3:16263305-16263454	chr3:16263455-16263604	chr3:16263605-16263754	chr3:16263755-16263904	chr3:16263905-16263974	chr3:16263975-16264054	chr3:16264055-16264204	chr3:16264205-16264354	chr3:16264355-16264504	chr3:16264505-16264654	chr3:16264655-16264804	chr3:16264805-16264954	chr3:16264955-16264994	chr3:16264995-16265104	chr3:16265105-16265194	chr3:16265195-16265254	chr3:16265255-16265404	chr3:16265405-16265554	chr3:16265555-16265704	chr3:16265705-16265854	chr3:16265855-16266004	chr3:16266005-16266154	chr3:16266155-16266304	chr3:16266305-16266454	chr3:16266455-16266604	chr3:16266605-16266729	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	2.02194	0.469049	0.479151	0.546743	0.747294	0.87698	0.866711	1.94843	0.173426	0.718553	1.75925	1.65501	1.94135	0.867557	0.415931	0.268622	1.34673	2.36662	3.67579	4.40676	4.32652	3.35206	2.32381	0.811456	0.223193	1.00036	2.45142	7.78154	10.6946	5.99566	3.27153	3.57165	3.97585	2.0125	2.28961	2.95596	1.79711	0.451337
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	2.29228	0.765175	2.08806	1.59859	2.02029	3.36189	3.21287	1.56224	2.54795	2.71714	2.80996	3.90691	2.60935	4.5845	2.01126	4.09072	8.25465	14.2039	21.612	42.4072	34.4491	31.9995	17.5201	6.28763	3.95961	9.05849	13.102	41.7394	37.4006	25.1869	11.9552	6.46043	2.11902	2.06159	1.64643	0.454934	1.89502	0.595054
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.27171	2.06765	1.72861	1.80292	1.11674	1.49438	1.67859	1.86486	2.51466	2.02121	2.35803	2.51728	2.38935	2.21681	2.4967	2.44653	4.96775	10.0251	16.9549	21.7775	19.9095	8.88703	9.24048	7.01201	3.91714	2.49758	6.60068	19.3173	12.9932	11.9772	5.5803	3.05596	1.42497	0.811624	1.36557	1.65013	2.18394	0.751004
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.790204	0.815398	1.08332	1.32089	2.01678	1.88079	0.933192	1.31828	2.3529	1.10263	2.74903	2.21665	0.916993	1.37479	0.340517	1.07307	2.90384	3.90233	2.85263	5.93524	18.9019	38.4583	58.9129	9.98584	1.51126	2.2659	14.9586	38.3157	32.5177	14.7454	7.15567	5.3547	3.6322	3.69926	7.25916	3.46733	2.49055	0.736798
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	1.01962	0.434554	1.67665	1.56654	0.494944	1.57943	2.70505	1.7228	0	0.312456	0.730064	0.0131285	0	0.910119	1.50653	3.29792	3.61445	15.3915	24.8931	24.7882	15.3531	25.4576	11.6677	4.54699	2.13479	12.7761	32.1734	21.4184	9.71344	12.3043	7.56278	3.06309	2.75149	2.33453	0.489716	0.952065	0.630631
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	3.19502	5.51655	9.30846	10.2677	5.28956	3.56279	5.05896	5.18716	3.34768	2.9481	1.42743	1.70532	1.57388	2.49084	1.13979	1.06154	2.06936	2.84595	6.70494	12.6003	13.0535	10.1449	6.21909	1.85186	1.23822	2.36049	8.20239	25.5835	27.2993	18.6883	9.83679	6.31797	4.72391	3.20376	0.824087	0.362642	1.03474	0.637574
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.35421	1.19028	2.36772	1.70578	1.2387	0.894719	0.424694	0.2766	0.886083	0.88217	1.83093	2.99603	2.29948	1.88104	1.53677	1.2714	2.29444	6.2491	14.1076	24.1002	31.2861	23.9955	10.7289	3.24675	4.22789	11.1119	27.3103	65.1228	84.7065	66.3539	42.9025	38.2652	31.7124	28.234	23.7898	21.3611	17.8191	0.757732
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	6.89624	9.52353	10.7771	13.8678	7.44898	5.44722	7.871	5.28506	3.73941	3.32003	2.90936	2.47953	2.3596	1.71655	2.31757	1.65817	2.85773	2.51763	3.22783	10.5134	17.1753	16.3933	13.8069	2.5737	1.56902	4.44934	10.9377	42.0256	44.1087	30.6308	11.7249	9.38067	5.94151	4.36887	1.19165	0.937617	4.9138	0.671842
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	2.17253	2.01339	1.19093	1.94013	1.28805	1.22001	1.69324	1.01883	0.415321	0.766305	2.17375	2.39641	0.937558	0.314924	0.0184695	0.736197	3.17946	4.18406	2.93989	1.77053	2.19929	1.11219	0.709806	0.357004	0.194393	0.218654	0.425789	1.63118	3.09839	1.71009	1.64167	4.28981	1.82651	0.461743	1.77394	2.34458	0.808395	0.423448
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.67526	2.03886	2.10082	2.10877	1.52836	1.18523	2.50545	1.76124	1.31728	1.64211	1.54553	1.62572	1.59869	0.837808	0.552228	0.978308	0.996553	1.51131	4.98583	12.5984	12.4984	9.65634	14.3976	8.59862	5.21494	6.78809	11.6002	22.2217	15.0674	5.3238	3.00016	2.84106	1.72572	1.08318	1.93408	2.09431	1.19398	0.43299
