	chr2:73077151-73077300	chr2:73077301-73077450	chr2:73077451-73077600	chr2:73077601-73077750	chr2:73077751-73077900	chr2:73077901-73078050	chr2:73078051-73078200	chr2:73078201-73078350	chr2:73078351-73078500	chr2:73078501-73078650	chr2:73078651-73078800	chr2:73078801-73078950	chr2:73078951-73079100	chr2:73079101-73079250	chr2:73079251-73079400	chr2:73079401-73079550	chr2:73079551-73079700	chr2:73079701-73079850	chr2:73079851-73080000	chr2:73080001-73080150	chr2:73080151-73080300	chr2:73080301-73080450	chr2:73080451-73080600	chr2:73080601-73080750	chr2:73080751-73080900	chr2:73080901-73081050	chr2:73081051-73081200	chr2:73081201-73081350	chr2:73081351-73081500	chr2:73081501-73081650	chr2:73081651-73081800	chr2:73081801-73081950	chr2:73081951-73082100	chr2:73082101-73082250	chr2:73082251-73082400	chr2:73082401-73082550	chr2:73082551-73082700	chr2:73082701-73082850	chr2:73082851-73083000	chr2:73083001-73083150	chr2:73083151-73083300	chr2:73083301-73083450	chr2:73083451-73083600	chr2:73083601-73083750	chr2:73083751-73083900	chr2:73083901-73084050	chr2:73084051-73084163	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.2414	0.684426	0.477407	0.829324	0.825158	0.574154	1.37007	1.88869	1.48457	0.851595	0.881639	0.892285	1.4632	1.3015	0.72889	0.963937	1.48441	1.18945	0.649263	0.356489	0.394724	1.74708	1.6581	0.679641	0.897109	1.66803	1.10224	1.19946	1.03168	0.98947	0.855456	0.744352	0.55526	0.635555	0.595601	1.0996	0.599973	1.28026	1.92414	0.586121	1.44684	0.951225	0.680402	0.952576	1.17238	1.47424	1.28574	0.334426
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	2.32867	1.10667	2.07369	1.22052	0.825249	1.36563	2.50643	1.06891	2.35623	3.85829	3.44146	2.91575	0.935996	1.65337	1.9494	1.37593	1.45744	1.77078	1.25461	0.972475	1.53453	0.932542	0.766516	1.63	1.53913	1.3855	1.68174	0.885613	1.03513	0.97279	2.0073	1.38918	1.59872	1.61479	1.50067	1.73053	0.670394	1.28485	2.61892	3.14724	1.94966	1.70556	1.39485	2.50987	1.3678	1.94338	1.96156	0.393764
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.367669	0.966739	0.537164	0.206397	0.436278	1.0786	0.171587	0	0.714098	0.819786	0.246654	0	0	0	0	0	0	0	0	0	0.374637	0.218857	0.129829	0.463645	0	0	0.116873	0.396922	0.152121	0.400486	0.189714	0.795348	0.572859	0	0	0.49307	1.22785	0.055654	0	0	0	0.473575	0.114982	0	0	0	0.265879	0.242147
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.00346667	0.836537	0.36536	0	0	0.351371	0.422478	0.126495	0	0	0	0.324335	0.560674	0.58739	0.884886	0	0	0	0.129518	0.530838	0	0.306378	0.266811	0.785094	0.994957	0.569167	0.815154	0.119381	0.474841	0.144861	0.665713	1.59878	0.725167	0.132873	1.23438	1.1671	1.65904	0.87483	1.01755	1.1012	3.92954	6.58985	4.83261	9.26735	11.2395	6.89133	11.0674	0.640205
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0.514308	0.787033	0.121327	0	0	0.225101	0.630087	0.355364	0.571031	0.391827	0.0244875	0	0	0	0	0	0	0.154016	0.426854	0	0	0	0	0.149173	0.239869	0.436744	0.166437	0.138434	0.895419	0.932164	0.480314	0	0.167588	0.189541	0.290869	0.217296	0.479844	1.0286	1.39712	0.889169	2.17645	0.809859	0.718568	4.3759	4.94521	8.70245	0.718025
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.174662	0.263175	0.340434	0.226659	0.187841	0.131845	0.190564	0.0884896	0.0928663	0.15497	0.159657	0.136581	0.144153	0.134414	0.172941	0.125843	0.145142	0.0441152	0.085324	0.170005	0.0740441	0.178259	0.22887	0.188567	0.189169	0.147666	0.142664	0.0781971	0.0796347	0.0465522	0.136883	0.156847	0.0465732	0.103861	0.111241	0.0368467	0.0345667	0.0843593	0.187787	0.194295	0.158366	0.167658	0.103007	0.191844	0.261209	0.341828	0.242864	0.376682
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	0.986748	0.139558	0.310291	0.711452	1.77565	0.85248	0.38504	0.577887	0.680774	0.672018	1.1338	0.683545	0.673408	0.424801	1.28304	0.317651	0.822844	0.653731	1.23663	0.932616	0.86492	1.35814	1.41428	0.949002	0.475886	0.9674	1.31044	0.673426	1.05673	0.378439	0.43124	0.0811741	0.138899	0.498254	0.49054	0.447675	0.581921	0.77516	1.03607	0.856723	0.489063	0.308552	0.655784	0.619325	1.27353	1.22817	0.904331	0.315789
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004605.1.ca94bee3-450c-404f-8e72-f443f0a32f9b.fc.signal	0.763205	0.625727	1.16136	1.29125	0.575802	0.4314	0.869086	1.72732	1.73447	1.35189	1.57749	0.828987	0.997682	1.0925	0.583229	0.0308547	0.406053	1.1329	1.16376	0.737134	0.775073	0.037918	0.673185	0	0.227501	0.127969	0.203803	0.437803	0.947014	1.25385	0.46514	1.09377	0.562699	0.147807	0.00649653	0.977726	0.782743	0.328557	0.200664	0.712108	1.95917	1.36342	2.48401	2.07149	1.53111	1.42681	0.858909	0.368606
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	0.842806	0.72138	0.231906	0	0.362594	0.729784	1.10176	1.26083	3.30417	1.77056	0.0224661	0	0	0	0	0	0.388451	1.11902	0.813065	0.672702	0	0	0.133093	1.06035	0.54148	2.22545	0.0062402	1.04107	1.3321	0.532771	2.44986	0.810007	1.02032	0.338854	0	0	0.0062402	1.29128	0.898167	2.32417	1.47321	0.384433	0	0.571212	0.661901	0	0	0.438059
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001003.4.e55ccc77-8d92-466a-86b9-0bf035aed6cc.fc.signal	1.18038	0.806344	0.549072	1.45684	1.10265	1.38861	2.26783	1.60487	0.588271	0.887251	1.24582	1.1069	0.643937	0.690659	0.664902	0.395794	0.795274	0.502501	0.31531	0.355564	1.0785	0.926422	1.60933	0.90831	0.904842	0.414952	0.261887	1.11694	0.655523	0.599239	1.32266	0.93489	0.569561	0.500401	0.525094	0.774545	0.655215	0.663385	0.867604	1.14279	1.43971	0.694164	0.338503	0.873324	0.800228	1.71416	0.936151	0.303704
