	chr2:74139772-74139921	chr2:74139922-74140071	chr2:74140072-74140221	chr2:74140222-74140371	chr2:74140372-74140521	chr2:74140522-74140671	chr2:74140672-74140821	chr2:74140822-74140971	chr2:74140972-74141121	chr2:74141122-74141271	chr2:74141272-74141421	chr2:74141422-74141571	chr2:74141572-74141721	chr2:74141722-74141871	chr2:74141872-74142021	chr2:74142022-74142171	chr2:74142172-74142321	chr2:74142322-74142471	chr2:74142472-74142621	chr2:74142622-74142771	chr2:74142772-74142921	chr2:74142922-74143071	chr2:74143072-74143221	chr2:74143222-74143281	chr2:74143282-74143371	chr2:74143372-74143431	chr2:74143432-74143521	chr2:74143522-74143671	chr2:74143672-74143821	chr2:74143822-74143971	chr2:74143972-74144121	chr2:74144122-74144271	chr2:74144272-74144421	chr2:74144422-74144571	chr2:74144572-74144721	chr2:74144722-74144860	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	1.01565	0.621492	0.269726	0	0.798155	1.52573	1.23817	1.30795	0.505982	0.784505	0.780309	2.32462	0.999426	0.207682	0.292965	0.0817937	0.837159	0.707997	1.57814	1.37375	1.26445	0.554362	0.237293	0	0	0.154606	0.507769	0.893462	0.91927	0.301719	0.583089	0.280283	0.0793862	0.763821	1.80634	1.36723	0.644751
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.572553	0	0	0.597494	0.060481	0	0.854798	1.44348	0.520137	0.467397	0.35079	0.979792	0.0499137	1.11208	0.231265	1.69718	1.47678	0.72401	0.0547264	1.01351	2.08726	2.9918	1.29833	0.534249	0	0.766093	1.20962	0.778335	0.435795	0	0	0	0.506492	1.789	1.72976	0.856131	0.71734
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.19859	0.214747	0.307082	0.54998	0.423487	0.584898	0.425775	0.229559	0.266221	0.423491	0.533562	0.209291	0.137193	0.176647	0.434179	0.568361	0.715971	0.413099	1.43554	0.665775	0.214971	0.983642	0.682865	0	0	0	0.237534	0.293126	0	0.273273	0.193332	0.920014	0.76192	0.733649	0.650396	0.581098	0.58009
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0	0	0.998932	1.0375	0.284188	0.380666	0.506304	0.409876	0.23368	0.261493	0.331966	0.0834618	0.942192	1.3317	0.413578	0.465517	0.324575	0	0.315295	0.278204	0	0	0	0	0.148385	1.47449	0.217012	0	0.580546	0.60652	0	0	0	0	0.633034
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.469108	0.200959	0	0	0	0.461225	0.204971	0	0	0	0	0	0	0	0.027208	0.522086	0.057969	0	0	0.115931	0.794844	0.0741327	0	0	0	0	0	0	0	0	0	0.118399	0.967538	0.137226	0	0.436674	0.499381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	0.193947	0.292965	0.195051	0.204473	0.59008	0.289932	0	0.236584	0.120661	0	0	0.30818	0.562973	0.697514	0.465686	0.3245	0.156274	0.194658	0.468459	0.125759	0.151032	0.227549	0.285061	0	0.131278	0.228174	0.35841	0.198792	0.185039	0.0212545	0.338822	0.425557	0.419503	0.417067	0.581655	0.664811	0.508296
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0.2638	0.0906038	0	0	0	0	0.151576	0.344253	0	0	0.366147	0.252344	0	0	0	0	0.768111	0.967554	0.268534	0.578617	0.214053	0	0	0	0	0	0	0	0.198238	0.158389	0	0.101258	0.491237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.197621	0.0072748	0.0397343	0.116064	0.336811	0.611521	0.514498	0.24475	0.383427	0.795709	0.307876	0.165393	0.143835	0.185572	0.161318	0.259161	0.55683	0.379537	1.05125	0.716445	0.705454	0.531247	0.38815	0.274373	0.052752	0.0211543	0.0546156	0.22634	0.220487	0.0953137	0.163574	0.219518	0.278016	0.285322	0.277939	0.22763	0.380245
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.22937	0.654791	0.0089072	0.243478	0.641668	0.21601	0.608085	0.662275	0.233106	0.362226	0.393401	0.412719	1.55606	1.29813	0.40073	0.216073	1.3008	0.458845	0.974639	0.90721	0.222695	0.621141	0.851459	0.278361	0	0	0.413252	1.53085	0.662199	0.617617	1.17592	0.384517	0.690521	1.13139	1.78475	2.22076	0.461847
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.468357	0.432333	0.0759917	0.673865	0.220206	0.420971	0.986261	0.976105	2.43453	3.3373	1.683	0.873368	1.02318	0.334719	0	0.0191247	1.76038	0.54067	0.3452	0.344029	1.06511	1.04862	0.659054	0	0	0.294872	0.855309	1.81369	0.902039	0	0	0.439916	2.5213	4.68188	2.36525	2.96323	0.512222
