	chr19:4285743-4285892	chr19:4285893-4286042	chr19:4286043-4286192	chr19:4286193-4286342	chr19:4286343-4286492	chr19:4286493-4286642	chr19:4286643-4286792	chr19:4286793-4286942	chr19:4286943-4287092	chr19:4287093-4287242	chr19:4287243-4287392	chr19:4287393-4287462	chr19:4287463-4287542	chr19:4287543-4287622	chr19:4287623-4287692	chr19:4287693-4287842	chr19:4287843-4287992	chr19:4287993-4288142	chr19:4288143-4288292	chr19:4288293-4288442	chr19:4288443-4288592	chr19:4288593-4288742	chr19:4288743-4288892	chr19:4288893-4289042	chr19:4289043-4289112	chr19:4289113-4289132	chr19:4289133-4289192	chr19:4289193-4289342	chr19:4289343-4289372	chr19:4289373-4289492	chr19:4289493-4289642	chr19:4289643-4289792	chr19:4289793-4289942	chr19:4289943-4290092	chr19:4290093-4290152	chr19:4290153-4290242	chr19:4290243-4290392	chr19:4290393-4290542	chr19:4290543-4290692	chr19:4290693-4290842	chr19:4290843-4290862	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0.162313	0.896505	0.720188	0.172468	0	0	0	0	0	0	0	0	0	0.181636	0.494669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230663	0.508525	0	0	0	0	0.319328
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.230168	0.253203	0.343651	0.284684	0.910546	0.552511	0.55208	0.31301	0.280896	0.400151	0.366211	0.201671	0.356687	0.579676	0.633066	0.45313	0.510711	0.41848	0.666541	0.730534	0.422023	0.242552	0.213431	0.301996	0.127428	0.061787	0.061932	0.0060314	0.084441	0.25915	0.166938	0.126773	0.344385	0.242095	0.347242	0.320937	0.275173	0.178905	0.351731	0.190524	0.197744	0.434975
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001233.5.d6317c97-f6d6-4ceb-8b71-b3b4801f5d92.fc.signal	1.58542	0.802404	1.20211	0.3037	1.43476	0.141937	1.0967	0.515783	0.334081	0.889702	0.0785699	0.531702	0.784727	0.591022	0.0341377	0	0.00185087	0.880773	0.801225	1.84497	1.36795	0.626132	0.362808	0	0	0	0	0	0	0.422251	0.16225	0	0.340043	0.848777	0.379164	0.432372	0.240499	1.33401	0.716584	0.416585	0.406316	0.932039
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	2.48578	1.50193	0	0	0.577976	1.17132	1.56315	0.384773	0.782666	0.693031	0.43943	0.824329	1.63551	1.33633	0.960377	0.448177	0.196761	0.979428	1.67007	2.56396	0.692769	0.539999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0765967	0.552485	0.338865	0.65587	0.962264
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.0646797	0.439866	0.616178	0.243843	0.88061	0	0	0	0	0.144831	0.152146	0.214587	0.631558	1.19367	0.554654	0.206001	0.00143387	0.080761	0.259636	0.352025	0.498223	0.243645	0.298907	0	0	0	0	0	0	0.379297	0.613018	0.26475	0	0.07126	0.3054	0.240941	1.10785	0.995864	0.663896	1.19952	1.83296	0.481334
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003846.4.a8b62515-f113-4847-973f-317b45173002.fc.signal	0	0	0.832883	0.503449	0.992308	0.406991	0	0.579651	0.15316	0	0.25123	0.727525	0.214859	0.252824	1.00813	0.741073	1.33883	0.0180845	0.167304	0.754783	0.16326	0.569226	0.221078	0	0	0	0	0	0	0	0	0	0.0921922	0.371148	0.00367367	0.526894	0.923107	0.0286518	0	0	0	0.349896
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000974.7.9dac3370-6335-4df0-bea0-9e684edfa350.fc.signal	0.532311	0.571261	0.0562605	0	0	0.223814	0.480378	0.709731	0.428446	0	0.263992	0.453944	1.03381	1.9473	0.565668	0.210672	0.839695	0.523862	0.753817	0.448176	0.294919	0.11885	0.322559	0	0	0	0	0	0	0.421954	0.289958	0	0	0	0	0.439906	2.39464	2.45374	1.44359	0.476627	0	0.539033
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001020.4.d793ab3e-d7c6-45e4-8372-b368878f1961.fc.signal	1.53024	0.910216	2.45916	1.92056	1.29232	2.30118	2.28403	0.69494	0.152803	0.48924	0.0824803	0.240184	0.570765	0.421677	0.489131	0.357873	1.03928	1.88318	0.822632	0.50738	0	0.669397	1.20148	0.46794	0	0	0	0	0	0.824469	0.104286	0	0	0	0.182173	0.427221	1.37537	0.553886	0.599623	0.590495	0.43216	0.910959
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0.0174211	0.0846169	0.37331	0.0895944	0.836141	1.36121	0.754058	0.530092	1.39108	1.41846	1.41101	0.69329	1.15246	0.979857	0.469304	0.0945719	0.37331	0.00995493	0.990449	1.11796	0.729933	0.62017	1.06183	0.666981	0.303981	0	0	0	0	0	0	0	0	0.228963	0.572409	0.822659	0.888136	2.11526	3.66903	1.65738	0.74662	0.442177
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001891.4.41bb4ab6-1e8d-4527-bfe1-5ddf65dcaa7f.fc.signal	0	0	0	0.329546	1.7883	0.357821	0.887273	0	0	0.101403	1.11826	0.329819	0.326939	0.724191	0.954836	0.704346	0.101456	0.863037	0.356433	1.07599	0.0511384	0.43839	0.0659658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542041	0.312446	0.47746	0.63923	0.381213
