	chr9:9412252-9412401	chr9:9412402-9412551	chr9:9412552-9412641	chr9:9412642-9412701	chr9:9412702-9412851	chr9:9412852-9413001	chr9:9413002-9413061	chr9:9413062-9413091	chr9:9413092-9413151	chr9:9413152-9413171	chr9:9413172-9413301	chr9:9413302-9413371	chr9:9413372-9413451	chr9:9413452-9413481	chr9:9413482-9413601	chr9:9413602-9413751	chr9:9413752-9413901	chr9:9413902-9413981	chr9:9413982-9414051	chr9:9414052-9414131	chr9:9414132-9414201	chr9:9414202-9414351	chr9:9414352-9414401	chr9:9414402-9414501	chr9:9414502-9414651	chr9:9414652-9414801	chr9:9414802-9414891	chr9:9414892-9414951	chr9:9414952-9415071	chr9:9415072-9415101	chr9:9415102-9415251	chr9:9415252-9415401	chr9:9415402-9415551	chr9:9415552-9415631	chr9:9415632-9415701	chr9:9415702-9415781	chr9:9415782-9415851	chr9:9415852-9416001	chr9:9416002-9416071	chr9:9416072-9416151	chr9:9416152-9416301	chr9:9416302-9416451	chr9:9416452-9416601	chr9:9416602-9416751	chr9:9416752-9416781	chr9:9416782-9416831	chr9:9416832-9416901	chr9:9416902-9416931	chr9:9416932-9416981	chr9:9416982-9417051	chr9:9417052-9417151	chr9:9417152-9417201	chr9:9417202-9417323	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0	0.0276168	0.330958	0.265272	0.0150262	0	0	0	0	0	0	0	0	0	0	0.285997	0.290668	0.275481	0	0	0.0354764	0.417809	0.126217	0.501937	0.223739	0	0	0	0	0	0.138127	0.714104	0.608047	0.305475	0.859406	0.837974	0.371794	0.554495	0.287608	0.462697	0.637527	0.0715559	0.234977	0.418806	0.35261	0.255949	0.251524	0.404347	0.370933	0.267299	0	0.227708	0.306899	0.354111
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.58871	0.505416	0.436615	0.826222	0.923893	0.858705	0.499942	0.234563	0.117471	0.103329	0.0638677	0.104063	0.302485	0.516274	0.74726	1.1636	1.02644	0.730241	0.773664	0.917163	0.805767	0.765342	0.75648	0.771753	0.823554	1.25218	1.6408	1.61357	1.4396	1.01639	0.837105	1.20807	0.710903	0.544234	0.656702	0.817646	0.842094	0.737965	0.614475	0.526127	0.370657	0.641867	0.757399	0.427813	0.0941037	0.0842692	0.0258224	0.0947417	0.438345	0.568295	0.651007	0.31904	0.66394	0.538889
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.0857623	0.257313	0.959828	0.991058	0.964128	0.999709	0.521173	0.258018	0	0	0	0	0	0	0	0	0	0.0786722	0.615687	0.566288	0.43362	0	0	0	0	0.0699601	0.818739	1.38662	1.09205	0.603821	0.356336	0.142164	0	0	0	0	0	0.481407	0.420596	0.107119	0	0.353747	0.217287	0.468515	0.761957	0.380442	0.512511	0.687961	0.387634	0.492653	1.11284	1.06661	0.673613	0.422609
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.0265392	0.223198	1.05984	0.783747	1.02485	0.284481	0	0	0	0	0	0	0	0	0	0.118741	0.486834	0	0.443966	0.805558	1.06166	0.375972	0.466466	0.66348	0.654634	0.402124	0.31259	0.288987	0	0	0.119426	0.521819	0.206067	0.626036	0.417045	0	0	0.429131	0.308115	0	0	0	0	0	0.376007	1.44388	1.99046	2.36863	1.2473	0.523082	0	0	0	0.359799
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	1.97832	1.26028	0.147532	0.514515	0.558821	0.616162	0.180895	0	0	0	0	0	0	0	0	0.573028	0.471776	0	0	0.253466	0.5387	0.704251	0.212251	0.419909	0.483891	0.475881	0.121199	0.3007	0.260904	0	0.450961	0.614783	0.899377	1.17909	0.586664	0.169513	0	0.141904	0.925482	1.04492	1.24858	0.26582	0.163096	0.758687	0.468749	0.450261	0.807991	1.0737	1.55961	0.981797	0.64031	0	0	0.415094
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	1.23741	0.212276	1.16897	1.14923	0.971987	1.31564	0.873288	0	0	0	0	0	0	0	0	0.494491	0.0718065	0.668271	1.0196	0.68417	0.00968243	0.386845	0.67777	0.0406662	0.199897	0.244183	0	1.26913	2.17735	0.721842	0.824325	1.26687	0.079169	0.364301	0.569111	0.355851	1.00315	0.332599	0.0867543	0.444618	0.395121	0.967382	0.0913733	0.0120492	0.60246	1.40992	2.71059	1.87653	1.52229	0.467364	0.19484	0.321355	0.200888	0.392051
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	0.486558	0.789066	1.33738	0.67087	0.437906	0.47975	0.484729	0.44404	0.450449	0.262636	0.0265477	0.222507	0.50186	0.566946	0.281236	0.512881	0.884949	1.07883	0.296572	0.247229	0.666813	0.633672	0.316218	0.04943	0.101857	0.16449	0.104619	0	0.170604	0.416777	0.461925	0.259004	0.237164	0.235836	0.214113	0.19772	0.204404	0.868425	0.829858	0.840588	0.366062	0.334449	0.563047	0.428073	0.46032	0.303763	0	0	0	0.0723109	0.575175	1.16297	1.14392	0.372576
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.1ff1e0cf-fe7a-4485-b51f-e180baac3300.fc.signal	0.677749	1.61085	1.26809	1.04568	0.158568	0	0	0	0	0	0	0	0	0	0	0	0	0	0.273369	0.631116	0.25319	0.0270069	0.50638	0.534863	0.113225	0.291044	0	0.374159	0.406048	0	0	0.201188	0.325429	0	0	0.323219	0.9314	0.46506	0.378333	0.10761	0.943614	0	0	0.567436	1.22149	0.744452	0.209802	0	0	0.306271	0.756275	0.460124	0.275616	0.388203
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003837.4.b0a69b43-094d-48ec-bc60-f9af8670e969.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6406	2.475	0.38164	0	0.145701	3.55533	6.60112	3.8201	0.986368	1.0692	0	0	0	0	0	0	0	0	0	0	0.294185	3.27149	4.29577	2.36024	1.36094	1.29158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.61dbfaab-48a0-49aa-b249-2516c02981de.fc.signal	0.485475	0	0	0.481992	0.695677	0.196751	0	0	0	0	0	0	0	0	0	0.209374	1.26498	0.728953	0.301449	0	0	0	0	0.263365	0.261087	0	0	0	0	0	0.985849	0.259747	0.290932	0.334171	0.0159351	0	0	0.367877	0.244013	0	0.252173	0.549121	0.546381	0.0078616	0.58962	0.58962	0.586053	0.433785	0	0.172625	0.443863	0.483488	0.357638	0.351351
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.8f250bd6-ace7-4938-8056-c658c54331a9.fc.signal	1.99586	0.81784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333187	1.18802	1.24187	0.706758	0.050483	0	0	0	0	0	0	0	0	0	0	0	0.50483	0.50483	0.999554	1.00965	0.580553	0.161546	0	0.118721
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.986e393c-de82-4afc-818b-4cc2a632dc28.fc.signal	0.0994318	0.339213	0	0	0	0.804501	1.08542	0.473451	0	0	0	0	0	0	0	0.201618	0.378064	0	0	0	0	0	0.449993	0.495602	0.141711	0.686908	0.731389	0.480644	0.532605	0.468615	0.0708767	0.00366313	0.763382	1.12594	0.682952	0.0892889	0.518072	0.435913	0	0	0	0	0.012913	0.390435	0.390365	0	0	0	0.117382	0.264816	0.282903	0	0	0.503683
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.486b8afb-6747-4d4a-93ee-788cf88097fc.fc.signal	0.777681	0.867636	0.934544	0.560481	0.370374	0.714261	0.31605	0.31605	0.0052675	0	0	0	0	0	0.339278	0.334233	0	0	0	0	0.118991	0.639864	1.33958	1.32017	0.773088	0.116051	0.284959	0.503377	0.700803	0.284184	0.487075	0.0942926	0	0	0.22039	0.267607	0.506404	0.806789	0.576213	0.500615	0.326393	0	0.167143	0.0540769	0.185572	0.185105	0.0710644	0	0.080096	0.466365	0.693414	0.413033	0.0832833	0.223022
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002065.1.b81732b7-0852-42a0-916a-8784920a02a3.fc.signal	0	0.216516	0.779526	0.665597	0.364354	0.393061	0	0	0	0	0	0	0.584085	0.449987	0.554376	0.985652	0.14461	0.603605	0.57033	0.597955	1.04103	0.446199	0.285191	0.845339	0.291821	0.472763	0.411232	0.280447	0.77375	0.739942	0.447719	0.79117	0.477201	0.769522	0.503596	0.324847	0	0	0.0896273	0.608358	0.521728	1.02353	1.37742	0.567902	0	0	0	0	0	0.441519	0.615831	0.419006	0	0.405612
