	chr11:15239067-15239186	chr11:15239187-15239216	chr11:15239217-15239256	chr11:15239257-15239366	chr11:15239367-15239516	chr11:15239517-15239596	chr11:15239597-15239666	chr11:15239667-15239816	chr11:15239817-15239966	chr11:15239967-15240116	chr11:15240117-15240196	chr11:15240197-15240266	chr11:15240267-15240306	chr11:15240307-15240416	chr11:15240417-15240566	chr11:15240567-15240636	chr11:15240637-15240716	chr11:15240717-15240766	chr11:15240767-15240826	chr11:15240827-15240866	chr11:15240867-15241016	chr11:15241017-15241076	chr11:15241077-15241166	chr11:15241167-15241316	chr11:15241317-15241396	chr11:15241397-15241466	chr11:15241467-15241616	chr11:15241617-15241666	chr11:15241667-15241766	chr11:15241767-15241826	chr11:15241827-15241916	chr11:15241917-15241966	chr11:15241967-15242036	chr11:15242037-15242066	chr11:15242067-15242216	chr11:15242217-15242276	chr11:15242277-15242366	chr11:15242367-15242456	chr11:15242457-15242516	chr11:15242517-15242666	chr11:15242667-15242736	chr11:15242737-15242816	chr11:15242817-15242946	chr11:15242947-15242966	chr11:15242967-15243116	chr11:15243117-15243156	chr11:15243157-15243266	chr11:15243267-15243416	chr11:15243417-15243566	chr11:15243567-15243716	chr11:15243717-15243796	chr11:15243797-15243826	chr11:15243827-15243866	chr11:15243867-15244016	chr11:15244017-15244145	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0	0	0	0.248078	0.547138	0.43767	0.118576	0	0.242221	0.240437	0	0.233995	0.463815	0.425445	0	0	0	0.311374	0.993636	1.38239	0.714587	0	0	0	0	0	0.0819224	0.177038	0.0995453	0	0	0	0	0	0	0	0	0.369372	0.676502	0.606982	0	0.01161	0.468728	0.47163	0.0723166	0	0	0	0	0	0	0	0	0	0	0.406852
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0.227533	0.532651	0.196646	0	0.319972	0.52032	0.341192	0	0.365501	0.361044	0.140143	0	0	0.194038	0.20703	0.00222611	0.092665	0.47948	0.709598	0.440098	0.470064	0.28783	0	0	0	0	0	0	0	0.0830293	0.500947	0.515986	0	0	0	0	0.425765	0.402386	0.35063	1.02676	0.583826	0.304451	0	0	0	0	0.337873	0.256015	0.273649
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.3d6cbb41-685c-49c7-85eb-8977ab8f14b3.fc.signal	0.864319	0.652881	0.597385	0.0299713	0.334053	1.1068	1.05837	0.95032	1.17719	1.03378	0.565234	0.361626	0.765519	1.77795	1.60759	0.830414	0.363706	0.589834	1.10095	2.1232	2.00126	1.0738	0.338838	0.486243	0.709974	1.12445	1.2979	0.627996	0.372275	0.304103	0.281262	0.20496	0.193056	1.24615	1.32515	0.0111253	0	0.246165	1.44011	1.81034	0.682569	0.931197	1.33767	0.422018	0.00633807	0.31591	1.45304	1.7481	0.812856	0.865951	0.414531	0.226687	0.23253	0.225352	0.539133	0.511905
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	0.975902	1.09709	0.793755	0.231532	0.0865012	0.447117	0.564115	1.14331	0.76008	0.370965	0.186599	0.346975	0.622389	0.644168	0.60678	0.371392	0	0	0.160616	0.399018	0.25911	0.768551	0.528298	0	0.137492	0.606552	0.310541	0	0	0	0	0	0	0	0	0	0	0	0.230246	0.865482	0.691944	0.990265	1.24997	0.868872	1.02319	0.466394	0.666237	0.996276	0.534699	0.243658	0	0	0	0	0.269125	0.448922
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	0.681893	0.834033	1.05702	0.66837	0.273585	0.541252	1.53655	1.40363	0.936316	1.09427	0.153452	0.441291	1.11286	1.42611	1.10855	0.600998	0.425374	0.871412	1.08793	1.25377	0.442175	0	0.198754	0.733667	0.629487	0.667779	0.264239	0	0	0	0.0814673	0.524636	1.00968	1.03803	0.474087	0.506921	0.606563	0.667457	0.575463	0.21578	0	0.149708	0.279487	0.295286	0.226531	0.32997	0.904374	1.4553	1.02612	0.200614	0.293276	0.27319	0.95608	1.21323	0.543587	0.198276
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003400.1.b3d30ae7-78a7-458d-9ccf-f1436025286b.fc.signal	0.70925	0.70925	0	0	0.611136	0.827139	0.371968	0.151777	1.24679	1.58872	0	0	0.70925	0.70925	0.751805	1.06387	0.718116	1.39013	1.00477	1.25892	1.51779	0.815637	0.00788056	1.26204	0.781847	0.864481	1.0355	0.45392	0.70925	0.685608	0	0	0	0	0.586313	0.70925	0.0472833	0	0	0	0	0	0.11696	0.523668	0.676786	0.161459	0	0.469006	0.548551	0.339197	0	0	0	0.0472833	0.70925	0.145161
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.cbba33e3-8091-43f4-8be2-0ec669b6bf51.fc.signal	0.113759	0.225001	0.278538	0.308679	0.216622	0.219319	0.279679	0.320248	0	0	0	0	0	0.0535365	0.277343	0.401523	0.662038	0.724665	0.752	0.786646	1.06916	0.64118	0.537645	0.61644	1.08284	1.03482	0.511129	0	0	0	0	0.029662	0.29662	0.59324	0.845467	0.782633	0.456265	0.162627	0.008479	0.243815	0.33915	0.324034	0.0768427	0	0	0.285379	1.07961	1.67892	1.65027	1.66367	1.18648	0.790987	0	0	0.225339	0.373832
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0	0	0	0.0671915	0.238433	0.162262	0.112088	0.307535	0.382098	0.215714	0.247609	0.435457	0.351738	0.0473972	0.102612	0.188052	0.222226	0.466596	0.676377	0.550068	0.165345	0.184724	0.11138	0.0765998	0.132673	0.194641	0.0713295	0.0918284	0.0609848	0	0.148336	0.284442	0.310389	0.179296	0.260048	0.544999	0.63914	0.372502	0.289014	0.510907	0.293627	0.202107	0.51282	0.564355	0.403108	0.276544	0.430663	0.815502	0.492418	0.381238	0.398465	0.41936	0.328172	0.0458392	0.00151767	0.380952
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.e73b84a4-42ef-4b6b-83f9-72b6584af2ee.fc.signal	0.422754	0.506168	0.67668	0.304559	0.111716	0.510635	0.592402	0.834786	0.385179	0.228578	0.0137719	0.255187	0.732764	0.815909	0.633555	0.219622	0.265515	0.540128	0.709419	0.627459	0.687955	0.19965	0.27917	0.700315	0.357801	0.284402	0.769531	1.01969	0.148247	0.182801	0.247823	0.320601	0.764944	0.747458	0.68173	1.19695	1.40422	0.720949	0.624824	0.727853	0.817955	1.01864	0.621064	0.45038	0.940562	0.519653	0.249438	0.401365	1.65525	1.10229	0.171909	0.179121	0.142216	0.168395	0.525102	0.298496
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003730.1.3f439d72-e3f6-44c0-a502-169344c6ad35.fc.signal	0.926099	0.556759	0.449662	0.0832937	0.571641	0.328145	0	0	0.608923	1.7571	1.86415	1.08756	0.657532	0.0941884	0	0	0	0.28113	1.262	1.23565	0.744301	0	0.0237918	0.836563	1.10534	0.61393	0.472716	0	0.225209	0.621832	0.617403	0.232403	0.433879	0.60547	0.505315	0	0	0.130373	0.522171	0.589144	0.426676	0.214878	0	0	0	0	0	0.269189	0.368307	0	0	0	0	0	0.124133	0.497561
