	chr19:54506535-54506684	chr19:54506685-54506834	chr19:54506835-54506934	chr19:54506935-54506984	chr19:54506985-54507044	chr19:54507045-54507134	chr19:54507135-54507184	chr19:54507185-54507284	chr19:54507285-54507354	chr19:54507355-54507434	chr19:54507435-54507584	chr19:54507585-54507664	chr19:54507665-54507734	chr19:54507735-54507884	chr19:54507885-54508034	chr19:54508035-54508184	chr19:54508185-54508334	chr19:54508335-54508484	chr19:54508485-54508634	chr19:54508635-54508784	chr19:54508785-54508844	chr19:54508845-54508884	chr19:54508885-54508934	chr19:54508935-54509084	chr19:54509085-54509164	chr19:54509165-54509194	chr19:54509195-54509234	chr19:54509235-54509334	chr19:54509335-54509384	chr19:54509385-54509494	chr19:54509495-54509534	chr19:54509535-54509554	chr19:54509555-54509614	chr19:54509615-54509684	chr19:54509685-54509834	chr19:54509835-54509904	chr19:54509905-54509984	chr19:54509985-54510034	chr19:54510035-54510064	chr19:54510065-54510134	chr19:54510135-54510194	chr19:54510195-54510244	chr19:54510245-54510284	chr19:54510285-54510364	chr19:54510365-54510434	chr19:54510435-54510484	chr19:54510485-54510584	chr19:54510585-54510734	chr19:54510735-54510834	chr19:54510835-54510884	chr19:54510885-54510954	chr19:54510955-54511034	chr19:54511035-54511184	chr19:54511185-54511334	chr19:54511335-54511484	chr19:54511485-54511585	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	1.15513	0.331279	0.984925	0.89088	0.482521	0.294432	0.44536	1.01778	1.60993	3.01227	3.41949	2.79231	0.944962	1.07581	0.243471	0.723107	1.21602	0.679994	1.91985	0.929474	0.159587	0	0	0	0	0	0	0	0	0	0	0	0	0	0.954692	0.989467	0.183711	0	0	0	0	0	0	0	0	0	0.327194	0.150633	0	0	0.0946857	0.377033	0.184349	0.365249	1.42837	0.930528	0.305825
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000704.1.66176b59-ae1e-4572-9837-187809968b90.fc.signal	8.67668	5.60197	3.61968	0.0220884	0	0.0613567	0.707031	0.950063	0.852192	2.77092	12.176	7.92601	3.84009	2.53092	2.67824	1.5416	1.00896	1.74784	0.955468	1.78866	0.337462	0	0	0	0	0.245434	2.14489	2.54812	0.110464	0	0	0	0	0	0.341221	0.53128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.04577	0.132536	0.0692541	0.506579
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	1.19494	0.422273	0	0	0	0	0	0	0	1.02761	1.06916	0	0	0.988299	1.59024	0.655871	0.512118	2.16519	1.53634	0.637902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.727273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	0.899629	0.26469	0	0.0025012	0.232522	0.245303	0.24555	0.155454	0	0	0.159595	0.255593	0.291384	0.449144	0.756917	0.68986	0.591397	0.3763	0.308637	0.50893	0.620452	0.4159	0.313526	0.0426595	0	0	0	0	0	0	0	0	0	0.0769031	0.491629	0.969488	0.831154	0.649888	0.188745	0	0	0.0684172	0.121889	0.121855	0.387505	0.471523	0.367444	0.144863	0	0	0	0	0.30822	1.24534	0.879432	0.338866	0.46281
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000234.3.004bcd0c-68a8-42c5-b5aa-454db7d061e9.fc.signal	0.569827	0.229219	0.0967321	0.14968	0.159239	0.151755	0.155843	0.161494	0.131045	0.200321	0.279021	0.411193	0.532863	0.524079	0.246461	0.202563	0.378158	0.576277	0.489922	0.261356	0.139641	0.014934	0	0	0	0	0	0	0	0	0	0	0	0.0728369	0.452602	0.783452	0.684914	0.511147	0.249419	0.107599	0.0593035	0	0.00890075	0.109523	0.184603	0.216606	0.235448	0.109923	0.0357261	0	0	0	0.0539588	0.357494	0.352867	0.247564	0.475836
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001965.2.b75058ba-d142-4ae0-9acf-08c2d019a7dc.fc.signal	0.886516	0.469927	0.748648	0.92144	0.702569	0.00767567	0.0046054	0.315536	0.408046	0.138162	1.11023	0.54126	0.0625019	0.285614	1.36239	1.07708	0.684873	0.465305	1.50337	0.999534	0.142	0	0	0	0	0	0	0	0	0	0	0	0.0345405	0.345495	0.595812	0.329034	0.0518107	0	0	0	0.00383783	0.285578	0.46072	0.41463	0.0756601	0	0	0.432247	0.0598828	0	0	0.368572	0.279501	0	0	0.234917	0.782578
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001232.5.c85debd1-3d92-448f-90c2-50b50f17d029.fc.signal	7.0361	4.57489	3.11025	1.54759	0.467075	0.0958481	0.182706	0.998451	1.71731	4.83365	7.41189	6.95545	5.83992	6.48987	3.01186	3.85837	7.06633	11.2659	9.40437	9.9903	4.85295	1.16399	0.245597	0	0	0	1.15442	1.97314	0.469092	0.520533	0.558421	0.019828	0.208208	1.06128	4.60054	4.82394	2.19926	0.747625	0.48581	0.216339	0	0.453356	0.780969	0.637646	0	0	0	0	0	0	0	0	0.0468043	1.223	0.712566	0.943704	0.626781
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001952.2.52215347-885a-4412-918b-b787711b8d37.fc.signal	1.79452	0.861929	0.727569	0.77891	0.68934	0.785027	1.18549	1.67837	1.17171	0.486827	0.955786	0.525622	0.100938	0.810158	1.08554	1.04683	1.11663	1.77375	0.303342	0.826685	0.143416	0	0	0	0	0	0	0	0	0	0	0	0	0.113249	0.562961	0.157563	0	0	0	0	0.011489	0.496325	0.68934	0.594556	0.0393909	0	0	0	1.10626	1.28997	0.359967	0	0	0.535305	1.23233	0.344171	0.551121
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000886.3.656fbaec-dfab-4967-84ac-8cd7cc42a743.fc.signal	3.00623	2.84471	3.34586	3.2674	1.32444	0.117469	0.68216	0.562777	0	1.59447	2.72172	1.23208	1.32042	0.934527	1.73509	0.491968	0.701633	1.43257	0.217456	1.34366	1.34152	0.110844	0	0	0	0	0.34098	0.637807	0.34098	0.00929945	0	0	0	0	0.0681973	0.68216	0.46895	0	0	0	0	0	0	0	0	0	0.0031747	1.17159	0.34191	0	0	0	0	0	0.588915	0.0708968	0.162162
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000024.3.811468fa-3f06-4a13-a148-2292efa6ed97.fc.signal	14.926	4.37768	2.40921	2.93806	2.93806	0.522322	0	0	0.965362	11.1094	20.4879	13.9372	4.533	5.24931	7.72703	5.24932	3.63339	2.27287	1.01115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.495339	1.17693	0	0	0	0	0	0	0	0.429967
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001914.1.d83c61fb-c563-40ff-afb5-9fc097a52b75.fc.signal	0.499451	0	0	0	0	0	0	0	0	1.03973	6.69915	5.24541	0.942003	1.09402	3.32706	0.074928	0.789257	1.21516	1.98827	0.484585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521127
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.b52b6048-f5e8-441d-8082-83c6ea7d797d.fc.signal	0.0774828	0.399208	0	0	0	0	0	0	0	0.381749	0.749212	0.166235	0	0.983027	0.281183	0.779047	0.800481	0.833699	0.529759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319977	0	0	0	0	0	0	0	0	0	0	0	0.119689	0.429995	0	0	0	0	0	0.216153	0.23799	0.316864	0.778261
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000810.3.4c807da6-ffa8-4451-adb2-428243de39ad.fc.signal	6.77259	8.8912	5.20968	2.50065	0	0	0	0	0	0	7.29356	5.20968	0	2.7264	3.97672	3.36893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30242	5.07944	1.21559	0	0	0	0	0	0	0	0	0.663636
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003806.1.2dfc8185-75fc-483f-9a76-86d609a673b1.fc.signal	1.88956	1.1249	0.337608	0.0096942	0.0646167	0.204627	0.38784	0.370361	2.363	5.05878	5.9391	4.06255	1.51808	1.42206	0.672993	0.584322	0.575287	0.299884	0.583045	0.654154	0.19385	0.19385	0	0	0	0	0	0	0	0	0	0	0.0452317	0.379526	0.308971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287965	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.fc509fae-cfc8-4cd1-b6e1-cb05b98526c1.fc.signal	4.36191	1.47033	1.96994	1.26029	0.338594	0	0	0	0	0.40856	1.02867	1.00855	0.483744	1.04353	1.44638	2.16134	1.36039	1.43303	1.99644	1.11698	0.58894	0.110424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471148	0.58894	0.445909	0	0	0.0389667	0.579794	0.482713	0.0662389	0.407265	0.416496	0	1.2328	2.02334	0.556166
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001913.1.7dd02c2b-e08d-4010-8330-5cb791ced7b2.fc.signal	1.94989	2.80559	0	0	0	0	0	0	0	5.32935	6.69318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47551	4.71541	1.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522255
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004884.1.cdb41994-86e2-4949-bf91-2378fd47bfa2.fc.signal	0.409034	0.719612	0.508869	0.318265	0	0	0	0.78142	0.582425	0.272299	0.484679	0	0.436819	0.962501	0.544788	0.357994	3.32983	2.50307	0.0685819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121339	1.59628	0.646983	0.180491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408786	0.324156	1.03335	0.785714
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000969.7.07e61421-b434-44b9-b0ec-8515d70faad3.fc.signal	2.63017	0.599047	0	0	0	0	0	0	0	0	0.907917	2.33413	0	0	2.0311	0.121688	0.234015	0.842454	1.02031	0.0561636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.58635	2.34664	0	0	0	0	0	0	0	0	0	0	0.379104	0.823733	0	0	0	0	0	0	0.93991	1.1263	0.395062
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001015.4.9280a4bd-15d9-4bff-baed-11156e36abac.fc.signal	3.42082	3.38773	2.40771	0.984592	0.474813	0.281373	0.592348	0.61275	0.53929	1.59303	2.7782	2.87758	2.51749	3.6135	2.30656	3.47888	3.17671	2.93147	2.95926	2.58916	0.317073	0.276268	0.137647	0	0	0	0	0	0	0	0	0	0.194957	0.934239	2.40529	1.61261	0.686842	0.245021	0	0	0	0	0	0	0.2402	0.434999	0.582845	0.273992	0.244734	0.145605	0	0	0	0.255678	0.41932	0.284314	0.569132
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003822.3.77ca98f2-545d-4aeb-bc0c-48db2083d121.fc.signal	0.486571	0.35674	1.11173	1.07647	0.705111	0.595429	0.94015	0.726916	0.0695487	0.234095	0.120654	0	0	0	0	0	0.0278477	0.410206	0.697277	0.515518	0.0783467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103418	0.23504	0.314366	0.362633	0.23504	0.23504	0.419938	0.05876	0	0	0	0.192733	0.692576	0.242573	0.0135419	0.575163
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000891.3.26bc37a9-c73c-42b9-835b-56fe5f674b6a.fc.signal	2.38127	1.70024	0.7194	0.496406	0	0	0.179859	0.7194	0.385399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.216578	2.05421	2.04907	0.276693	0	0.472973	0.195688	0	0	0.171271
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003824.4.96c109c2-5b12-4d08-bc59-f48ccc7c2f4a.fc.signal	2.6523	3.95252	3.68608	1.9097	0.937539	0.0246707	0	0.192431	0.644966	1.40632	1.18921	0	0	0.449542	0.986887	0.140624	0	0.10392	0.20518	0.29988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201654	0.37006	0.407067	0.37006	0.37006	0	0	0.192431	0.407067	1.08706	0.92516	0.525488	0.329353	0	0	0	0.259044	1.5729	1.30767	0.414062	0.241795	0.253022	0.684932
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001916.1.f84a631d-885b-4535-bad7-e4cb346c7bb1.fc.signal	0.827387	0.700515	0	0	0	0	0	0	0	0.196167	1.66938	1.4414	2.94352	1.58024	0.777845	0	1.19453	1.90244	0.784726	1.98768	0.261556	0	0	0	0	0	0	0	0	0	0.631146	0.68232	0.659576	0.955248	1.12355	0	0	0	0	0	0	0	1.53522	2.48178	0.770047	0	0	0	0	0	0	0	0	0.841528	0.980292	1.30616	0.549072
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001957.2.0bd574cb-6c79-4f0e-a131-98ee1a6088f8.fc.signal	0.517557	0.679238	0	0	0	0.112363	0.74916	0.610555	0	0.589952	0.709139	0.458791	0.37449	0.0049932	0.157305	0.566846	0.426981	0.297127	0.421994	1.01993	0.00571467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244699	1.41906	0.64878	0.0573744	1.07357	1.52565	0.194758	0.559355	0.233611	0.564945
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003830.4.1d911208-29b2-4159-abb9-21b476db4aa7.fc.signal	3.97354	1.34798	0	0	0	0	0	0.118947	1.35939	2.49443	0.593261	0.844718	1.2297	0.164914	0	0	0	1.23372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.854601	2.64309	0.0792978	0	0	0	1.22077	1.24238	0	0.7
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000152.3.9a3cfb88-6d7d-4b7c-9d6d-96e940ce08cf.fc.signal	1.95938	0.261401	0.477144	0.897589	0	0	0	0	0	0.177156	1.22514	0.803728	0	1.47394	2.33438	0.617292	1.25348	0.842268	0.979409	0.0903429	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89882	0.548511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.253425
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001909.1.245ee420-3705-4794-9ed7-05083df48af9.fc.signal	1.90546	2.88734	1.69039	1.41889	0.686074	0.948843	0.8758	0.669992	0.613084	0.8758	0.326977	0	0	0.592628	0.91669	1.25538	1.18531	0.651043	0.779477	0.0204386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547463	0.43797	0.43797	0.429211	0.779515	1.01597	0.043797	0	0	0	0	0	0.691917	1.16634	0.745098
