	chr3:55983477-55983566	chr3:55983567-55983626	chr3:55983627-55983666	chr3:55983667-55983776	chr3:55983777-55983926	chr3:55983927-55984076	chr3:55984077-55984226	chr3:55984227-55984276	chr3:55984277-55984376	chr3:55984377-55984446	chr3:55984447-55984526	chr3:55984527-55984566	chr3:55984567-55984676	chr3:55984677-55984826	chr3:55984827-55984976	chr3:55984977-55985126	chr3:55985127-55985276	chr3:55985277-55985426	chr3:55985427-55985576	chr3:55985577-55985676	chr3:55985677-55985726	chr3:55985727-55985876	chr3:55985877-55986026	chr3:55986027-55986176	chr3:55986177-55986326	chr3:55986327-55986376	chr3:55986377-55986476	chr3:55986477-55986536	chr3:55986537-55986626	chr3:55986627-55986696	chr3:55986697-55986776	chr3:55986777-55986926	chr3:55986927-55987076	chr3:55987077-55987226	chr3:55987227-55987376	chr3:55987377-55987526	chr3:55987527-55987676	chr3:55987677-55987826	chr3:55987827-55987976	chr3:55987977-55988126	chr3:55988127-55988276	chr3:55988277-55988316	chr3:55988317-55988426	chr3:55988427-55988488	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.0574729	0.13612	0.13612	0.0965215	0.112526	0	0.19431	0.2724	0.454778	0.653654	0.371085	0.251958	0.315702	0.15343	0.249693	0.0898851	0.449387	0.364036	0.115257	0.2724	0.24787	0.426674	0.884271	0.689065	0.412144	0.166102	0.0190568	0.0385673	0.13612	0.188685	0.13612	0.0508181	0	0.0472096	0.712646	0.438485	0.0362987	0	0	0.197004	0.471131	0.776231	1.30855	1.14432	0.574803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0	0	0	0	0.48414	0.588565	0.5679	0.947161	0.283923	0.370495	0.469065	0.626753	0.801678	0.598614	1.0224	0.528763	0.580611	1.28493	0.355117	0.392449	0.421623	0.794844	1.90538	0.865405	0.330171	0.982953	0.379614	0.100175	0.404837	0.47994	0.321574	1.21122	0.317799	0	1.0457	1.16488	0.463654	0.467052	0.688906	0.719992	0.255478	0	0.119667	0.413495	0.582917
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001039.6.a3034dad-cf3f-4b0e-b7ac-4dfa7b52d765.fc.signal	1.5886	0.941577	0.34214	0.603593	1.83845	1.31963	0.689979	0.899187	1.02786	1.10607	1.27905	1.68755	1.69482	2.41123	2.39449	1.30232	1.43154	0.751342	1.62944	1.14439	0.848345	0.757759	1.31589	0.612903	0.660989	0.89557	1.0207	1.15582	0.693168	0.266503	0.0973673	0.588038	0.629881	1.18154	0.91561	1.38139	0.870814	0.430995	0.301591	0.506635	0.680963	0.673584	0.799652	0.85047	0.696552
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000126.3.4655431f-8c56-4476-831c-eb227cec568c.fc.signal	0.866811	0.712417	0.797289	0.0809711	0.0187031	0.460148	0.161524	0.40078	0.416835	0.182721	0.570127	0.80145	0.560646	0.0123701	0.207976	0.403739	0.379408	0	0.757189	1.20813	1.25601	1.15037	0.75962	0.525435	0.0673835	0	0.0964834	0.797779	1.27446	1.25944	0.392412	0.356305	0.575722	1.12409	0.33328	0.39932	0.487219	0.623565	0.0404496	0.088165	0.889321	0.319827	1.03103	1.20224	0.637681
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.603063	1.31094	1.06058	0.991516	0.874484	0.353663	0.266686	0.361361	0.861263	1.14486	1.72018	1.05753	0.574416	0.406144	0.419101	0.870965	0.0496853	0.50558	1.31508	0.0964433	0	0.128598	0.87681	1.42616	2.28621	1.46565	0.444765	0.315576	0.589655	0.935629	0.997074	0.513141	0.206132	0.228723	0.820213	1.15998	0.49829	0.691503	0.983665	0.535295	0.0788189	0.37138	1.05809	1.52014	0.549888
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.83112ba3-4a46-4bcb-b23c-b8a94da18e77.fc.signal	0.528808	0.491908	0.46972	0.130714	0.128691	0.28658	0.0098166	0	0	0	0	0	0.180498	0.481154	0.464516	0.446075	0.572948	0.891218	0.122246	0.305295	0.392968	0.426406	0.289507	0.0176345	0.218023	0.335025	0.344006	0.695703	0.40897	0	0	0.441312	0.326986	0.691729	0	0	0.289298	0.443889	0.145149	0.267213	0.2912	0.195275	0.710108	0.648885	0.486607
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	0.66348	0.187986	0	0	0.31847	0.45559	0.233984	1.85789	2.02164	0.714482	0.365332	0.773715	1.90907	1.87274	1.17669	0.185774	0.172505	0.90365	0.817642	0.66348	0.66348	0.760846	3.37514	2.42852	0.221673	0	0.23568	0.51304	1.25317	1.07191	0.765793	1.09263	0.502171	0	0.560626	0.911167	1.05101	1.9403	0.932809	0	0	0	0	0	0.594152
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.9ac74a4d-9d70-4efc-945e-29c0f04f171f.fc.signal	0	0	0	0.247179	0.166048	0.120104	0.317924	0.063958	0.0905826	0.266344	0.157697	0	0	0.0296085	0.276398	0.222591	0.162676	0.0805203	0.273652	0.43227	0.155604	0.383997	0.93943	0.146765	0.273938	0.634729	0.212822	0.164701	0.326634	0.131855	0.13615	0.904568	0.62338	0.511195	0.414748	0.688429	0.147449	0.103104	0.311052	0.370541	0.863516	0.323691	0.473566	0.615047	0.432692
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.f291fb29-a363-426c-a2c2-33a98c6182ef.fc.signal	0	0	0	0	0.372022	0.212443	0.185159	0.292765	0.0507086	0.0435396	0.140563	0.131603	0.218662	0.149296	0.0151913	0.175435	0.133004	0.156166	0.0157919	0.271469	0.31007	0.432728	0.305729	0.203718	0.577615	0	0.0368067	0.352169	1.0608	1.06558	0.663433	0.190116	0	0.393259	0.228084	0.255549	0.101473	0	0	0	0	0	0	0	0.527027
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	0.888127	0.741635	0.408888	0.0420242	0.0197157	0.228607	0.235588	0.432389	0.0964824	0	0	0	0.857659	1.44068	0.923448	1.28698	1.41564	1.41457	0.127198	0.709358	1.07842	0.781134	1.20515	0.951113	0.633605	0.484956	0.245941	0.375875	0.184746	0	0.478757	0.646945	0.578021	0.508144	0.452926	0.131048	0	0	0.839242	1.66737	1.06818	0.490101	0.688863	1.96031	0.63612
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001050.8.a9a09927-f961-43dc-bcc9-a3c995bbca26.fc.signal	0.181516	0.793738	1.18208	0.393975	0	0	0.394236	0.192858	0	0.614861	0.561015	0.761726	0.603097	0.815123	0.75759	0.417942	0.23649	0.287591	1.33503	0	0	0	1.42276	0.569942	1.24242	0.47197	0	0	0.714746	1.74529	1.42482	1.27146	1.79157	2.3009	0.620404	0	0.587356	1.54338	0.947323	0.0794924	0.935358	1.64605	1.44737	0.680819	0.633803
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0	0	0	0	0.270039	0.338686	0.54885	1.55508	0.995376	0.191479	0	0.501358	0.802117	0.898652	0.529129	0.369204	0.202789	0.480905	0.403691	0.266541	1.11164	1.09373	0.830645	0.925777	1.82433	1.21783	0.944198	0.997477	0.292528	0.388673	0.104376	1.17658	0.636913	0.292144	0.535054	0.690657	0	0	0.007591	0.303424	0.502432	0.29133	0.793637	1.51879	0.677775
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	0.705813	0.678895	0.636996	0.388344	0.1611	0.840851	0.416086	0.267129	0.43131	0.327555	0.417667	0.466086	0.476775	0.297503	0.535894	0.174798	0.0599207	0.0452598	0.292625	0.666161	0.487721	0.853849	1.34422	1.32546	1.00931	0.438659	0.982721	1.16754	0.736193	0.235616	0.22194	0.0752701	0.15705	0.429301	0.435449	0.189636	0.199894	0.280226	1.32758	0.599464	0.719208	0.899697	1.0337	0.615937	0.643463
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.1ff1e0cf-fe7a-4485-b51f-e180baac3300.fc.signal	0	0	0	0.124293	0.390808	0	0.321946	0.224044	0	0	0.771542	1.68321	1.14345	0.00675173	0	0	0.96349	0.184458	0.177602	0.512214	1.22327	0.848544	0.697588	2.18313	1.38431	0.411868	1.76425	1.96965	1.37614	2.17354	1.58819	0.859861	0.195813	0.531361	1.00264	0.569309	0	0	0.355303	0.707484	0.493747	0.31889	0.0874656	0.416609	0.621713
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000184.3.e49570a0-926e-4a06-8cdb-e56c6d55c91c.fc.signal	1.80072	1.79347	0.5352	0	0	0	0	0	0	1.75023	4.33615	4.94291	1.3189	0.611583	1.34627	0	1.82038	1.0189	0	0	0	0.287733	1.16296	1.64825	0.932418	0.84297	0.547463	0	0	0	0	0	0	0	0.350301	0.853403	0.83614	0.814013	0	0	0	0	0	0	0.619048
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000279.2.cf6e92c8-e3ec-4439-b44a-88a19fe6bafe.fc.signal	0.327849	1.27534	1.39956	0.782878	1.7529	0.901417	0.82305	0.839849	2.62611	2.97386	1.63508	2.09386	2.65847	0.523582	0.345241	0.448119	1.39973	0.873108	0.264087	0.437126	1.27522	2.09696	0.8619	2.07131	0.880321	0.132273	0.601798	1.35384	2.42867	1.92031	0.746835	1.58391	1.45599	1.97655	0.922941	0.533106	0.224008	0.574315	0.413287	0.123932	0.477095	1.13896	2.29234	1.64261	0.0953649
