	chr1:99299224-99299373	chr1:99299374-99299523	chr1:99299524-99299673	chr1:99299674-99299823	chr1:99299824-99299973	chr1:99299974-99300123	chr1:99300124-99300273	chr1:99300274-99300423	chr1:99300424-99300573	chr1:99300574-99300723	chr1:99300724-99300873	chr1:99300874-99301023	chr1:99301024-99301173	chr1:99301174-99301323	chr1:99301324-99301433	chr1:99301434-99301473	chr1:99301474-99301623	chr1:99301624-99301773	chr1:99301774-99301923	chr1:99301924-99302073	chr1:99302074-99302223	chr1:99302224-99302373	chr1:99302374-99302453	chr1:99302454-99302523	chr1:99302524-99302573	chr1:99302574-99302653	chr1:99302654-99302673	chr1:99302674-99302733	chr1:99302734-99302823	chr1:99302824-99302873	chr1:99302874-99302923	chr1:99302924-99302973	chr1:99302974-99303123	chr1:99303124-99303273	chr1:99303274-99303423	chr1:99303424-99303573	chr1:99303574-99303723	chr1:99303724-99303813	chr1:99303814-99303873	chr1:99303874-99304023	chr1:99304024-99304173	chr1:99304174-99304323	chr1:99304324-99304397	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.867295	0.23811	0.567598	0.983561	0.0718572	0.421528	0.0410181	0	0.0257694	0.74845	0.25126	0.301185	0.22497	0.415707	0.516767	0.28757	0.423341	0.906767	0.267678	0.63789	0.282998	0	0	0	0	0	0	0	0.122078	0.448273	0.87911	1.20432	0.691529	0.855402	1.15124	0.0722477	0.0446679	0.382292	0.354939	0.402946	1.01681	0.230397	0.545427	0.39726
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.785818	0.0260247	0.017041	0.50891	0.0664893	0.0255483	0.747117	0.320694	0	0	0	0	0	0.317284	0.183204	0	0	0.110597	0.746251	0.362098	0.154267	0	0	0	0	0	0	0	0	0	0	0	0.430418	0.135769	0.109172	0.323881	0	0	0	0	0	0	0.177235	0.566372
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.559204	0.472981	0.138873	0.701761	0.145224	0	0	0	0	0.0335763	0.776242	0.720816	0.314084	0.0290389	0.13612	0.122508	0.108896	0.0453733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0753375	1.17386	0.454812	0.13612	0.106197	0.635482	1.01679	0.718105	0.1979	0.414874	1.13173	0.458801
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000228.3.8bd2a4a9-ace6-4e3a-b0aa-9993e4990638.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.546429
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0.528947	0.928097	0.579022	0.627221	0.530727	0.67742	0.373141	0.644732	0.190376	0.45504	0.638167	2.51355	1.5755	0.00333973	0	0	0	0.705613	0.428978	0.348039	1.45418	1.14458	0.577225	0.122056	0	0.207116	0.497859	0.499874	0.320065	0	0	0	0.0343013	0.75587	0.612614	0.366778	0.373715	0.231839	0.367321	0.344232	0.183089	0.794044	1.08441	0.647157
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	1.62256	0.633377	0.0861998	0	0.348315	0.860271	0.52341	0.201564	0.374698	1.55998	0.319733	1.41742	0.311835	0.517276	0.394355	0.865741	0.538386	0.616333	0.559211	0	0	0	0	0	0	0	0	0	0	0.067188	0.549872	0.61099	0.215865	0.499159	0.109963	1.29929	0.751136	0.345195	0.256087	0.303957	0.0258289	0.321163	0.423032	0.367816
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003684.3.b5459224-ca8f-46dd-880a-e16781c88032.fc.signal	0	0	0	0	0	0	0	0	0	0.107597	0.293081	0.276102	0.0666261	0	0	0	0	0.641864	0.420479	0.382914	0.155129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778527	1.11697	0.168947	0	0	0	0.385965
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004635.3.13102329-ee3d-4773-b2d1-9ab40cd17100.fc.signal	0.847307	0.908151	0.540212	0.464883	0.464989	0.732566	0.650175	0.455088	0.377636	0.206958	0.0845994	0.16221	0.583846	0.958357	1.08954	0.90382	0.795909	0.78811	0.464967	0.350772	0.491705	0.260492	0.315323	0.168962	0.169644	0.0697898	0	0	0.027779	0.204414	0.570566	0.840741	1.14697	0.525985	0.225446	0.330753	0.108837	0.103441	0.373476	0.448371	0.194547	0.317996	0.123983	0.505747
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004900.1.b52b6048-f5e8-441d-8082-83c6ea7d797d.fc.signal	0.487051	0.58272	0.835926	0.462745	0.596088	0.345769	0.164019	0	0.509787	0.48537	0.301183	0.202316	0.509787	0.0086092	1.11001	0.531953	0.119689	0.390098	0	0	0.172884	0.336903	0	0	0	0	0	0	0	0.0398964	0.970817	2.14114	2.43971	0.482297	0.967618	0.715885	0.495747	0.507862	1.16365	0.992721	0.776736	0.500921	0	0.223214
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003686.3.867f20aa-cd84-4630-be8b-4d90cccd43d7.fc.signal	0	0	0	0	0.0678943	0.26914	0	0	0	0	0.141619	0.106453	0	0	0.136433	0.29644	0.129522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0989947	0.125595	0	0	0	0.18493	0.337632	0.21262	0.141882	0.16955	0.623762
