	chr9:133664266-133664415	chr9:133664416-133664565	chr9:133664566-133664715	chr9:133664716-133664865	chr9:133664866-133665015	chr9:133665016-133665165	chr9:133665166-133665315	chr9:133665316-133665465	chr9:133665466-133665615	chr9:133665616-133665765	chr9:133665766-133665915	chr9:133665916-133666065	chr9:133666066-133666215	chr9:133666216-133666365	chr9:133666366-133666515	chr9:133666516-133666665	chr9:133666666-133666815	chr9:133666816-133666965	chr9:133666966-133667115	chr9:133667116-133667215	chr9:133667216-133667265	chr9:133667266-133667415	chr9:133667416-133667565	chr9:133667566-133667715	chr9:133667716-133667865	chr9:133667866-133668015	chr9:133668016-133668165	chr9:133668166-133668315	chr9:133668316-133668375	chr9:133668376-133668465	chr9:133668466-133668555	chr9:133668556-133668585	chr9:133668586-133668615	chr9:133668616-133668695	chr9:133668696-133668765	chr9:133668766-133668825	chr9:133668826-133668915	chr9:133668916-133668965	chr9:133668966-133669065	chr9:133669066-133669095	chr9:133669096-133669215	chr9:133669216-133669268	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	1.60002	1.72473	1.51265	0.545635	0.541779	1.30815	1.14473	0.458697	0.506178	0.873113	0.779636	0.407983	0.308903	2.10392	1.85191	0.341615	1.17833	0.699794	0.486903	0	0	0	0.372375	0.781116	0.615347	0.507402	0.217423	0.48351	0.43948	0.146493	0	0	0	0	0	0	0	0	0	0	0	0.348267	0.671875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.71219	0.293023	0.399301	0	0	0	0.0259695	0.550131	0.0146944	0.0111308	0.489618	0.0927519	0	0.515561	0.0778916	0.439527	0.153929	0.458091	0.135402	0	0	0	0.673243	0.513724	0.270763	0.32269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.57235	0.10048	0	0	0	0	0	0	0	0	0	0	0	0.0154584	0.57969	0.0811566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.624606
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.30241	1.84066	1.84316	0.88271	1.53632	2.09119	0.806364	0.494906	1.11321	2.61143	2.11701	2.03129	3.10717	3.37302	1.54543	0.814062	0.621447	0.859073	0.589411	0.324352	0.198792	0.372602	1.06037	0.757786	1.9257	2.4039	0.697839	1.41429	0.684649	0.0458431	0	0	0	0	0	0	0	0	0	0	0.0578248	0.336204	0.55381
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0	0	0	0	0.533133	0.647674	0.122423	0	0	0.27249	0.379117	0	0.207475	0.374005	0	0	0	0	0	0.398862	0.50693	0.197017	0	0.402812	0.248795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.698324
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001893.4.1ce16d7a-b11b-4cc6-9954-df2d097852d0.fc.signal	1.14706	0.731792	1.88905	0.319073	1.03508	0	0	1.28479	0.544542	1.30521	0.0401153	0	0	0	0	0	0	0	0.467196	1.34768	0.754701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.544166
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003814.1.e3fd041d-f794-414d-802b-cfe9e9d53c6e.fc.signal	1.80997	1.73572	1.19303	1.71468	1.45678	0.765946	1.13965	1.49133	1.82389	2.70366	1.5103	1.41442	1.95282	2.04244	3.09004	1.10505	1.02094	1.14776	2.22482	1.92964	1.27329	1.24203	1.30543	0.66785	1.23913	1.74491	1.67958	0.236906	0	0	0	0	0	0	0	0	0.230337	0.503446	0.885834	0.49358	0.277639	0	0.676504
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000237.3.a5cd5780-31d9-4de0-9c6f-91eeeabb1306.fc.signal	0.704502	0.916589	0.803058	0.80624	1.19492	0.955036	0.495966	0.697465	0.747454	0.69201	0.877579	0.667197	0.270506	0.223435	0.620085	0.614185	0.200965	0.254619	0.375953	0.559606	0.540558	0.443291	0.314005	0.379082	0.314721	0.231348	0.291873	0.350806	0.270006	0.14182	0	0	0	0	0	0	0	0	0	0	0	0	0.655629
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000008.3.2e1ab747-5c43-4469-97d5-a2e674bc3ee6.fc.signal	3.33347	0.588251	0.556945	0.539051	0.175464	0	0	0.0544917	0.607165	0	0.0882084	0.695866	0.690966	0.206284	0.419169	0.0917899	1.08843	0.542121	0	0	0	0	0.137199	1.28194	0.568425	2.16581	0.40182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.658385
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003676.3.edac7fd7-5249-4224-ba52-76d331cfbbb5.fc.signal	0.567495	1.26093	1.2174	0.895716	0.418837	0.202078	1.45407	1.09588	0.734127	0.429207	0.260366	0.187312	0.250432	0.820688	0.466156	1.94362	0.717278	1.00346	2.18521	0.513218	0	0	0.0502598	0.627766	0.490837	0.409059	0.265756	0.203574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929577
