	chr8:1667243-1667342	chr8:1667343-1667392	chr8:1667393-1667482	chr8:1667483-1667542	chr8:1667543-1667692	chr8:1667693-1667792	chr8:1667793-1667842	chr8:1667843-1667992	chr8:1667993-1668142	chr8:1668143-1668192	chr8:1668193-1668292	chr8:1668293-1668372	chr8:1668373-1668442	chr8:1668443-1668592	chr8:1668593-1668742	chr8:1668743-1668852	chr8:1668853-1668892	chr8:1668893-1669042	chr8:1669043-1669142	chr8:1669143-1669192	chr8:1669193-1669222	chr8:1669223-1669342	chr8:1669343-1669492	chr8:1669493-1669642	chr8:1669643-1669792	chr8:1669793-1669942	chr8:1669943-1670022	chr8:1670023-1670092	chr8:1670093-1670162	chr8:1670163-1670242	chr8:1670243-1670392	chr8:1670393-1670542	chr8:1670543-1670632	chr8:1670633-1670692	chr8:1670693-1670792	chr8:1670793-1670842	chr8:1670843-1670992	chr8:1670993-1671142	chr8:1671143-1671242	chr8:1671243-1671292	chr8:1671293-1671392	chr8:1671393-1671442	chr8:1671443-1671592	chr8:1671593-1671742	chr8:1671743-1671892	chr8:1671893-1671952	chr8:1671953-1672042	chr8:1672043-1672082	chr8:1672083-1672192	chr8:1672193-1672284	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0	0	0	0.020868	0.326374	0.364826	0.593862	0.199646	0	0	0	0.0452189	0.548415	0.313425	0.319303	0.212996	0	0	0	0	0	0	0	0	0	0	0.0243486	0.516633	0.55636	0.163454	0.491472	0.408045	0.627515	1.27512	1.2909	0.840193	1.12955	0.0908811	0.0695495	0.55636	0.542456	0.150223	0.997953	0.456898	0.186375	0.276332	0.39988	0.740747	0.904941	0.136075	0.176923
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.14fdd58f-89fa-40e4-a658-f79765679f58.fc.signal	0	0	0	0.222168	0.489808	0.33472	0.394589	0.0828509	0	0	0	0.206897	0.564159	0.198726	0	0.760314	1.00353	0.367222	0	0	0	0	0.46752	0.189326	0.388656	0.734082	0.333253	0	0.364301	0.57957	0.482087	2.26018	1.66129	0.608541	0.359333	0.73457	1.49663	1.48355	0.967781	0.57957	0.944605	1.15899	0.463626	0.59501	0.691533	0	0.321983	0.57957	0.421505	0	0.488372
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001852.4.e1095ee8-c1a0-47db-b726-788ab3dbb842.fc.signal	0.359833	0.182806	0.306944	0.279453	0.110331	0.163094	0.22684	0.24598	0.21983	0.2314	0.167765	0.137394	0.2314	0.0956453	0.107215	0.156721	0.1157	0.282308	0.330902	0.134212	0.1157	0.1157	0.0617067	0.180492	0.085948	0.403583	0.445451	0.26611	0.125617	0.114254	0.246056	0.392849	0.25523	0.116133	0.217641	0.355086	0.246124	0	0.116857	0.2314	0.275366	0.293878	0.512943	0.673384	0.35559	0.119557	0.185121	0.62479	0.654241	0.514367	0.743017
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004641.3.2af65a74-ad9a-47d1-bb59-7449ff40f2d9.fc.signal	0.250386	0	0.0523464	0.07249	0.27536	0.421594	0.720098	1.0292	0.691024	0.591954	0.723071	1.10249	0.816436	0.543689	0.328457	0.582587	0.497698	0.332654	0.384922	0.189749	0.176935	0.17077	0.473777	0.453703	0.00555787	0.426564	0.666913	0.801462	0.561873	0.757782	0.453626	0.169324	0.358485	0.452429	0.286182	0.274435	0.269732	0.440573	0.489913	0.406016	0.323318	0.308818	0.3283	0.942628	0.80839	0.72499	0.667927	0.459249	0.492766	0.402188	0.574468
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.fc1674f3-b9c6-4107-8983-478acef979ab.fc.signal	0.533157	0.205564	0.387279	0.663066	0.472923	0.554692	0.833736	0.362412	0.736519	0.87681	0.311307	0.25506	0.4384	0.844625	0.830037	0.821012	0.87681	0.748207	1.01924	0.661367	0.675583	0.113455	0.415018	1.2099	0.260119	0.00292267	0.805568	0.87681	0.782431	0.035557	0	0	0	0.18526	0.4384	0.4384	0.482241	1.01715	0.403588	0.0865084	0	0.35072	0.41079	0.2735	0.806664	0.385941	0.378295	0.653359	1.95272	1.49617	0.504259
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002086.1.61135aae-0e5d-4a79-9f3a-0fb631125d88.fc.signal	1.12687	0.30165	0	0	0.0044232	0.639652	0.5954	0.0792369	0	0	0	0.596574	0.661845	0.145655	0.474609	0.468878	0.563838	0.52785	0.887657	0.465795	0.31259	0.69551	0.942256	0.313202	2.60681	0.573426	0	0	0	0.529918	0.579962	1.43935	0.628703	0.707025	1.42306	1.74889	1.73047	0.326841	0.544885	0.268827	0	0	0.0396933	0.416546	0.765284	1.0617	0.717404	0.64565	0.627382	0.147301	0.436768
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.3ac72c63-5790-4eab-ab70-1f2408156b61.fc.signal	1.79102	0.972954	0.0275166	0.18671	0.746967	0.571738	0.05642	0	0	0	0	0.558286	0.530226	0.066822	0	0	0	0	0	0.229944	0.37215	1.94724	0.830453	0	0.0326757	0.467137	0.02369	0	0.245203	0.425376	0.134427	0	0	0	0	1.19688	1.76169	0.49168	0	0	0.0919766	0.44219	1.00793	1.03756	0.414797	1.53183	1.45556	0.517416	0.0160805	0.149963	0.284507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003683.3.9d98dd69-4d9c-4c81-bc8f-9c0f23e13a7b.fc.signal	0.213826	0.202737	0.212522	0.0601218	0.349155	0.125685	0	0	0	0	0	0	0	0.356948	0.664353	0	0	0	0	0	0	0.207277	1.0349	0.192628	0.221362	0.251572	0.0362619	0.262046	0.626854	0.558218	0.309073	1.0672	0.767722	0.487433	0.307319	0.651023	0.622079	0.19384	0.321734	0.534171	0.463596	0.426486	0.159686	0.0354461	0.307925	0.344905	0.213966	0.34063	0.604826	0.96873	0.189655
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.483aa0c8-5543-4e25-b16f-2f222c5a2d5b.fc.signal	0	0.409926	1.13078	0.708475	0.797922	0.589193	0.548239	0.495381	0.0581977	0	0	0	0	0	0.04657	1.22579	1.04792	0.367936	1.38272	0.560255	0.690785	1.06495	0.457295	0.221138	0	0.069515	0.391751	0.182548	0.270204	0.145649	0.0236171	0.834615	0.785926	0.432153	0.845617	0.882127	0.426994	1.48342	1.83636	1.26893	0.491916	0.463094	0.60643	0.314463	1.02056	0.903788	0.331779	0.483954	0.458107	0.521577	0.212237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002058.1.0fc0f90b-b2ac-4c17-952e-d39560131bf4.fc.signal	0.607169	0.628047	0.667514	0.782486	0.666956	0.213944	0.0705244	0.0340543	0.411537	0.624968	0.362462	0.247348	0.391248	0.251605	0.0368128	0.227138	0.153233	0	0	0.225526	0.69039	0.663716	0.291363	0.286736	0.25392	0.0944823	0.257126	0.469412	0.282043	0.154524	0.277801	0.787807	0.655967	0	0.216339	0.851561	1.08936	0.762436	1.2065	1.46101	0.890665	0.349805	0.810132	0.421901	1.06575	0.995492	0.683452	0.568594	0.478818	0.422781	0.380349
