	chr10:31851566-31851715	chr10:31851716-31851865	chr10:31851866-31852015	chr10:31852016-31852165	chr10:31852166-31852315	chr10:31852316-31852465	chr10:31852466-31852615	chr10:31852616-31852765	chr10:31852766-31852915	chr10:31852916-31853065	chr10:31853066-31853215	chr10:31853216-31853365	chr10:31853366-31853515	chr10:31853516-31853665	chr10:31853666-31853815	chr10:31853816-31853965	chr10:31853966-31854115	chr10:31854116-31854265	chr10:31854266-31854415	chr10:31854416-31854565	chr10:31854566-31854715	chr10:31854716-31854865	chr10:31854866-31855015	chr10:31855016-31855165	chr10:31855166-31855315	chr10:31855316-31855465	chr10:31855466-31855615	chr10:31855616-31855765	chr10:31855766-31855915	chr10:31855916-31856065	chr10:31856066-31856215	chr10:31856216-31856365	chr10:31856366-31856515	chr10:31856516-31856665	chr10:31856666-31856706	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001019.4.8179c079-b296-4030-830a-f12b3bc5acd1.fc.signal	0.532973	0.170255	0.745982	0.402395	0.900309	0.286866	0.451546	0.325706	0.397879	0.257233	0.318792	0.507975	1.16494	2.13227	0.223956	0.571846	1.15861	1.10677	0.503422	1.4899	1.58613	1.85636	0.855058	0.161002	0.527422	0.825513	0.262792	0	0.760113	0.514229	0.349592	0.545975	1.21601	0.544146	0.853251	0.518717
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001548.1.3dc7fe6c-3810-4c39-b1cb-839043a609f3.fc.signal	0.0901376	0.423855	1.02445	0.523948	0.497899	0.489251	0.251431	0.8756	0	0.0611648	0.328358	0.759741	0.1356	0	0.456678	0.544586	0.855082	0.570571	0.448429	0.691912	1.08627	0.837087	0.49182	0.124994	0.539717	0	0	0.355454	0.932895	0.526411	0.440514	0.961892	0.852251	0.588436	0.589854	0.66494
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004888.1.fd25c27d-77c4-4595-b48c-e5f0d2d321a9.fc.signal	0.258422	0.457515	0.650414	0.570824	0.31658	0.530775	0.360374	0.779385	0.47465	0.221432	0.495961	0.130023	0.00518127	0.326344	0.623484	0.701172	0.558812	1.34885	0.820576	0.79032	0.976765	0.768056	1.32627	0.508221	1.65362	0.340962	0.471568	0.281998	0.219823	1.10551	0.333693	1.53452	1.02705	1.38323	0.874679	0.723317
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003690.3.bb55a212-99c2-4448-84cc-6786b9df2691.fc.signal	0.818112	0.224148	0.539779	1.95903	0.100032	0.166914	0.89028	0.129845	0	0.0332291	0.777768	0.395863	0	0.651469	0.348826	0.295653	0.228479	0.993554	0.0799577	1.05713	0.133426	0	0	0.183592	1.10694	0.694206	0.35431	0	0.0222616	0.73283	0.417835	0.0434783	0.757425	0.538443	0.419898	0.788917
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001557.1.172430a8-ba30-44b6-abad-138674660deb.fc.signal	0	0	0	0.593608	1.18896	0	0	0	0	0	0	0.0997728	0.967359	0.213858	0	0	0	0	0	0.613516	0.477859	0	0	0	1.00379	0.371865	0.953085	1.04413	1.89886	0.743204	0	0	0	0	0	0.823322
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000987.6.289adc7a-9e11-437f-b6f6-57bfdeddcb3b.fc.signal	0.151734	0.634719	0.972844	0.389157	0	0	0	0	0.0300453	0.567998	0.506446	0.170106	0.624316	0.6995	0.3698	0.212587	0.386215	0.0557656	0	0	0.0923904	0.231036	0	0	0	0	0	0.724268	0.978831	0.843098	0.67021	0.547079	0.179222	0	0	0.634015
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003808.1.706821fd-c657-4ad5-a143-e15e65116e15.fc.signal	1.03341	0.716514	1.14663	0.922822	1.85066	1.27297	0.301364	1.3355	1.19792	0.468667	1.28943	1.25102	0.799531	0.399445	0.599638	0.426161	0.91176	0.613051	1.06851	1.82859	1.07065	0.749611	0.275459	0.572803	0.649527	1.17805	0.931064	1.08478	0.86717	0.751288	0.376116	0.787709	0.991505	0.706913	1.1573	0.666154
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.e11d45c2-991c-46e2-8d13-bb1e23aff42f.fc.signal	0	0	0	0.693458	2.04368	0.246199	0.194837	0.336158	0	0	0	0.416247	0.674037	0.132468	0.102402	0.201466	0.366044	0.513982	1.12831	0.970624	0.854267	0.293848	0.492371	0	0	0.195504	0.303872	0	0.675801	0.488819	0	0.365133	0.393519	0	0	0.646822
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.308bde30-3fb4-4075-a143-aa64ea58703c.fc.signal	0.266022	0.0499107	0.325866	0.279595	0.0235941	0.167	0.374936	0.0530143	0.114861	0.126488	0.456575	0.32344	0.342678	0.681784	0.156111	0.0335763	0.43847	0.940538	0.29685	1.054	0.535652	0.42397	0.889695	0.0526469	0.577388	0.288657	0.0245016	0	0.221537	0.0871531	0.0145195	1.04582	0.791637	0.125275	0.44171	0.524834
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000868.3.f6951f12-890b-447a-bf19-25234f29276d.fc.signal	0.45123	0.737387	1.14701	1.21104	1.00761	0.991388	0.590817	1.21556	0.75242	1.08176	0.923066	0.896814	0.088733	0.107462	0.538806	0.54989	1.68096	1.76831	0.5815	0.39308	0.701867	0.534732	1.61299	0.217958	0.198889	0.387376	0.232187	0.520927	0.653346	0.454479	1.04212	1.09254	0.834349	0.785113	0.802527	0.521289
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001375.1.70472333-cf93-4f75-9795-a7c0cfbd4b2b.fc.signal	0.091853	0.392456	0.209982	1.0048	0.149166	0	0.0244693	0.386244	0.134964	0.516512	1.69619	2.23513	0.665678	0.487665	0.124477	0.457947	0.925935	0.939913	1.80673	2.80468	0.769517	0.474703	0.910296	0.116776	0.767688	0.457268	0.407009	0.356547	2.04257	0.84314	0.275359	0.358209	0.365464	0.444443	0.433663	0.732394
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000704.1.66176b59-ae1e-4572-9837-187809968b90.fc.signal	0.630548	0.120836	0.832131	1.12585	0.383783	0	0	0.131379	1.89859	1.02455	0.231111	0.76599	0.298497	0.338651	0.907465	0.223328	0.564985	0.591535	0.292881	1.6667	0.641755	0	0	0	0.808013	0.399669	0.156861	0.280183	0	0	0	0	0.288172	0.832862	0.550182	0.588972
