	chr9:122167145-122167294	chr9:122167295-122167384	chr9:122167385-122167444	chr9:122167445-122167594	chr9:122167595-122167744	chr9:122167745-122167894	chr9:122167895-122168044	chr9:122168045-122168194	chr9:122168195-122168344	chr9:122168345-122168494	chr9:122168495-122168644	chr9:122168645-122168794	chr9:122168795-122168944	chr9:122168945-122169094	chr9:122169095-122169244	chr9:122169245-122169394	chr9:122169395-122169544	chr9:122169545-122169634	chr9:122169635-122169694	chr9:122169695-122169844	chr9:122169845-122169994	chr9:122169995-122170144	chr9:122170145-122170294	chr9:122170295-122170344	chr9:122170345-122170444	chr9:122170445-122170594	chr9:122170595-122170744	chr9:122170745-122170844	chr9:122170845-122170894	chr9:122170895-122171004	chr9:122171005-122171044	chr9:122171045-122171194	chr9:122171195-122171344	chr9:122171345-122171494	chr9:122171495-122171554	chr9:122171555-122171644	chr9:122171645-122171794	chr9:122171795-122171834	chr9:122171835-122171944	chr9:122171945-122172004	chr9:122172005-122172094	chr9:122172095-122172244	chr9:122172245-122172256	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.aa01f6f8-93b0-4f0b-8191-bde89d903aa4.fc.signal	1.21739	0.914461	2.43058	2.52282	2.09877	2.38589	2.50657	1.68666	1.10541	0.894205	0.784666	0.339078	1.0137	0.960396	0.592208	0.817514	0.560238	0.977921	1.37445	0.891506	1.70225	0.922518	0.802275	0.401735	0.812161	1.09986	1.57555	0.557618	0.133149	0.150316	0	0.740469	1.78187	1.97419	1.19767	1.15731	0.595844	0.384389	0.386806	0.652695	1.07991	1.17915	1.63823	0.38273
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	0.228094	0.657568	1.15865	0.658682	1.06439	1.95221	1.52945	0.0665303	0	1.03237	1.14223	0	0	0	0	0	0	0	0	0.976071	1.31925	0	0.241359	0.84195	1.65865	1.83546	1.465	0.185229	0	0	0	0	0	0.251396	1.86262	3.58725	3.21063	2.37209	1.39271	1.52747	0.695617	0	0	0.405507
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	0.3658	1.63578	1.52493	0.767828	0.655251	0.850642	1.38362	0.574416	0.352575	1.1981	0.813527	1.05515	1.23401	0.905874	0.55568	1.56547	0.965515	0.760721	0.630139	0.370814	0.569187	0.226173	0.604473	0.970672	0.706339	1.12707	0.942353	1.8534	0.864176	0.389703	0.696558	1.04132	1.20278	1.32031	3.14088	2.69474	1.64361	1.37493	1.33444	1.05248	1.13536	1.51433	0.47836	0.715909
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001014.4.ad84b327-82d2-4d7b-a9a1-d84b21c47553.fc.signal	0.999138	0.537523	0.785516	0.966184	0.739595	1.45174	2.16136	1.16776	1.17807	1.13365	0.877991	1.11269	0.870902	1.10763	0.869552	1.21142	1.00397	1.3718	1.65307	1.21909	1.17843	1.45814	0.894859	1.02096	0.995179	1.56985	1.8663	1.37212	0.725852	0.0630301	0.357593	0.937927	1.689	1.64514	1.8471	2.38656	2.00072	1.61594	0.997784	0.3983	1.541	0.919968	1.1111	0.659292
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.9179d535-0d76-4d04-b0d0-678ad03f04b2.fc.signal	0.943728	0.68216	1.14167	1.20111	0.93529	2.54565	2.27029	0.555811	0.169144	0.466449	0.299224	0.0827267	0.473353	1.81563	1.67521	1.4168	1.61215	0.371235	0.664127	0.986493	0.875993	1.06049	1.19132	1.4901	1.63699	1.62372	1.00949	0.296927	0	0.182095	0.694772	1.39673	2.02239	1.13381	1.25026	1.36786	1.10007	0.429694	0.429332	0.696157	0.875438	0.77755	0.501028	0.473282
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00004643.3.e9f8c757-0331-4bff-b052-7d8c2cd4c7aa.fc.signal	1.25285	0.593543	0.802637	1.29194	1.68204	1.44083	0.871232	0.541156	1.17616	0.999506	0.144354	0.436313	0.105179	0.30171	0.81445	1.3172	1.68334	1.50265	0.843556	0.670846	0.485481	0.78045	0.310523	0.177727	0.586617	0.886969	0.581638	1.16742	1.14025	1.05922	1.10011	1.01416	0.589362	0.390061	0.628959	0.619738	0.844908	0.276521	0.193697	0.410535	0.50129	1.02957	1.43002	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.eb6b8116-681b-4ebd-8a3a-5c8e0b38a2a8.fc.signal	0.921158	0.958326	1.11854	0.900687	0.368178	0.202526	0.401773	0.69224	0.198209	0.345184	0.286216	0	0.900694	1.15121	0.631391	0.467823	0.574168	0.919376	0.84148	0.364596	0.510449	1.37468	0.890356	0.436056	0.402098	0.642495	2.27169	2.85931	1.66361	0.558092	0.620945	0.974929	1.62517	0.584845	0.497831	1.33568	0.991939	1.03489	1.48171	1.94259	1.59342	1.10832	0.84855	0.603774
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.43d53f41-e4a2-4421-b86f-0d0bce6de71d.fc.signal	0.908473	0.728264	0.803213	0.918183	0.805464	0.872982	0.444527	0.820832	0.193245	0.276802	0.408433	0.887407	0.702899	1.28707	1.20383	1.14949	0.594271	0.574033	0.892124	0.940506	0.832345	0.927708	0.711527	0.715322	0.937229	1.37264	1.4316	0.593111	0.205071	0.0471345	0.26703	0.526181	0.750876	0.791374	0.878943	2.01305	2.01603	1.22153	1.0309	0.978519	1.45219	1.92489	2.01067	0.620438
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.41844a41-a9d8-47e3-9699-651cca6131a4.fc.signal	2.17011	1.1391	1.08246	1.48133	2.47483	3.23597	2.18879	1.23107	1.0403	0.795601	1.99575	2.17854	2.99767	2.64907	1.66359	0.755145	1.41652	0.944434	1.56694	1.29792	1.06034	0.529389	0.767161	0.813566	2.15436	1.63688	2.4661	2.72386	1.43284	0.515434	0.316	0.863249	1.91492	0.831299	0.537487	2.08377	1.96778	2.02145	1.12901	0.716762	1.13346	1.04977	1.17923	0
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.db376d3b-ae63-4e49-80d2-dc3c632957a3.fc.signal	1.10321	0.993334	0.564396	1.55697	1.94667	1.32432	2.02975	2.60091	1.11921	1.05044	1.14233	1.41026	1.52068	1.31399	2.46654	2.1162	1.66336	1.12002	0.925607	0.682415	1.33331	1.64741	1.38864	0.899837	0.670263	1.3188	1.5287	1.54089	1.40644	1.08238	0.418166	0.319099	0.69286	1.01593	2.19921	2.0294	1.24843	1.43386	1.21571	1.0013	1.71015	2.99337	3.41346	0.635359
