	chr10:84255393-84255542	chr10:84255543-84255622	chr10:84255623-84255692	chr10:84255693-84255722	chr10:84255723-84255772	chr10:84255773-84255842	chr10:84255843-84255992	chr10:84255993-84256032	chr10:84256033-84256102	chr10:84256103-84256142	chr10:84256143-84256252	chr10:84256253-84256292	chr10:84256293-84256372	chr10:84256373-84256442	chr10:84256443-84256592	chr10:84256593-84256682	chr10:84256683-84256742	chr10:84256743-84256802	chr10:84256803-84256892	chr10:84256893-84256932	chr10:84256933-84256982	chr10:84256983-84257042	chr10:84257043-84257112	chr10:84257113-84257192	chr10:84257193-84257342	chr10:84257343-84257442	chr10:84257443-84257492	chr10:84257493-84257642	chr10:84257643-84257792	chr10:84257793-84257942	chr10:84257943-84258092	chr10:84258093-84258242	chr10:84258243-84258392	chr10:84258393-84258482	chr10:84258483-84258542	chr10:84258543-84258692	chr10:84258693-84258762	chr10:84258763-84258842	chr10:84258843-84258992	chr10:84258993-84259142	chr10:84259143-84259292	chr10:84259293-84259442	chr10:84259443-84259482	chr10:84259483-84259592	chr10:84259593-84259742	chr10:84259743-84259832	chr10:84259833-84259892	chr10:84259893-84260042	chr10:84260043-84260192	chr10:84260193-84260292	chr10:84260293-84260342	chr10:84260343-84260492	chr10:84260493-84260506	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	1.50684	0.759896	0.498959	0.248427	0.219185	0.350722	0.44425	0.226496	0.0667794	0	0.110257	0.29229	0.361678	0.505209	0.583571	0.727417	0.597919	0.499291	0.446493	0.431066	0.225033	0.187519	0.415415	0.495026	0.396514	0.59331	0.663492	1.04117	0.407224	0.463051	1.73866	1.22902	0.842653	0.927851	0.965813	1.1464	2.10442	2.47543	1.81203	1.46141	1.66023	1.29675	1.09973	0.714731	0.561143	0.740415	1.38835	1.65922	0.567984	0.483695	0.361609	0.387551	0.503246	0.521368
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001002.4.9865a077-d036-4354-ba4b-3498c98e7bc1.fc.signal	0.367868	0.0730979	0	0	0.0118896	0.125082	0.0886402	0	0.062379	0.241905	0.47339	0.401665	0.313414	0.265241	0.130687	0.146093	0.0859748	0.10181	0.127586	0.141215	0.130894	0.104528	0.128457	0.131832	0.0696195	0.151049	0.221423	0.170248	0.0379785	0.284386	0.441063	0.239102	0.27747	0.36882	0.178252	0.183188	0.297014	0.415517	0.272183	0.291319	0.0660645	0	0	0	0	0	0.009212	0.101501	0.410624	0.94673	0.890041	0.370538	0.19783	0.516784
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000240.3.9179d535-0d76-4d04-b0d0-678ad03f04b2.fc.signal	0	0	0	0	0	0.466981	0.574858	0.225101	0.0780387	0.16725	0.383003	0.436095	0.296148	0.331775	0.374574	0.63091	0.773051	0.825012	0.792026	0.823466	0.610257	0.604443	0.687837	0.912384	1.1363	1.1272	0.718979	0.184183	0.126464	0.313209	0.289139	0.215471	0.176328	0.102929	0.370768	0.57702	1.13612	1.29945	0.850396	0.82052	0.447162	0.0563788	0	0	0	0	0	0	0.253643	0.661617	0.663757	0.370667	0.328953	0.430126
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003678.3.8266b146-518b-415f-b011-597d6aa5064e.fc.signal	0.716014	1.07514	0.698003	0.312214	0.109235	0.15605	0.417285	0.563552	0.136624	0.608237	1.10291	0.384666	0.387941	0.995036	0.613961	0.688752	0.312016	0.335533	1.0968	1.15672	0.520542	0.219612	0.2174	0.742147	0.682074	0.941382	0.819766	0.440164	0.318698	0.105767	0.932872	0.852921	0.723075	1.0252	0.937036	0.456793	0.691355	1.57666	0.927267	1.3009	1.06568	2.25364	2.28693	1.39643	1.37479	1.10141	1.36336	1.05005	0.279999	0.590062	0.664966	0.427232	0.587226	0.544707
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003677.3.c8f6239b-cb62-4435-8e19-0a148079f3ba.fc.signal	0.600606	0.711499	0.351655	0.325883	0	0	0.277001	0.226958	0.137202	0.34916	0.247607	0.17467	0.17467	0.31427	0.218809	0.370558	0.873	0.791483	1.01073	1.21779	0.827538	0.3667	0.17467	0.305537	0.414374	0.843288	0.775175	0.494703	0.430471	0.600175	0.864176	0.494721	0.0884785	0.00194078	0.564545	1.06617	0.710883	0.117893	0	0.166465	1.05686	1.73661	0.982055	0.342862	0.176959	0.514056	0.864266	0.572691	1.1721	0.989934	0.47491	0.180415	0.422891	0.337981
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003675.3.c89e7674-ad0a-4af9-b8e6-347f54ee25d4.fc.signal	0.92505	0.643795	0.369876	0.11733	0.0093864	0.0152409	0.295411	0.35472	0.149531	0.294924	0.492205	0.69222	0.418904	0.476089	0.854608	0.424893	0.127838	0.0661537	0.242842	0.489221	0.85675	0.938929	1.10743	0.801971	0.418178	0.180325	0.31139	0.393717	0.311581	0.469763	0.319888	0.580595	0.813826	0.490349	0.701143	0.743291	0.690946	0.967423	1.01222	0.952088	0.849278	1.29252	1.21701	0.722692	0.572624	0.410715	0.752288	1.08522	0.831865	0.533196	0.613226	1.14828	1.15086	0.435927
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003679.3.5e5b25af-d97d-461f-8d8a-fbde27405ef2.fc.signal	0.409338	0.56214	0.125519	0	0	0	0	0.106793	0.125258	0.173397	0.127436	0.0822195	0.291538	0.470967	0.356098	0.796704	1.03192	0.676828	0.658157	0.909721	0.815495	0.416713	0.252382	0.272477	0.626357	1.06891	0.496277	0.493228	0.409573	0.829441	0.519881	0.804573	0.6019	0.467716	0.171278	0.189851	0.501985	1.16884	1.36897	1.64844	2.29886	2.41071	1.7253	1.27224	1.53263	1.00392	1.11421	0.911931	0.557198	0.288132	0.492898	0.616979	0.872604	0.444138
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000243.3.c65b12e4-a68a-4f3c-aa42-e82ee56c7feb.fc.signal	0.421173	0.044978	0.0349079	0	0	0	0.0408855	0.148348	0.216935	0.27757	0.294087	0.261311	0.240882	0.278437	0.39765	0.43216	0.312762	0.187483	0.137689	0.148344	0.201617	0.370345	0.457394	0.4316	0.31206	0.216654	0.228254	0.286491	0.623711	1.09612	1.10934	0.7849	1.20776	1.46383	1.12325	0.781783	0.63931	0.681151	0.464306	0.109586	0	0	0	0	0	0	0	0.0411273	0.300937	1.1759	1.47798	1.41873	1.0928	0.526992
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000238.3.86299bdf-bbf6-4373-ba38-f36088dd35b0.fc.signal	0.446582	0.199627	0.0526113	0	0.0302	0.068201	0.0885695	0.086662	0.0535546	0.0537178	0.0546182	0.054854	0.050989	0.0189026	0.0421067	0.210516	0.215937	0.146572	0.0803937	0.045742	0.0571256	0.0487402	0.0512253	0.182097	0.299559	0.199699	0.200123	0.404949	0.377688	0.387234	0.323992	0.13474	0.366795	0.66533	0.705789	0.383986	0.360101	0.468377	0.704706	0.469103	0.310506	0.0617925	0	0	0	0.0735074	0.0878752	0.11288	0.278812	0.453832	0.24201	0.180105	0.07419	0.68254
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003682.3.7f811740-bea6-414e-8ffe-06e6eae70d47.fc.signal	0.315112	0.388921	0.22921	0.0144547	0	0	0	0	0	0	0.0137976	0.233082	0.329295	0.498654	0.43364	0.284275	0.213206	0.215013	0.263798	0.21682	0.288371	0.247536	0.32523	0.364529	0.260184	0.293791	0.21682	0.075887	0.219711	0.426551	0.397503	0.107687	0.343298	0.462549	0.281866	0.184508	0.1812	0.141323	0.0464689	0.107303	0.359075	1.7205	2.02973	1.2515	0.643145	0.967129	1.37669	0.851264	0.0636005	0.12359	0.142379	0.175247	0.139287	0.46729
