	chr1:39080863-39080942	chr1:39080943-39081012	chr1:39081013-39081082	chr1:39081083-39081162	chr1:39081163-39081232	chr1:39081233-39081262	chr1:39081263-39081312	chr1:39081313-39081362	chr1:39081363-39081422	chr1:39081423-39081462	chr1:39081463-39081612	chr1:39081613-39081712	chr1:39081713-39081762	chr1:39081763-39081912	chr1:39081913-39082062	chr1:39082063-39082162	chr1:39082163-39082212	chr1:39082213-39082292	chr1:39082293-39082362	chr1:39082363-39082512	chr1:39082513-39082662	chr1:39082663-39082812	chr1:39082813-39082962	chr1:39082963-39083112	chr1:39083113-39083262	chr1:39083263-39083352	chr1:39083353-39083412	chr1:39083413-39083492	chr1:39083493-39083562	chr1:39083563-39083642	chr1:39083643-39083712	chr1:39083713-39083862	chr1:39083863-39083922	chr1:39083923-39084012	chr1:39084013-39084082	chr1:39084083-39084162	chr1:39084163-39084312	chr1:39084313-39084462	chr1:39084463-39084552	chr1:39084553-39084612	chr1:39084613-39084722	chr1:39084723-39084762	chr1:39084763-39084862	chr1:39084863-39084912	chr1:39084913-39085002	chr1:39085003-39085062	chr1:39085063-39085212	chr1:39085213-39085362	chr1:39085363-39085512	chr1:39085513-39085592	chr1:39085593-39085662	chr1:39085663-39085752	chr1:39085753-39085812	chr1:39085813-39085917	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003680.3.ef220820-5419-4b81-b030-ce292c6089b7.fc.signal	0	0	0	0	0	0	0.113942	0.157772	0.43837	0.43837	0.265951	0.216261	0.318584	0.374095	0.0905913	0.0116864	0.3478	0.549855	0.693134	1.10483	0.689772	0.515612	0.254213	0.181191	0.41792	0.704725	1.10095	0.898771	0.481787	0.150422	0.309541	0.488388	0.243553	0.0470702	0	0	0.0155819	0.18312	0.201315	0.14608	0.151397	0.14608	0.245492	0.43837	0.490346	0.633273	0.936256	0.773559	0.376063	0.0675685	0	0.266284	0.58458	0.527503	0.5875
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000221.3.c3b55191-0fbe-42ec-a1e0-0d7c8c410fde.fc.signal	0.874666	0.864736	1.05235	0.773822	0.577452	0.087528	0.0102848	0.268335	0.829735	1.64743	3.08971	3.05969	2.47582	2.38341	3.17053	1.58208	0.967277	1.14652	1.01206	0.550489	0.350849	0.517588	1.09829	1.51706	0.53944	0	0	0	0	0	0	0	0	0	0.101311	0.452051	0.640177	0.703462	0.7018	0.440089	0.0209982	0	0	0.0922752	0.544671	0.578862	0.280612	0.306047	0.500468	0.163168	0	0	0	0	0.466667
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002076.1.d82f15eb-8d9c-43cf-9741-0ee88b2ded27.fc.signal	0.5734	0.611571	0.79516	0.765348	0.022724	0	0	0	0.0530227	0.457294	0.678562	0	0.357903	0.577865	0.124603	0	0.341996	0.319903	0.233511	0.0675835	0	0.134503	0.350795	0.694461	0.61497	0.857033	0.99399	0.887706	0.977253	0.964724	1.60745	1.52411	1.32528	0.521334	0.709984	0.884633	0.599076	2.17711	0.934657	0.458002	0.0614581	0	0	0	0	0.225298	0.732755	0.447856	0.633514	0.0198835	0.171186	0.628996	0.394656	0.288953	0.367347
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001997.1.9ddbde16-a8c7-4357-85a1-25b734b0a68e.fc.signal	0.467701	0.007202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258353	1.26734	1.2533	0.268669	0.205931	0.498358	0.689525	0.385145	0.277267	0.474011	0.395104	0.721781	0.59137	0.588434	0.75485	0.775118	0.450565	0.641483	0.816704	0.87368	1.02915	0.643028	0.289579	0.399951	0.391008	0.296346	0.48925	0.809132	1.01894	1.14531	1.27359	0.722715	0.247517	0.242777	0.249085	0.222853	0.336741	0.544444
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002005.1.3f273eb1-d109-4260-952a-5ac2e044448b.fc.signal	0.509623	0.797746	1.27847	1.93389	1.58078	0.867205	0.0346918	0	0	0.325965	0.948349	0.15292	0.158733	0.29856	0.787884	1.13265	1.42571	0.870127	0.361121	0.873075	0.860873	1.10649	1.05753	1.05032	0.855839	0.985197	0.875252	0.409813	0.356417	0.205235	0	0	0	0.0279164	0.130177	0.279741	0.225448	0.23081	0.563531	0.362304	0.0899689	0.290377	0.274117	0.477493	0.679367	0.642133	0.494006	0.296606	0.448568	0.423461	0.271689	0.353751	0.18107	0.206031	0.4329
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001973.1.eb6b8116-681b-4ebd-8a3a-5c8e0b38a2a8.fc.signal	0	0	0	0	0	0	0	0	0	0	0	0	0.330869	0.47267	0.0630227	0.184341	0.47267	0.47267	0.240709	0.657526	0.616511	0.691382	0.543604	0.173613	0.643554	0.725276	0.605939	0.502225	0.176986	0.0045465	0.188686	0.51678	0.346197	0.124015	0.0147851	0.287876	0.918063	0.682207	0.280993	0.353885	0.488077	0.319407	0.164993	0	0	0.0377187	0.473774	0.420177	0.315091	0.341469	0	0	0	0.175815	0.520231
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002063.1.43d53f41-e4a2-4421-b86f-0d0bce6de71d.fc.signal	0.432265	0.20105	0.382004	0.344305	0.20105	0.0134033	0	0	0	0.0954987	0.20105	0.092483	0	0	0	0.148777	0.20105	0.276775	0.350021	0.754224	0.730497	0.762667	0.793351	0.202506	0.609863	0.612791	0.40211	0.376978	0.328522	0.146766	0.0736147	0.675296	1.02874	0.759538	0.18423	0.261982	0.507441	0.625947	0.60316	0.264718	0.04021	0	0.269411	0.40211	0.22824	0.116459	0.188595	0.439766	0.523916	0.367854	0.186689	0.270304	0.770712	1.08191	0.377551
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00002067.1.41844a41-a9d8-47e3-9699-651cca6131a4.fc.signal	0.251717	0.175517	0.256196	0.79065	0.785078	0.370274	0	0	0	0	0	0	0	0	0.0255353	0.38303	0.582299	0.38303	0.240762	0.347291	0.883009	0.839856	0.151982	0.427915	0.37036	0.259645	1.36008	1.384	0.738834	0.76624	0.394023	0	0.280952	1.3792	2.22897	0.73749	0.609018	1.11345	1.47096	0.47761	0.546593	0.568603	0.674038	0.2528	0.285199	1.03488	1.15602	0.883883	0.0966149	0.563742	0.543682	0.396731	0.414964	1.17724	0.463014
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001990.1.db376d3b-ae63-4e49-80d2-dc3c632957a3.fc.signal	0.69286	0.207858	0	0	0	0	0	0	0	0.285805	0.34643	0.0588931	0.325644	0.34643	0.152429	0.606253	0.886861	0.671208	0.603778	0.714179	1.28924	0.384763	0.577571	0.603753	0.410504	0.692719	1.2096	1.18256	0.79735	0.358447	1.18728	1.61768	0.640492	0.272109	0.429587	0.810388	1.21631	0.559094	0.676697	0.69286	0.94444	0.571221	0.60514	0.578957	0.744214	0.675539	0.276851	0.0078028	0.717865	1.1243	0.510058	0.59481	0.414543	0.541525	0.340237
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003833.4.78bd51d0-e8cc-413f-86cc-b957d9057e5e.fc.signal	2.10936	1.90614	0.994037	0.549038	0.187597	0.135846	0.15094	0.350176	0.455326	0.581109	0.67117	0.895064	0.866386	0.560481	0.511174	0.173581	0.262635	0.552808	0.575642	0.841745	2.2822	2.28381	1.90601	1.47742	1.98657	1.39072	0.84133	0.746466	1.39768	1.30346	1.22316	1.49739	1.41075	0.8356	0.750603	0.823095	1.10702	1.40373	1.15049	1.50435	1.33374	0.966006	0.676202	0.742615	0.570148	0.247182	0.392609	1.16373	1.34695	1.37882	0.911105	0.502304	0.958459	1.22122	0.486486
