	chr18:49572869-49573018	chr18:49573019-49573168	chr18:49573169-49573318	chr18:49573319-49573468	chr18:49573469-49573618	chr18:49573619-49573658	chr18:49573659-49573768	chr18:49573769-49573918	chr18:49573919-49574068	chr18:49574069-49574218	chr18:49574219-49574368	chr18:49574369-49574518	chr18:49574519-49574668	chr18:49574669-49574818	chr18:49574819-49574968	chr18:49574969-49575118	chr18:49575119-49575268	chr18:49575269-49575418	chr18:49575419-49575568	chr18:49575569-49575718	chr18:49575719-49575868	chr18:49575869-49576018	chr18:49576019-49576168	chr18:49576169-49576318	chr18:49576319-49576388	chr18:49576389-49576468	chr18:49576469-49576558	chr18:49576559-49576618	chr18:49576619-49576768	chr18:49576769-49576918	chr18:49576919-49576968	chr18:49576969-49577028	chr18:49577029-49577068	chr18:49577069-49577088	chr18:49577089-49577168	chr18:49577169-49577218	chr18:49577219-49577368	chr18:49577369-49577518	chr18:49577519-49577668	chr18:49577669-49577708	chr18:49577709-49577818	chr18:49577819-49577948	chr18:49577949-49577968	chr18:49577969-49578090	Expression
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003818.1.d9959e98-a5a9-490f-a9f0-358a1a711d27.fc.signal	0.913123	2.27391	1.2981	0.110203	0.205823	0.586208	0.717721	0.627236	1.09417	0.0217697	0.35911	1.01948	0.658157	0.835423	0.834135	0.231632	0.965556	0.961609	1.00516	1.0942	0.0672883	0.241415	0.926246	1.02038	0.591983	0.242063	0	0.173168	0.29686	0.27509	0.29686	0.029686	0	0	0	0	0	0	0	0	0	0	0	0	0.451128
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001961.2.993ec17f-4277-433d-a284-3906706ac1fe.fc.signal	0.562744	0.984969	0.850894	0.268177	0.214604	0.971006	0.950025	0.632822	1.44032	1.04112	0.55169	1.29654	0.950546	1.45404	0.73457	0.215428	0.482258	0	0.495875	0.154499	0	0	0.376046	0.0365022	0	0	0	0	0	0.389284	0.544539	0.161688	0	0	0	0	0	0	0	0	0	0	0	0	0.47835
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000242.3.009dbb10-d8f5-4bd5-9bc6-e0cf283ece54.fc.signal	0.590332	0.574382	0.653474	0.784447	0.689883	0.462789	0.270567	0.414509	0.730818	0.461657	0.347373	0.0990478	0	0	0	0	0.141154	0.372088	0.753911	0.546903	0.400323	1.21686	1.13478	0.183694	0	0.211252	0.313025	0.588696	1.31264	1.13322	0.514128	0.124955	0	0	0	0	0	0	0	0	0	0	0	0	0.529264
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000949.6.4e9958ba-8dfc-4908-9654-b8c3286ec999.fc.signal	1.30177	1.05502	0.497845	0.310335	0.445932	0.543639	0.479753	0	0	0.668705	0.482606	0.646805	0.889467	0.838791	0.934484	0.218961	0	0.860213	0.679429	0.861466	1.00883	0	0.627243	0.14376	0	0.255033	0.85011	1.47364	2.23878	0.26638	0.0680088	1.20439	1.70038	1.70038	1.28587	0	0	0	0	0	0	0	0	0	0.54663
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001008.4.aa01f6f8-93b0-4f0b-8191-bde89d903aa4.fc.signal	0.561164	1.12863	0.670612	0.185249	0.18799	0.199895	0.268128	0.3266	0.877383	0.85181	1.53273	0.299513	0.264564	0.274475	0.402335	0.350861	1.15356	0.875078	1.09802	0.845016	0.770171	0.216014	0.544578	0.241356	0.198103	0.22791	0.219651	0.51339	0.202166	0.696577	0.2568	0.15408	0	0	0	0	0	0	0	0.13482	0.490064	0.0375323	0	0	0.58075
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001954.2.c4a67634-cf89-4945-bb82-26e2fddb3f3f.fc.signal	0.273936	0.523323	0.443733	0.51968	0.261576	0.374766	0.820234	0.743288	0.932077	0.750484	0.0836181	0.0545867	0.582185	0.727407	0.80456	0.66618	0.94983	1.55722	0.79113	1.27121	0.676524	0.658603	0.696082	0.33946	0.0122224	0.029793	0.293767	0.299699	0.2286	0.437716	0.343466	0.1143	0	0	0	0	0	0	0	0	0	0	0	0.0352586	0.446407
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000943.7.b97e43e6-4dfc-4f07-88bb-76ebefe1ddac.fc.signal	1.15115	0.630445	1.07529	0.490654	0.179927	0.327847	1.38376	0.825083	1.47385	1.40372	0.377147	0.529724	1.45908	0.808965	0.588233	0.729097	0.551188	0.285614	0.38231	0.772871	0.646137	0.104459	0.379192	0.745833	0.169309	0	0	0.0243122	0.471214	0.706444	0.883373	0.474029	0	0	0	0	0	0	0	0	0	0	0	0	0.412484
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00000227.3.782837e5-53f4-4f13-8ca3-175155d9e819.fc.signal	0	0	0.0639231	0.144622	0.252644	0.477066	0.425201	0.291134	0.228725	0.428773	0.354985	0.0354622	0.235575	0.199659	0	0	0	0	0.0369959	0.243123	0.191964	0	0	0	0	0	0	0.148083	0.290233	0.162567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580989
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00001959.2.50a44db1-655c-4546-8036-e7b247f25f5a.fc.signal	0.723756	1.03238	1.04473	0.235294	0.337323	0.812783	0.501859	0.5796	0.498502	0.487263	1.21907	1.36458	1.10102	1.02743	0.982989	0.272689	0.34649	0.530893	0.968936	0.53764	0.287859	0.404734	0.563617	0.095355	0.31785	0.31785	0.268407	0.31785	0.065689	0.88138	0.724612	0.280767	0	0	0	0	0	0	0	0	0	0	0	0	0.445626
ihec.chipseq.ihec-chipseq-containerv1.1.4.IHECRE00003803.1.8e45d3eb-43c4-4932-8fdd-020c9df5cc1a.fc.signal	1.59104	0.807465	1.40665	0.702557	0.103324	0.35766	0.665625	0.629756	1.23719	1.62703	0.214367	0.125105	0.631189	0.330741	0.424465	0.659366	0.561896	0.803232	1.04224	0.589996	0.445928	0.399575	0.426251	0.952854	0.589212	0.113259	0.474231	0.47688	0.405344	0.813	0.206547	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498221
